112,22,1,226
112,37,487,1,226
112,22,7,1,226
112,37,7,1,226
112,446,46,86,226
112,22,1,5,86,226
112,37,7,0,1,226
112,119,13,3,1,226
112,22,327,3,1,226
112,22,7,0,1,226
112,37,7,22,1,226
112,37,6,0,1,226
112,119,318,100,1,226
112,119,13,5,1,226
112,37,200,7,1,226
112,37,6,3,1,226
112,119,13,5,86,226
112,37,7,1,5,86,226
112,446,46,86,5,1,226
112,119,13,3,0,1,226
112,37,200,252,326,1,226
112,37,200,7,0,1,226
112,22,137,71,116,1,226
112,37,6,17,0,1,226
112,37,6,3,0,1,226
112,37,487,1,5,86,226
112,119,13,5,0,1,226
112,22,327,3,0,1,226
112,119,13,3,8,1,226
112,446,46,28,231,86,226
112,22,7,33,46,86,226
112,37,200,484,8,1,226
112,22,7,0,3,1,226
112,22,7,37,487,1,226
112,22,7,33,35,1,226
112,22,7,0,5,1,226
112,22,7,48,5,1,226
112,37,200,7,22,1,226
112,22,7,0,5,86,226
112,22,7,20,21,1,226
112,22,7,48,5,86,226
112,22,1,0,5,86,226
112,37,7,20,21,1,226
112,22,7,114,69,1,226
112,22,7,20,78,1,226
112,22,1,161,5,86,226
112,22,428,51,5,86,226
112,37,7,33,35,1,226
112,37,7,20,78,1,226
112,22,7,1,5,86,226
112,37,7,0,3,1,226
112,37,6,18,5,1,226
112,22,1,188,5,86,226
112,22,217,133,3,1,226
112,22,428,51,5,1,226
112,37,7,48,5,1,226
112,37,7,33,46,86,226
112,37,6,0,3,1,226
112,37,6,3,8,1,226
112,119,277,37,7,1,226
112,37,7,0,5,1,226
112,119,277,37,487,1,226
112,37,7,0,5,86,226
112,119,13,5,15,1,226
112,37,6,199,108,1,226
112,119,13,5,127,1,226
112,119,13,23,0,1,226
112,119,13,5,157,1,226
112,119,13,31,57,1,226
112,119,13,23,44,1,226
112,119,13,5,161,1,226
112,119,13,253,157,1,226
112,119,13,5,188,1,226
112,22,327,3,8,1,226
112,37,6,18,5,86,226
112,22,327,3,9,1,226
112,22,1,15,5,86,226
112,22,327,3,287,1,226
112,22,1,127,5,86,226
112,22,327,3,392,1,226
112,22,1,157,5,86,226
112,22,91,10,8,1,226
112,119,13,3,9,1,226
112,22,217,133,8,1,226
112,119,13,3,287,1,226
112,37,7,114,69,1,226
112,119,13,3,392,1,226
112,119,318,100,8,1,226
112,446,46,33,35,1,226
112,37,7,48,5,86,226
112,446,46,433,5,86,226
112,446,46,33,7,1,226
112,446,46,80,97,1,226
112,37,68,252,326,1,226
112,446,46,433,5,1,226
112,446,46,292,9,1,226
112,37,70,415,35,1,226
112,37,68,38,9,1,226
112,446,46,52,21,1,226
112,37,259,11,5,86,226
112,37,70,26,8,1,226
112,446,46,110,35,1,226
112,37,299,476,157,1,226
112,37,259,11,3,1,226
112,37,259,11,5,1,226
112,37,70,95,296,1,226
112,37,70,26,21,1,226
112,37,345,292,9,1,226
112,446,46,28,15,1,226
112,37,299,362,5,1,226
112,37,259,11,475,1,226
112,37,70,138,22,1,226
112,37,43,38,9,1,226
112,37,345,292,46,86,226
112,37,299,368,188,1,226
112,37,6,0,5,1,226
112,37,299,362,5,86,226
112,37,102,48,5,86,226
112,37,6,3,9,1,226
112,37,102,48,7,1,226
112,37,102,48,5,1,226
112,37,6,3,287,1,226
112,37,6,0,7,1,226
112,37,6,3,392,1,226
112,37,6,0,5,86,226
112,37,240,105,46,86,226
112,37,497,20,7,1,226
112,37,159,4,0,1,226
112,37,497,20,21,1,226
112,37,360,45,164,1,226
112,37,159,4,3,1,226
112,37,497,20,78,1,226
112,37,328,235,7,1,226
112,22,7,37,6,0,1,226
112,37,102,48,51,5,1,226
112,37,6,0,5,15,1,226
112,37,6,3,4,0,1,226
112,37,240,353,62,7,1,226
112,37,6,0,7,22,1,226
112,37,102,48,5,0,1,226
112,37,240,105,61,15,1,226
112,37,102,129,105,46,86,226
112,37,497,20,7,0,1,226
112,37,102,48,7,0,1,226
112,37,159,276,84,21,1,226
112,37,6,0,34,152,1,226
112,22,7,33,473,5,1,226
112,37,159,4,0,3,1,226
112,37,360,467,137,22,1,226
112,37,360,45,11,3,1,226
112,37,159,4,113,15,1,226
112,37,159,4,3,0,1,226
112,119,13,31,16,15,1,226
112,37,7,1,0,5,86,226
112,37,497,20,19,5,1,226
112,37,79,464,20,21,1,226
112,37,328,235,50,0,1,226
112,37,328,235,7,0,1,226
112,22,7,37,6,3,1,226
112,119,13,23,33,46,86,226
112,37,102,48,61,15,1,226
112,37,102,48,51,5,86,226
112,37,6,0,5,127,1,226
112,22,7,0,4,3,1,226
112,37,6,3,11,475,1,226
112,119,13,5,161,227,1,226
112,37,7,0,5,15,1,226
112,37,6,3,1,5,86,226
112,119,13,67,28,15,1,226
112,37,240,353,442,5,1,226
112,119,13,253,372,3,1,226
112,119,13,253,157,5,1,226
112,37,102,48,5,15,1,226
112,119,13,5,11,3,1,226
112,37,240,105,461,231,86,226
112,446,46,86,5,0,1,226
112,37,7,0,1,5,86,226
112,22,7,48,493,9,1,226
112,22,327,3,8,93,1,226
112,37,497,20,7,22,1,226
112,37,6,18,5,0,1,226
112,37,102,48,7,22,1,226
112,37,200,484,8,3,1,226
112,37,6,199,108,97,1,226
112,22,1,5,433,46,86,226
112,22,7,0,5,15,1,226
112,37,6,0,4,3,1,226
112,22,1,15,28,231,86,226
112,22,7,33,60,5,1,226
112,22,7,33,473,5,86,226
112,37,159,4,0,5,1,226
112,119,277,37,6,0,1,226
112,37,360,45,19,5,1,226
112,37,200,7,20,21,1,226
112,37,360,45,11,5,1,226
112,37,159,4,301,100,1,226
112,22,7,0,3,8,1,226
112,22,327,3,4,0,1,226
112,22,1,227,161,5,86,226
112,37,159,4,3,8,1,226
112,119,13,31,75,3,1,226
112,22,138,70,415,35,1,226
112,37,7,1,161,5,86,226
112,119,13,3,0,5,1,226
112,22,91,155,482,9,1,226
112,37,497,20,95,296,1,226
112,37,497,20,19,69,1,226
112,22,91,10,2,0,1,226
112,37,497,20,19,5,86,226
112,37,277,119,13,5,86,226
112,37,200,252,457,0,1,226
112,22,91,10,8,3,1,226
112,37,79,55,26,8,1,226
112,37,79,464,20,7,1,226
112,22,7,48,5,0,1,226
112,37,328,235,50,44,1,226
112,119,277,37,7,0,1,226
112,37,200,7,0,3,1,226
112,22,217,133,8,3,1,226
112,37,328,235,7,22,1,226
112,119,13,23,265,7,1,226
112,119,13,23,33,7,1,226
112,37,7,265,23,0,1,226
112,37,102,48,122,21,1,226
112,37,6,0,5,157,1,226
112,22,7,0,34,152,1,226
112,37,6,42,81,5,86,226
112,37,7,22,327,3,1,226
112,22,7,265,23,0,1,226
112,119,13,3,4,0,1,226
112,37,6,3,133,8,1,226
112,119,318,100,260,0,1,226
112,37,6,3,11,5,1,226
112,37,6,3,327,22,1,226
112,22,137,181,28,46,86,226
112,37,6,3,11,5,86,226
112,37,6,3,416,157,1,226
112,22,137,333,48,5,86,226
112,22,137,181,28,15,1,226
112,37,6,3,13,5,1,226
112,22,137,333,48,7,1,226
112,22,137,333,48,5,1,226
112,22,137,181,28,231,86,226
112,37,6,3,13,5,86,226
112,37,7,0,5,127,1,226
112,119,318,100,8,3,1,226
112,119,13,123,47,3,1,226
112,37,7,0,5,157,1,226
112,119,318,100,8,93,1,226
112,119,13,177,51,5,86,226
112,37,7,0,5,161,1,226
112,119,318,100,8,191,1,226
112,119,13,320,26,8,1,226
112,119,13,177,51,5,1,226
112,37,7,0,5,188,1,226
112,119,318,100,8,317,1,226
112,119,13,306,91,22,1,226
112,119,13,320,26,21,1,226
112,119,13,23,0,3,1,226
112,119,13,305,203,111,1,226
112,22,137,71,47,3,1,226
112,119,13,23,0,5,1,226
112,119,13,168,45,164,1,226
112,22,137,71,50,0,1,226
112,119,13,23,0,7,1,226
112,119,13,23,0,5,86,226
112,119,13,224,114,7,1,226
112,22,137,71,50,44,1,226
112,119,13,67,28,46,86,226
112,119,13,224,114,69,1,226
112,37,240,353,442,5,86,226
112,119,13,67,28,231,86,226
112,37,7,0,4,3,1,226
112,37,7,48,5,0,1,226
112,22,7,20,19,69,1,226
112,37,7,0,34,152,1,226
112,37,7,48,5,15,1,226
112,22,7,20,204,44,1,226
112,22,7,20,19,5,1,226
112,37,7,0,6,3,1,226
112,37,7,48,5,127,1,226
112,22,7,20,95,296,1,226
112,22,7,20,19,5,86,226
112,37,7,0,56,44,1,226
112,37,7,48,5,157,1,226
112,22,7,20,310,157,1,226
112,37,7,0,148,8,1,226
112,37,7,48,5,161,1,226
112,119,13,253,157,5,86,226
112,37,7,0,23,44,1,226
112,37,102,48,5,127,1,226
112,37,7,48,5,188,1,226
112,37,7,0,260,100,1,226
112,37,102,48,5,157,1,226
112,37,7,0,316,9,1,226
112,37,102,48,5,161,1,226
112,37,7,0,438,21,1,226
112,37,102,48,5,188,1,226
112,37,7,0,50,44,1,226
112,446,46,80,31,57,1,226
112,119,13,3,1,5,86,226
112,446,46,80,99,0,1,226
112,37,6,0,1,5,86,226
112,446,46,80,117,69,1,226
112,119,13,5,83,220,1,226
112,119,13,5,11,475,1,226
112,119,13,5,60,236,1,226
112,119,13,5,83,8,1,226
112,119,13,5,19,69,1,226
112,446,46,86,5,15,1,226
112,119,13,5,270,9,1,226
112,446,46,86,5,127,1,226
112,119,13,5,48,7,1,226
112,446,46,86,5,157,1,226
112,119,13,5,433,46,86,226
112,446,46,86,5,161,1,226
112,22,7,48,61,15,1,226
112,446,46,86,5,188,1,226
112,22,7,48,51,5,1,226
112,22,327,3,8,100,1,226
112,22,7,48,122,21,1,226
112,22,7,48,51,5,86,226
112,22,327,3,8,191,1,226
112,22,7,48,174,157,1,226
112,22,327,3,8,317,1,226
112,22,7,48,381,46,86,226
112,37,6,18,5,15,1,226
112,37,68,252,200,7,1,226
112,37,6,18,5,127,1,226
112,37,68,252,457,0,1,226
112,37,6,18,5,157,1,226
112,446,46,433,5,0,1,226
112,37,6,18,5,161,1,226
112,446,46,433,5,15,1,226
112,37,6,18,5,188,1,226
112,446,46,433,5,127,1,226
112,37,200,484,8,93,1,226
112,446,46,433,5,157,1,226
112,37,200,484,8,100,1,226
112,446,46,433,5,161,1,226
112,37,200,484,8,191,1,226
112,446,46,433,5,188,1,226
112,37,200,484,8,317,1,226
112,22,428,51,48,5,1,226
112,37,6,17,34,152,1,226
112,22,428,51,130,46,86,226
112,22,428,51,48,7,1,226
112,22,428,51,48,5,86,226
112,37,6,17,63,46,86,226
112,37,6,17,34,0,1,226
112,22,428,51,160,0,1,226
112,37,6,17,167,293,1,226
112,22,7,0,5,127,1,226
112,119,318,100,1,5,86,226
112,37,6,17,0,3,1,226
112,22,428,51,366,44,1,226
112,37,6,0,56,44,1,226
112,22,7,0,5,157,1,226
112,446,46,292,9,3,1,226
112,37,6,17,0,5,1,226
112,446,46,33,7,0,1,226
112,37,6,0,148,8,1,226
112,22,7,0,5,161,1,226
112,22,1,15,28,46,86,226
112,37,6,17,0,7,1,226
112,37,6,17,0,5,86,226
112,446,46,33,7,22,1,226
112,37,6,0,23,44,1,226
112,22,7,0,5,188,1,226
112,22,7,33,170,46,86,226
112,22,7,33,60,236,1,226
112,22,7,33,60,5,86,226
112,37,6,0,260,100,1,226
112,22,7,33,176,9,1,226
112,446,46,33,473,5,1,226
112,37,7,20,19,69,1,226
112,37,6,0,316,9,1,226
112,22,7,33,190,431,1,226
112,446,46,33,60,5,1,226
112,446,46,33,473,5,86,226
112,37,7,20,204,44,1,226
112,37,7,20,19,5,1,226
112,37,6,0,438,21,1,226
112,22,7,33,23,0,1,226
112,446,46,33,176,9,1,226
112,446,46,33,60,236,1,226
112,446,46,33,60,5,86,226
112,37,68,38,9,3,1,226
112,37,159,4,0,7,1,226
112,37,159,4,0,5,86,226
112,119,277,37,200,7,1,226
112,37,7,20,95,296,1,226
112,37,7,20,19,5,86,226
112,37,6,0,50,44,1,226
112,22,7,33,131,441,1,226
112,37,68,38,34,0,1,226
112,119,277,37,6,3,1,226
112,22,7,33,23,44,1,226
112,446,46,33,190,431,1,226
112,446,46,52,349,15,1,226
112,37,360,45,92,78,1,226
112,37,360,45,19,69,1,226
112,446,46,80,97,108,1,226
112,37,6,3,0,5,1,226
112,37,360,45,19,5,86,226
112,37,200,7,33,35,1,226
112,37,200,7,20,78,1,226
112,37,200,7,1,5,86,226
112,37,259,329,84,21,1,226
112,37,360,45,11,475,1,226
112,37,7,20,310,157,1,226
112,37,360,45,11,5,86,226
112,22,7,1,0,5,86,226
112,22,7,33,140,21,1,226
112,37,487,1,0,5,86,226
112,37,70,26,8,3,1,226
112,22,7,0,3,9,1,226
112,37,68,38,88,9,1,226
112,37,68,38,34,152,1,226
112,22,327,3,6,0,1,226
112,446,46,33,23,0,1,226
112,22,1,97,80,46,86,226
112,37,360,45,109,169,1,226
112,37,7,0,3,8,1,226
112,37,159,4,3,9,1,226
112,37,6,3,0,7,1,226
112,119,13,31,80,46,86,226
112,37,6,3,0,5,86,226
112,37,200,7,48,5,1,226
112,37,200,7,33,46,86,226
112,446,46,105,461,231,86,226
112,22,138,70,26,8,1,226
112,37,259,443,272,7,1,226
112,37,7,22,1,5,86,226
112,37,299,476,157,5,1,226
112,119,13,5,0,3,1,226
112,37,259,11,3,0,1,226
112,37,7,1,188,5,86,226
112,119,13,3,0,7,1,226
112,22,7,1,188,5,86,226
112,119,13,3,0,5,86,226
112,22,7,33,307,157,1,226
112,22,91,306,13,3,1,226
112,37,487,1,157,5,86,226
112,37,70,26,8,93,1,226
112,37,497,20,204,44,1,226
112,22,7,0,3,287,1,226
112,37,68,38,141,46,86,226
112,37,259,11,5,0,1,226
112,22,91,10,16,15,1,226
112,22,327,3,11,475,1,226
112,446,46,33,131,441,1,226
112,446,46,33,23,44,1,226
112,37,70,95,20,21,1,226
112,22,1,9,292,46,86,226
112,37,70,26,344,157,1,226
112,37,360,45,166,35,1,226
112,37,277,119,318,100,1,226
112,37,7,0,3,9,1,226
112,22,327,3,0,5,1,226
112,37,345,292,9,3,1,226
112,37,277,119,13,3,1,226
112,37,277,119,13,5,1,226
112,37,159,4,3,287,1,226
112,119,13,31,80,97,1,226
112,22,91,10,8,93,1,226
112,37,200,7,114,69,1,226
112,37,200,7,48,5,86,226
112,37,79,205,6,0,1,226
112,446,46,170,33,7,1,226
112,37,79,55,47,3,1,226
112,446,46,105,61,15,1,226
112,22,217,133,3,0,1,226
112,446,46,28,11,3,1,226
112,22,217,133,3,8,1,226
112,446,46,28,59,3,1,226
112,446,46,28,11,5,1,226
112,22,217,133,3,9,1,226
112,446,46,28,90,111,1,226
112,446,46,28,11,475,1,226
112,446,46,28,11,5,86,226
112,22,217,133,3,287,1,226
112,446,46,28,98,3,1,226
112,22,217,133,3,392,1,226
112,446,46,28,498,3,1,226
112,37,79,55,26,21,1,226
112,22,138,70,37,487,1,226
112,22,138,70,26,21,1,226
112,22,138,70,95,296,1,226
112,22,138,70,37,7,1,226
112,446,46,28,15,5,1,226
112,37,79,464,20,78,1,226
112,446,46,28,15,5,86,226
112,22,428,51,5,0,1,226
112,22,327,3,1,5,86,226
112,22,428,51,5,15,1,226
112,22,7,48,5,15,1,226
112,22,428,51,5,127,1,226
112,22,7,48,5,127,1,226
112,22,428,51,5,157,1,226
112,22,7,48,5,157,1,226
112,22,428,51,5,161,1,226
112,22,7,48,5,161,1,226
112,22,428,51,5,188,1,226
112,22,7,48,5,188,1,226
112,37,299,476,157,5,86,226
112,119,13,5,0,7,1,226
112,37,259,11,3,8,1,226
112,37,7,1,15,5,86,226
112,37,259,11,3,9,1,226
112,37,7,1,127,5,86,226
112,37,259,11,3,287,1,226
112,37,7,1,157,5,86,226
112,37,259,11,3,392,1,226
112,37,70,171,342,35,1,226
112,37,7,48,493,9,1,226
112,37,70,249,20,7,1,226
112,37,7,48,61,15,1,226
112,37,70,249,20,21,1,226
112,37,7,48,51,5,1,226
112,37,70,249,20,78,1,226
112,37,7,48,122,21,1,226
112,37,7,48,51,5,86,226
112,37,7,48,174,157,1,226
112,119,277,37,7,22,1,226
112,37,7,48,381,46,86,226
112,37,200,7,0,5,1,226
112,22,7,1,15,5,86,226
112,37,200,7,0,5,86,226
112,22,7,1,127,5,86,226
112,22,7,33,385,111,1,226
112,22,7,1,157,5,86,226
112,22,91,306,13,5,1,226
112,22,7,1,161,5,86,226
112,22,91,306,13,5,86,226
112,22,217,133,8,93,1,226
112,37,487,1,161,5,86,226
