116,1,3,281
116,71,47,3,281
116,1,0,3,281
116,198,53,38,281
116,1,8,3,281
116,1,9,3,281
116,1,287,3,281
116,1,9,38,281
116,1,392,3,281
116,435,213,8,3,281
116,198,448,452,3,281
116,1,9,88,38,281
116,1,5,0,3,281
116,463,42,4,3,281
116,71,50,0,3,281
116,1,8,133,3,281
116,1,7,0,3,281
116,1,5,11,3,281
116,1,191,8,3,281
116,1,5,13,3,281
116,1,152,34,38,281
116,1,0,4,3,281
116,1,475,11,3,281
116,1,0,6,3,281
116,463,42,6,3,281
116,1,317,8,3,281
116,1,0,34,38,281
116,1,3,9,38,281
116,1,93,8,3,281
116,71,485,135,38,281
116,1,157,416,3,281
116,1,22,327,3,281
116,1,100,8,3,281
116,198,53,38,9,3,281
116,1,7,22,327,3,281
116,1,7,0,4,3,281
116,1,157,5,0,3,281
116,1,22,7,0,3,281
116,1,487,37,43,38,281
116,1,100,260,0,3,281
116,1,100,8,133,3,281
116,1,392,3,9,38,281
116,1,7,37,6,3,281
116,1,8,3,9,38,281
116,1,7,0,6,3,281
116,1,157,253,13,3,281
116,1,157,5,11,3,281
116,71,50,0,1,3,281
116,198,53,45,11,3,281
116,435,213,8,1,3,281
116,1,22,217,133,3,281
116,1,191,8,133,3,281
116,1,5,60,290,3,281
116,1,21,438,0,3,281
116,1,487,37,6,3,281
116,1,100,301,4,3,281
116,1,8,148,0,3,281
116,71,47,147,4,3,281
116,1,152,34,0,3,281
116,1,287,324,11,3,281
116,1,9,32,197,38,281
116,1,7,33,121,38,281
116,1,7,37,43,38,281
116,1,9,316,0,3,281
116,1,9,32,11,3,281
116,1,7,347,250,3,281
116,1,7,37,68,38,281
116,71,47,3,9,38,281
116,463,42,6,0,3,281
116,1,7,0,34,38,281
116,1,157,253,372,3,281
116,1,157,5,13,3,281
116,1,5,0,4,3,281
116,71,50,0,4,3,281
116,1,5,0,6,3,281
116,71,50,0,6,3,281
116,1,5,0,34,38,281
116,71,50,0,34,38,281
116,435,213,8,133,3,281
116,1,287,3,9,38,281
116,1,317,8,133,3,281
116,1,0,17,34,38,281
116,1,5,66,210,38,281
116,1,0,2,14,3,281
116,1,0,17,6,3,281
116,1,5,83,8,3,281
116,1,0,316,9,38,281
116,1,5,18,6,3,281
116,1,0,412,197,38,281
116,1,0,316,9,3,281
116,1,5,19,11,3,281
116,463,42,4,0,3,281
116,1,0,5,11,3,281
116,1,5,157,416,3,281
116,1,5,19,25,3,281
116,1,0,23,13,3,281
116,1,0,5,13,3,281
116,1,5,270,9,3,281
116,1,0,148,8,3,281
116,1,0,23,401,38,281
116,1,5,371,14,3,281
116,1,5,270,9,38,281
116,1,15,5,0,3,281
116,1,21,26,8,3,281
116,1,3,0,34,38,281
116,1,487,37,68,38,281
116,1,108,199,6,3,281
116,1,15,16,47,3,281
116,1,15,5,11,3,281
116,1,21,118,11,3,281
116,1,164,45,53,38,281
116,1,15,28,11,3,281
116,1,0,3,9,38,281
116,71,50,44,1,3,281
116,1,3,9,88,38,281
116,1,15,5,13,3,281
116,1,21,122,135,38,281
116,1,93,8,133,3,281
116,1,44,23,0,3,281
116,1,164,45,11,3,281
116,1,69,19,25,3,281
116,1,44,50,0,3,281
116,1,44,23,13,3,281
116,1,78,312,47,3,281
116,1,69,255,11,3,281
116,1,69,19,11,3,281
116,1,44,56,0,3,281
116,1,44,23,401,38,281
116,1,236,60,290,3,281
116,71,233,2,0,3,281
116,1,161,450,88,38,281
116,71,137,22,1,3,281
116,71,233,2,14,3,281
116,1,382,32,9,38,281
116,1,161,5,13,3,281
116,71,137,22,327,3,281
116,1,326,252,68,38,281
116,1,382,32,11,3,281
116,1,382,32,9,3,281
116,1,161,5,0,3,281
116,1,35,33,121,38,281
116,1,382,32,197,38,281
116,1,161,5,11,3,281
116,1,188,5,0,3,281
116,1,35,77,9,3,281
116,1,220,83,8,3,281
