118,21,1,226
118,11,3,1,226
118,11,5,1,226
118,11,475,1,226
118,11,5,86,226
118,21,1,5,86,226
118,11,3,0,1,226
118,11,5,0,1,226
118,11,3,8,1,226
118,21,438,0,1,226
118,11,5,15,1,226
118,21,26,8,1,226
118,11,5,127,1,226
118,21,52,46,86,226
118,11,5,157,1,226
118,11,19,5,1,226
118,21,20,7,1,226
118,11,19,5,86,226
118,21,20,78,1,226
118,11,3,9,1,226
118,11,5,161,1,226
118,11,3,287,1,226
118,11,5,188,1,226
118,11,3,392,1,226
118,11,28,231,86,226
118,11,19,69,1,226
118,11,32,9,1,226
118,11,28,15,1,226
118,11,45,164,1,226
118,11,32,382,1,226
118,11,28,46,86,226
118,11,49,46,86,226
118,11,241,469,1,226
118,11,255,69,1,226
118,11,324,287,1,226
118,21,20,19,69,1,226
118,11,19,5,0,1,226
118,11,241,12,5,1,226
118,11,361,109,169,1,226
118,11,324,287,3,1,226
118,21,20,204,44,1,226
118,21,20,19,5,1,226
118,11,19,5,15,1,226
118,11,241,12,5,86,226
118,11,440,28,46,86,226
118,21,20,7,0,1,226
118,21,438,0,3,1,226
118,11,475,1,5,86,226
118,21,20,95,296,1,226
118,11,3,1,5,86,226
118,11,5,161,227,1,226
118,21,26,344,157,1,226
118,21,20,19,5,86,226
118,11,19,5,127,1,226
118,21,1,0,5,86,226
118,21,26,8,3,1,226
118,11,5,83,220,1,226
118,11,40,23,44,1,226
118,11,440,28,15,1,226
118,11,3,0,5,1,226
118,21,20,7,22,1,226
118,11,3,4,0,1,226
118,21,438,0,5,1,226
118,21,140,33,35,1,226
118,21,438,0,5,86,226
118,21,408,243,8,1,226
118,21,140,267,8,1,226
118,21,140,33,7,1,226
118,21,122,48,5,1,226
118,21,140,33,46,86,226
118,21,219,109,169,1,226
118,21,122,48,7,1,226
118,21,122,48,5,86,226
118,21,84,73,134,1,226
118,11,5,0,3,1,226
118,21,89,10,8,1,226
118,11,5,0,7,1,226
118,21,20,310,157,1,226
118,21,52,349,15,1,226
118,11,19,5,157,1,226
118,21,1,161,5,86,226
118,11,19,5,161,1,226
118,21,1,188,5,86,226
118,11,19,5,188,1,226
118,21,1,15,5,86,226
118,11,32,9,3,1,226
118,21,1,127,5,86,226
118,21,26,8,93,1,226
118,21,1,157,5,86,226
118,21,26,8,100,1,226
118,11,5,13,3,1,226
118,21,26,8,191,1,226
118,11,5,60,236,1,226
118,11,19,390,15,1,226
118,21,26,8,317,1,226
118,11,5,19,69,1,226
118,11,19,24,0,1,226
118,11,28,15,5,1,226
118,11,5,270,9,1,226
118,11,19,20,7,1,226
118,11,28,15,5,86,226
118,11,5,48,7,1,226
118,11,19,25,3,1,226
118,11,19,20,21,1,226
118,11,5,433,46,86,226
118,11,19,45,164,1,226
118,11,19,20,78,1,226
118,11,5,83,8,1,226
118,11,139,359,69,1,226
118,11,45,19,5,1,226
118,11,40,23,0,1,226
118,11,440,28,231,86,226
118,11,257,4,0,1,226
118,11,139,12,5,1,226
118,11,45,92,78,1,226
