121,211,250,3,287,324
121,211,250,3,11,324
121,211,6,3,287,324
121,211,6,3,11,324
121,38,281,3,287,324
121,38,281,3,11,324
121,38,197,32,11,324
121,38,53,45,11,324
121,38,9,32,11,324
121,38,9,3,287,324
121,38,9,3,11,324
121,38,9,1,287,324
121,33,473,5,11,324
121,33,153,40,11,324
121,33,60,5,11,324
121,33,46,49,11,324
121,33,46,28,11,324
121,33,35,1,287,324
121,33,23,40,11,324
121,33,7,1,287,324
121,33,23,40,11,324
121,211,250,3,11,324
121,211,6,3,287,324
121,38,53,45,11,324
121,211,250,3,287,324
121,33,7,1,287,324
121,38,9,3,11,324
121,33,35,1,287,324
121,38,197,32,11,324
121,38,9,1,287,324
121,38,9,3,287,324
121,33,46,49,11,324
121,38,281,3,11,324
121,33,60,5,11,324
121,33,46,28,11,324
121,38,281,3,287,324
121,33,153,40,11,324
121,38,9,32,11,324
121,33,473,5,11,324
121,38,34,0,3,11,324
121,211,250,3,1,287,324
121,33,7,1,3,11,324
121,33,60,236,1,287,324
121,33,60,5,1,287,324
121,33,46,86,5,11,324
121,33,7,0,3,11,324
121,211,237,35,1,287,324
121,33,46,28,440,11,324
121,33,7,20,19,11,324
121,33,7,0,1,287,324
121,33,7,0,3,287,324
121,211,239,0,3,11,324
121,33,7,22,1,287,324
121,33,7,0,5,11,324
121,211,242,133,3,11,324
121,38,281,3,1,287,324
121,211,250,406,444,287,324
121,211,239,0,1,287,324
121,211,239,0,3,287,324
121,33,7,37,259,11,324
121,38,9,270,5,11,324
121,211,242,133,3,287,324
121,33,131,441,1,287,324
121,211,239,0,5,11,324
121,33,473,5,1,287,324
121,211,6,3,1,287,324
121,33,35,166,45,11,324
121,33,35,1,3,11,324
121,38,43,37,259,11,324
121,33,7,48,5,11,324
121,38,34,152,1,287,324
121,38,34,0,1,287,324
121,38,34,0,3,287,324
121,33,140,21,1,287,324
121,211,6,0,3,11,324
121,33,170,46,49,11,324
121,33,140,21,118,11,324
121,211,6,18,5,11,324
121,211,6,0,1,287,324
121,211,6,0,3,287,324
121,33,176,9,3,11,324
121,33,170,46,28,11,324
121,211,6,37,259,11,324
121,211,6,0,5,11,324
121,33,190,431,1,287,324
121,33,176,9,1,287,324
121,33,176,9,3,287,324
121,33,307,157,1,287,324
121,33,176,9,32,11,324
121,33,385,111,1,287,324
121,33,307,157,5,11,324
121,33,439,460,241,11,324
121,33,131,104,332,11,324
121,33,7,1,5,11,324
121,33,473,5,19,11,324
121,33,7,1,475,11,324
121,33,7,1,3,287,324
121,33,23,0,3,11,324
121,33,60,290,3,11,324
121,33,23,13,3,11,324
121,33,23,0,1,287,324
121,33,23,0,3,287,324
121,33,60,449,332,11,324
121,33,60,290,3,287,324
121,33,23,27,323,287,324
121,33,23,13,5,11,324
121,33,35,1,5,11,324
121,33,23,13,3,287,324
121,33,23,0,5,11,324
121,33,23,41,28,11,324
121,33,35,1,475,11,324
121,33,60,5,19,11,324
121,33,23,44,1,287,324
121,33,35,1,3,287,324
121,38,68,37,259,11,324
121,33,23,104,332,11,324
121,38,53,45,19,11,324
121,38,88,9,3,11,324
121,33,23,144,28,11,324
121,38,9,1,3,11,324
121,33,46,433,5,11,324
121,38,141,46,49,11,324
121,38,88,9,1,287,324
121,38,88,9,3,287,324
121,33,23,178,32,11,324
121,38,9,1,5,11,324
121,38,9,1,3,287,324
121,38,165,46,49,11,324
121,38,141,46,28,11,324
121,38,9,3,1,287,324
121,38,88,9,32,11,324
121,38,9,1,475,11,324
121,38,34,0,5,11,324
121,38,210,66,5,11,324
121,38,165,46,28,11,324
121,38,401,23,40,11,324
121,33,23,40,11,3,287,324
121,211,237,335,343,45,11,324
121,33,140,21,20,19,11,324
121,38,9,1,0,3,11,324
121,38,34,0,4,3,11,324
121,38,34,0,5,1,287,324
121,38,210,66,5,1,287,324
121,38,165,46,86,5,11,324
121,38,165,46,28,440,11,324
121,38,297,173,6,3,287,324
121,38,401,23,0,3,11,324
121,211,237,35,166,45,11,324
121,38,9,1,8,3,287,324
121,38,9,1,0,5,11,324
121,38,9,1,0,3,287,324
121,38,34,0,6,3,11,324
121,38,34,0,4,257,11,324
121,38,34,0,4,3,287,324
121,33,60,5,11,3,287,324
121,211,6,18,453,28,11,324
121,38,34,0,5,19,11,324
121,211,6,18,5,1,287,324
121,38,210,66,5,19,11,324
121,211,237,35,1,3,11,324
121,33,46,28,15,1,287,324
121,38,165,46,433,5,11,324
121,211,6,0,1,3,11,324
121,38,34,0,3,1,287,324
121,211,6,0,3,1,287,324
121,33,7,20,21,118,11,324
121,38,430,30,20,19,11,324
121,38,297,173,6,3,11,324
121,33,176,180,134,1,287,324
121,38,401,23,13,3,11,324
121,38,401,23,0,1,287,324
121,38,401,23,0,3,287,324
121,33,7,20,19,5,11,324
121,33,170,46,86,5,11,324
121,38,9,1,392,3,287,324
121,33,170,46,28,440,11,324
121,38,9,1,8,3,11,324
121,211,6,17,406,444,287,324
121,33,46,28,11,3,287,324
121,33,7,0,3,1,287,324
121,211,6,37,360,45,11,324
121,38,34,0,7,1,287,324
121,38,34,0,6,3,287,324
121,211,6,0,4,3,11,324
121,211,6,0,5,1,287,324
121,38,9,1,287,3,11,324
121,33,7,0,1,3,11,324
121,211,6,18,5,19,11,324
121,33,190,158,15,1,287,324
121,211,239,352,8,1,287,324
121,211,237,35,1,5,11,324
121,33,190,431,1,3,11,324
121,211,237,35,1,3,287,324
121,33,46,28,498,3,11,324
121,33,140,267,8,1,287,324
121,33,176,9,1,3,11,324
121,33,176,9,3,1,287,324
121,33,46,28,15,5,11,324
121,211,6,0,1,5,11,324
121,211,6,0,1,3,287,324
121,33,7,22,327,3,11,324
121,33,307,157,1,3,11,324
121,33,7,20,284,19,11,324
121,33,7,20,21,1,287,324
121,33,176,9,270,5,11,324
121,38,135,122,21,1,287,324
121,38,430,30,54,19,11,324
121,33,7,1,287,3,11,324
121,38,197,32,11,3,287,324
121,33,7,22,1,3,11,324
121,33,7,0,4,3,11,324
121,33,385,111,90,28,11,324
121,38,401,23,27,323,287,324
121,38,401,23,13,5,11,324
121,33,385,111,1,3,11,324
121,38,401,23,13,3,287,324
121,38,401,23,0,5,11,324
121,33,7,0,5,1,287,324
121,33,307,157,416,3,11,324
121,33,307,157,5,1,287,324
121,33,7,20,19,45,11,324
121,211,242,133,8,3,11,324
121,33,439,186,387,28,11,324
121,33,170,46,433,5,11,324
121,38,9,1,382,32,11,324
121,38,281,3,0,1,287,324
121,33,131,104,23,40,11,324
121,33,131,384,192,45,11,324
121,38,9,1,392,3,11,324
121,211,6,42,4,3,11,324
121,211,6,17,0,3,11,324
121,38,9,32,382,1,287,324
121,38,281,3,1,5,11,324
121,33,7,1,5,19,11,324
121,211,6,37,7,1,287,324
121,33,473,5,0,3,11,324
121,211,250,347,7,1,287,324
121,33,473,5,19,45,11,324
121,38,34,0,23,40,11,324
121,33,7,1,0,3,11,324
121,33,46,49,11,3,287,324
121,38,9,32,11,3,287,324
121,211,6,0,23,40,11,324
121,211,6,0,4,257,11,324
121,211,6,0,4,3,287,324
121,211,6,0,5,19,11,324
121,33,7,0,1,5,11,324
121,33,7,0,1,3,287,324
121,38,53,45,11,3,287,324
121,211,239,0,1,3,11,324
121,33,190,158,136,28,11,324
121,33,190,158,15,5,11,324
121,211,239,0,1,3,287,324
121,33,140,21,1,3,11,324
121,33,190,158,15,28,11,324
121,211,239,0,3,1,287,324
121,33,140,21,1,5,11,324
121,33,140,21,1,3,287,324
121,211,239,352,8,3,11,324
121,33,140,21,1,475,11,324
121,33,153,40,11,3,287,324
