127,5,491
127,1,5,491
127,5,157,310,491
127,1,0,5,491
127,1,15,5,491
127,1,157,5,491
127,1,161,5,491
127,1,157,310,491
127,1,188,5,491
127,5,19,20,310,491
127,273,230,60,5,491
127,5,1,157,310,491
127,1,5,157,310,491
127,1,69,365,310,491
127,1,7,20,310,491
127,1,69,19,5,491
127,1,78,20,310,491
127,1,7,0,5,491
127,1,21,20,310,491
127,1,7,48,5,491
127,1,3,0,5,491
127,1,475,11,5,491
127,1,3,11,5,491
127,1,8,83,5,491
127,1,3,13,5,491
127,1,9,270,5,491
127,1,226,86,5,491
127,1,227,161,5,491
127,1,236,60,5,491
127,1,220,83,5,491
127,1,15,61,48,5,491
127,1,15,5,157,310,491
127,5,0,1,157,310,491
127,1,15,390,19,5,491
127,1,188,5,157,310,491
127,5,11,19,20,310,491
127,5,0,7,20,310,491
127,1,15,28,11,5,491
127,5,15,1,157,310,491
127,5,1,21,20,310,491
127,5,19,284,20,310,491
127,1,0,5,157,310,491
127,5,51,269,20,310,491
127,5,1,7,20,310,491
127,1,475,11,19,5,491
127,1,5,19,20,310,491
127,5,19,69,365,310,491
127,5,161,1,157,310,491
127,1,78,20,19,5,491
127,1,3,11,19,5,491
127,5,1,69,365,310,491
127,1,161,5,157,310,491
127,1,21,219,454,310,491
127,1,21,20,19,5,491
127,1,8,3,13,5,491
127,1,3,4,0,5,491
127,5,188,1,157,310,491
127,1,0,2,12,5,491
127,1,9,3,0,5,491
127,5,1,78,20,310,491
127,1,7,20,19,5,491
127,1,21,118,11,5,491
127,1,7,48,51,5,491
127,1,21,122,48,5,491
127,1,7,33,60,5,491
127,1,21,438,0,5,491
127,1,7,272,309,5,491
127,1,7,33,473,5,491
127,1,7,427,126,5,491
127,1,69,19,11,5,491
127,1,7,107,12,5,491
127,1,69,19,20,310,491
127,1,8,148,0,5,491
127,1,8,3,0,5,491
127,1,157,174,48,5,491
127,1,8,3,11,5,491
127,1,157,253,13,5,491
127,1,3,6,18,5,491
127,5,12,115,20,310,491
127,1,3,8,83,5,491
127,1,3,6,0,5,491
127,5,13,253,157,310,491
127,1,3,9,270,5,491
127,5,48,174,157,310,491
127,1,3,290,60,5,491
127,5,286,30,20,310,491
127,5,48,7,20,310,491
127,1,3,14,371,5,491
127,5,363,74,20,310,491
127,1,69,255,11,5,491
127,1,3,25,19,5,491
127,1,0,7,20,310,491
127,1,22,428,51,5,491
127,1,3,416,157,5,491
127,1,0,3,11,5,491
127,1,0,7,48,5,491
127,1,44,23,13,5,491
127,1,22,7,0,5,491
127,1,3,416,157,310,491
127,1,0,6,18,5,491
127,1,0,3,13,5,491
127,1,57,31,13,5,491
127,1,44,50,0,5,491
127,1,44,23,0,5,491
127,1,22,7,20,310,491
127,1,9,32,11,5,491
127,1,0,23,13,5,491
127,1,164,45,19,5,491
127,1,57,65,60,5,491
127,1,44,56,0,5,491
127,1,22,7,48,5,491
127,1,220,425,12,5,491
127,1,9,316,0,5,491
127,1,0,24,19,5,491
127,1,9,493,48,5,491
127,1,0,160,51,5,491
127,1,293,432,157,5,491
127,1,164,45,11,5,491
127,1,469,241,11,5,491
127,1,293,432,157,310,491
127,1,35,33,60,5,491
127,1,469,241,12,5,491
127,1,296,95,20,310,491
127,1,35,33,473,5,491
127,1,93,8,83,5,491
127,1,9,3,11,5,491
127,1,152,34,0,5,491
127,1,9,3,13,5,491
127,1,134,73,12,5,491
