12,492,260
12,315,260
12,315,260
12,2,0,260
12,5,0,260
12,58,24,0,260
12,5,1,0,260
12,107,7,0,260
12,5,11,330,260
12,5,1,100,260
12,241,11,330,260
12,73,24,0,260
12,245,24,0,260
12,139,11,330,260
12,5,11,3,0,260
12,241,11,3,0,260
12,73,134,1,0,260
12,139,11,3,0,260
12,2,0,1,100,260
12,90,111,1,100,260
12,107,7,1,0,260
12,39,28,11,330,260
12,90,28,11,330,260
12,90,111,1,0,260
12,107,7,1,100,260
12,189,45,11,330,260
12,5,0,1,100,260
12,458,173,6,0,260
12,5,15,1,100,260
12,241,11,5,0,260
12,5,1,3,0,260
12,115,20,7,0,260
12,5,13,3,0,260
12,5,15,1,0,260
12,2,10,8,100,260
12,73,134,1,100,260
12,2,14,3,0,260
12,5,1,7,0,260
12,2,62,7,0,260
12,5,1,8,100,260
12,154,47,3,0,260
12,241,469,1,0,260
12,425,220,1,100,260
12,241,469,1,100,260
12,334,10,2,0,260
12,425,220,1,0,260
12,334,10,8,100,260
12,139,11,5,0,260
12,5,18,6,0,260
12,5,13,23,0,260
12,5,127,1,100,260
12,5,19,11,330,260
12,5,127,1,0,260
12,5,48,7,0,260
12,5,19,24,0,260
12,5,51,160,0,260
12,5,157,1,0,260
12,5,161,1,0,260
12,5,157,1,100,260
12,5,188,1,0,260
12,5,161,1,100,260
12,5,83,8,100,260
12,5,188,1,100,260
12,2,14,371,5,0,260
12,73,24,0,1,100,260
12,5,83,220,1,0,260
12,5,83,8,1,0,260
12,5,188,1,3,0,260
12,73,24,19,11,330,260
12,5,83,220,1,100,260
12,5,83,8,3,0,260
12,5,83,8,1,100,260
12,5,188,1,7,0,260
12,73,24,272,7,0,260
12,73,24,19,5,0,260
12,2,14,3,1,0,260
12,2,379,45,11,330,260
12,5,83,8,148,0,260
12,5,188,1,8,100,260
12,107,7,22,1,0,260
12,2,62,103,17,0,260
12,2,62,7,1,0,260
12,2,14,3,4,0,260
12,2,14,3,1,100,260
12,245,24,0,1,100,260
12,5,1,21,438,0,260
12,2,29,26,8,100,260
12,5,1,8,3,0,260
12,2,0,3,1,100,260
12,107,7,0,1,100,260
12,39,28,15,1,0,260
12,154,47,71,50,0,260
12,107,7,33,23,0,260
12,90,28,11,3,0,260
12,154,47,3,1,0,260
12,107,7,22,1,100,260
12,5,15,1,3,0,260
12,58,24,0,1,100,260
12,90,28,15,1,0,260
12,2,62,7,1,100,260
12,39,28,11,3,0,260
12,2,14,3,6,0,260
12,2,0,1,8,100,260
12,425,220,83,8,100,260
12,90,111,1,3,0,260
12,5,1,97,80,271,260
12,5,13,3,1,0,260
12,245,24,19,11,330,260
12,241,469,1,3,0,260
12,2,233,71,50,0,260
12,185,72,20,7,0,260
12,139,359,69,1,0,260
12,334,496,362,5,0,260
12,5,1,8,148,0,260
12,107,7,1,3,0,260
12,2,0,4,301,100,260
12,5,11,257,4,0,260
12,189,45,19,11,330,260
12,2,0,3,8,100,260
12,425,220,1,3,0,260
12,5,0,3,1,100,260
12,39,28,46,80,271,260
12,425,220,1,5,0,260
12,5,0,148,8,100,260
12,5,0,3,8,100,260
12,39,28,41,23,0,260
12,425,220,1,7,0,260
12,5,0,4,301,100,260
12,5,0,3,11,330,260
12,39,28,59,3,0,260
12,425,220,1,8,100,260
12,5,0,99,80,271,260
12,39,28,144,23,0,260
12,39,28,15,5,0,260
12,5,0,7,1,100,260
12,39,28,498,3,0,260
12,334,10,8,1,0,260
12,5,0,143,124,100,260
12,39,28,98,3,0,260
12,334,10,8,3,0,260
12,334,10,8,1,100,260
12,39,28,101,17,0,260
12,334,10,8,148,0,260
12,39,28,15,1,100,260
12,39,28,440,11,330,260
12,154,47,147,4,0,260
12,5,13,31,80,271,260
12,58,254,25,3,0,260
12,5,13,119,318,100,260
12,5,13,23,175,0,260
12,107,7,235,50,0,260
12,90,28,11,5,0,260
12,107,7,37,6,0,260
12,154,47,3,4,0,260
12,107,7,48,5,0,260
12,154,47,3,6,0,260
12,107,7,265,23,0,260
12,154,47,3,8,100,260
12,107,7,62,2,0,260
12,154,47,3,11,330,260
12,107,7,272,24,0,260
12,458,173,6,3,0,260
12,154,47,3,1,100,260
12,458,173,6,17,0,260
12,5,15,1,7,0,260
12,90,28,498,3,0,260
12,5,15,1,8,100,260
12,90,28,98,3,0,260
12,90,28,15,5,0,260
12,90,28,41,23,0,260
12,139,11,257,4,0,260
12,90,28,46,80,271,260
12,139,11,40,23,0,260
12,90,28,101,17,0,260
12,139,11,19,5,0,260
12,90,28,59,3,0,260
12,139,11,475,1,0,260
12,139,11,19,24,0,260
12,90,28,144,23,0,260
12,5,0,1,8,100,260
12,5,15,28,11,330,260
12,139,11,475,1,100,260
12,90,28,440,11,330,260
12,90,28,15,1,100,260
12,5,15,113,4,0,260
12,39,28,11,5,0,260
12,5,11,3,1,0,260
12,2,14,3,8,100,260
12,241,11,3,1,0,260
