134,1,157
134,1,5,157
134,73,12,5,157
134,1,293,432,157
134,1,0,5,157
134,1,188,5,157
134,1,3,416,157
134,1,15,5,157
134,1,127,5,157
134,1,161,5,157
134,1,3,0,5,157
134,1,226,86,5,157
134,1,3,13,5,157
134,1,227,161,5,157
134,1,3,11,5,157
134,1,3,13,253,157
134,1,0,3,416,157
134,73,24,0,1,157
134,180,176,9,1,157
134,1,69,365,310,157
134,180,176,33,307,157
134,1,7,0,5,157
134,1,69,19,5,157
134,1,8,3,416,157
134,1,7,20,310,157
134,1,220,83,5,157
134,1,8,26,344,157
134,1,7,33,307,157
134,1,236,60,5,157
134,1,3,372,253,157
134,1,8,83,5,157
134,1,7,48,5,157
134,1,475,11,5,157
134,73,12,5,1,157
134,1,5,491,310,157
134,73,84,21,1,157
134,1,7,48,174,157
134,1,9,3,416,157
134,73,24,19,5,157
134,1,392,3,416,157
134,1,9,270,5,157
134,1,21,20,310,157
134,73,24,0,5,157
134,1,35,33,307,157
134,1,21,26,344,157
134,1,78,20,310,157
134,1,5,48,174,157
134,1,287,3,416,157
134,1,5,13,253,157
134,73,24,0,5,1,157
134,1,35,33,473,5,157
134,73,84,21,20,310,157
134,73,24,58,12,5,157
134,73,24,19,11,5,157
134,1,287,3,0,5,157
134,1,9,3,0,5,157
134,73,24,19,5,1,157
134,1,9,493,48,5,157
134,73,84,21,1,5,157
134,1,188,5,491,310,157
134,180,176,33,7,1,157
134,1,127,5,491,310,157
134,1,21,20,19,5,157
134,180,176,9,3,1,157
134,180,176,9,1,5,157
134,73,24,0,3,1,157
134,1,7,0,3,416,157
134,1,21,140,33,307,157
134,1,392,3,0,5,157
134,1,7,48,51,5,157
134,1,69,19,11,5,157
134,1,8,3,0,5,157
134,1,78,20,19,5,157
134,1,188,368,299,476,157
134,1,22,428,51,5,157
134,1,287,324,11,5,157
134,1,15,5,491,310,157
134,1,472,474,293,432,157
134,1,22,7,33,307,157
134,1,15,5,48,174,157
134,1,44,204,20,310,157
134,1,22,327,3,416,157
134,1,22,7,20,310,157
134,1,15,5,13,253,157
134,1,93,8,3,416,157
134,1,44,366,51,5,157
134,1,22,7,0,5,157
134,1,100,8,3,416,157
134,1,93,8,26,344,157
134,1,44,23,0,5,157
134,1,22,7,48,5,157
134,1,487,37,299,476,157
134,1,100,260,0,5,157
134,1,100,8,26,344,157
134,1,93,8,83,5,157
134,1,5,473,33,307,157
134,1,5,13,3,416,157
134,1,44,50,0,5,157
134,1,44,23,13,5,157
134,1,22,7,48,174,157
134,1,191,8,3,416,157
134,1,100,8,83,5,157
134,1,5,0,3,416,157
134,1,44,56,0,5,157
134,1,69,255,11,5,157
134,1,161,5,491,310,157
134,73,12,2,0,1,157
134,1,35,33,60,5,157
134,1,44,23,33,307,157
134,1,44,23,13,253,157
134,1,7,20,19,5,157
134,73,84,21,26,344,157
134,1,317,8,3,416,157
134,1,191,8,26,344,157
134,73,24,0,1,5,157
134,1,0,5,491,310,157
134,73,24,245,12,5,157
134,1,5,11,3,416,157
134,1,220,425,12,5,157
134,73,24,19,20,310,157
134,1,161,5,48,174,157
134,73,12,90,111,1,157
134,1,15,61,48,5,157
134,1,7,33,473,5,157
134,1,287,3,13,5,157
134,1,9,3,11,5,157
134,73,12,2,0,5,157
134,1,9,32,11,5,157
134,1,296,95,20,310,157
134,1,317,8,26,344,157
134,1,191,8,83,5,157
134,1,0,5,13,253,157
134,73,24,272,7,1,157
134,1,0,3,13,5,157
134,1,236,60,33,307,157
134,1,9,493,48,174,157
134,1,5,362,299,476,157
134,1,188,5,48,174,157
134,73,24,19,69,1,157
134,180,176,33,35,1,157
134,1,161,5,13,253,157
134,73,12,241,11,5,157
134,1,3,11,19,5,157
134,1,3,8,83,5,157
134,1,127,5,48,174,157
134,1,3,9,270,5,157
134,1,3,8,26,344,157
134,1,127,5,13,253,157
134,1,3,14,371,5,157
134,1,15,390,19,5,157
134,1,3,290,60,5,157
134,1,15,28,11,5,157
134,1,3,25,19,5,157
134,1,8,148,0,5,157
134,1,3,6,0,5,157
134,1,8,133,3,416,157
134,1,3,4,0,5,157
134,1,3,6,18,5,157
134,1,15,61,48,174,157
134,1,7,33,60,5,157
134,1,287,3,11,5,157
134,1,287,3,13,253,157
134,1,287,3,372,253,157
134,1,0,7,33,307,157
134,1,7,37,299,476,157
134,1,0,2,12,5,157
134,1,0,7,20,310,157
134,1,7,107,12,5,157
134,1,0,6,18,5,157
134,1,0,7,48,5,157
134,1,7,272,309,5,157
134,1,0,23,33,307,157
134,1,0,6,3,416,157
134,1,0,7,48,174,157
134,1,7,427,126,5,157
134,1,0,160,51,5,157
134,1,0,23,13,5,157
134,1,0,24,19,5,157
134,1,0,23,13,253,157
134,1,0,4,3,416,157
134,180,176,9,270,5,157
134,180,176,9,3,416,157
134,1,9,3,13,5,157
134,1,9,316,0,5,157
134,1,9,3,372,253,157
134,1,9,3,13,253,157
134,1,9,176,33,307,157
134,73,24,0,7,1,157
134,1,57,31,13,253,157
134,73,24,0,3,416,157
134,1,164,45,11,5,157
134,1,57,65,60,5,157
134,1,57,31,13,5,157
134,1,111,385,33,307,157
134,1,164,45,19,5,157
134,1,57,65,66,5,157
