134,1,69,232
134,1,0,23,232
134,1,44,23,232
134,1,0,175,23,232
134,1,236,357,23,232
134,73,24,19,69,232
134,1,35,33,23,232
134,180,176,33,23,232
134,1,0,316,403,232
134,73,84,419,23,232
134,73,24,0,23,232
134,73,279,40,23,232
134,1,7,33,23,232
134,1,3,0,23,232
134,1,7,0,23,232
134,1,3,13,23,232
134,1,7,114,69,232
134,1,9,316,403,232
134,1,7,265,23,232
134,1,5,0,23,232
134,1,5,13,23,232
134,1,5,19,69,232
134,1,7,0,175,23,232
134,1,3,4,0,23,232
134,1,0,7,114,69,232
134,1,9,32,178,23,232
134,1,9,316,0,23,232
134,1,7,347,350,373,232
134,1,15,390,424,23,232
134,1,3,0,175,23,232
134,73,84,21,1,69,232
134,1,15,5,0,23,232
134,1,15,390,19,69,232
134,1,3,0,316,403,232
134,1,15,16,104,23,232
134,1,15,5,13,23,232
134,1,5,0,175,23,232
134,1,15,28,41,23,232
134,1,236,60,33,23,232
134,1,15,5,19,69,232
134,1,5,0,316,403,232
134,1,15,28,144,23,232
134,73,24,0,1,69,232
134,73,12,5,13,23,232
134,73,24,0,175,23,232
134,1,5,11,19,69,232
134,1,7,0,316,403,232
134,73,12,2,0,23,232
134,73,12,5,0,23,232
134,73,24,0,316,403,232
134,1,5,60,33,23,232
134,1,5,11,40,23,232
134,1,3,25,19,69,232
134,73,12,139,359,69,232
134,1,0,24,19,69,232
134,73,12,5,1,69,232
134,1,5,436,383,23,232
134,73,24,298,44,23,232
134,1,44,50,0,23,232
134,1,0,7,33,23,232
134,1,44,56,0,23,232
134,1,0,7,265,23,232
134,1,5,11,255,69,232
134,1,9,3,0,23,232
134,1,3,11,40,23,232
134,1,9,38,401,23,232
134,1,9,3,13,23,232
134,1,3,9,316,403,232
134,1,3,11,19,69,232
134,1,9,176,33,23,232
134,1,3,6,0,23,232
134,1,3,11,255,69,232
134,180,176,9,1,69,232
134,1,7,459,424,23,232
134,180,176,9,316,403,232
134,1,7,20,19,69,232
134,1,0,3,13,23,232
134,1,7,48,337,23,232
134,1,0,50,44,23,232
134,1,21,438,0,23,232
134,1,0,56,44,23,232
134,1,475,11,19,69,232
134,1,21,20,19,69,232
134,1,0,5,13,23,232
134,1,22,7,114,69,232
134,1,475,11,40,23,232
134,1,21,84,419,23,232
134,1,0,380,383,23,232
134,1,0,5,19,69,232
134,73,12,5,19,69,232
134,1,78,20,19,69,232
134,1,22,7,0,23,232
134,1,475,11,255,69,232
134,1,21,140,33,23,232
134,1,0,17,27,23,232
134,1,127,5,19,69,232
134,1,22,7,33,23,232
134,1,0,17,64,23,232
134,1,157,5,19,69,232
134,1,127,5,0,23,232
134,1,5,473,33,23,232
134,1,22,7,265,23,232
134,1,164,45,19,69,232
134,1,157,253,13,23,232
134,1,157,5,0,23,232
134,1,127,5,13,23,232
134,1,5,48,337,23,232
134,1,161,5,19,69,232
134,1,157,307,33,23,232
134,1,157,5,13,23,232
134,1,188,5,19,69,232
134,1,161,5,0,23,232
134,1,97,80,117,69,232
134,1,188,5,0,23,232
134,1,161,5,13,23,232
134,1,100,414,337,23,232
134,1,97,420,175,23,232
134,1,188,5,13,23,232
134,1,431,490,104,23,232
134,1,100,260,0,23,232
134,1,287,323,27,23,232
134,1,431,190,33,23,232
134,1,326,252,350,373,232
134,1,287,3,0,23,232
134,1,152,34,0,23,232
134,1,287,3,13,23,232
134,1,57,465,150,23,232
134,1,157,310,365,69,232
134,1,8,148,0,23,232
134,1,57,31,13,23,232
134,1,111,385,33,23,232
134,1,8,3,13,23,232
134,1,382,32,178,23,232
134,1,8,3,0,23,232
134,1,392,3,0,23,232
134,1,441,131,33,23,232
134,1,392,3,13,23,232
134,1,441,131,104,23,232
134,1,157,5,11,19,69,232
134,1,161,5,0,175,23,232
134,1,161,5,11,19,69,232
134,1,3,13,5,19,69,232
134,1,326,252,457,0,23,232
134,1,44,50,0,175,23,232
134,1,69,19,390,424,23,232
134,1,287,324,11,19,69,232
134,73,84,21,20,19,69,232
134,1,287,3,0,175,23,232
134,1,44,298,24,0,23,232
134,1,9,38,34,0,23,232
134,1,152,34,17,27,23,232
134,1,152,34,0,175,23,232
134,1,9,3,4,0,23,232
134,1,287,3,4,0,23,232
134,1,9,3,0,175,23,232
134,1,35,77,9,316,403,232
134,1,15,5,0,175,23,232
