136,291,5,60,290
136,51,5,60,290
136,28,498,3,290
136,28,98,3,290
136,28,59,3,290
136,28,11,3,290
136,51,5,60,290
136,28,11,3,290
136,291,5,60,290
136,28,59,3,290
136,28,98,3,290
136,51,48,5,60,290
136,291,5,0,3,290
136,158,190,33,60,290
136,51,5,0,3,290
136,291,5,1,3,290
136,264,161,5,60,290
136,158,15,5,60,290
136,51,5,1,3,290
136,28,11,5,60,290
136,28,15,5,60,290
136,291,5,11,3,290
136,28,46,33,60,290
136,28,15,1,3,290
136,291,5,13,3,290
136,28,67,13,3,290
136,51,160,0,3,290
136,28,248,346,3,290
136,264,161,1,3,290
136,51,177,13,3,290
136,28,440,11,3,290
136,158,15,1,3,290
136,51,5,11,3,290
136,51,5,13,3,290
136,51,5,1,0,3,290
136,28,15,5,0,3,290
136,291,5,0,1,3,290
136,51,5,473,33,60,290
136,51,5,1,8,3,290
136,28,15,5,1,3,290
136,291,5,0,4,3,290
136,51,5,66,65,60,290
136,51,5,1,9,3,290
136,28,15,5,11,3,290
136,291,5,0,6,3,290
136,28,11,19,5,60,290
136,28,46,170,33,60,290
136,51,5,15,1,3,290
136,28,15,16,47,3,290
136,51,5,1,236,60,290
136,28,15,5,13,3,290
136,158,190,431,1,3,290
136,28,15,1,0,3,290
136,291,5,473,33,60,290
136,28,11,257,4,3,290
136,28,11,19,25,3,290
136,51,5,0,1,3,290
136,28,46,49,11,3,290
136,51,5,18,6,3,290
136,28,11,5,0,3,290
136,51,160,0,1,3,290
136,28,15,113,4,3,290
136,51,5,1,287,3,290
136,291,5,1,0,3,290
136,51,5,1,392,3,290
136,291,5,1,8,3,290
136,264,314,221,25,3,290
136,291,5,1,9,3,290
136,28,15,1,5,60,290
136,291,5,1,236,60,290
136,28,15,1,8,3,290
136,291,5,1,287,3,290
136,28,15,1,9,3,290
136,291,5,1,392,3,290
136,28,15,1,236,60,290
136,264,161,227,1,3,290
136,28,15,1,287,3,290
136,291,5,66,65,60,290
136,28,15,1,392,3,290
136,291,5,15,1,3,290
136,264,161,1,0,3,290
136,291,5,18,6,3,290
136,264,161,1,5,60,290
136,291,5,19,11,3,290
136,264,161,1,8,3,290
136,291,5,127,1,3,290
136,291,5,19,25,3,290
136,264,161,1,9,3,290
136,291,5,157,1,3,290
136,264,161,1,236,60,290
136,291,5,161,1,3,290
136,291,5,157,416,3,290
136,264,161,1,287,3,290
136,291,5,188,1,3,290
136,28,11,332,449,60,290
136,264,161,1,392,3,290
136,291,5,270,9,3,290
136,28,11,324,287,3,290
136,28,67,13,5,60,290
136,291,5,371,14,3,290
136,28,11,32,9,3,290
136,51,130,46,33,60,290
136,291,5,83,8,3,290
136,28,11,475,1,3,290
136,51,428,22,327,3,290
136,51,5,0,4,3,290
136,264,161,5,0,3,290
136,51,366,44,1,3,290
136,51,428,22,1,3,290
136,51,177,13,5,60,290
136,28,46,86,5,60,290
136,51,5,0,6,3,290
136,264,161,5,1,3,290
136,51,364,17,0,3,290
136,28,41,23,33,60,290
136,51,5,19,11,3,290
136,28,46,292,9,3,290
136,51,48,7,0,3,290
136,28,440,11,5,60,290
136,51,48,96,14,3,290
136,51,48,7,1,3,290
136,51,48,493,9,3,290
136,51,48,7,33,60,290
136,264,161,5,11,3,290
136,51,294,19,5,60,290
136,264,161,5,13,3,290
136,51,294,19,11,3,290
136,158,15,16,47,3,290
136,51,294,19,25,3,290
136,158,15,28,498,3,290
136,28,11,5,1,3,290
136,158,15,113,4,3,290
136,158,15,28,11,3,290
136,28,11,5,13,3,290
136,158,15,28,59,3,290
136,51,364,17,6,3,290
136,158,15,28,98,3,290
136,28,90,111,1,3,290
136,158,15,5,0,3,290
136,28,39,12,5,60,290
136,28,90,12,5,60,290
136,158,15,5,1,3,290
136,28,356,10,8,3,290
136,158,15,5,11,3,290
136,28,145,32,9,3,290
136,158,15,5,13,3,290
136,28,101,17,0,3,290
136,28,145,32,11,3,290
136,28,144,23,0,3,290
136,28,101,126,5,60,290
136,28,101,17,6,3,290
136,28,453,18,5,60,290
136,28,144,23,13,3,290
136,28,183,16,47,3,290
136,28,453,18,6,3,290
136,28,144,23,33,60,290
136,28,231,86,5,60,290
136,158,15,1,0,3,290
136,51,160,0,4,3,290
136,158,15,1,5,60,290
136,51,160,0,5,60,290
136,158,15,1,8,3,290
136,51,160,0,6,3,290
136,158,15,1,9,3,290
136,28,41,23,0,3,290
136,158,15,1,236,60,290
136,28,41,23,13,3,290
136,158,15,1,287,3,290
136,51,5,127,1,3,290
136,158,15,1,392,3,290
136,51,5,270,9,3,290
136,51,5,19,25,3,290
136,51,5,157,1,3,290
136,51,48,5,0,3,290
136,28,46,433,5,60,290
136,51,5,161,1,3,290
136,51,5,157,416,3,290
136,51,48,5,1,3,290
136,51,5,188,1,3,290
136,51,48,5,11,3,290
136,51,5,371,14,3,290
136,51,48,5,13,3,290
136,51,5,83,8,3,290
136,51,48,493,9,1,3,290
136,291,5,1,7,33,60,290
136,51,364,17,34,0,3,290
136,51,364,17,6,0,3,290
136,51,48,7,22,1,3,290
136,158,15,28,46,33,60,290
136,291,5,1,0,4,3,290
136,28,90,111,203,230,60,290
136,28,15,1,8,133,3,290
136,291,5,0,1,8,3,290
136,51,5,1,0,4,3,290
136,264,161,355,45,11,3,290
136,28,90,111,1,0,3,290
136,291,5,11,28,498,3,290
136,158,15,5,0,1,3,290
136,51,5,1,8,133,3,290
136,28,39,12,2,0,3,290
136,28,39,12,5,0,3,290
136,264,161,227,1,0,3,290
136,28,90,12,2,0,3,290
136,28,90,12,5,0,3,290
136,51,294,19,11,5,60,290
136,51,48,7,0,1,3,290
136,291,5,60,236,1,3,290
136,158,15,5,1,0,3,290
136,51,5,1,7,33,60,290
136,28,356,10,2,0,3,290
136,264,161,5,473,33,60,290
136,28,15,5,1,0,3,290
136,28,356,10,8,1,3,290
136,51,294,19,5,0,3,290
136,28,11,5,473,33,60,290
136,28,145,389,26,8,3,290
136,28,98,3,0,5,60,290
136,28,101,17,0,1,3,290
136,28,145,32,367,59,3,290
136,28,145,32,11,5,60,290
136,28,145,32,9,1,3,290
136,28,144,299,37,6,3,290
136,28,144,23,0,1,3,290
136,28,46,33,7,0,3,290
136,51,269,20,19,5,60,290
136,28,59,3,0,5,60,290
136,28,101,126,5,0,3,290
136,28,101,17,34,0,3,290
136,291,5,18,6,0,3,290
136,28,101,126,5,1,3,290
136,28,101,17,406,250,3,290
136,28,101,17,6,0,3,290
136,28,101,126,5,11,3,290
136,158,15,5,473,33,60,290
136,158,190,33,7,0,3,290
136,28,101,126,5,13,3,290
136,158,15,5,18,6,3,290
136,158,190,33,23,0,3,290
136,158,190,33,7,1,3,290
136,158,15,5,66,65,60,290
136,158,190,33,473,5,60,290
136,158,190,33,23,13,3,290
136,158,15,5,19,11,3,290
136,158,190,33,176,9,3,290
136,28,453,18,5,0,3,290
136,158,15,5,127,1,3,290
136,158,15,5,19,25,3,290
136,158,190,33,35,1,3,290
136,28,453,18,5,1,3,290
136,158,15,5,157,1,3,290
136,158,190,33,131,195,60,290
136,28,453,18,5,11,3,290
136,158,15,5,270,9,3,290
136,158,15,5,157,416,3,290
136,28,453,18,5,13,3,290
136,158,15,5,161,1,3,290
136,28,498,3,0,5,60,290
136,264,161,1,5,0,3,290
136,158,15,5,188,1,3,290
136,28,498,3,1,5,60,290
136,264,161,1,5,11,3,290
136,158,15,5,371,14,3,290
136,28,498,3,13,5,60,290
136,28,498,3,1,236,60,290
136,264,161,1,5,13,3,290
136,158,15,5,83,8,3,290
136,28,498,3,11,5,60,290
136,28,144,23,13,5,60,290
136,264,161,1,0,4,3,290
136,51,5,11,28,498,3,290
136,28,183,16,10,8,3,290
136,264,161,1,0,5,60,290
136,51,5,11,32,9,3,290
136,51,5,11,28,59,3,290
136,28,183,16,15,5,60,290
136,264,161,1,0,6,3,290
136,51,5,11,257,4,3,290
136,51,5,11,28,98,3,290
136,28,183,16,31,13,3,290
136,28,183,16,15,1,3,290
136,51,5,11,332,449,60,290
136,28,183,16,31,75,3,290
136,28,453,18,6,0,3,290
136,51,5,11,324,287,3,290
136,28,15,1,5,0,3,290
136,28,144,23,40,11,3,290
136,264,161,1,8,133,3,290
136,28,387,186,439,33,60,290
136,51,5,11,19,25,3,290
136,28,15,1,5,11,3,290
136,28,144,23,44,1,3,290
136,28,181,137,71,47,3,290
136,28,387,186,17,0,3,290
136,51,5,11,475,1,3,290
136,28,15,1,5,13,3,290
136,28,144,23,175,0,3,290
136,28,481,52,46,33,60,290
136,28,181,137,22,1,3,290
136,28,387,186,131,33,60,290
136,28,387,186,17,6,3,290
136,28,144,23,357,236,60,290
136,28,215,266,203,230,60,290
136,28,481,52,21,1,3,290
136,28,181,137,22,327,3,290
136,28,387,186,221,25,3,290
136,28,387,186,131,195,60,290
136,28,404,72,31,13,3,290
136,28,215,172,51,5,60,290
136,158,15,28,11,5,60,290
136,158,15,16,10,8,3,290
136,51,294,19,24,0,3,290
136,291,5,0,7,33,60,290
