13,5,15
13,3,1,15
13,5,1,15
13,31,16,15
13,67,28,15
13,3,1,5,15
13,5,0,1,15
13,3,0,1,15
13,5,11,28,15
13,31,57,1,15
13,3,4,113,15
13,31,494,16,15
13,3,8,1,15
13,3,0,5,15
13,3,9,1,15
13,23,41,28,15
13,5,19,390,15
13,3,11,5,15
13,253,157,1,15
13,3,11,28,15
13,123,47,16,15
13,253,157,5,15
13,177,51,5,15
13,23,0,1,15
13,5,48,61,15
13,23,104,16,15
13,23,0,5,15
13,5,127,1,15
13,23,144,28,15
13,3,498,28,15
13,5,157,1,15
13,23,44,1,15
13,3,98,28,15
13,5,161,1,15
13,23,424,390,15
13,3,287,1,15
13,5,188,1,15
13,3,47,16,15
13,3,59,28,15
13,3,392,1,15
13,3,4,0,1,15
13,253,372,3,1,15
13,3,287,1,5,15
13,5,12,39,28,15
13,3,392,1,5,15
13,3,11,5,1,15
13,3,8,1,5,15
13,3,11,19,390,15
13,3,14,371,5,15
13,253,157,1,5,15
13,3,4,0,5,15
13,123,47,3,1,15
13,5,86,231,28,15
13,5,12,90,28,15
13,168,45,19,390,15
13,23,0,1,5,15
13,177,409,126,5,15
13,3,11,440,28,15
13,3,11,19,5,15
13,67,28,11,5,15
13,177,51,48,5,15
13,3,25,19,390,15
13,31,16,183,28,15
13,31,72,404,28,15
13,31,57,1,5,15
13,3,8,100,1,15
13,5,0,3,1,15
13,5,18,453,28,15
13,3,1,0,5,15
13,5,48,7,1,15
13,5,86,46,28,15
13,3,0,4,113,15
13,23,0,5,1,15
13,3,9,270,5,15
13,119,318,100,1,15
13,168,311,11,5,15
13,306,91,10,16,15
13,119,112,22,1,15
13,168,311,11,28,15
13,305,203,111,1,15
13,306,91,22,1,15
13,320,26,8,1,15
13,168,45,11,5,15
13,224,114,7,1,15
13,320,26,21,1,15
13,168,45,164,1,15
13,168,45,11,28,15
13,224,114,69,1,15
13,168,45,19,5,15
13,3,11,475,1,15
13,3,9,1,5,15
13,67,28,136,158,15
13,177,51,136,158,15
13,67,28,183,16,15
13,177,51,136,28,15
13,177,51,48,61,15
13,23,0,3,1,15
13,3,0,1,5,15
13,23,0,4,113,15
13,3,75,31,16,15
13,23,0,7,1,15
13,3,133,8,1,15
13,3,0,5,1,15
13,3,346,248,28,15
13,3,25,19,5,15
13,3,6,0,1,15
13,177,51,5,1,15
13,3,416,157,1,15
13,3,6,18,5,15
13,3,6,0,5,15
13,23,44,1,5,15
13,3,290,60,5,15
13,3,416,157,5,15
13,31,74,363,5,15
13,3,327,22,1,15
13,3,8,191,1,15
13,31,75,3,1,15
13,5,0,4,113,15
13,3,8,10,16,15
13,31,80,46,28,15
13,5,0,7,1,15
13,3,8,83,5,15
13,31,128,30,16,15
13,31,80,97,1,15
13,3,8,93,1,15
13,5,83,220,1,15
13,5,11,19,390,15
13,5,19,11,28,15
13,3,8,317,1,15
13,5,60,236,1,15
13,5,83,8,1,15
13,5,11,440,28,15
13,5,19,69,1,15
13,5,270,9,1,15
13,3,1,188,5,15
13,5,161,227,1,15
13,5,11,3,1,15
13,253,157,5,1,15
13,5,286,30,16,15
13,3,1,127,5,15
13,23,33,473,5,15
13,5,86,226,1,15
13,23,40,11,5,15
13,23,33,7,1,15
13,23,232,69,1,15
13,23,40,11,28,15
13,23,33,35,1,15
13,23,265,7,1,15
13,23,33,46,28,15
13,23,337,48,5,15
13,23,33,60,5,15
13,23,383,436,5,15
13,23,337,48,61,15
13,23,33,190,158,15
13,23,357,236,1,15
13,5,11,475,1,15
13,23,36,30,16,15
13,3,0,7,1,15
13,23,150,104,16,15
13,5,433,46,28,15
13,23,175,0,1,15
13,5,126,101,28,15
13,23,206,246,16,15
13,23,175,0,5,15
13,5,51,48,61,15
13,3,1,157,5,15
13,5,291,136,28,15
13,5,51,136,28,15
13,3,1,161,5,15
13,5,291,136,158,15
13,5,51,136,158,15
13,23,33,7,0,1,15
13,123,47,16,183,28,15
13,3,47,16,183,28,15
13,23,265,7,1,5,15
13,23,33,46,52,349,15
13,3,59,28,11,5,15
13,3,416,157,1,5,15
13,23,337,414,100,1,15
13,168,311,11,5,1,15
13,23,33,473,5,1,15
13,306,91,10,8,1,15
13,3,47,154,12,5,15
13,23,232,69,1,5,15
13,23,33,60,236,1,15
13,119,277,37,7,1,15
13,23,33,7,1,5,15
13,3,11,28,136,158,15
13,119,112,37,487,1,15
13,23,383,380,0,1,15
13,119,112,22,7,1,15
13,23,337,48,7,1,15
13,23,33,131,104,16,15
13,23,424,390,19,5,15
13,31,57,65,60,5,15
13,23,33,190,431,1,15
13,168,311,11,3,1,15
13,119,112,22,1,5,15
13,23,357,236,60,5,15
13,5,11,32,382,1,15
13,23,40,11,3,1,15
13,119,318,100,8,1,15
13,23,232,69,19,390,15
13,168,45,11,5,1,15
13,23,36,30,286,5,15
13,3,0,34,152,1,15
13,3,0,7,22,1,15
13,305,203,63,46,28,15
13,305,203,111,1,5,15
13,306,91,155,41,28,15
13,23,150,351,215,28,15
13,305,203,111,90,28,15
13,306,91,22,7,1,15
13,23,383,436,5,1,15
13,23,337,48,5,1,15
13,253,372,3,0,1,15
13,5,433,46,52,349,15
13,119,318,100,1,5,15
13,23,175,258,215,28,15
13,306,91,22,1,5,15
13,23,33,60,5,1,15
13,3,4,42,81,5,15
13,23,175,0,1,5,15
13,5,126,427,7,1,15
13,320,26,8,3,1,15
13,23,419,84,358,28,15
13,23,265,7,0,1,15
13,5,11,28,136,158,15
13,23,0,5,11,28,15
13,23,175,0,3,1,15
13,3,9,32,382,1,15
13,278,103,17,101,28,15
13,253,372,3,1,5,15
13,23,357,236,1,5,15
13,3,287,1,0,5,15
13,5,51,48,7,1,15
13,3,14,371,5,1,15
13,224,114,7,0,1,15
13,5,363,74,31,16,15
13,23,33,35,1,5,15
13,23,40,11,5,1,15
13,224,114,7,1,5,15
13,320,26,55,47,16,15
13,5,51,428,22,1,15
13,253,157,174,48,5,15
13,320,26,21,52,349,15
13,3,1,57,31,16,15
13,3,392,1,0,5,15
13,168,45,85,354,16,15
13,168,45,11,3,1,15
13,23,33,7,22,1,15
13,5,1,3,498,28,15
13,3,8,1,0,5,15
13,224,114,69,19,390,15
13,224,114,69,1,5,15
13,23,33,7,0,5,15
13,168,45,19,11,5,15
13,23,33,46,86,5,15
13,3,59,28,136,158,15
13,3,11,32,382,1,15
13,23,104,16,183,28,15
13,123,47,3,1,5,15
13,3,9,1,0,5,15
13,3,11,475,1,5,15
13,306,91,10,356,28,15
13,67,28,136,51,5,15
13,3,47,312,78,1,15
13,177,51,130,46,28,15
13,3,4,0,1,5,15
13,3,14,96,48,61,15
13,67,28,481,52,349,15
13,119,277,37,487,1,15
13,177,51,136,291,5,15
13,3,11,28,183,16,15
13,177,51,48,7,1,15
13,119,112,446,46,28,15
13,119,112,37,7,1,15
13,3,4,0,5,1,15
13,253,157,1,0,5,15
13,23,0,3,4,113,15
13,23,383,380,0,5,15
13,3,11,5,0,1,15
13,3,0,1,188,5,15
13,23,337,48,51,5,15
13,23,0,3,1,5,15
13,23,33,140,21,1,15
13,67,82,42,4,113,15
13,67,28,11,5,1,15
13,123,47,312,78,1,15
13,67,82,42,81,5,15
13,23,0,4,3,1,15
13,123,47,71,116,1,15
13,23,33,131,441,1,15
13,3,75,303,47,16,15
13,123,47,410,30,16,15
13,31,57,65,66,5,15
13,3,75,31,57,1,15
13,123,47,147,4,113,15
13,168,311,11,19,390,15
13,3,75,31,494,16,15
13,123,47,154,12,5,15
13,168,311,11,440,28,15
13,168,311,11,19,5,15
13,3,4,0,7,1,15
13,168,311,11,475,1,15
13,23,0,6,3,1,15
13,23,0,7,22,1,15
13,5,11,241,469,1,15
13,23,0,56,44,1,15
13,23,0,6,18,5,15
13,23,0,7,48,5,15
13,5,11,255,69,1,15
13,23,0,17,101,28,15
13,23,0,7,48,61,15
13,5,11,45,164,1,15
13,23,0,24,19,390,15
13,123,47,3,0,1,15
13,5,11,324,287,1,15
13,5,11,45,19,390,15
13,23,0,34,152,1,15
13,23,0,24,19,5,15
13,123,47,3,4,113,15
13,123,47,3,0,5,15
13,5,11,332,104,16,15
13,23,0,50,44,1,15
13,123,47,3,8,1,15
13,5,11,118,21,1,15
13,23,0,160,51,5,15
13,123,47,3,9,1,15
13,5,11,49,46,28,15
13,23,0,260,100,1,15
13,123,47,3,11,5,15
13,5,11,257,4,113,15
13,23,0,316,9,1,15
13,123,47,3,59,28,15
13,123,47,3,11,28,15
13,23,0,2,10,16,15
13,123,47,3,98,28,15
13,177,51,48,5,1,15
13,23,0,438,21,1,15
13,23,0,2,12,5,15
13,123,47,3,287,1,15
13,23,0,148,8,1,15
13,5,11,32,9,1,15
13,123,47,3,392,1,15
13,23,40,11,19,390,15
13,5,11,32,145,28,15
13,123,47,3,498,28,15
13,23,40,11,440,28,15
13,23,40,11,19,5,15
13,3,133,217,22,1,15
13,23,40,11,475,1,15
13,3,287,324,11,5,15
13,5,12,139,11,28,15
13,3,133,8,1,5,15
13,3,0,5,11,28,15
13,3,287,324,11,28,15
13,5,12,154,47,16,15
13,23,232,69,19,5,15
13,3,0,5,19,390,15
13,3,133,8,100,1,15
13,5,12,241,469,1,15
13,3,0,6,18,5,15
13,3,0,5,48,61,15
13,3,133,8,191,1,15
13,5,12,73,134,1,15
13,5,12,241,11,28,15
13,3,0,56,44,1,15
13,3,0,5,127,1,15
13,3,133,8,10,16,15
13,5,12,2,10,16,15
13,3,0,17,101,28,15
13,3,0,5,157,1,15
13,3,133,8,83,5,15
13,5,12,334,10,16,15
13,5,12,2,0,1,15
13,3,0,23,424,390,15
13,3,0,5,161,1,15
13,3,133,8,93,1,15
13,5,12,107,7,1,15
13,3,0,24,19,390,15
13,3,0,23,44,1,15
13,3,0,5,188,1,15
13,3,133,8,317,1,15
13,5,12,425,220,1,15
13,3,0,50,44,1,15
13,3,0,24,19,5,15
13,3,0,23,104,16,15
13,168,45,164,1,5,15
13,5,12,90,111,1,15
13,3,0,160,51,5,15
13,3,0,7,48,5,15
13,3,0,23,41,28,15
13,3,25,19,11,5,15
13,305,203,230,60,5,15
13,3,0,260,100,1,15
13,3,0,7,48,61,15
13,3,0,23,144,28,15
13,3,25,19,69,1,15
13,3,25,19,11,28,15
13,305,203,266,215,28,15
13,3,0,316,9,1,15
13,320,26,21,1,5,15
13,320,26,8,1,5,15
13,305,203,400,41,28,15
13,3,0,2,10,16,15
13,305,203,417,46,28,15
13,3,0,438,21,1,15
13,3,0,2,12,5,15
13,3,0,148,8,1,15
13,177,51,5,0,1,15
13,3,6,18,5,1,15
13,177,51,5,11,28,15
13,3,6,0,4,113,15
13,177,51,5,19,390,15
13,3,6,0,7,1,15
13,177,51,5,48,61,15
13,3,6,18,453,28,15
13,23,150,465,57,1,15
13,23,44,1,0,5,15
13,253,372,3,4,113,15
13,253,372,3,0,5,15
13,177,51,5,127,1,15
13,5,433,46,105,61,15
13,3,6,0,5,1,15
13,23,44,1,188,5,15
13,253,372,3,8,1,15
13,23,175,420,97,1,15
13,177,51,5,157,1,15
13,23,175,0,5,1,15
13,23,44,1,127,5,15
13,253,372,3,9,1,15
13,3,6,0,1,5,15
13,177,51,5,161,1,15
13,23,0,1,161,5,15
13,23,44,1,157,5,15
13,253,372,3,11,5,15
13,23,0,7,1,5,15
13,177,51,5,188,1,15
13,23,0,1,188,5,15
13,3,290,60,236,1,15
13,3,4,301,100,1,15
13,23,44,1,161,5,15
13,253,372,3,498,28,15
13,253,372,3,11,28,15
13,3,9,270,5,1,15
13,23,0,1,127,5,15
13,177,409,126,101,28,15
13,320,26,8,10,16,15
13,3,4,147,47,16,15
13,31,74,20,7,1,15
13,23,27,17,0,5,15
13,3,498,28,11,5,15
13,177,409,126,5,1,15
13,3,281,38,9,1,15
13,23,419,84,21,1,15
13,253,372,3,98,28,15
13,23,265,7,22,1,15
13,23,0,1,157,5,15
13,23,265,7,0,5,15
13,5,11,28,183,16,15
13,320,26,8,83,5,15
13,23,144,28,11,5,15
13,3,327,22,7,1,15
13,3,4,257,11,5,15
13,23,0,5,19,390,15
13,31,74,94,0,1,15
13,3,11,19,69,1,15
13,31,74,20,19,390,15
13,23,175,0,4,113,15
13,23,64,17,101,28,15
13,23,27,262,51,5,15
13,31,75,3,1,5,15
13,23,41,28,11,5,15
13,168,45,19,5,1,15
13,3,8,191,1,5,15
13,3,9,493,48,5,15
13,23,27,17,101,28,15
13,23,27,17,0,1,15
13,3,498,28,136,158,15
13,31,75,303,47,16,15
13,3,9,32,11,5,15
13,3,250,347,7,1,15
13,278,103,62,7,1,15
13,3,11,19,5,1,15
13,31,75,3,0,1,15
13,278,103,17,0,1,15
13,253,372,3,287,1,15
13,23,265,7,48,5,15
13,67,28,11,19,5,15
13,3,6,37,7,1,15
13,23,144,299,362,5,15
13,3,287,1,188,5,15
13,320,26,8,93,1,15
13,23,144,28,136,158,15
13,5,0,4,3,1,15
13,23,104,131,441,1,15
13,224,114,7,22,1,15
13,3,4,257,11,28,15
13,23,0,5,48,61,15
13,3,8,10,356,28,15
13,224,114,7,0,5,15
13,31,74,94,0,5,15
13,5,371,466,424,390,15
13,31,74,20,21,1,15
13,3,290,60,5,1,15
13,31,16,10,356,28,15
13,31,80,46,52,349,15
13,31,74,20,19,5,15
13,23,175,0,7,1,15
13,23,178,32,382,1,15
13,23,64,17,0,1,15
13,23,27,323,287,1,15
13,5,0,34,152,1,15
13,320,26,125,47,16,15
13,23,41,28,136,158,15
13,5,0,7,22,1,15
13,3,9,77,35,1,15
13,3,9,493,48,61,15
13,31,74,363,5,1,15
13,3,8,83,220,1,15
13,5,51,130,46,28,15
13,3,498,28,183,16,15
13,253,157,310,491,5,15
13,253,157,174,48,61,15
13,3,9,32,145,28,15
13,3,8,83,5,1,15
13,31,128,243,8,1,15
