152,1,475
152,34,0,1,475
152,1,3,11,475
152,1,5,11,475
152,34,17,0,1,475
152,1,164,45,11,475
152,1,5,19,11,475
152,1,287,324,11,475
152,34,0,3,1,475
152,1,382,32,11,475
152,34,38,9,1,475
152,1,287,3,11,475
152,34,0,5,1,475
152,34,0,3,11,475
152,34,0,7,1,475
152,34,0,5,11,475
152,1,469,241,11,475
152,1,69,19,11,475
152,1,9,32,11,475
152,1,69,255,11,475
152,1,15,28,11,475
152,1,9,3,11,475
152,1,0,3,11,475
152,1,15,5,11,475
152,1,127,5,11,475
152,1,0,5,11,475
152,1,157,5,11,475
152,1,161,5,11,475
152,1,188,5,11,475
152,1,8,3,11,475
152,1,392,3,11,475
152,1,21,118,11,475
152,1,5,19,45,11,475
152,1,188,5,19,11,475
152,1,15,390,19,11,475
152,1,0,4,3,11,475
152,1,127,5,19,11,475
152,1,0,5,19,11,475
152,1,157,416,3,11,475
152,1,161,5,19,11,475
152,1,164,45,19,11,475
152,1,5,0,3,11,475
152,34,0,3,8,1,475
152,1,161,355,45,11,475
152,1,3,0,5,11,475
152,34,0,4,3,1,475
152,1,157,5,19,11,475
152,1,3,287,324,11,475
152,34,0,6,3,1,475
152,34,0,4,257,11,475
152,34,0,4,3,11,475
152,1,3,9,32,11,475
152,34,0,56,44,1,475
152,34,0,6,3,11,475
152,1,3,25,19,11,475
152,34,0,148,8,1,475
152,34,0,1,3,11,475
152,34,0,7,22,1,475
152,1,3,59,28,11,475
152,34,0,23,40,11,475
152,34,0,1,5,11,475
152,1,8,133,3,11,475
152,1,15,5,19,11,475
152,1,3,98,28,11,475
152,34,0,24,19,11,475
152,34,0,5,15,1,475
152,34,0,23,44,1,475
152,1,7,0,3,11,475
152,1,8,83,5,11,475
152,1,69,19,5,11,475
152,34,17,6,0,1,475
152,1,21,20,19,11,475
152,1,3,498,28,11,475
152,34,0,50,44,1,475
152,34,0,5,19,11,475
152,34,38,9,3,1,475
152,1,0,6,3,11,475
152,1,0,4,257,11,475
152,1,227,161,5,11,475
152,1,7,20,19,11,475
152,1,7,0,5,11,475
152,1,7,37,259,11,475
152,1,69,19,45,11,475
152,1,7,48,5,11,475
152,34,38,281,3,1,475
152,1,69,359,139,11,475
152,34,38,53,45,11,475
152,34,38,281,3,11,475
152,34,38,88,9,1,475
152,34,17,76,19,11,475
152,34,38,197,32,11,475
152,34,17,167,293,1,475
152,34,17,6,3,1,475
152,34,17,101,28,11,475
152,34,17,6,3,11,475
152,34,17,313,19,11,475
152,1,15,28,440,11,475
152,34,17,179,45,11,475
152,1,3,13,5,11,475
152,34,17,319,45,11,475
152,1,3,4,257,11,475
152,1,5,15,28,11,475
152,34,0,260,330,11,475
152,1,5,13,3,11,475
152,34,0,316,9,1,475
152,34,0,260,100,1,475
152,1,5,12,139,11,475
152,34,0,438,21,1,475
152,1,5,12,241,11,475
152,34,17,0,3,1,475
152,34,0,3,9,1,475
152,34,17,0,5,1,475
152,34,17,0,3,11,475
152,34,0,3,287,1,475
152,34,0,5,127,1,475
152,34,17,0,7,1,475
152,34,17,0,5,11,475
152,34,0,3,392,1,475
152,34,0,5,157,1,475
152,34,38,9,32,11,475
152,1,9,270,5,11,475
152,34,0,5,161,1,475
152,34,38,9,3,11,475
152,1,0,260,330,11,475
152,34,0,5,188,1,475
152,1,487,37,259,11,475
152,1,0,23,40,11,475
152,1,472,402,45,11,475
152,1,0,24,19,11,475
152,1,93,8,3,11,475
152,1,100,8,3,11,475
152,1,35,166,45,11,475
152,1,100,260,330,11,475
152,1,44,23,40,11,475
152,1,111,90,28,11,475
152,1,78,20,19,11,475
152,1,220,83,5,11,475
152,1,78,92,45,11,475
152,1,236,60,5,11,475
152,1,191,8,3,11,475
152,1,317,8,3,11,475
152,1,169,109,45,11,475
152,1,226,86,5,11,475
152,1,169,109,361,11,475
152,1,22,327,3,11,475
152,1,469,241,12,5,11,475
152,1,100,260,0,3,11,475
152,1,0,3,287,324,11,475
152,34,38,53,198,116,1,475
152,1,169,109,45,19,11,475
152,1,226,86,231,28,11,475
152,1,226,86,5,19,11,475
152,1,134,73,279,40,11,475
152,1,22,7,0,3,11,475
152,1,469,241,12,139,11,475
152,1,100,260,0,5,11,475
152,1,0,3,9,32,11,475
152,1,226,86,46,28,11,475
152,34,38,53,45,19,11,475
152,1,471,399,285,32,11,475
152,1,134,73,24,19,11,475
152,1,22,112,37,259,11,475
152,1,22,7,20,19,11,475
152,1,22,7,0,5,11,475
152,1,236,60,5,19,11,475
152,1,0,3,4,257,11,475
152,1,226,86,46,49,11,475
152,34,38,53,45,164,1,475
152,1,97,80,46,28,11,475
152,1,7,0,5,19,11,475
152,1,227,161,5,19,11,475
152,1,392,3,0,5,11,475
152,34,0,6,18,5,1,475
152,1,471,399,85,45,11,475
152,34,38,281,3,0,1,475
152,1,134,73,12,139,11,475
152,34,38,88,450,161,1,475
152,1,22,137,181,28,11,475
152,34,38,88,9,3,1,475
152,1,22,7,37,259,11,475
152,1,157,5,19,45,11,475
152,1,15,390,19,5,11,475
152,34,0,4,113,15,1,475
152,34,17,76,162,44,1,475
152,1,0,3,59,28,11,475
152,34,0,4,3,8,1,475
152,34,17,76,19,5,1,475
152,1,116,198,53,45,11,475
152,34,38,210,66,5,1,475
152,1,227,161,355,45,11,475
152,1,3,0,4,257,11,475
152,1,188,5,19,45,11,475
152,34,38,197,412,0,1,475
152,1,97,80,46,49,11,475
152,34,38,197,32,9,1,475
152,1,392,3,9,32,11,475
152,1,287,3,0,5,11,475
152,1,3,9,270,5,11,475
152,34,0,6,37,7,1,475
152,34,17,167,92,45,11,475
152,34,0,6,18,5,11,475
152,1,7,0,4,3,11,475
152,34,17,6,18,5,1,475
152,34,38,281,3,8,1,475
152,1,7,20,21,118,11,475
152,1,134,73,12,5,11,475
152,34,0,3,11,5,1,475
152,1,22,428,51,5,11,475
152,34,17,101,126,5,1,475
152,34,17,6,3,0,1,475
152,1,3,25,19,5,11,475
152,34,38,88,9,32,11,475
152,34,38,88,9,3,11,475
152,1,22,7,48,5,11,475
152,1,15,390,19,45,11,475
152,34,0,4,301,100,1,475
152,1,3,25,396,45,11,475
152,34,17,313,19,5,1,475
152,1,0,3,98,28,11,475
152,34,17,179,268,5,1,475
152,34,0,4,3,9,1,475
152,34,17,179,45,19,11,475
152,34,17,76,19,45,11,475
152,1,69,19,25,3,11,475
152,1,127,5,19,45,11,475
152,1,164,45,19,5,11,475
152,34,17,76,19,5,11,475
152,1,293,432,157,5,11,475
152,1,3,13,168,45,11,475
152,1,116,71,47,3,11,475
152,34,0,148,8,3,1,475
152,34,17,27,23,40,11,475
152,34,38,401,23,40,11,475
152,34,17,319,45,19,11,475
152,34,38,210,66,5,11,475
152,1,7,37,6,3,11,475
152,1,161,5,19,45,11,475
152,1,3,0,24,19,11,475
152,1,3,6,37,259,11,475
152,34,17,0,1,3,11,475
152,1,5,15,390,19,11,475
152,34,38,197,32,382,1,475
152,34,0,7,20,78,1,475
152,1,392,3,287,324,11,475
152,34,17,101,28,15,1,475
152,1,7,33,153,40,11,475
152,1,7,20,19,5,11,475
152,1,3,59,28,440,11,475
152,1,287,3,9,32,11,475
152,1,3,59,367,32,11,475
152,34,0,6,199,108,1,475
152,1,5,13,168,45,11,475
152,34,0,6,37,259,11,475
152,34,0,316,9,3,1,475
152,34,17,167,92,78,1,475
152,1,7,0,6,3,11,475
152,34,0,260,100,8,1,475
152,1,7,0,4,257,11,475
152,34,17,6,37,487,1,475
152,34,17,6,18,5,11,475
152,34,0,5,11,3,1,475
152,34,0,1,5,19,11,475
152,1,3,98,28,440,11,475
152,34,38,281,3,9,1,475
152,1,5,60,449,332,11,475
152,1,7,20,284,19,11,475
152,1,134,73,12,241,11,475
152,34,0,17,167,293,1,475
152,1,22,217,133,3,11,475
152,34,0,438,21,118,11,475
152,1,8,3,0,5,11,475
152,34,0,1,164,45,11,475
152,1,5,12,39,28,11,475
152,34,17,101,126,5,11,475
152,34,17,6,3,8,1,475
152,1,15,5,19,45,11,475
152,1,3,25,19,45,11,475
152,1,0,5,19,45,11,475
152,34,0,6,3,8,1,475
152,34,0,5,1,3,11,475
152,34,17,0,7,22,1,475
152,1,472,402,45,19,11,475
152,34,17,313,19,45,11,475
152,34,17,313,19,5,11,475
152,1,0,3,13,5,11,475
152,34,17,179,268,5,11,475
152,34,0,4,3,287,1,475
152,34,17,179,45,164,1,475
152,34,17,76,19,69,1,475
152,34,0,24,19,5,1,475
152,34,17,0,5,15,1,475
152,1,78,20,19,5,11,475
152,1,220,83,5,19,11,475
152,34,0,3,498,28,11,475
152,1,108,199,6,3,11,475
152,34,0,3,4,257,11,475
152,1,431,490,104,332,11,475
152,34,0,3,13,5,1,475
152,1,57,65,60,5,11,475
152,34,0,3,98,28,11,475
152,34,0,3,13,5,11,475
152,1,296,95,20,19,11,475
152,1,57,31,75,3,11,475
152,1,57,65,66,5,11,475
152,34,0,3,133,8,1,475
152,1,441,131,104,332,11,475
152,1,296,95,209,40,11,475
152,1,57,462,402,45,11,475
152,1,57,31,13,3,11,475
152,34,0,3,25,19,11,475
152,1,57,31,13,5,11,475
152,34,0,3,327,22,1,475
152,1,293,167,92,45,11,475
152,34,0,3,416,157,1,475
152,1,15,16,47,3,11,475
152,34,0,3,59,28,11,475
152,1,15,158,136,28,11,475
152,1,15,16,104,332,11,475
152,1,15,61,48,5,11,475
152,1,15,16,183,28,11,475
152,1,15,113,4,257,11,475
152,34,0,3,1,5,11,475
152,1,15,113,4,3,11,475
152,1,3,13,67,28,11,475
152,1,3,13,168,311,11,475
152,1,3,13,23,40,11,475
152,34,0,5,15,28,11,475
152,34,38,9,77,35,1,475
152,34,38,9,32,382,1,475
152,34,38,9,270,5,11,475
152,34,0,148,8,93,1,475
152,34,38,9,316,0,1,475
152,34,38,9,270,5,1,475
152,34,0,148,8,100,1,475
152,34,0,148,8,3,11,475
152,34,0,148,8,191,1,475
152,1,15,5,0,3,11,475
152,34,0,148,8,317,1,475
152,1,15,5,13,3,11,475
152,1,5,19,25,3,11,475
152,1,15,5,12,139,11,475
152,1,5,19,69,255,11,475
152,1,15,5,12,241,11,475
152,34,0,23,104,332,11,475
152,34,17,64,23,0,1,475
152,34,0,23,144,28,11,475
152,34,17,63,275,69,1,475
152,34,17,64,23,40,11,475
152,34,0,23,178,32,11,475
152,34,17,186,387,28,11,475
152,34,17,63,46,28,11,475
152,34,17,64,23,44,1,475
152,34,0,23,33,7,1,475
152,34,17,103,340,35,1,475
152,34,17,186,131,441,1,475
152,34,17,63,87,8,1,475
152,34,17,63,46,49,11,475
152,34,0,23,232,69,1,475
152,34,0,23,33,35,1,475
152,34,17,364,51,5,1,475
152,34,17,103,62,7,1,475
152,34,17,63,203,111,1,475
152,34,0,23,265,7,1,475
152,34,17,406,250,3,1,475
152,34,17,364,51,5,11,475
152,34,17,103,213,8,1,475
152,34,0,23,357,236,1,475
152,34,17,406,444,287,1,475
152,34,17,406,250,3,11,475
152,34,0,23,13,3,1,475
152,34,17,27,323,287,1,475
152,34,0,23,41,28,11,475
152,34,0,23,13,5,1,475
152,34,0,23,13,3,11,475
152,34,0,23,13,5,11,475
152,34,17,27,23,0,1,475
152,1,9,316,0,3,11,475
152,34,17,27,23,44,1,475
152,1,9,282,132,45,11,475
152,1,9,316,0,5,11,475
152,1,9,38,53,45,11,475
152,1,9,270,5,19,11,475
152,1,9,292,46,28,11,475
152,1,9,38,197,32,11,475
152,1,9,493,48,5,11,475
152,1,9,292,46,49,11,475
152,1,9,38,281,3,11,475
152,34,38,43,37,7,1,475
152,34,38,401,23,0,1,475
152,34,38,68,37,259,11,475
152,34,38,43,37,259,11,475
152,34,38,401,23,44,1,475
152,34,38,135,122,21,1,475
152,34,38,68,252,326,1,475
152,34,38,68,37,7,1,475
152,34,38,43,37,487,1,475
152,34,38,121,33,7,1,475
152,34,38,68,37,487,1,475
152,34,38,141,46,49,11,475
152,34,38,121,33,35,1,475
152,34,38,165,46,49,11,475
152,34,38,141,46,28,11,475
152,34,38,165,46,28,11,475
152,34,0,5,161,227,1,475
152,34,17,319,45,164,1,475
152,1,382,32,9,3,11,475
152,1,21,20,19,5,11,475
152,1,382,32,145,28,11,475
152,1,21,20,19,45,11,475
152,34,38,9,3,0,1,475
152,1,7,37,360,45,11,475
152,34,38,9,3,8,1,475
152,1,3,498,28,440,11,475
152,34,38,9,3,287,1,475
152,34,0,5,83,220,1,475
152,1,3,0,23,40,11,475
152,1,3,416,157,5,11,475
152,34,38,9,3,392,1,475
152,34,0,5,12,139,11,475
152,34,0,5,83,8,1,475
152,1,3,0,260,330,11,475
152,1,3,346,248,28,11,475
152,34,0,5,13,3,1,475
152,34,0,5,12,241,11,475
152,34,0,3,287,324,11,475
152,1,3,14,371,5,11,475
152,34,0,5,48,7,1,475
152,34,0,5,13,3,11,475
152,34,17,0,3,8,1,475
152,1,3,290,60,5,11,475
152,34,0,5,86,226,1,475
152,1,127,5,0,3,11,475
152,34,17,0,3,9,1,475
152,1,3,8,83,5,11,475
152,34,0,5,270,9,1,475
152,1,127,5,15,28,11,475
152,34,17,0,3,287,1,475
152,1,3,6,0,5,11,475
152,34,0,5,60,236,1,475
152,1,127,5,13,3,11,475
152,34,17,0,3,392,1,475
152,1,3,6,18,5,11,475
152,1,487,37,6,3,11,475
152,1,127,5,12,139,11,475
152,34,17,0,1,5,11,475
152,1,9,3,0,5,11,475
152,1,487,37,360,45,11,475
152,1,127,5,12,241,11,475
152,1,8,148,0,3,11,475
152,1,0,23,13,3,11,475
152,1,9,3,287,324,11,475
152,34,0,7,37,487,1,475
152,34,0,7,20,19,11,475
152,1,8,26,21,118,11,475
152,1,8,148,0,5,11,475
152,1,0,23,104,332,11,475
152,1,0,23,13,5,11,475
152,1,9,3,25,19,11,475
152,34,0,7,48,5,1,475
152,34,0,7,37,259,11,475
152,34,0,7,20,21,1,475
152,1,8,10,356,28,11,475
152,1,0,23,144,28,11,475
152,1,9,3,59,28,11,475
152,34,0,7,33,35,1,475
152,34,0,7,48,5,11,475
152,1,8,100,260,330,11,475
152,1,188,5,0,3,11,475
152,1,0,23,178,32,11,475
152,1,9,3,98,28,11,475
152,34,0,7,114,69,1,475
152,1,0,5,15,28,11,475
152,1,392,3,498,28,11,475
152,1,188,5,15,28,11,475
152,1,0,23,41,28,11,475
152,1,9,3,498,28,11,475
152,34,17,101,28,440,11,475
152,1,472,402,376,32,11,475
152,1,0,5,13,3,11,475
152,1,392,3,25,19,11,475
152,1,188,5,13,3,11,475
152,1,7,238,109,361,11,475
152,1,7,33,473,5,11,475
152,1,9,3,13,5,11,475
152,1,0,438,21,118,11,475
152,1,7,20,19,45,11,475
152,1,287,3,25,19,11,475
152,1,0,5,12,139,11,475
152,1,392,3,59,28,11,475
152,1,3,0,5,19,11,475
152,1,8,83,5,19,11,475
152,1,7,48,247,32,11,475
152,1,9,32,145,28,11,475
152,1,0,24,285,32,11,475
152,1,188,5,12,139,11,475
152,1,7,114,69,19,11,475
152,1,0,24,19,5,11,475
152,1,7,238,109,45,11,475
152,1,7,33,23,40,11,475
152,1,9,3,4,257,11,475
152,1,5,13,67,28,11,475
152,1,0,2,379,45,11,475
152,1,15,28,498,3,11,475
152,1,5,13,168,311,11,475
152,1,287,3,59,28,11,475
152,34,0,6,37,487,1,475
152,1,93,8,133,3,11,475
152,1,0,5,12,241,11,475
152,1,392,3,98,28,11,475
152,34,0,316,9,32,11,475
152,34,0,3,9,32,11,475
152,1,161,5,0,3,11,475
152,34,17,6,0,3,1,475
152,34,0,316,9,3,11,475
152,1,7,48,51,5,11,475
152,1,100,8,133,3,11,475
152,1,7,0,23,40,11,475
152,1,0,24,212,45,11,475
152,1,188,5,12,241,11,475
152,1,157,310,491,5,11,475
152,1,21,438,0,3,11,475
152,1,7,265,23,40,11,475
152,1,7,114,69,255,11,475
152,1,0,24,19,45,11,475
152,1,35,33,473,5,11,475
152,34,17,6,199,108,1,475
152,1,7,33,46,28,11,475
152,34,17,6,37,7,1,475
152,34,38,9,1,3,11,475
152,1,21,20,284,19,11,475
152,1,35,166,45,19,11,475
152,1,5,13,23,40,11,475
152,1,0,17,76,19,11,475
152,1,0,2,12,241,11,475
152,1,100,301,4,257,11,475
152,1,15,28,98,3,11,475
152,1,287,3,98,28,11,475
152,34,38,281,3,287,1,475
152,1,93,8,83,5,11,475
152,1,7,48,5,19,11,475
152,1,164,45,168,311,11,475
152,1,5,270,9,32,11,475
152,1,392,3,13,5,11,475
152,1,44,204,20,19,11,475
152,1,5,60,290,3,11,475
152,1,7,20,470,45,11,475
152,1,161,5,15,28,11,475
152,1,3,13,5,19,11,475
152,34,0,50,71,116,1,475
152,34,0,143,274,44,1,475
152,34,17,6,0,5,1,475
152,34,17,6,0,3,11,475
152,1,44,23,0,3,11,475
152,34,0,17,76,19,11,475
152,1,100,8,83,5,11,475
152,1,111,90,12,5,11,475
152,1,7,0,24,19,11,475
152,1,0,24,251,45,11,475
152,1,157,174,48,5,11,475
152,1,157,310,20,19,11,475
152,1,157,253,372,3,11,475
152,1,21,26,8,3,11,475
152,1,157,253,13,3,11,475
152,1,21,52,481,28,11,475
152,1,157,253,13,5,11,475
152,1,21,84,329,259,11,475
152,1,21,52,85,45,11,475
152,1,21,219,109,45,11,475
152,1,21,84,358,28,11,475
152,1,21,52,46,28,11,475
152,1,21,122,48,5,11,475
152,1,21,219,109,361,11,475
152,1,21,52,46,49,11,475
152,1,69,117,193,45,11,475
152,1,161,355,45,19,11,475
152,1,69,232,23,40,11,475
152,1,5,15,28,440,11,475
152,34,0,5,19,45,11,475
152,1,8,3,287,324,11,475
152,34,0,5,19,69,1,475
152,1,8,3,4,257,11,475
