157,1,472,402
157,5,1,472,402
157,1,57,462,402
157,5,11,45,402
157,1,164,45,402
157,5,19,45,402
157,5,1,57,462,402
157,5,11,19,45,402
157,1,161,355,45,402
157,5,0,1,472,402
157,5,19,11,45,402
157,5,12,189,45,402
157,432,293,474,472,402
157,5,13,168,45,402
157,5,1,164,45,402
157,5,11,32,376,402
157,416,3,11,45,402
157,432,293,1,472,402
157,253,13,168,45,402
157,416,3,1,472,402
157,310,20,19,45,402
157,5,15,1,472,402
157,310,20,470,45,402
157,5,51,172,376,402
157,1,169,109,45,402
157,5,127,1,472,402
157,1,293,474,472,402
157,5,161,1,472,402
157,1,5,19,45,402
157,5,188,1,472,402
157,5,161,355,45,402
157,5,268,179,45,402
157,1,382,32,376,402
157,1,5,11,45,402
157,1,35,166,45,402
157,1,69,19,45,402
157,1,78,92,45,402
157,1,3,11,45,402
157,1,475,11,45,402
157,1,9,32,376,402
157,432,293,167,92,45,402
157,1,5,19,11,45,402
157,432,293,1,57,462,402
157,1,382,32,11,45,402
157,1,5,12,189,45,402
157,253,372,3,1,472,402
157,1,5,11,19,45,402
157,5,188,1,57,462,402
157,253,13,3,1,472,402
157,1,69,117,193,45,402
157,5,161,227,1,472,402
157,5,83,220,1,472,402
157,5,19,11,32,376,402
157,416,3,0,1,472,402
157,1,69,19,11,45,402
157,416,3,1,57,462,402
157,1,78,20,19,45,402
157,5,0,1,57,462,402
157,174,48,96,109,45,402
157,1,3,13,168,45,402
157,5,0,1,164,45,402
157,344,26,8,1,472,402
157,174,48,5,1,472,402
157,1,3,25,19,45,402
157,307,33,35,166,45,402
157,344,26,21,1,472,402
157,174,48,7,1,472,402
157,174,48,5,11,45,402
157,1,3,9,32,376,402
157,1,3,25,396,45,402
157,476,299,37,360,45,402
157,307,33,7,1,472,402
157,307,33,35,1,472,402
157,174,48,51,172,376,402
157,174,48,5,19,45,402
157,416,3,11,19,45,402
157,1,3,11,19,45,402
157,310,365,69,1,472,402
157,174,48,247,32,376,402
157,5,0,2,379,45,402
157,5,19,20,470,45,402
157,1,475,11,19,45,402
157,416,3,11,32,376,402
157,1,100,426,132,45,402
157,1,3,11,32,376,402
157,310,20,19,11,45,402
157,1,9,38,53,45,402
157,310,454,219,109,45,402
157,310,365,69,19,45,402
157,1,9,32,11,45,402
157,1,161,5,19,45,402
157,5,12,2,379,45,402
157,5,0,3,1,472,402
157,5,19,25,396,45,402
157,5,15,28,11,45,402
157,1,475,11,32,376,402
157,310,20,7,1,472,402
157,5,51,172,132,45,402
157,432,293,1,164,45,402
157,1,5,13,168,45,402
157,1,227,161,355,45,402
157,253,372,3,11,45,402
157,1,9,3,11,45,402
157,310,491,5,1,472,402
157,1,5,11,32,376,402
157,1,293,167,92,45,402
157,5,188,1,164,45,402
157,1,161,5,11,45,402
157,253,13,5,1,472,402
157,5,12,139,11,45,402
157,253,13,3,11,45,402
157,5,0,7,1,472,402
157,5,15,1,57,462,402
157,5,0,17,179,45,402
157,5,15,1,164,45,402
157,5,0,24,19,45,402
157,5,0,17,319,45,402
157,5,0,24,212,45,402
157,1,69,255,11,45,402
157,5,0,24,251,45,402
157,5,0,3,11,45,402
157,5,19,24,212,45,402
157,5,15,390,19,45,402
157,5,19,69,1,472,402
157,5,19,24,251,45,402
157,5,1,161,355,45,402
157,5,127,1,57,462,402
157,5,1,293,474,472,402
157,5,127,1,164,45,402
157,5,1,382,32,376,402
157,5,86,226,1,472,402
157,5,1,9,32,376,402
157,5,48,247,32,376,402
157,5,1,35,166,45,402
157,5,60,236,1,472,402
157,5,48,51,172,376,402
157,5,1,69,19,45,402
157,5,81,42,151,45,402
157,5,60,65,57,462,402
157,5,48,7,1,472,402
157,5,1,78,92,45,402
157,5,270,9,32,376,402
157,5,48,96,109,45,402
157,5,1,3,11,45,402
157,5,66,65,57,462,402
157,5,270,9,1,472,402
157,5,1,475,11,45,402
157,5,286,30,132,45,402
157,5,1,169,109,45,402
157,5,286,30,146,45,402
157,310,20,21,1,472,402
157,5,83,8,1,472,402
157,310,20,30,132,45,402
157,1,5,161,355,45,402
157,310,20,72,192,45,402
157,310,20,30,146,45,402
157,1,5,268,179,45,402
157,310,20,78,1,472,402
157,1,5,51,172,376,402
157,310,20,284,19,45,402
157,310,20,78,92,45,402
157,416,3,8,1,472,402
157,1,471,399,85,45,402
157,416,3,9,1,472,402
157,1,469,241,11,45,402
157,416,3,13,168,45,402
157,416,3,9,32,376,402
157,1,9,282,132,45,402
157,1,21,52,85,45,402
157,416,3,25,396,45,402
157,5,11,3,1,472,402
157,1,487,37,360,45,402
157,1,21,20,470,45,402
157,416,3,287,1,472,402
157,416,3,25,19,45,402
157,5,11,311,168,45,402
157,1,15,390,19,45,402
157,1,21,118,11,45,402
157,1,21,20,19,45,402
157,416,3,392,1,472,402
157,5,11,361,109,45,402
157,1,0,2,379,45,402
157,1,15,5,11,45,402
157,1,21,219,109,45,402
157,5,11,475,1,472,402
157,1,7,20,19,45,402
157,1,0,3,11,45,402
157,1,15,28,11,45,402
157,1,15,5,19,45,402
157,1,116,198,53,45,402
157,1,7,238,109,45,402
157,1,7,20,470,45,402
157,1,0,5,11,45,402
157,5,161,1,57,462,402
157,1,127,5,19,45,402
157,1,7,37,360,45,402
157,1,0,24,19,45,402
157,1,0,5,19,45,402
157,5,161,1,164,45,402
157,1,188,5,11,45,402
157,1,127,5,11,45,402
157,1,0,17,179,45,402
157,1,0,24,212,45,402
157,1,287,324,11,45,402
157,1,188,5,19,45,402
157,310,491,5,11,45,402
157,1,0,17,319,45,402
157,1,0,24,251,45,402
157,1,8,3,11,45,402
157,1,287,3,11,45,402
157,310,491,5,19,45,402
157,5,13,3,1,472,402
157,416,3,1,164,45,402
157,1,392,3,11,45,402
157,253,13,31,57,462,402
157,253,13,5,11,45,402
157,5,51,294,19,45,402
157,253,13,5,19,45,402
157,1,78,20,470,45,402
157,5,12,208,166,45,402
157,5,13,31,57,462,402
157,5,12,241,11,45,402
157,5,13,3,11,45,402
157,5,15,390,19,11,45,402
157,5,19,54,30,132,45,402
157,344,26,8,1,57,462,402
157,253,13,31,72,192,45,402
157,253,13,5,11,19,45,402
157,5,51,269,20,470,45,402
157,5,51,294,19,11,45,402
157,253,13,5,0,1,472,402
157,253,13,5,19,11,45,402
157,1,78,20,30,132,45,402
157,253,13,31,57,1,472,402
157,5,13,23,178,32,376,402
157,5,13,31,72,192,45,402
157,5,13,31,57,1,472,402
157,5,12,115,20,19,45,402
157,5,12,241,469,1,472,402
157,5,12,241,11,19,45,402
157,5,13,3,0,1,472,402
157,5,13,3,11,19,45,402
157,5,19,76,17,179,45,402
157,5,19,54,30,146,45,402
157,344,26,8,1,164,45,402
157,253,13,5,11,32,376,402
157,5,51,48,96,109,45,402
157,5,51,269,20,19,45,402
157,5,19,69,117,193,45,402
157,253,13,5,12,189,45,402
157,1,78,20,72,192,45,402
157,1,78,20,30,146,45,402
157,5,13,67,28,11,45,402
157,5,13,23,0,1,472,402
157,5,19,69,1,57,462,402
157,5,12,185,72,192,45,402
157,5,12,115,20,470,45,402
157,5,12,241,11,32,376,402
157,5,19,45,164,1,472,402
157,5,13,3,8,1,472,402
157,5,19,24,0,1,472,402
157,5,13,3,11,32,376,402
157,174,48,5,1,57,462,402
157,5,19,284,20,470,45,402
157,5,1,293,167,92,45,402
157,5,127,1,293,474,472,402
157,5,0,7,20,470,45,402
157,5,19,76,17,319,45,402
157,5,51,428,22,1,472,402
157,5,51,48,7,1,472,402
157,5,1,382,32,11,45,402
157,1,35,237,335,343,45,402
157,5,19,69,255,11,45,402
157,5,86,46,28,11,45,402
157,253,13,5,15,1,472,402
157,5,0,17,76,19,45,402
157,344,26,29,2,379,45,402
157,5,86,226,1,57,462,402
157,1,78,20,284,19,45,402
157,5,1,9,38,53,45,402
157,5,13,177,51,172,376,402
157,5,1,9,32,11,45,402
157,253,13,3,0,1,472,402
157,5,15,1,169,109,45,402
157,5,13,23,40,11,45,402
157,5,19,69,1,164,45,402
157,5,0,56,44,1,472,402
157,5,12,334,335,343,45,402
157,5,48,247,32,11,45,402
157,1,3,25,19,11,45,402
157,253,13,3,11,19,45,402
157,253,13,168,311,11,45,402
157,5,19,45,11,32,376,402
157,344,26,21,1,57,462,402
157,5,13,3,9,1,472,402
157,5,19,24,285,32,376,402
157,5,0,24,19,11,45,402
157,5,60,236,1,57,462,402
157,344,26,21,20,470,45,402
157,174,48,7,0,1,472,402
157,174,48,5,1,164,45,402
157,5,19,294,51,172,376,402
157,5,48,51,294,19,45,402
157,5,0,7,1,57,462,402
157,174,48,7,1,57,462,402
157,5,48,51,172,132,45,402
157,5,127,1,382,32,376,402
157,5,0,7,37,360,45,402
157,5,0,7,20,19,45,402
157,5,1,69,117,193,45,402
157,5,51,366,44,1,472,402
