160,51,177
160,0,3,13,177
160,51,5,13,177
160,0,5,13,177
160,0,23,13,177
160,0,5,51,177
160,51,5,126,409,177
160,0,1,5,51,177
160,0,5,48,51,177
160,51,48,5,13,177
160,0,7,48,51,177
160,0,1,3,13,177
160,0,175,23,13,177
160,0,1,5,13,177
160,0,5,126,409,177
160,0,4,3,13,177
160,0,6,3,13,177
160,0,17,364,51,177
160,51,294,19,5,13,177
160,51,48,337,23,13,177
160,51,48,5,126,409,177
160,0,6,17,364,51,177
160,0,24,19,5,13,177
160,0,17,101,126,409,177
160,51,136,291,5,13,177
160,0,3,13,5,51,177
160,0,23,13,5,51,177
160,0,7,22,428,51,177
160,51,5,0,3,13,177
160,0,7,48,5,13,177
160,0,6,18,5,13,177
160,0,1,44,366,51,177
160,0,7,48,5,51,177
160,0,6,18,5,51,177
160,0,1,7,48,51,177
160,0,1,44,23,13,177
160,0,34,17,364,51,177
160,0,1,188,5,51,177
160,0,148,8,3,13,177
160,0,1,15,5,51,177
160,0,1,188,5,13,177
160,0,316,9,3,13,177
160,0,1,22,428,51,177
160,0,1,15,5,13,177
160,0,380,383,23,13,177
160,0,23,27,262,51,177
160,0,24,19,294,51,177
160,0,24,19,5,51,177
160,0,1,8,3,13,177
160,0,17,27,23,13,177
160,0,2,12,5,13,177
160,51,366,44,23,13,177
160,0,23,337,48,51,177
160,51,136,28,67,13,177
160,0,1,9,3,13,177
160,0,17,6,3,13,177
160,0,3,1,5,51,177
160,0,17,64,23,13,177
160,0,3,75,31,13,177
160,0,3,1,5,13,177
160,0,17,103,278,13,177
160,0,3,47,123,13,177
160,0,5,19,294,51,177
160,0,3,372,253,13,177
160,0,5,1,3,13,177
160,0,3,11,5,13,177
160,0,5,11,3,13,177
160,0,3,11,5,51,177
160,0,5,291,136,51,177
160,0,17,27,262,51,177
160,0,5,157,253,13,177
160,0,50,44,366,51,177
160,0,2,14,3,13,177
160,0,56,44,366,51,177
160,0,50,44,23,13,177
160,0,99,80,31,13,177
160,0,56,44,23,13,177
160,0,94,74,31,13,177
160,0,2,12,5,51,177
160,51,262,27,23,13,177
160,0,1,5,48,51,177
160,0,7,478,130,51,177
160,0,1,5,126,409,177
160,0,7,1,3,13,177
160,0,23,44,366,51,177
160,51,5,1,3,13,177
160,0,7,20,269,51,177
160,0,7,1,5,13,177
160,51,5,11,3,13,177
160,0,7,33,23,13,177
160,0,7,1,5,51,177
160,51,5,157,253,13,177
160,0,7,427,126,409,177
160,51,5,0,23,13,177
160,0,1,57,31,13,177
160,0,7,114,224,13,177
160,0,1,127,5,13,177
160,0,7,265,23,13,177
160,0,1,157,5,13,177
160,0,1,127,5,51,177
160,0,1,161,5,13,177
160,0,1,157,253,13,177
160,0,1,157,5,51,177
160,0,1,287,3,13,177
160,0,1,161,5,51,177
160,0,1,392,3,13,177
160,0,3,47,16,31,13,177
160,0,6,3,13,5,51,177
160,0,6,18,5,48,51,177
160,0,5,19,11,3,13,177
160,0,1,9,270,5,13,177
160,0,4,3,13,5,51,177
160,0,4,3,1,5,51,177
160,0,1,7,22,428,51,177
160,0,1,9,270,5,51,177
160,0,5,1,22,428,51,177
160,0,4,3,75,31,13,177
160,0,4,3,1,5,13,177
160,0,1,7,20,269,51,177
160,0,5,1,7,48,51,177
160,0,4,3,47,123,13,177
160,0,6,3,1,5,51,177
160,0,1,7,427,126,409,177
160,0,5,1,8,3,13,177
160,0,4,3,11,5,51,177
160,0,6,3,75,31,13,177
160,0,6,3,1,5,13,177
160,0,1,7,33,23,13,177
160,0,5,1,9,3,13,177
160,0,4,3,372,253,13,177
160,0,6,42,81,5,51,177
160,0,4,3,11,5,13,177
160,0,6,3,47,123,13,177
160,0,1,7,478,130,51,177
160,0,5,1,287,3,13,177
160,0,6,173,114,224,13,177
160,0,6,42,4,3,13,177
160,0,6,42,81,5,13,177
160,0,3,6,17,364,51,177
160,0,1,7,48,5,13,177
160,0,6,3,11,5,13,177
160,0,1,7,114,224,13,177
160,0,3,11,19,294,51,177
160,0,5,1,44,366,51,177
160,0,17,6,18,5,13,177
160,0,17,364,51,5,13,177
160,0,6,37,7,48,51,177
160,0,5,11,19,294,51,177
160,0,6,42,82,67,13,177
160,51,294,19,11,3,13,177
160,0,3,11,5,48,51,177
160,0,3,8,26,320,13,177
160,0,7,48,5,126,409,177
160,0,5,15,16,31,13,177
160,0,17,101,126,5,13,177
160,0,3,6,18,5,13,177
160,0,1,7,48,5,51,177
160,0,6,3,372,253,13,177
160,0,6,3,11,5,51,177
160,0,1,7,265,23,13,177
160,0,5,157,1,3,13,177
160,0,3,11,28,67,13,177
160,0,3,11,19,5,13,177
160,0,5,1,392,3,13,177
160,0,50,71,302,48,51,177
160,0,5,1,44,23,13,177
160,0,17,6,18,5,51,177
160,0,17,313,19,5,13,177
160,51,48,7,265,23,13,177
160,51,294,19,5,126,409,177
160,0,2,379,45,168,13,177
160,0,6,211,250,3,13,177
160,0,6,37,102,48,51,177
160,0,2,14,96,48,51,177
160,0,5,11,28,67,13,177
160,0,34,17,101,126,409,177
160,0,7,48,337,23,13,177
160,0,148,8,1,3,13,177
160,51,294,19,25,3,13,177
160,0,50,44,1,3,13,177
160,51,294,19,11,5,13,177
160,0,3,11,5,126,409,177
160,0,7,48,51,5,13,177
160,0,34,152,1,5,13,177
160,51,48,5,0,3,13,177
160,0,99,80,46,130,51,177
160,0,3,9,493,48,51,177
160,0,3,8,1,5,13,177
160,0,56,44,1,3,13,177
160,0,5,86,46,130,51,177
160,0,5,15,61,48,51,177
160,0,1,15,16,31,13,177
160,0,143,274,44,366,51,177
160,0,17,101,126,5,51,177
160,0,94,263,46,130,51,177
160,0,3,6,18,5,51,177
160,0,94,74,20,269,51,177
160,0,3,1,22,428,51,177
160,0,6,17,101,126,409,177
160,0,2,12,5,48,51,177
160,0,5,157,174,48,51,177
