164,1,431,190
164,1,7,33,190
164,1,15,158,190
164,1,35,33,190
164,45,166,35,33,190
164,1,0,7,33,190
164,1,44,23,33,190
164,1,0,23,33,190
164,1,441,131,33,190
164,1,9,176,33,190
164,1,111,385,33,190
164,1,21,140,33,190
164,1,22,7,33,190
164,1,5,15,158,190
164,1,157,307,33,190
164,1,5,60,33,190
164,1,236,60,33,190
164,1,5,473,33,190
164,45,11,5,60,33,190
164,1,9,292,46,33,190
164,1,157,5,15,158,190
164,1,487,37,7,33,190
164,1,236,357,23,33,190
164,1,5,51,136,158,190
164,45,19,390,15,158,190
164,45,11,3,1,431,190
164,45,11,5,1,431,190
164,45,11,28,136,158,190
164,45,11,5,15,158,190
164,45,11,40,153,33,190
164,45,11,28,15,158,190
164,45,11,5,473,33,190
164,45,11,49,46,33,190
164,45,11,40,23,33,190
164,45,11,28,46,33,190
164,45,11,475,1,431,190
164,45,166,35,1,431,190
164,1,15,5,473,33,190
164,1,9,38,121,33,190
164,1,15,28,136,158,190
164,1,15,5,60,33,190
164,1,9,77,35,33,190
164,1,157,5,60,33,190
164,1,97,80,46,33,190
164,1,15,28,46,33,190
164,1,157,5,473,33,190
164,1,3,0,7,33,190
164,1,0,5,15,158,190
164,1,7,0,23,33,190
164,1,21,20,7,33,190
164,1,5,0,7,33,190
164,1,8,267,140,33,190
164,1,3,13,23,33,190
164,1,127,5,15,158,190
164,1,3,9,176,33,190
164,1,161,5,15,158,190
164,1,127,5,60,33,190
164,1,3,290,60,33,190
164,1,188,5,15,158,190
164,1,161,264,136,158,190
164,1,161,5,60,33,190
164,1,127,5,473,33,190
164,1,57,65,60,33,190
164,1,188,5,60,33,190
164,1,161,5,473,33,190
164,1,134,180,176,33,190
164,1,188,5,473,33,190
164,1,226,86,46,33,190
164,1,3,0,23,33,190
164,1,69,114,7,33,190
164,1,0,175,23,33,190
164,1,78,20,7,33,190
164,1,69,232,23,33,190
164,1,0,5,60,33,190
164,1,7,265,23,33,190
164,1,0,5,473,33,190
164,1,35,110,46,33,190
164,1,21,52,46,33,190
164,45,53,38,121,33,190
164,1,5,13,23,33,190
164,45,19,5,473,33,190
164,45,92,78,1,431,190
164,1,5,48,7,33,190
164,45,19,20,7,33,190
164,45,19,5,1,431,190
164,45,109,169,1,431,190
164,1,5,86,46,33,190
164,45,19,69,1,431,190
164,45,19,5,15,158,190
164,45,470,20,7,33,190
164,45,109,238,7,33,190
164,1,5,0,23,33,190
164,1,5,157,307,33,190
164,45,19,5,60,33,190
164,45,402,472,1,431,190
164,1,5,291,136,158,190
164,45,192,384,131,33,190
164,1,5,433,46,33,190
164,45,355,161,1,431,190
164,45,85,52,46,33,190
164,45,168,13,23,33,190
164,45,360,37,7,33,190
164,45,11,5,1,7,33,190
164,1,8,3,290,60,33,190
164,1,44,50,0,23,33,190
164,45,355,161,5,473,33,190
164,45,355,161,1,7,33,190
164,45,85,354,16,15,158,190
164,45,85,52,46,170,33,190
164,45,85,52,21,140,33,190
164,45,168,13,3,1,431,190
164,45,319,17,0,7,33,190
164,45,360,37,200,7,33,190
164,45,360,37,7,1,431,190
164,45,11,5,1,15,158,190
164,1,44,23,0,7,33,190
164,1,8,83,5,15,158,190
164,1,8,3,0,7,33,190
164,1,44,366,51,136,158,190
164,1,44,50,235,7,33,190
164,1,44,50,0,7,33,190
164,45,355,161,227,1,431,190
164,45,355,161,5,1,431,190
164,45,355,161,1,15,158,190
164,45,85,244,28,15,158,190
164,45,85,52,349,15,158,190
164,1,3,13,5,15,158,190
164,45,11,5,15,1,431,190
164,45,85,52,21,1,431,190
164,45,168,13,5,473,33,190
164,45,132,30,16,15,158,190
164,45,319,17,27,23,33,190
164,45,319,17,0,1,431,190
164,1,0,23,104,490,431,190
164,45,360,37,487,1,431,190
164,45,11,5,1,35,33,190
164,1,5,15,28,136,158,190
164,1,22,7,0,23,33,190
164,1,44,23,104,490,431,190
164,1,8,10,16,15,158,190
164,1,8,83,5,60,33,190
164,1,8,3,9,176,33,190
164,1,3,4,113,15,158,190
164,45,11,3,0,7,33,190
164,1,8,3,0,23,33,190
164,1,44,56,0,7,33,190
164,1,22,112,446,46,33,190
164,1,127,5,51,136,158,190
164,45,11,28,15,1,431,190
