16,10,8,352
16,15,1,8,352
16,47,3,8,352
16,397,391,8,352
16,15,1,0,239,352
16,47,3,0,239,352
16,30,128,243,8,352
16,15,1,3,8,352
16,30,124,100,8,352
16,15,1,93,8,352
16,15,5,1,8,352
16,10,2,0,239,352
16,47,3,1,8,352
16,15,1,100,8,352
16,15,5,0,239,352
16,15,1,191,8,352
16,15,5,83,8,352
16,15,1,317,8,352
16,47,55,26,8,352
16,31,128,243,8,352
16,47,125,26,8,352
16,104,23,0,239,352
16,31,13,3,8,352
16,47,3,133,8,352
16,31,57,1,8,352
16,31,75,3,8,352
16,15,5,11,3,8,352
16,15,1,3,0,239,352
16,31,74,94,0,239,352
16,31,75,3,0,239,352
16,15,5,13,3,8,352
16,15,1,3,133,8,352
16,31,80,97,1,8,352
16,31,75,3,1,8,352
16,15,5,127,1,8,352
16,15,1,287,3,8,352
16,30,156,35,1,8,352
16,31,80,99,0,239,352
16,31,75,3,133,8,352
16,47,3,1,0,239,352
16,30,124,143,0,239,352
16,15,5,157,1,8,352
16,10,8,1,0,239,352
16,30,124,100,1,8,352
16,15,1,392,3,8,352
16,30,20,21,26,8,352
16,15,5,0,1,8,352
16,47,312,78,1,8,352
16,47,125,182,26,8,352
16,47,3,1,93,8,352
16,15,5,1,0,239,352
16,47,3,1,100,8,352
16,15,5,1,3,8,352
16,47,3,1,191,8,352
16,15,5,1,93,8,352
16,47,3,1,317,8,352
16,15,5,1,100,8,352
16,183,28,498,3,8,352
16,15,5,1,191,8,352
16,494,31,128,243,8,352
16,183,28,11,3,8,352
16,15,5,1,317,8,352
16,246,206,23,0,239,352
16,494,31,13,3,8,352
16,183,28,15,1,8,352
16,494,31,57,1,8,352
16,183,28,59,3,8,352
16,494,31,75,3,8,352
16,183,28,98,3,8,352
16,104,131,441,1,8,352
16,183,28,356,10,8,352
16,104,490,431,1,8,352
16,15,5,161,1,8,352
16,104,150,23,0,239,352
16,15,5,188,1,8,352
16,104,332,11,3,8,352
16,104,23,13,3,8,352
16,104,23,0,1,8,352
16,10,8,3,0,239,352
16,104,23,44,1,8,352
16,104,23,0,3,8,352
16,10,8,148,0,239,352
16,104,23,175,0,239,352
16,104,23,0,148,8,352
16,15,28,356,10,8,352
16,47,3,0,1,8,352
16,10,89,21,1,8,352
16,15,113,4,0,239,352
16,15,28,11,3,8,352
16,47,3,0,148,8,352
16,10,120,35,1,8,352
16,10,89,21,26,8,352
16,31,13,5,1,8,352
16,15,1,5,0,239,352
16,15,113,4,3,8,352
16,15,28,59,3,8,352
16,10,2,14,3,8,352
16,31,13,3,0,239,352
16,30,488,237,211,239,352
16,10,91,22,1,8,352
16,30,20,7,1,8,352
16,47,3,6,211,239,352
16,30,20,78,1,8,352
16,30,20,7,0,239,352
16,47,3,9,1,8,352
16,47,3,6,0,239,352
16,47,3,250,211,239,352
16,30,20,21,1,8,352
16,47,3,287,1,8,352
16,31,13,23,0,239,352
16,47,3,392,1,8,352
16,31,13,320,26,8,352
16,47,3,4,0,239,352
16,15,1,0,3,8,352
16,10,2,0,1,8,352
16,15,1,0,148,8,352
16,10,2,0,3,8,352
16,15,5,0,3,8,352
16,10,2,0,148,8,352
16,15,5,0,148,8,352
16,31,13,5,0,239,352
16,15,1,220,83,8,352
16,31,13,5,83,8,352
16,15,1,7,0,239,352
16,15,1,5,83,8,352
16,15,1,9,3,8,352
16,47,71,116,1,8,352
16,15,1,21,26,8,352
16,47,123,13,3,8,352
16,47,71,50,0,239,352
16,47,147,4,0,239,352
16,15,28,98,3,8,352
16,47,303,75,3,8,352
16,47,147,4,3,8,352
16,15,28,498,3,8,352
16,31,57,1,0,239,352
16,10,2,29,26,8,352
16,31,57,1,3,8,352
16,31,13,3,1,8,352
16,31,57,1,93,8,352
16,31,13,3,133,8,352
16,31,57,1,100,8,352
16,30,36,23,0,239,352
16,31,57,1,191,8,352
16,30,229,6,211,239,352
16,31,57,1,317,8,352
16,30,132,426,100,8,352
16,30,229,6,0,239,352
16,30,142,125,26,8,352
16,30,229,6,3,8,352
16,30,286,5,0,239,352
16,30,410,47,3,8,352
16,30,286,5,1,8,352
16,30,286,5,83,8,352
16,31,13,119,318,100,8,352
16,47,3,13,23,0,239,352
16,47,3,4,301,100,8,352
16,47,3,4,0,1,8,352
16,30,488,237,35,1,8,352
16,183,28,11,5,1,8,352
16,15,1,0,3,133,8,352
16,10,2,0,1,3,8,352
16,10,334,12,2,0,239,352
16,15,1,0,2,10,8,352
16,10,2,0,3,1,8,352
16,31,75,303,47,3,8,352
16,30,20,19,5,1,8,352
16,397,391,8,1,0,239,352
16,15,5,1,220,83,8,352
16,15,5,0,3,1,8,352
16,10,2,0,6,211,239,352
16,15,1,100,260,0,239,352
16,354,85,45,11,3,8,352
16,15,5,0,2,10,8,352
16,31,75,3,0,1,8,352
16,246,206,448,452,3,8,352
16,31,13,5,0,1,8,352
16,30,20,7,22,1,8,352
16,31,74,20,7,1,8,352
16,15,5,83,220,1,8,352
16,246,206,23,13,3,8,352
16,246,206,23,0,1,8,352
