17,319,45
17,179,45
17,319,45
17,76,19,45
17,167,92,45
17,313,19,45
17,76,19,11,45
17,0,2,379,45
17,313,19,11,45
17,6,3,11,45
17,0,1,164,45
17,34,38,53,45
17,6,37,360,45
17,0,3,11,45
17,6,42,151,45
17,0,5,11,45
17,101,28,11,45
17,0,24,19,45
17,0,5,19,45
17,0,24,212,45
17,0,24,251,45
17,0,3,11,19,45
17,0,5,11,19,45
17,0,5,19,11,45
17,34,0,2,379,45
17,179,268,5,11,45
17,313,19,5,11,45
17,34,152,1,164,45
17,34,0,1,164,45
17,179,268,5,19,45
17,313,19,20,470,45
17,0,3,1,164,45
17,34,0,3,11,45
17,0,2,12,189,45
17,313,19,25,396,45
17,6,222,283,85,45
17,0,3,13,168,45
17,34,0,5,11,45
17,167,293,1,164,45
17,6,37,259,11,45
17,27,23,13,168,45
17,0,24,19,11,45
17,313,19,24,212,45
17,6,0,2,379,45
17,313,19,24,251,45
17,6,18,5,11,45
17,6,0,1,164,45
17,6,205,411,132,45
17,6,18,5,19,45
17,6,0,3,11,45
17,6,229,30,132,45
17,6,0,5,11,45
17,6,229,30,146,45
17,6,0,24,19,45
17,6,0,5,19,45
17,6,0,24,212,45
17,101,126,5,11,45
17,6,0,24,251,45
17,101,126,5,19,45
17,0,3,25,19,45
17,101,28,244,85,45
17,0,3,25,396,45
17,101,28,440,11,45
17,34,0,24,19,45
17,34,0,5,19,45
17,34,0,24,212,45
17,6,3,1,164,45
17,0,1,3,11,45
17,34,0,24,251,45
17,6,3,13,168,45
17,0,1,5,11,45
17,0,4,257,11,45
17,6,3,25,19,45
17,0,1,35,166,45
17,0,1,5,19,45
17,0,7,20,19,45
17,0,4,3,11,45
17,6,3,25,396,45
17,0,1,69,19,45
17,0,23,13,168,45
17,101,28,11,19,45
17,364,51,172,132,45
17,0,7,1,164,45
17,0,7,20,470,45
17,0,4,42,151,45
17,0,1,78,92,45
17,0,34,38,53,45
17,0,23,40,11,45
17,0,6,3,11,45
17,76,19,5,11,45
17,0,260,330,11,45
17,0,6,37,360,45
17,76,19,20,470,45
17,0,6,42,151,45
17,76,19,25,396,45
17,0,5,1,164,45
17,76,19,24,212,45
17,0,5,12,189,45
17,76,19,24,251,45
17,0,5,13,168,45
17,27,23,40,11,45
17,0,5,161,355,45
17,63,275,69,19,45
17,0,5,268,179,45
17,103,62,2,379,45
17,63,46,28,11,45
17,186,221,25,19,45
17,103,278,13,168,45
17,63,46,49,11,45
17,64,23,40,11,45
17,186,131,384,192,45
17,186,221,25,396,45
17,103,340,35,166,45
17,63,46,52,85,45
17,406,250,3,11,45
17,64,23,13,168,45
17,186,387,28,11,45
17,364,51,5,11,45
17,6,3,11,19,45
17,364,51,294,19,45
17,364,51,5,19,45
17,0,7,37,360,45
17,0,1,161,355,45
17,0,7,238,109,45
17,0,1,169,109,45
17,0,1,472,402,45
17,0,1,475,11,45
17,0,24,285,399,85,45
17,0,6,3,1,164,45
17,0,6,3,11,19,45
17,406,250,3,11,19,45
17,76,19,5,1,164,45
17,0,160,51,172,132,45
17,0,1,475,11,19,45
17,0,3,25,19,11,45
17,34,38,9,3,11,45
17,0,260,100,426,132,45
17,34,0,24,19,11,45
17,101,126,5,11,19,45
17,0,6,37,259,11,45
17,313,19,69,1,164,45
17,0,5,161,1,164,45
17,0,260,330,11,19,45
17,6,18,5,19,11,45
17,179,268,5,11,19,45
17,0,6,18,5,11,45
17,6,0,1,3,11,45
17,167,92,78,1,164,45
17,6,205,79,37,360,45
17,76,19,69,1,164,45
17,0,23,33,35,166,45
17,0,34,152,1,164,45
17,179,280,29,2,379,45
17,0,23,40,11,19,45
17,6,18,5,1,164,45
17,0,5,13,3,11,45
17,6,0,24,19,11,45
17,76,19,20,30,132,45
17,27,23,0,2,379,45
17,6,18,5,11,19,45
17,6,173,297,38,53,45
17,6,0,3,1,164,45
17,0,5,1,3,11,45
17,0,5,11,311,168,45
17,313,19,11,311,168,45
17,6,0,3,13,168,45
17,0,5,1,35,166,45
17,0,5,11,361,109,45
17,313,19,11,361,109,45
17,6,0,3,25,19,45
17,0,5,1,69,19,45
17,63,275,69,1,164,45
17,76,19,25,3,11,45
17,6,0,3,25,396,45
17,0,5,1,78,92,45
17,63,275,69,117,193,45
17,0,5,15,390,19,45
17,34,0,2,12,189,45
17,0,5,1,161,355,45
17,63,275,69,255,11,45
17,0,5,81,42,151,45
17,0,5,15,1,164,45
17,0,5,1,169,109,45
17,0,5,48,96,109,45
17,0,5,15,28,11,45
17,0,5,1,472,402,45
17,0,5,51,294,19,45
17,103,62,7,20,470,45
17,0,5,1,475,11,45
17,0,5,127,1,164,45
17,0,5,51,172,132,45
17,103,62,7,1,164,45
17,103,62,7,20,19,45
17,0,5,157,1,164,45
17,103,62,7,37,360,45
17,103,62,2,12,189,45
17,0,5,188,1,164,45
17,103,62,7,238,109,45
17,63,46,28,11,19,45
17,0,5,286,30,132,45
17,6,229,30,20,470,45
17,63,87,418,244,85,45
17,0,5,286,30,146,45
17,6,229,30,54,19,45
17,6,229,30,20,19,45
17,63,378,171,40,11,45
17,63,87,8,3,11,45
17,364,51,5,11,19,45
17,6,0,7,20,470,45
17,6,0,3,11,19,45
17,6,0,5,11,19,45
17,63,203,305,13,168,45
17,63,87,8,1,164,45
17,63,46,28,244,85,45
17,313,19,20,30,132,45
17,6,0,4,257,11,45
17,6,0,7,1,164,45
17,6,0,5,1,164,45
17,6,0,7,20,19,45
17,63,106,41,28,11,45
17,63,203,111,1,164,45
17,186,221,25,19,11,45
17,179,268,5,1,164,45
17,63,46,49,11,19,45
17,186,221,25,3,11,45
17,63,46,28,440,11,45
17,313,19,5,1,164,45
17,313,19,20,72,192,45
17,313,19,20,30,146,45
17,103,278,13,3,11,45
17,6,0,34,38,53,45
17,6,0,4,3,11,45
17,34,0,1,3,11,45
17,64,23,40,11,19,45
17,6,0,7,37,360,45
17,6,0,5,12,189,45
17,34,152,1,3,11,45
17,63,163,46,28,11,45
17,0,3,11,5,19,45
17,101,126,5,1,164,45
17,0,5,12,2,379,45
17,6,0,2,12,189,45
17,34,0,3,11,19,45
17,0,3,498,28,11,45
17,186,131,33,35,166,45
17,179,268,5,12,189,45
17,103,213,8,1,164,45
17,313,19,25,3,11,45
17,103,340,35,1,164,45
17,313,19,5,12,189,45
17,313,19,20,78,92,45
17,0,3,1,169,109,45
17,179,268,5,19,11,45
17,63,46,33,35,166,45
17,103,278,13,5,11,45
17,6,0,23,13,168,45
17,406,444,287,324,11,45
17,6,0,4,42,151,45
17,6,18,453,28,11,45
17,0,2,12,5,19,45
17,101,28,15,390,19,45
17,406,250,3,1,164,45
