17,0,50
17,6,0,50
17,34,0,50
17,0,1,44,50
17,27,23,0,50
17,6,3,0,50
17,64,23,44,50
17,27,23,44,50
17,0,7,235,50
17,76,162,44,50
17,0,23,44,50
17,64,23,0,50
17,0,56,44,50
17,34,0,1,44,50
17,0,7,1,44,50
17,364,51,366,44,50
17,76,19,5,0,50
17,6,0,1,44,50
17,34,152,1,0,50
17,6,37,328,235,50
17,6,0,23,44,50
17,34,152,1,44,50
17,6,18,5,0,50
17,6,37,7,0,50
17,6,0,56,44,50
17,64,23,175,0,50
17,6,42,4,0,50
17,0,2,233,71,50
17,6,37,7,235,50
17,6,0,7,235,50
17,6,3,1,0,50
17,34,0,7,235,50
17,6,205,380,0,50
17,0,3,47,71,50
17,0,1,7,235,50
17,0,5,1,44,50
17,0,3,1,44,50
17,0,1,116,71,50
17,0,143,274,44,50
17,103,62,7,235,50
17,0,175,23,44,50
17,101,126,5,0,50
17,103,62,2,0,50
17,103,62,7,0,50
17,0,24,298,44,50
17,406,250,3,0,50
17,6,3,4,0,50
17,179,268,5,0,50
17,364,51,5,0,50
17,6,3,47,71,50
17,167,293,1,0,50
17,364,51,160,0,50
17,6,3,1,44,50
17,313,19,5,0,50
17,167,293,1,44,50
17,34,0,23,44,50
17,27,23,175,0,50
17,313,19,24,0,50
17,76,19,24,0,50
17,34,0,56,44,50
17,6,211,239,0,50
17,0,5,1,7,235,50
17,0,5,51,366,44,50
17,0,3,13,23,44,50
17,0,3,1,7,235,50
17,0,5,1,116,71,50
17,0,5,48,302,71,50
17,0,3,8,1,44,50
17,0,3,1,116,71,50
17,0,1,22,7,235,50
17,0,5,13,23,44,50
17,0,5,48,7,235,50
17,0,3,9,1,44,50
17,34,38,9,316,0,50
17,0,1,57,65,184,50
17,0,1,22,137,71,50
17,0,5,60,65,184,50
17,6,3,0,1,44,50
17,64,23,0,1,44,50
17,27,262,51,366,44,50
17,0,3,287,1,44,50
17,103,278,13,3,0,50
17,34,38,135,485,71,50
17,6,0,1,7,235,50
17,27,23,0,1,44,50
17,34,38,9,1,0,50
17,0,1,3,47,71,50
17,0,5,66,65,184,50
17,0,23,206,304,71,50
17,6,3,0,56,44,50
17,6,18,5,1,0,50
17,101,28,15,1,44,50
17,64,23,0,56,44,50
17,101,126,427,7,0,50
17,27,323,287,1,44,50
17,27,262,51,5,0,50
17,34,152,1,3,0,50
17,101,126,5,1,0,50
17,0,3,392,1,44,50
17,103,213,8,1,0,50
17,103,62,2,233,71,50
17,103,278,13,5,0,50
17,103,62,7,1,0,50
17,34,38,401,23,44,50
17,6,37,200,7,235,50
17,0,4,3,1,44,50
17,6,0,1,116,71,50
17,0,24,272,7,235,50
17,27,23,0,56,44,50
17,64,23,13,3,0,50
17,34,38,9,3,0,50
17,34,38,9,1,44,50
17,406,444,287,1,0,50
17,406,250,211,239,0,50
17,406,250,3,1,0,50
17,34,0,1,7,235,50
17,0,5,15,1,44,50
17,0,23,33,7,235,50
17,0,5,127,1,44,50
17,0,23,265,7,235,50
17,0,5,157,1,44,50
17,6,3,0,23,44,50
17,0,5,161,1,44,50
17,6,3,0,7,235,50
17,0,5,188,1,44,50
17,6,42,81,5,0,50
17,179,45,379,2,0,50
17,6,42,463,116,71,50
17,179,280,29,2,0,50
17,179,45,11,3,0,50
17,6,18,5,1,44,50
17,179,45,19,5,0,50
17,179,45,11,5,0,50
17,179,45,164,1,0,50
17,179,45,19,24,0,50
17,179,45,212,24,0,50
17,179,45,164,1,44,50
17,179,45,251,24,0,50
17,101,28,11,3,0,50
17,101,28,15,5,0,50
17,101,28,41,23,0,50
17,101,28,11,5,0,50
17,101,28,59,3,0,50
17,101,28,41,23,44,50
17,101,28,98,3,0,50
17,101,28,15,1,0,50
17,101,28,144,23,0,50
17,6,37,7,1,0,50
17,101,28,181,137,71,50
17,101,28,144,23,44,50
17,6,37,7,1,44,50
17,101,28,498,3,0,50
17,179,268,5,1,0,50
17,64,23,0,7,235,50
17,179,268,5,1,44,50
17,6,42,4,3,0,50
17,101,126,427,7,235,50
17,27,323,287,3,0,50
17,76,162,44,1,0,50
17,364,51,5,1,0,50
