18,5,11,118
18,6,3,11,118
18,5,1,21,118
18,453,28,11,118
18,5,19,11,118
18,6,0,438,21,118
18,453,28,440,11,118
18,5,0,438,21,118
18,6,3,1,21,118
18,5,19,20,21,118
18,6,37,259,11,118
18,5,19,45,11,118
18,6,225,26,21,118
18,5,1,3,11,118
18,6,0,1,21,118
18,5,48,122,21,118
18,5,0,1,21,118
18,5,12,139,11,118
18,5,0,3,11,118
18,5,13,3,11,118
18,5,12,241,11,118
18,5,15,1,21,118
18,5,1,475,11,118
18,5,127,1,21,118
18,6,0,3,11,118
18,5,15,28,11,118
18,5,157,1,21,118
18,6,0,5,11,118
18,5,161,1,21,118
18,5,188,1,21,118
18,6,3,0,438,21,118
18,5,161,227,1,21,118
18,5,161,1,3,11,118
18,5,83,8,26,21,118
18,5,188,1,3,11,118
18,6,3,498,28,11,118
18,6,3,0,1,21,118
18,5,161,355,45,11,118
18,5,161,1,475,11,118
18,5,51,294,19,11,118
18,5,83,220,1,21,118
18,5,83,8,1,21,118
18,5,188,1,475,11,118
18,6,3,1,5,11,118
18,5,11,3,1,21,118
18,5,0,4,3,11,118
18,6,3,4,257,11,118
18,5,0,3,1,21,118
18,6,3,0,5,11,118
18,6,37,70,26,21,118
18,5,13,320,26,21,118
18,5,48,7,1,21,118
18,5,13,3,1,21,118
18,5,60,449,332,11,118
18,5,51,269,20,21,118
18,5,12,115,20,21,118
18,5,19,284,20,21,118
18,5,83,8,3,11,118
18,5,0,1,3,11,118
18,5,1,164,45,11,118
18,5,0,1,475,11,118
18,5,1,287,324,11,118
18,6,3,1,475,11,118
18,5,1,382,32,11,118
18,5,1,287,3,11,118
18,5,1,469,241,11,118
18,5,11,19,20,21,118
18,5,1,8,26,21,118
18,5,11,475,1,21,118
18,5,1,69,19,11,118
18,5,1,8,3,11,118
18,5,1,9,32,11,118
18,5,1,69,255,11,118
18,5,1,0,438,21,118
18,5,1,9,3,11,118
18,5,1,7,20,21,118
18,5,1,0,3,11,118
18,5,1,78,20,21,118
18,5,0,24,19,11,118
18,5,1,392,3,11,118
18,5,0,7,1,21,118
18,5,1,15,28,11,118
18,5,0,23,40,11,118
18,5,0,7,20,21,118
18,5,0,6,3,11,118
18,5,0,4,257,11,118
18,5,0,260,330,11,118
18,6,3,8,26,21,118
18,453,28,15,1,21,118
18,5,127,1,3,11,118
18,6,37,360,45,11,118
18,6,3,13,5,11,118
18,6,3,8,1,21,118
18,453,28,498,3,11,118
18,453,28,15,5,11,118
18,5,127,1,475,11,118
18,6,37,7,1,21,118
18,6,3,98,28,11,118
18,6,0,3,1,21,118
18,453,28,481,52,21,118
18,6,37,487,1,21,118
18,6,37,7,20,21,118
18,6,3,25,19,11,118
18,453,28,98,3,11,118
18,6,37,497,20,21,118
18,6,222,95,20,21,118
18,6,0,1,3,11,118
18,5,15,28,440,11,118
18,5,13,168,45,11,118
18,6,3,287,324,11,118
18,5,48,247,32,11,118
18,5,48,7,20,21,118
18,453,28,46,49,11,118
18,5,15,349,52,21,118
18,6,229,30,20,21,118
18,5,157,310,20,21,118
18,5,86,226,1,21,118
18,5,157,344,26,21,118
18,5,473,33,140,21,118
18,5,86,46,28,11,118
18,5,157,416,3,11,118
18,5,291,136,28,11,118
18,5,86,231,28,11,118
18,5,86,46,49,11,118
18,5,268,179,45,11,118
18,5,86,46,52,21,118
18,5,491,310,20,21,118
18,6,0,1,5,11,118
18,5,363,74,20,21,118
18,6,0,1,475,11,118
18,5,433,46,49,11,118
18,5,15,1,3,11,118
18,5,126,101,28,11,118
18,5,433,46,28,11,118
18,5,15,1,475,11,118
18,5,371,14,3,11,118
18,5,433,46,52,21,118
18,5,270,9,1,21,118
18,6,0,4,3,11,118
18,5,286,30,20,21,118
18,5,270,9,3,11,118
18,6,0,23,40,11,118
18,6,0,4,257,11,118
18,5,270,9,32,11,118
18,6,0,24,19,11,118
18,5,60,290,3,11,118
18,6,0,7,1,21,118
18,5,60,33,140,21,118
18,6,0,260,330,11,118
18,6,0,7,20,21,118
18,5,60,236,1,21,118
18,5,13,23,40,11,118
18,5,13,168,311,11,118
18,5,13,67,28,11,118
18,5,51,48,122,21,118
18,6,3,59,28,11,118
18,5,51,136,28,11,118
18,6,3,9,1,21,118
18,6,3,287,1,21,118
18,6,3,392,1,21,118
18,6,3,9,32,11,118
18,5,157,1,3,11,118
18,5,12,39,28,11,118
18,5,157,1,475,11,118
18,5,12,189,45,11,118
18,453,28,145,32,11,118
18,5,12,73,84,21,118
18,453,28,59,3,11,118
18,5,12,90,28,11,118
18,453,28,46,52,21,118
18,453,28,358,84,21,118
18,6,0,5,1,21,118
18,5,19,69,1,21,118
18,5,15,390,19,11,118
18,6,0,5,19,11,118
18,5,19,25,3,11,118
18,5,19,69,255,11,118
18,6,17,0,438,21,118
18,6,173,202,20,21,118
18,6,17,76,19,11,118
18,6,17,0,1,21,118
18,6,42,81,5,11,118
18,6,17,313,19,11,118
18,6,17,0,3,11,118
18,6,199,108,1,21,118
18,6,42,4,3,11,118
18,6,17,101,28,11,118
18,6,17,0,5,11,118
18,6,211,250,3,11,118
18,6,42,151,45,11,118
18,6,42,4,257,11,118
18,6,17,179,45,11,118
18,6,17,319,45,11,118
18,5,126,427,7,1,21,118
18,5,83,8,10,89,21,118
18,5,126,101,28,440,11,118
18,5,433,46,28,440,11,118
18,5,15,1,164,45,11,118
18,5,86,231,28,440,11,118
18,5,19,20,7,1,21,118
18,5,371,14,3,1,21,118
18,5,1,69,19,20,21,118
18,5,433,46,33,140,21,118
18,5,291,136,28,440,11,118
18,5,157,416,3,1,21,118
18,5,270,9,1,3,11,118
18,5,157,310,20,19,11,118
18,5,83,8,3,1,21,118
18,5,1,164,45,19,11,118
18,6,0,4,3,1,21,118
18,5,309,272,7,20,21,118
18,5,1,69,359,139,11,118
18,5,286,429,48,122,21,118
18,5,286,30,54,19,11,118
18,5,1,8,133,3,11,118
18,5,270,9,3,1,21,118
18,6,0,23,13,5,11,118
18,5,157,310,454,219,21,118
18,5,1,7,20,19,11,118
18,6,0,24,73,84,21,118
18,6,0,24,19,5,11,118
18,5,11,241,469,1,21,118
18,5,1,0,4,3,11,118
18,5,60,290,3,1,21,118
18,5,11,255,69,1,21,118
