19,5,127
19,11,5,127
19,5,1,127
19,69,1,127
19,11,5,1,127
19,5,0,1,127
19,20,21,1,127
19,69,1,5,127
19,5,15,1,127
19,24,0,1,127
19,20,7,1,127
19,45,164,1,127
19,24,0,5,127
19,20,78,1,127
19,390,15,5,127
19,45,11,5,127
19,11,3,1,127
19,25,3,1,127
19,5,157,1,127
19,294,51,5,127
19,5,161,1,127
19,390,15,1,127
19,5,188,1,127
19,11,475,1,127
19,20,78,1,5,127
19,11,3,0,1,127
19,25,3,0,1,127
19,20,7,1,5,127
19,24,298,44,1,127
19,25,3,1,5,127
19,11,475,1,5,127
19,5,0,3,1,127
19,284,20,21,1,127
19,294,51,48,5,127
19,24,0,1,5,127
19,20,21,1,5,127
19,20,7,0,1,127
19,294,51,5,1,127
19,5,161,227,1,127
19,20,7,22,1,127
19,20,7,0,5,127
19,390,15,1,5,127
19,20,7,48,5,127
19,5,11,3,1,127
19,45,164,1,5,127
19,11,32,382,1,127
19,5,83,220,1,127
19,5,11,475,1,127
19,11,241,469,1,127
19,24,0,3,1,127
19,11,32,9,1,127
19,5,13,3,1,127
19,5,83,8,1,127
19,11,255,69,1,127
19,11,241,12,5,127
19,24,0,7,1,127
19,11,3,8,1,127
19,5,86,226,1,127
19,11,139,12,5,127
19,24,0,5,1,127
19,20,30,286,5,127
19,390,15,5,1,127
19,11,3,0,5,127
19,25,3,8,1,127
19,25,3,0,5,127
19,11,3,9,1,127
19,5,60,230,273,127
19,69,114,7,1,127
19,69,1,0,5,127
19,24,73,134,1,127
19,11,324,287,1,127
19,20,269,51,5,127
19,11,28,15,1,127
19,20,74,363,5,127
19,11,45,164,1,127
19,11,28,15,5,127
19,20,115,12,5,127
19,11,118,21,1,127
19,20,95,296,1,127
19,11,5,0,1,127
19,20,310,157,5,127
19,11,5,15,1,127
19,20,204,44,1,127
19,20,310,491,5,127
19,20,310,157,1,127
19,11,5,157,1,127
19,45,11,5,1,127
19,11,5,161,1,127
19,5,0,7,1,127
19,11,5,188,1,127
19,25,3,9,1,127
19,45,92,78,1,127
19,25,3,11,5,127
19,45,109,169,1,127
19,25,3,13,5,127
19,45,168,13,5,127
19,25,3,287,1,127
19,45,179,268,5,127
19,25,3,392,1,127
19,45,355,161,1,127
19,54,30,286,5,127
19,45,189,12,5,127
19,45,355,161,5,127
19,76,17,0,1,127
19,45,166,35,1,127
19,11,3,287,1,127
19,308,301,100,1,127
19,76,162,44,1,127
19,76,17,0,5,127
19,45,402,472,1,127
19,11,3,13,5,127
19,313,17,0,1,127
19,284,20,7,1,127
19,11,3,392,1,127
19,313,17,0,5,127
19,284,20,78,1,127
19,5,270,9,1,127
19,45,11,3,1,127
19,5,60,236,1,127
19,5,48,7,1,127
19,69,255,11,5,127
19,45,11,475,1,127
19,11,3,1,5,127
19,69,1,188,5,127
19,24,272,7,1,127
19,24,73,12,5,127
19,69,1,15,5,127
19,24,58,12,5,127
19,24,272,309,5,127
19,69,1,157,5,127
19,24,245,12,5,127
19,69,1,161,5,127
19,20,74,363,5,1,127
19,11,45,92,78,1,127
19,45,168,13,5,1,127
19,25,3,287,1,5,127
19,45,179,268,5,1,127
19,11,324,287,3,1,127
19,11,45,109,169,1,127
19,11,3,8,1,5,127
19,11,45,164,1,5,127
19,20,115,12,5,1,127
19,11,330,260,0,1,127
19,11,45,168,13,5,127
19,24,73,134,1,5,127
19,390,15,1,0,5,127
19,11,40,23,0,1,127
19,11,330,260,100,1,127
19,11,330,260,0,5,127
19,11,45,179,268,5,127
19,390,15,1,188,5,127
19,11,332,449,60,5,127
19,11,40,23,13,5,127
19,11,40,23,0,5,127
19,11,45,355,161,1,127
19,390,15,1,157,5,127
19,11,118,21,1,5,127
19,20,310,157,5,1,127
19,20,7,0,5,1,127
19,11,311,168,13,5,127
19,11,40,23,44,1,127
19,20,7,33,473,5,127
19,11,45,189,12,5,127
19,11,45,355,161,5,127
19,20,269,51,5,1,127
19,11,3,0,1,5,127
19,390,15,1,161,5,127
19,11,5,0,3,1,127
19,20,269,51,48,5,127
19,20,7,48,51,5,127
19,11,361,109,169,1,127
19,11,324,287,1,5,127
19,20,7,0,1,5,127
19,5,157,416,3,1,127
19,25,3,0,1,5,127
19,24,298,44,1,5,127
19,20,7,37,487,1,127
19,20,7,33,35,1,127
19,5,11,3,0,1,127
19,20,497,37,487,1,127
19,11,45,166,35,1,127
19,294,51,5,0,1,127
19,20,204,44,1,5,127
19,20,310,365,69,1,127
19,11,5,0,7,1,127
19,25,396,45,11,5,127
19,45,164,1,0,5,127
19,24,0,7,1,5,127
19,45,11,5,0,1,127
19,11,5,161,227,1,127
19,5,0,4,3,1,127
19,11,49,46,433,5,127
19,54,30,286,5,1,127
19,5,157,432,293,1,127
19,11,32,382,1,5,127
19,11,5,83,220,1,127
19,20,7,114,69,1,127
19,20,7,33,60,5,127
19,5,0,7,22,1,127
19,5,11,3,8,1,127
19,20,470,45,11,5,127
19,20,95,296,1,5,127
19,390,15,61,48,5,127
