19,24
19,5,0,24
19,45,212,24
19,45,251,24
19,5,1,0,24
19,25,254,58,24
19,5,12,58,24
19,25,3,0,24
19,5,309,272,24
19,5,12,73,24
19,20,7,0,24
19,5,12,245,24
19,11,3,0,24
19,20,7,272,24
19,69,1,0,24
19,11,32,285,24
19,76,17,0,24
19,11,5,0,24
19,313,17,0,24
19,11,45,212,24
19,11,45,251,24
19,20,470,45,212,24
19,11,5,1,0,24
19,313,17,6,0,24
19,284,20,7,0,24
19,11,40,279,73,24
19,20,115,12,58,24
19,20,470,45,251,24
19,5,0,7,272,24
19,5,12,2,0,24
19,11,5,12,58,24
19,313,17,34,0,24
19,11,3,1,0,24
19,294,51,160,0,24
19,20,7,1,0,24
19,284,20,7,272,24
19,11,257,4,0,24
19,69,114,7,272,24
19,11,259,443,272,24
19,69,232,23,0,24
19,69,114,7,0,24
19,11,330,260,0,24
19,25,396,45,212,24
19,11,475,1,0,24
19,25,396,45,251,24
19,11,139,12,58,24
19,11,40,23,0,24
19,11,241,12,58,24
19,11,139,12,73,24
19,11,241,12,73,24
19,11,139,12,245,24
19,11,241,12,245,24
19,20,21,438,0,24
19,20,115,12,73,24
19,20,204,44,298,24
19,20,21,1,0,24
19,69,1,3,0,24
19,25,3,1,0,24
19,20,115,12,245,24
19,20,74,94,0,24
19,20,21,84,73,24
19,69,1,5,0,24
19,25,3,4,0,24
19,11,5,309,272,24
19,20,78,1,0,24
19,20,21,84,261,24
19,69,1,7,0,24
19,25,3,6,0,24
19,5,1,3,0,24
19,45,11,32,285,24
19,11,5,12,73,24
19,5,11,32,285,24
19,11,3,4,0,24
19,5,13,3,0,24
19,5,11,3,0,24
19,11,3,6,0,24
19,5,15,1,0,24
19,5,13,23,0,24
19,5,11,45,212,24
19,5,18,6,0,24
19,5,11,45,251,24
19,5,48,7,0,24
19,69,1,44,298,24
19,5,51,160,0,24
19,5,48,7,272,24
19,69,1,134,73,24
19,5,127,1,0,24
19,69,1,7,272,24
19,5,157,1,0,24
19,76,162,44,298,24
19,5,161,1,0,24
19,308,301,4,0,24
19,5,188,1,0,24
19,390,424,23,0,24
19,5,1,7,0,24
19,390,15,1,0,24
19,5,1,44,298,24
19,5,1,7,272,24
19,390,15,5,0,24
19,5,1,134,73,24
19,76,17,6,0,24
19,294,51,5,0,24
19,76,17,34,0,24
19,45,85,399,285,24
19,45,11,3,0,24
19,11,5,12,245,24
19,45,164,1,0,24
19,45,11,5,0,24
19,45,179,17,0,24
19,45,189,12,58,24
19,45,319,17,0,24
19,45,189,12,73,24
19,45,379,2,0,24
19,45,189,12,245,24
19,5,13,23,44,298,24
19,5,13,3,1,0,24
19,5,18,6,3,0,24
19,69,255,11,3,0,24
19,69,232,403,316,0,24
19,5,48,493,495,212,24
19,5,12,73,84,261,24
19,20,7,1,3,0,24
19,313,17,0,7,272,24
19,69,232,23,44,298,24
19,11,3,9,32,285,24
19,69,114,7,1,0,24
19,5,51,364,17,0,24
19,11,3,6,17,0,24
19,5,48,7,1,0,24
19,69,1,471,399,285,24
19,11,45,85,399,285,24
19,25,3,0,7,272,24
19,5,127,1,3,0,24
19,25,221,186,17,0,24
19,5,157,416,3,0,24
19,5,157,1,3,0,24
19,11,475,1,3,0,24
19,76,162,44,1,0,24
19,5,157,1,7,0,24
19,11,475,1,5,0,24
19,76,162,44,23,0,24
19,5,157,1,44,298,24
19,5,157,1,7,272,24
19,11,475,1,7,0,24
19,76,162,44,50,0,24
19,5,157,1,134,73,24
19,11,475,1,44,298,24
19,11,475,1,7,272,24
19,76,162,44,56,0,24
