19,25,3,281
19,11,3,281
19,25,3,281
19,5,0,3,281
19,24,0,3,281
19,5,1,3,281
19,45,53,38,281
19,5,11,3,281
19,69,1,3,281
19,5,13,3,281
19,45,11,3,281
19,11,3,9,38,281
19,20,30,430,38,281
19,69,255,11,3,281
19,24,0,1,3,281
19,69,1,0,3,281
19,5,15,1,3,281
19,25,3,9,38,281
19,69,1,8,3,281
19,5,18,6,3,281
19,45,164,1,3,281
19,69,1,9,3,281
19,5,60,290,3,281
19,45,168,13,3,281
19,69,1,287,3,281
19,69,1,9,38,281
19,11,5,0,3,281
19,5,1,0,3,281
19,5,66,210,38,281
19,45,396,25,3,281
19,54,30,430,38,281
19,69,1,392,3,281
19,76,17,0,3,281
19,20,7,0,3,281
19,313,17,34,38,281
19,76,17,6,3,281
19,20,21,1,3,281
19,20,7,1,3,281
19,390,15,1,3,281
19,313,17,0,3,281
19,76,17,34,38,281
19,20,78,1,3,281
19,308,301,4,3,281
19,313,17,6,3,281
19,5,0,1,3,281
19,11,28,498,3,281
19,11,5,1,3,281
19,5,0,4,3,281
19,11,257,4,3,281
19,11,28,59,3,281
19,11,5,13,3,281
19,5,0,6,3,281
19,11,45,53,38,281
19,11,28,98,3,281
19,5,1,8,3,281
19,5,0,34,38,281
19,11,324,287,3,281
19,24,0,4,3,281
19,5,83,8,3,281
19,5,1,9,3,281
19,5,127,1,3,281
19,5,1,287,3,281
19,5,1,9,38,281
19,5,157,1,3,281
19,5,1,392,3,281
19,5,270,9,3,281
19,5,157,416,3,281
19,5,161,1,3,281
19,5,270,9,38,281
19,5,188,1,3,281
19,11,32,9,3,281
19,5,371,14,3,281
19,11,475,1,3,281
19,11,32,197,38,281
19,11,32,9,38,281
19,24,0,6,3,281
19,24,0,34,38,281
19,5,1,9,88,38,281
19,69,1,5,0,3,281
19,5,11,28,498,3,281
19,5,11,3,9,38,281
19,76,17,0,1,3,281
19,5,157,1,0,3,281
19,5,1,191,8,3,281
19,54,30,16,47,3,281
19,24,0,1,8,3,281
19,5,13,3,9,38,281
19,5,15,16,47,3,281
19,5,157,253,13,3,281
19,45,11,3,9,38,281
19,24,0,3,9,38,281
19,20,7,0,1,3,281
19,5,161,227,1,3,281
19,5,15,1,0,3,281
19,5,161,1,0,3,281
19,5,270,9,1,3,281
19,5,83,8,1,3,281
19,69,1,0,4,3,281
19,313,17,34,0,3,281
19,25,3,0,34,38,281
19,5,188,1,0,3,281
19,5,127,1,0,3,281
19,76,162,44,1,3,281
19,25,396,45,11,3,281
19,24,285,32,9,3,281
19,76,17,6,0,3,281
19,5,48,122,135,38,281
19,5,83,220,1,3,281
19,25,3,9,88,38,281
19,20,21,26,8,3,281
19,11,49,46,141,38,281
19,11,475,1,0,3,281
19,11,32,367,59,3,281
19,20,21,1,0,3,281
19,11,32,9,1,3,281
19,20,7,22,1,3,281
19,69,1,8,133,3,281
19,5,18,6,0,3,281
19,24,0,2,14,3,281
19,20,7,1,0,3,281
19,390,424,23,0,3,281
19,24,0,23,401,38,281
19,20,7,1,8,3,281
19,390,424,23,13,3,281
19,24,0,316,9,3,281
19,24,0,23,13,3,281
19,20,7,1,9,3,281
19,390,424,23,401,38,281
19,24,0,412,197,38,281
19,24,0,316,9,38,281
19,20,7,1,287,3,281
19,20,7,1,9,38,281
19,24,0,5,1,3,281
19,20,7,1,392,3,281
19,69,1,7,0,3,281
19,24,0,17,6,3,281
19,24,0,5,11,3,281
19,69,1,191,8,3,281
19,24,0,148,8,3,281
19,24,0,17,34,38,281
19,24,0,5,13,3,281
19,69,1,317,8,3,281
19,24,0,7,1,3,281
19,69,1,5,11,3,281
19,69,1,93,8,3,281
19,390,15,5,0,3,281
19,69,1,5,13,3,281
19,69,1,152,34,38,281
19,390,15,16,47,3,281
19,390,15,5,1,3,281
19,5,11,257,4,3,281
19,69,1,475,11,3,281
19,390,15,28,498,3,281
19,390,15,5,11,3,281
19,5,11,45,53,38,281
19,69,1,100,8,3,281
19,390,15,113,4,3,281
19,390,15,28,11,3,281
19,390,15,5,13,3,281
19,5,11,324,287,3,281
19,69,1,157,416,3,281
19,390,15,28,59,3,281
19,5,13,23,401,38,281
19,5,11,32,9,3,281
19,45,164,1,0,3,281
19,390,15,1,0,3,281
19,5,11,28,59,3,281
19,69,1,22,327,3,281
19,390,15,28,98,3,281
