19,20,74
19,5,363,74
19,284,20,74
19,20,72,31,74
19,5,0,94,74
19,11,5,363,74
19,5,13,31,74
19,24,0,94,74
19,45,470,20,74
19,54,30,20,74
19,11,3,13,31,74
19,45,168,13,31,74
19,25,3,13,31,74
19,54,30,16,31,74
19,11,45,470,20,74
19,11,5,0,94,74
19,5,491,310,20,74
19,11,3,0,94,74
19,11,5,13,31,74
19,5,51,269,20,74
19,11,3,75,31,74
19,45,11,5,363,74
19,5,1,0,94,74
19,45,92,78,20,74
19,5,12,115,20,74
19,20,30,16,31,74
19,5,0,7,20,74
19,69,365,310,20,74
19,5,1,7,20,74
19,45,192,72,20,74
19,24,272,7,20,74
19,45,132,30,20,74
19,45,192,72,31,74
19,45,146,30,20,74
19,5,15,16,31,74
19,25,3,0,94,74
19,5,48,7,20,74
19,25,3,75,31,74
19,5,157,310,20,74
19,20,7,0,94,74
19,5,286,30,20,74
19,284,20,72,31,74
19,54,30,128,31,74
19,20,30,128,31,74
19,24,0,5,363,74
19,390,15,5,363,74
19,69,1,5,363,74
19,24,0,7,20,74
19,294,51,269,20,74
19,390,15,16,31,74
19,69,114,7,20,74
19,69,1,0,94,74
19,76,17,0,94,74
19,294,51,5,363,74
19,11,118,21,20,74
19,69,117,80,31,74
19,69,1,7,20,74
19,313,17,0,94,74
19,69,1,21,20,74
19,5,1,21,20,74
19,69,1,57,31,74
19,5,1,57,31,74
19,69,1,78,20,74
19,5,1,78,20,74
19,24,58,12,115,20,74
19,24,272,7,0,94,74
19,313,17,6,0,94,74
19,313,17,0,5,363,74
19,69,1,7,0,94,74
19,308,301,4,0,94,74
19,69,1,3,0,94,74
19,54,30,20,72,31,74
19,45,132,30,16,31,74
19,5,1,3,13,31,74
19,24,73,12,115,20,74
19,45,85,354,16,31,74
19,24,58,12,5,363,74
19,313,17,34,0,94,74
19,45,11,5,0,94,74
19,11,3,0,5,363,74
19,45,146,30,16,31,74
19,313,17,0,7,20,74
19,11,5,491,310,20,74
19,5,15,1,0,94,74
19,5,15,16,30,20,74
19,24,272,309,5,363,74
19,5,1,7,0,94,74
19,11,5,0,7,20,74
19,25,3,0,5,363,74
19,69,1,15,16,31,74
19,69,1,3,13,31,74
19,5,51,177,13,31,74
19,45,132,30,128,31,74
19,5,48,51,269,20,74
19,5,1,15,16,31,74
19,45,470,20,72,31,74
19,5,48,7,0,94,74
19,5,1,3,0,94,74
19,25,3,1,0,94,74
19,24,245,12,115,20,74
19,24,73,84,21,20,74
19,11,3,1,0,94,74
19,24,73,12,5,363,74
19,45,189,12,5,363,74
19,45,85,52,21,20,74
19,11,45,168,13,31,74
19,5,13,3,75,31,74
19,5,157,253,13,31,74
19,20,21,1,57,31,74
19,45,11,5,13,31,74
19,20,7,1,0,94,74
19,11,3,0,7,20,74
19,45,146,30,128,31,74
19,11,3,13,5,363,74
19,20,7,0,5,363,74
19,5,11,118,21,20,74
19,11,5,51,269,20,74
19,45,11,3,13,31,74
19,5,473,33,7,20,74
19,5,11,3,13,31,74
19,11,5,1,0,94,74
19,45,11,118,21,20,74
19,45,11,3,0,94,74
19,5,86,46,80,31,74
19,5,11,45,470,20,74
19,5,11,3,0,94,74
19,11,5,12,115,20,74
19,11,5,1,7,20,74
19,45,11,3,75,31,74
19,5,126,427,7,20,74
19,5,86,46,263,94,74
19,5,11,3,75,31,74
19,11,5,15,16,31,74
19,11,5,1,21,20,74
19,5,127,1,0,94,74
19,11,5,48,7,20,74
19,11,5,1,57,31,74
19,5,161,1,0,94,74
19,5,127,1,7,20,74
19,11,5,157,310,20,74
19,11,5,1,78,20,74
19,5,188,1,0,94,74
19,5,286,30,16,31,74
19,5,161,1,7,20,74
19,5,127,1,21,20,74
19,11,5,286,30,20,74
19,5,309,272,7,20,74
19,5,188,1,7,20,74
19,5,286,30,128,31,74
19,5,161,1,21,20,74
19,5,127,1,57,31,74
19,5,433,46,263,94,74
19,5,188,1,21,20,74
19,5,161,1,57,31,74
19,5,15,1,7,20,74
19,5,127,1,78,20,74
19,5,18,6,0,94,74
19,5,433,46,80,31,74
19,5,188,1,57,31,74
19,5,161,1,78,20,74
19,5,15,1,21,20,74
19,5,60,33,7,20,74
19,5,188,1,78,20,74
19,5,15,1,57,31,74
19,5,66,65,57,31,74
19,5,60,65,57,31,74
19,5,15,1,78,20,74
19,45,168,13,5,363,74
19,54,30,156,375,20,74
19,24,0,5,13,31,74
19,5,15,16,494,31,74
19,284,20,30,16,31,74
19,20,30,286,5,363,74
19,54,30,286,5,363,74
19,25,3,0,7,20,74
19,69,1,22,7,20,74
19,69,1,15,5,363,74
19,284,20,7,0,94,74
19,284,20,30,128,31,74
19,5,1,0,7,20,74
19,69,1,3,75,31,74
19,5,13,31,72,20,74
19,69,1,44,204,20,74
19,5,51,48,7,20,74
19,390,15,5,0,94,74
19,390,424,23,0,94,74
19,5,48,122,21,20,74
19,5,1,22,7,20,74
19,69,1,97,80,31,74
19,5,51,160,0,94,74
19,390,15,5,13,31,74
19,390,424,459,7,20,74
19,69,1,5,0,94,74
19,24,0,1,5,363,74
19,390,424,23,13,31,74
19,5,1,296,95,20,74
19,25,396,45,470,20,74
19,5,1,3,75,31,74
19,69,1,127,5,363,74
19,5,12,107,7,20,74
19,25,3,4,0,94,74
19,25,3,1,5,363,74
19,20,30,16,494,31,74
19,390,15,16,30,20,74
19,390,15,1,0,94,74
19,24,212,45,470,20,74
19,69,1,5,13,31,74
19,24,0,3,13,31,74
19,24,245,12,5,363,74
19,24,0,1,7,20,74
19,5,1,44,204,20,74
19,69,114,173,202,20,74
19,25,388,142,30,20,74
19,11,3,4,0,94,74
19,69,1,157,5,363,74
19,11,3,1,5,363,74
19,5,12,2,0,94,74
19,69,114,7,0,94,74
19,5,0,23,13,31,74
19,25,3,6,0,94,74
19,45,179,17,0,94,74
19,25,3,1,7,20,74
19,45,179,268,5,363,74
19,25,3,1,21,20,74
19,45,189,12,115,20,74
19,25,3,1,57,31,74
19,390,15,16,494,31,74
19,25,3,1,78,20,74
19,25,3,13,5,363,74
19,390,15,1,5,363,74
19,24,251,45,470,20,74
19,390,15,1,7,20,74
19,24,261,84,21,20,74
19,390,15,1,21,20,74
19,24,298,44,204,20,74
19,390,15,1,57,31,74
19,69,1,0,5,363,74
19,390,15,1,78,20,74
19,69,1,0,7,20,74
19,11,45,92,78,20,74
19,54,30,16,494,31,74
19,11,45,192,72,20,74
19,76,162,44,204,20,74
19,11,45,132,30,20,74
19,11,45,192,72,31,74
19,11,45,146,30,20,74
19,76,17,6,0,94,74
19,5,13,23,0,94,74
19,76,17,34,0,94,74
19,24,0,99,80,31,74
19,24,0,3,75,31,74
19,24,0,23,13,31,74
19,5,13,3,0,94,74
19,24,0,438,21,20,74
19,24,0,1,21,20,74
19,5,1,97,80,31,74
19,24,0,1,57,31,74
19,5,1,157,310,20,74
19,24,0,1,78,20,74
19,76,17,0,5,363,74
19,5,157,1,0,94,74
19,76,17,0,7,20,74
19,5,157,1,7,20,74
19,69,114,224,13,31,74
19,5,157,1,21,20,74
19,294,51,48,5,363,74
19,5,157,1,57,31,74
19,294,51,160,0,94,74
19,294,51,48,7,20,74
19,5,157,1,78,20,74
19,294,51,177,13,31,74
19,20,310,491,5,363,74
19,11,3,6,0,94,74
19,20,78,1,57,31,74
19,20,310,157,5,363,74
19,11,3,47,16,31,74
19,20,115,12,5,363,74
19,20,78,1,0,94,74
19,20,269,51,5,363,74
19,20,78,1,5,363,74
19,294,51,5,0,94,74
19,11,257,4,0,94,74
19,294,51,5,13,31,74
19,11,28,183,16,31,74
19,20,21,438,0,94,74
19,11,40,23,13,31,74
19,11,28,15,5,363,74
19,11,49,46,80,31,74
19,11,40,209,95,20,74
19,11,40,23,0,94,74
19,11,28,46,80,31,74
19,11,28,15,16,31,74
19,11,311,168,13,31,74
19,11,49,46,263,94,74
19,11,28,67,13,31,74
19,11,28,46,263,94,74
19,11,330,260,0,94,74
19,11,28,404,72,20,74
19,11,332,104,16,31,74
19,11,28,404,72,31,74
19,11,475,1,5,363,74
19,69,1,161,5,363,74
19,11,139,12,5,363,74
19,11,475,1,0,94,74
19,69,1,188,5,363,74
19,11,241,12,5,363,74
19,11,139,12,115,20,74
19,11,475,1,7,20,74
19,69,1,296,95,20,74
19,11,259,37,7,20,74
19,11,241,12,115,20,74
19,11,475,1,21,20,74
19,11,259,37,497,20,74
19,11,475,1,57,31,74
19,20,21,1,0,94,74
19,11,475,1,78,20,74
19,20,21,1,5,363,74
19,69,1,157,310,20,74
19,11,3,1,7,20,74
19,5,12,185,72,20,74
19,11,3,1,21,20,74
19,5,12,185,72,31,74
19,11,3,1,57,31,74
19,69,255,11,5,363,74
19,11,3,1,78,20,74
19,69,232,23,0,94,74
19,20,7,48,5,363,74
19,69,232,23,13,31,74
19,5,0,1,57,31,74
19,20,7,1,5,363,74
19,5,0,3,13,31,74
19,5,0,1,7,20,74
19,20,7,1,57,31,74
19,5,0,99,80,31,74
19,5,0,3,75,31,74
19,5,0,1,21,20,74
19,5,0,438,21,20,74
19,5,0,1,78,20,74
19,25,3,11,5,363,74
19,45,193,117,80,31,74
19,25,3,47,16,31,74
19,45,355,161,5,363,74
19,45,360,37,497,20,74
19,45,402,462,57,31,74
19,45,360,37,7,20,74
19,45,164,1,5,363,74
19,45,109,219,21,20,74
19,45,164,1,0,94,74
19,45,319,17,0,94,74
19,45,109,238,7,20,74
19,45,164,1,7,20,74
19,45,379,2,0,94,74
19,45,164,1,21,20,74
19,45,212,24,0,94,74
19,45,164,1,57,31,74
19,45,251,24,0,94,74
19,45,164,1,78,20,74
19,45,179,268,5,0,94,74
19,5,491,310,20,72,31,74
19,69,1,57,31,72,20,74
19,76,17,6,3,0,94,74
19,76,17,6,0,5,363,74
19,5,13,224,114,7,20,74
19,45,11,3,0,5,363,74
19,5,13,23,44,204,20,74
19,5,13,23,0,7,20,74
19,76,17,364,51,269,20,74
19,45,179,17,6,0,94,74
19,5,15,16,31,72,20,74
19,5,86,226,1,0,94,74
19,76,17,34,0,5,363,74
19,5,1,78,20,72,31,74
19,24,0,3,1,5,363,74
19,69,1,0,5,13,31,74
19,5,11,257,4,0,94,74
19,24,0,23,44,204,20,74
19,24,0,23,13,5,363,74
19,390,15,1,3,0,94,74
19,25,3,13,23,0,94,74
19,11,5,12,107,7,20,74
19,5,13,3,0,7,20,74
19,24,0,143,124,30,20,74
19,11,5,1,7,0,94,74
19,5,13,3,1,0,94,74
19,313,17,0,5,13,31,74
19,45,11,3,1,0,94,74
19,5,1,69,365,310,20,74
19,5,1,157,253,13,31,74
19,24,0,1,188,5,363,74
19,24,272,7,20,72,31,74
19,24,251,45,168,13,31,74
19,69,1,78,20,72,31,74
19,76,17,0,5,13,31,74
19,5,157,174,48,7,20,74
19,24,272,7,1,0,94,74
19,5,157,1,0,7,20,74
19,390,15,1,5,0,94,74
19,76,17,0,1,5,363,74
19,5,126,409,177,13,31,74
19,5,126,427,7,0,94,74
