1,3,25
1,0,3,25
1,5,19,25
1,8,3,25
1,9,3,25
1,69,19,25
1,287,3,25
1,392,3,25
1,5,0,3,25
1,3,11,19,25
1,0,4,3,25
1,8,133,3,25
1,0,5,19,25
1,7,0,3,25
1,0,6,3,25
1,5,11,3,25
1,15,390,19,25
1,7,20,19,25
1,35,120,338,25
1,15,5,19,25
1,93,8,3,25
1,0,24,19,25
1,21,20,19,25
1,5,13,3,25
1,22,327,3,25
1,5,11,19,25
1,475,11,3,25
1,317,8,3,25
1,475,11,19,25
1,164,45,396,25
1,157,416,3,25
1,164,45,19,25
1,127,5,19,25
1,157,5,19,25
1,78,20,19,25
1,161,5,19,25
1,188,5,19,25
1,191,8,3,25
1,100,8,3,25
1,9,3,11,19,25
1,7,20,284,19,25
1,78,92,45,396,25
1,78,20,284,19,25
1,157,5,0,3,25
1,127,5,0,3,25
1,161,264,314,221,25
1,3,11,5,19,25
1,161,5,0,3,25
1,157,253,372,3,25
1,35,77,9,3,25
1,188,5,0,3,25
1,9,38,281,3,25
1,15,16,47,3,25
1,191,8,133,3,25
1,3,0,5,19,25
1,8,3,11,19,25
1,5,19,11,3,25
1,57,31,75,3,25
1,100,301,308,19,25
1,15,5,0,3,25
1,100,8,133,3,25
1,8,148,0,3,25
1,93,8,133,3,25
1,0,2,14,3,25
1,8,83,5,19,25
1,78,312,47,3,25
1,0,17,6,3,25
1,8,10,120,338,25
1,69,19,11,3,25
1,0,23,13,3,25
1,0,17,76,19,25
1,69,19,45,396,25
1,0,148,8,3,25
1,0,17,186,221,25
1,0,3,11,19,25
1,0,316,9,3,25
1,0,17,313,19,25
1,78,92,45,19,25
1,157,5,11,3,25
1,0,7,20,19,25
1,0,24,58,254,25
1,127,5,11,3,25
1,157,5,13,3,25
1,157,5,11,19,25
1,69,255,11,3,25
1,127,5,13,3,25
1,127,5,11,19,25
1,21,26,8,3,25
1,161,355,45,19,25
1,69,255,11,19,25
1,21,20,284,19,25
1,3,11,45,19,25
1,21,118,11,3,25
1,161,355,45,396,25
1,22,7,0,3,25
1,287,3,11,19,25
1,161,5,11,3,25
1,157,310,20,19,25
1,3,11,45,396,25
1,21,438,0,3,25
1,21,118,11,19,25
1,22,217,133,3,25
1,22,7,20,19,25
1,157,253,13,3,25
1,35,166,45,19,25
1,161,5,13,3,25
1,161,5,11,19,25
1,5,11,45,19,25
1,188,5,11,3,25
1,9,32,11,3,25
1,35,166,45,396,25
1,0,5,11,3,25
1,7,0,4,3,25
1,15,28,59,3,25
1,287,324,11,3,25
1,5,11,45,396,25
1,188,5,13,3,25
1,188,5,11,19,25
1,9,270,5,19,25
1,317,8,133,3,25
1,475,11,5,19,25
1,3,13,5,19,25
1,9,32,11,19,25
1,0,5,13,3,25
1,0,5,11,19,25
1,3,0,24,19,25
1,7,0,5,19,25
1,15,113,4,3,25
1,15,28,11,3,25
1,5,19,45,396,25
1,15,28,98,3,25
1,15,28,11,19,25
1,15,28,498,3,25
1,287,324,11,19,25
1,9,316,0,3,25
1,392,3,11,19,25
1,5,12,58,254,25
1,220,83,8,3,25
1,5,15,390,19,25
1,44,162,76,19,25
1,220,83,5,19,25
1,5,18,6,3,25
1,169,109,45,396,25
1,44,23,0,3,25
1,5,51,294,19,25
1,472,402,45,396,25
1,169,109,45,19,25
1,44,50,0,3,25
1,44,23,13,3,25
1,5,60,290,3,25
1,116,71,47,3,25
1,472,402,45,19,25
1,44,56,0,3,25
1,5,157,416,3,25
1,227,161,5,19,25
1,44,204,20,19,25
1,5,270,9,3,25
1,382,32,11,19,25
1,44,298,24,19,25
1,5,83,8,3,25
1,487,37,6,3,25
1,382,32,9,3,25
1,382,32,11,3,25
1,5,371,14,3,25
1,108,199,6,3,25
1,475,11,45,396,25
1,152,34,0,3,25
1,475,11,45,19,25
1,296,95,20,19,25
1,7,22,327,3,25
1,441,131,186,221,25
1,7,114,69,19,25
1,226,86,5,19,25
1,7,48,5,19,25
1,469,241,11,3,25
1,7,272,24,19,25
1,134,73,24,19,25
