1,9,316
1,0,316
1,9,316
1,3,0,316
1,5,0,316
1,3,9,316
1,7,0,316
1,9,3,0,316
1,21,438,0,316
1,0,3,9,316
1,5,270,9,316
1,8,3,0,316
1,3,4,0,316
1,15,5,0,316
1,8,148,0,316
1,8,3,9,316
1,3,6,0,316
1,22,7,0,316
1,35,77,9,316
1,382,32,9,316
1,287,3,9,316
1,69,232,403,316
1,287,3,0,316
1,392,3,0,316
1,44,23,0,316
1,392,3,9,316
1,127,5,0,316
1,44,50,0,316
1,152,34,0,316
1,44,56,0,316
1,157,5,0,316
1,161,5,0,316
1,188,5,0,316
1,100,260,0,316
1,9,270,5,0,316
1,161,5,270,9,316
1,188,5,270,9,316
1,116,71,50,0,316
1,100,8,3,0,316
1,9,38,34,0,316
1,134,180,176,9,316
1,69,19,5,0,316
1,100,124,143,0,316
1,100,8,148,0,316
1,100,8,3,9,316
1,5,0,3,9,316
1,9,3,4,0,316
1,287,3,4,0,316
1,97,80,99,0,316
1,134,73,24,0,316
1,69,232,23,0,316
1,22,327,3,0,316
1,69,114,7,0,316
1,69,19,24,0,316
1,7,33,176,9,316
1,100,301,4,0,316
1,7,0,3,9,316
1,15,5,270,9,316
1,392,3,4,0,316
1,9,3,6,0,316
1,392,3,6,0,316
1,15,113,4,0,316
1,127,5,270,9,316
1,287,3,6,0,316
1,487,37,6,0,316
1,8,100,260,0,316
1,475,11,3,0,316
1,487,37,7,0,316
1,8,228,77,9,316
1,191,8,3,9,316
1,475,11,5,0,316
1,475,11,3,9,316
1,8,10,2,0,316
1,93,8,3,9,316
1,191,8,148,0,316
1,191,8,3,0,316
1,475,11,32,9,316
1,8,83,5,0,316
1,220,83,5,0,316
1,93,8,148,0,316
1,93,8,3,0,316
1,8,352,239,0,316
1,317,8,3,9,316
1,8,133,3,0,316
1,226,86,5,0,316
1,317,8,148,0,316
1,317,8,3,0,316
1,97,420,175,0,316
1,8,133,3,9,316
1,227,161,5,0,316
1,35,33,7,0,316
1,5,48,493,9,316
1,236,357,23,0,316
1,35,33,23,0,316
1,5,11,3,0,316
1,5,48,7,0,316
1,108,199,6,0,316
1,236,60,5,0,316
1,35,33,176,9,316
1,5,13,3,9,316
1,5,11,32,9,316
1,5,11,3,9,316
1,326,252,457,0,316
1,8,3,4,0,316
1,152,34,17,0,316
1,5,12,2,0,316
1,5,13,23,0,316
1,5,13,3,0,316
1,21,20,7,0,316
1,44,274,143,0,316
1,22,327,3,9,316
1,78,20,7,0,316
1,3,8,148,0,316
1,8,3,6,0,316
1,3,11,32,9,316
1,152,34,38,9,316
1,3,14,2,0,316
1,3,11,5,0,316
1,3,281,38,9,316
1,44,23,175,0,316
1,3,13,5,0,316
1,44,23,232,403,316
