1,3,47
1,0,3,47
1,8,3,47
1,9,3,47
1,15,16,47
1,78,312,47
1,116,71,47
1,287,3,47
1,392,3,47
1,8,26,55,47
1,3,13,123,47
1,8,10,16,47
1,8,26,125,47
1,3,75,303,47
1,8,133,3,47
1,3,4,147,47
1,0,4,3,47
1,5,15,16,47
1,0,6,3,47
1,0,4,147,47
1,0,50,71,47
1,7,0,3,47
1,5,0,3,47
1,21,26,125,47
1,5,11,3,47
1,22,327,3,47
1,21,26,55,47
1,5,12,154,47
1,44,50,71,47
1,22,137,71,47
1,5,13,3,47
1,475,11,3,47
1,5,13,123,47
1,57,31,16,47
1,317,8,3,47
1,93,8,3,47
1,157,416,3,47
1,100,8,3,47
1,191,8,3,47
1,7,20,78,312,47
1,392,3,13,123,47
1,317,8,26,55,47
1,93,8,26,55,47
1,157,5,12,154,47
1,100,124,30,410,47
1,7,0,4,3,47
1,100,8,26,55,47
1,69,19,25,3,47
1,191,8,26,55,47
1,7,22,327,3,47
1,100,124,30,16,47
1,15,16,30,410,47
1,7,20,30,410,47
1,392,3,75,303,47
1,317,8,10,16,47
1,317,8,26,125,47
1,5,0,4,3,47
1,78,20,30,16,47
1,93,8,10,16,47
1,93,8,26,125,47
1,157,253,372,3,47
1,157,5,0,3,47
1,21,20,30,16,47
1,100,260,0,3,47
1,8,26,182,125,47
1,7,0,6,3,47
1,7,0,4,147,47
1,9,3,13,123,47
1,0,3,13,123,47
1,100,8,10,16,47
1,9,3,75,303,47
1,0,3,4,147,47
1,100,8,133,3,47
1,9,3,4,147,47
1,0,3,75,303,47
1,100,8,26,125,47
1,161,5,13,3,47
1,69,255,11,3,47
1,8,3,13,123,47
1,188,5,13,3,47
1,161,5,0,3,47
1,161,5,13,123,47
1,8,3,75,303,47
1,220,83,8,3,47
1,188,5,0,3,47
1,188,5,13,123,47
1,161,5,11,3,47
1,8,3,4,147,47
1,431,490,104,16,47
1,220,425,12,154,47
1,3,75,31,16,47
1,188,5,11,3,47
1,161,5,12,154,47
1,152,34,0,3,47
1,69,19,11,3,47
1,188,5,12,154,47
1,161,5,15,16,47
1,236,60,290,3,47
1,3,13,31,16,47
1,191,8,10,16,47
1,188,5,15,16,47
1,191,8,26,125,47
1,127,5,0,3,47
1,191,8,133,3,47
1,35,156,30,410,47
1,15,5,12,154,47
1,3,0,4,147,47
1,7,235,50,71,47
1,7,22,137,71,47
1,127,5,11,3,47
1,441,131,104,16,47
1,35,77,9,3,47
1,7,20,30,16,47
1,35,156,30,16,47
1,15,28,11,3,47
1,15,5,0,3,47
1,3,8,26,55,47
1,3,0,50,71,47
1,392,3,4,147,47
1,7,48,302,71,47
1,44,23,0,3,47
1,44,50,0,3,47
1,317,8,133,3,47
1,127,5,12,154,47
1,487,37,6,3,47
1,5,0,6,3,47
1,35,120,10,16,47
1,22,7,0,3,47
1,5,0,4,147,47
1,15,113,4,3,47
1,78,20,30,410,47
1,15,28,59,3,47
1,15,5,11,3,47
1,0,5,13,123,47
1,15,5,13,3,47
1,0,2,14,3,47
1,0,5,11,3,47
1,0,5,13,3,47
1,15,5,13,123,47
1,0,17,6,3,47
1,0,2,10,16,47
1,0,5,12,154,47
1,0,23,13,3,47
1,0,2,12,154,47
1,0,5,15,16,47
1,0,148,8,3,47
1,0,23,104,16,47
1,0,23,13,123,47
1,0,2,233,71,47
1,0,316,9,3,47
1,287,3,13,123,47
1,5,18,6,3,47
1,287,3,75,303,47
1,5,19,11,3,47
1,287,3,4,147,47
1,5,48,302,71,47
1,5,19,25,3,47
1,5,60,290,3,47
1,93,8,133,3,47
1,5,83,8,3,47
1,3,8,10,16,47
1,5,157,416,3,47
1,3,8,26,125,47
1,5,270,9,3,47
1,157,344,26,55,47
1,5,286,30,16,47
1,157,344,26,125,47
1,5,371,14,3,47
1,5,286,30,410,47
1,7,347,250,3,47
1,287,324,11,3,47
1,7,37,6,3,47
1,157,253,13,3,47
1,7,107,12,154,47
1,7,37,79,55,47
1,157,253,13,123,47
1,44,56,0,3,47
1,157,5,11,3,47
1,44,23,13,3,47
1,157,5,13,3,47
1,44,23,104,16,47
1,44,23,13,123,47
1,157,5,15,16,47
1,157,5,13,123,47
1,21,89,10,16,47
1,21,26,8,3,47
1,21,118,11,3,47
1,21,26,182,125,47
1,21,438,0,3,47
1,9,38,281,3,47
1,5,13,31,16,47
1,9,32,11,3,47
1,21,20,78,312,47
1,9,316,0,3,47
1,127,5,13,3,47
1,108,199,6,3,47
1,127,5,15,16,47
1,127,5,13,123,47
1,382,32,9,3,47
1,21,20,30,410,47
1,97,80,31,16,47
1,382,32,11,3,47
1,487,37,79,55,47
1,111,90,12,154,47
1,100,301,4,3,47
1,5,0,50,71,47
1,469,241,12,154,47
1,100,301,4,147,47
1,8,391,397,16,47
1,164,45,11,3,47
1,469,241,11,3,47
1,8,148,0,3,47
1,134,73,12,154,47
1,22,91,10,16,47
1,57,31,13,3,47
1,7,0,50,71,47
1,22,217,133,3,47
1,57,31,75,3,47
1,57,31,13,123,47
1,15,113,4,147,47
1,57,31,494,16,47
1,57,31,75,303,47
1,15,28,98,3,47
1,15,28,183,16,47
1,15,28,498,3,47
1,100,8,3,13,123,47
1,0,23,150,104,16,47
1,161,355,45,11,3,47
1,0,2,29,26,55,47
1,93,8,3,13,123,47
1,392,3,13,31,16,47
1,9,3,13,31,16,47
1,0,34,17,6,3,47
1,5,0,3,13,123,47
1,287,3,13,31,16,47
1,5,12,2,233,71,47
1,5,18,6,0,3,47
1,0,6,205,79,55,47
1,9,3,75,31,16,47
1,188,5,13,31,16,47
1,287,3,75,31,16,47
1,8,3,13,31,16,47
1,0,5,13,31,16,47
1,69,114,173,6,3,47
1,287,3,0,50,71,47
1,5,48,493,9,3,47
1,0,2,10,8,3,47
1,0,23,13,31,16,47
1,161,5,13,31,16,47
1,5,19,390,15,16,47
1,161,5,0,4,3,47
1,93,8,391,397,16,47
1,100,8,391,397,16,47
1,57,31,16,30,410,47
1,5,83,8,26,55,47
1,3,8,391,397,16,47
1,8,3,75,31,16,47
1,0,3,13,31,16,47
1,5,157,253,372,3,47
1,3,8,26,182,125,47
1,475,11,3,13,123,47
1,220,83,5,15,16,47
1,0,17,186,321,55,47
1,5,286,30,142,125,47
1,317,8,3,13,123,47
1,287,444,406,250,3,47
1,7,0,3,13,123,47
1,317,8,3,75,303,47
1,15,5,18,6,3,47
1,7,0,3,4,147,47
1,317,8,3,4,147,47
1,15,5,19,11,3,47
1,7,0,3,75,303,47
1,188,5,0,4,3,47
1,15,5,48,302,71,47
1,15,5,19,25,3,47
1,188,5,0,6,3,47
1,188,5,0,4,147,47
1,15,5,60,290,3,47
1,188,5,0,50,71,47
1,7,37,6,0,3,47
1,15,5,83,8,3,47
1,100,124,143,0,3,47
1,7,62,2,0,3,47
1,15,5,157,416,3,47
1,3,75,31,13,123,47
1,7,114,224,13,3,47
1,7,62,2,10,16,47
1,15,5,270,9,3,47
1,3,75,31,494,16,47
1,7,200,37,6,3,47
1,7,114,173,6,3,47
1,7,114,224,13,123,47
1,7,62,2,12,154,47
1,15,5,286,30,16,47
1,7,33,23,0,3,47
1,7,200,484,8,3,47
1,7,200,37,79,55,47
1,7,62,2,14,3,47
1,15,5,371,14,3,47
1,15,5,286,30,410,47
1,7,256,222,6,3,47
1,7,33,176,9,3,47
1,7,33,23,13,3,47
1,7,62,2,233,71,47
1,7,265,23,0,3,47
1,7,33,60,290,3,47
1,7,33,23,104,16,47
1,7,33,23,13,123,47
1,7,272,24,0,3,47
1,7,265,23,13,3,47
1,7,33,131,104,16,47
1,7,37,159,4,3,47
1,7,265,23,104,16,47
1,7,265,23,13,123,47
1,7,37,70,26,55,47
1,7,37,159,4,147,47
1,157,253,13,31,16,47
1,7,37,259,11,3,47
1,7,37,70,26,125,47
1,44,204,20,30,16,47
1,44,56,0,4,3,47
1,157,310,20,30,16,47
1,44,274,143,0,3,47
1,44,204,20,78,312,47
1,44,204,20,30,410,47
1,44,56,0,6,3,47
1,44,56,0,4,147,47
1,157,174,48,302,71,47
1,157,310,20,78,312,47
1,157,310,20,30,410,47
1,431,190,158,15,16,47
1,220,83,8,26,55,47
1,44,298,24,0,3,47
1,44,56,0,50,71,47
1,8,10,16,30,410,47
1,8,10,2,12,154,47
1,220,83,8,10,16,47
1,220,83,8,26,125,47
1,9,3,0,50,71,47
1,15,5,13,31,16,47
1,8,10,334,12,154,47
1,8,10,2,0,3,47
1,220,83,8,133,3,47
1,9,3,8,10,16,47
1,9,3,0,4,147,47
1,152,34,17,0,3,47
1,152,34,0,4,3,47
1,8,10,2,14,3,47
1,44,23,36,30,410,47
1,9,3,8,26,55,47
1,152,34,38,281,3,47
