20,269,51,177
20,7,48,51,177
20,19,294,51,177
20,72,31,13,177
20,19,5,13,177
20,74,31,13,177
20,19,5,51,177
20,269,51,5,13,177
20,19,11,3,13,177
20,7,48,5,13,177
20,19,25,3,13,177
20,19,11,5,13,177
20,7,48,5,51,177
20,19,45,168,13,177
20,7,0,3,13,177
20,204,44,366,51,177
20,7,1,3,13,177
20,7,0,5,13,177
20,30,132,172,51,177
20,204,44,23,13,177
20,7,22,428,51,177
20,7,1,5,13,177
20,7,0,23,13,177
20,7,0,5,51,177
20,202,206,23,13,177
20,30,16,31,13,177
20,74,363,5,13,177
20,19,11,5,51,177
20,7,427,126,409,177
20,7,1,5,51,177
20,7,33,23,13,177
20,7,0,160,51,177
20,7,478,130,51,177
20,284,19,5,13,177
20,7,114,224,13,177
20,310,157,5,13,177
20,284,19,294,51,177
20,284,19,5,51,177
20,7,265,23,13,177
20,21,1,3,13,177
20,310,491,5,13,177
20,310,157,253,13,177
20,310,157,5,51,177
20,115,12,5,51,177
20,21,26,320,13,177
20,21,1,5,13,177
20,310,491,5,51,177
20,78,1,5,51,177
20,19,5,48,51,177
20,115,12,5,13,177
20,21,122,48,51,177
20,21,1,5,51,177
20,470,45,168,13,177
20,78,1,3,13,177
20,78,1,5,13,177
20,19,5,126,409,177
20,30,286,5,51,177
20,201,82,67,13,177
20,74,363,5,51,177
20,30,36,23,13,177
20,30,286,5,13,177
20,30,128,31,13,177
20,7,427,126,5,13,177
20,7,1,5,48,51,177
20,19,11,5,48,51,177
20,74,363,5,48,51,177
20,30,286,5,48,51,177
20,30,410,47,123,13,177
20,7,33,46,130,51,177
20,7,427,126,5,51,177
20,7,1,5,126,409,177
20,19,11,5,126,409,177
20,7,0,1,3,13,177
20,74,363,5,126,409,177
20,30,286,5,126,409,177
20,269,51,5,126,409,177
20,7,48,51,5,13,177
20,30,54,19,5,13,177
20,30,410,47,3,13,177
20,7,33,60,5,13,177
20,72,404,28,67,13,177
20,7,0,4,3,13,177
20,7,0,1,5,13,177
20,72,31,75,3,13,177
20,269,51,48,5,13,177
20,284,19,11,3,13,177
20,284,19,5,48,51,177
20,30,146,45,168,13,177
20,30,54,19,294,51,177
20,30,54,19,5,51,177
20,7,33,473,5,13,177
20,7,33,60,5,51,177
20,7,48,337,23,13,177
20,72,185,12,5,13,177
20,72,404,28,136,51,177
20,7,0,6,3,13,177
20,7,459,424,23,13,177
20,7,0,1,5,51,177
20,74,31,13,5,51,177
20,284,19,25,3,13,177
20,284,19,11,5,13,177
20,30,132,45,168,13,177
20,310,157,1,3,13,177
20,284,19,5,126,409,177
20,30,229,6,3,13,177
20,204,44,1,3,13,177
20,310,157,5,48,51,177
20,19,294,51,5,13,177
20,7,22,1,3,13,177
20,21,26,8,3,13,177
20,7,33,473,5,51,177
20,72,192,45,168,13,177
20,21,1,0,3,13,177
20,72,185,12,5,51,177
20,7,0,17,364,51,177
20,7,1,0,3,13,177
20,310,491,5,48,51,177
20,7,347,250,3,13,177
20,78,92,45,168,13,177
20,19,11,28,67,13,177
20,78,312,47,3,13,177
20,19,11,45,168,13,177
20,19,11,28,136,51,177
20,78,312,47,123,13,177
20,19,11,40,23,13,177
20,284,19,45,168,13,177
20,19,11,311,168,13,177
20,7,0,5,48,51,177
20,115,12,5,48,51,177
20,7,0,5,126,409,177
20,115,12,5,126,409,177
20,284,19,11,5,51,177
20,21,52,46,130,51,177
20,310,157,174,48,51,177
20,21,84,419,23,13,177
20,310,157,416,3,13,177
20,21,118,11,3,13,177
20,310,157,1,5,13,177
20,21,438,0,5,51,177
20,21,118,11,5,13,177
20,310,157,1,5,51,177
20,21,140,33,23,13,177
20,21,438,0,3,13,177
20,21,438,0,5,13,177
20,21,118,11,5,51,177
20,21,438,0,23,13,177
20,21,122,48,5,13,177
20,21,438,0,160,51,177
20,21,122,48,5,51,177
20,21,1,5,48,51,177
20,202,173,6,3,13,177
20,21,1,5,126,409,177
20,202,173,114,224,13,177
20,470,45,11,3,13,177
20,204,44,1,5,13,177
20,470,45,19,294,51,177
20,470,45,11,5,13,177
20,204,44,1,5,51,177
20,470,45,132,172,51,177
20,470,45,19,5,13,177
20,470,45,11,5,51,177
20,470,45,19,5,51,177
20,310,157,5,126,409,177
20,74,31,75,3,13,177
20,78,1,0,3,13,177
20,7,22,91,306,13,177
20,78,1,7,48,51,177
20,78,1,0,5,13,177
20,7,22,112,119,13,177
20,78,1,8,3,13,177
20,78,1,0,23,13,177
20,78,1,0,5,51,177
20,7,22,327,3,13,177
20,78,1,9,3,13,177
20,78,1,0,160,51,177
20,78,1,15,5,13,177
20,7,22,1,5,13,177
20,78,1,22,428,51,177
20,78,1,15,5,51,177
20,7,22,1,5,51,177
20,19,24,0,3,13,177
20,78,1,44,366,51,177
20,78,1,5,48,51,177
20,19,313,17,364,51,177
20,19,24,0,5,13,177
20,78,1,57,31,13,177
20,78,1,44,23,13,177
20,78,1,5,126,409,177
20,19,76,17,364,51,177
20,19,24,0,23,13,177
20,19,24,0,5,51,177
20,78,1,127,5,13,177
20,19,390,424,23,13,177
20,19,24,0,160,51,177
20,78,1,157,253,13,177
20,78,1,127,5,51,177
20,19,69,232,23,13,177
20,19,390,15,5,13,177
20,78,1,161,5,13,177
20,78,1,157,5,13,177
20,19,69,1,3,13,177
20,19,390,15,5,51,177
20,78,1,188,5,13,177
20,78,1,161,5,51,177
20,78,1,157,5,51,177
20,19,69,114,224,13,177
20,19,69,1,5,13,177
20,78,1,287,3,13,177
20,78,1,188,5,51,177
20,19,69,1,5,51,177
20,7,48,5,126,409,177
20,78,1,392,3,13,177
20,30,16,15,5,13,177
20,19,5,0,3,13,177
20,19,45,11,3,13,177
20,21,1,7,48,51,177
20,30,16,47,123,13,177
20,30,16,15,5,51,177
20,19,5,1,3,13,177
20,19,5,0,23,13,177
20,19,45,132,172,51,177
20,19,45,11,5,13,177
20,21,1,8,3,13,177
20,30,16,104,23,13,177
20,30,16,47,3,13,177
20,19,5,11,3,13,177
20,19,5,0,160,51,177
20,21,1,0,5,13,177
20,30,286,429,48,51,177
20,19,45,11,5,51,177
20,21,1,9,3,13,177
20,30,16,494,31,13,177
20,19,5,291,136,51,177
20,21,1,0,23,13,177
20,21,1,0,5,51,177
20,72,31,13,5,51,177
20,95,296,1,5,51,177
20,7,0,175,23,13,177
20,95,296,1,5,13,177
20,21,1,15,5,13,177
20,7,1,8,3,13,177
20,21,1,22,428,51,177
20,21,1,15,5,51,177
20,7,1,15,5,51,177
20,21,1,44,366,51,177
20,7,1,188,5,51,177
20,7,1,15,5,13,177
20,21,1,57,31,13,177
20,21,1,44,23,13,177
20,7,1,22,428,51,177
20,7,1,188,5,13,177
20,21,1,127,5,13,177
20,7,1,9,3,13,177
20,21,1,157,253,13,177
20,21,1,127,5,51,177
20,7,1,44,23,13,177
20,21,1,161,5,13,177
20,21,1,157,5,13,177
20,7,1,57,31,13,177
20,7,1,44,366,51,177
20,21,1,188,5,13,177
20,21,1,161,5,51,177
20,21,1,157,5,51,177
20,7,1,127,5,13,177
20,21,1,287,3,13,177
20,21,1,188,5,51,177
20,7,1,157,5,13,177
20,7,1,127,5,51,177
20,21,1,392,3,13,177
20,7,1,161,5,13,177
20,7,1,157,253,13,177
20,7,1,157,5,51,177
