211,250,347,7,48,247
211,250,3,11,32,247
211,250,3,9,32,247
211,239,0,7,48,247
211,239,0,5,48,247
211,121,38,197,32,247
211,121,38,9,32,247
211,121,33,7,48,247
211,6,37,102,48,247
211,6,37,7,48,247
211,6,18,5,48,247
211,6,3,11,32,247
211,6,3,9,32,247
211,6,0,7,48,247
211,6,0,5,48,247
211,6,3,9,32,247
211,239,0,7,48,247
211,121,38,9,32,247
211,6,0,5,48,247
211,250,3,9,32,247
211,6,0,7,48,247
211,250,347,7,48,247
211,250,3,11,32,247
211,6,3,11,32,247
211,121,33,7,48,247
211,121,38,197,32,247
211,6,18,5,48,247
211,6,37,7,48,247
211,6,37,102,48,247
211,239,0,1,382,32,247
211,6,0,5,11,32,247
211,121,38,88,9,32,247
211,6,18,5,11,32,247
211,237,35,1,382,32,247
211,6,17,364,51,48,247
211,6,3,9,493,48,247
211,250,3,9,493,48,247
211,6,37,200,7,48,247
211,239,0,3,9,32,247
211,239,0,5,11,32,247
211,6,0,1,382,32,247
211,239,0,23,178,32,247
211,239,0,3,11,32,247
211,239,0,5,51,48,247
211,6,0,3,9,32,247
211,6,0,1,5,48,247
211,239,0,24,285,32,247
211,239,0,23,337,48,247
211,6,0,23,178,32,247
211,239,0,1,5,48,247
211,6,0,3,11,32,247
211,6,0,1,7,48,247
211,239,0,160,51,48,247
211,6,0,5,51,48,247
211,6,0,24,285,32,247
211,6,0,23,337,48,247
211,239,0,1,7,48,247
211,121,38,135,122,48,247
211,6,0,1,9,32,247
211,250,3,0,5,48,247
211,6,18,5,51,48,247
211,239,0,316,9,32,247
211,6,0,160,51,48,247
211,242,133,3,9,32,247
211,239,0,1,9,32,247
211,237,35,33,7,48,247
211,237,35,1,5,48,247
211,237,35,77,9,32,247
211,237,35,1,7,48,247
211,237,35,288,96,48,247
211,237,35,1,9,32,247
211,250,3,11,5,48,247
211,6,3,0,5,48,247
211,6,42,81,5,48,247
211,6,3,1,382,32,247
211,6,3,0,7,48,247
211,6,173,114,7,48,247
211,6,3,13,5,48,247
211,6,3,1,5,48,247
211,6,222,256,7,48,247
211,6,3,14,96,48,247
211,6,3,1,7,48,247
