21,20,7,272
21,1,7,272
21,20,7,272
21,1,0,7,272
21,20,19,24,272
21,1,5,309,272
21,84,73,24,272
21,1,22,7,272
21,122,48,7,272
21,1,0,24,272
21,140,33,7,272
21,84,261,24,272
21,438,0,7,272
21,438,0,24,272
21,1,0,5,309,272
21,20,19,5,309,272
21,20,7,0,24,272
21,1,5,0,7,272
21,1,7,0,24,272
21,84,329,259,443,272
21,1,5,19,24,272
21,1,5,0,24,272
21,1,5,48,7,272
21,122,48,5,309,272
21,20,497,37,7,272
21,26,70,37,7,272
21,20,284,19,24,272
21,438,0,1,7,272
21,52,46,33,7,272
21,26,8,1,7,272
21,20,78,1,7,272
21,438,0,5,309,272
21,1,44,298,24,272
21,118,11,5,309,272
21,1,188,5,309,272
21,219,109,238,7,272
21,118,11,19,24,272
21,1,69,19,24,272
21,118,11,259,443,272
21,1,3,0,24,272
21,1,69,114,7,272
21,1,15,5,309,272
21,1,3,0,7,272
21,1,127,5,309,272
21,1,134,73,24,272
21,1,157,5,309,272
21,1,161,5,309,272
21,1,487,37,7,272
21,1,35,33,7,272
21,1,78,20,7,272
21,1,188,5,0,7,272
21,84,73,24,0,7,272
21,84,329,259,37,7,272
21,89,10,2,0,7,272
21,219,454,310,20,7,272
21,122,48,7,0,24,272
21,219,109,45,19,24,272
21,140,33,7,0,24,272
21,1,7,20,19,24,272
21,219,109,96,48,7,272
21,219,109,45,212,24,272
21,1,7,37,259,443,272
21,219,109,169,1,7,272
21,219,109,45,251,24,272
21,1,7,48,5,309,272
21,118,11,19,5,309,272
21,1,5,19,20,7,272
21,1,69,19,5,309,272
21,118,11,19,20,7,272
21,1,22,7,0,24,272
21,1,69,19,20,7,272
21,118,11,3,1,7,272
21,118,11,259,37,7,272
21,1,5,11,259,443,272
21,1,3,13,5,309,272
21,118,11,28,41,341,272
21,118,11,3,0,7,272
21,1,5,12,107,7,272
21,1,5,11,19,24,272
21,1,3,4,0,7,272
21,118,11,32,285,24,272
21,438,0,2,62,7,272
21,1,44,23,0,7,272
21,122,48,51,5,309,272
21,118,11,3,0,24,272
21,1,5,473,33,7,272
21,1,5,12,58,24,272
21,140,267,8,1,7,272
21,122,48,5,0,7,272
21,1,3,6,0,7,272
21,438,0,5,1,7,272
21,1,15,28,41,341,272
21,1,3,4,0,24,272
21,118,11,45,19,24,272
21,1,15,5,0,7,272
21,140,33,23,41,341,272
21,1,3,0,5,309,272
21,438,0,3,1,7,272
21,20,497,37,200,7,272
21,1,44,50,0,7,272
21,84,276,159,37,7,272
21,118,11,5,0,7,272
21,84,261,24,0,7,272
21,26,70,95,20,7,272
21,1,44,23,33,7,272
21,1,44,23,0,24,272
21,122,48,102,37,7,272
21,1,127,5,0,7,272
21,1,5,126,427,7,272
21,20,19,24,0,7,272
21,26,70,37,200,7,272
21,1,5,12,73,24,272
21,1,157,174,48,7,272
21,1,5,12,245,24,272
21,1,157,307,33,7,272
21,122,48,5,1,7,272
21,1,157,310,20,7,272
21,122,48,5,19,24,272
21,1,157,5,0,7,272
21,122,48,5,0,24,272
21,1,157,5,19,24,272
21,1,157,5,0,24,272
21,1,157,5,48,7,272
21,1,3,11,5,309,272
21,1,7,0,5,309,272
21,1,3,250,347,7,272
21,1,3,11,19,24,272
21,1,3,327,22,7,272
21,1,3,11,259,443,272
21,1,3,25,19,24,272
21,20,78,1,0,7,272
21,1,3,6,37,7,272
21,20,78,1,5,309,272
21,20,78,1,0,24,272
21,20,78,1,22,7,272
21,1,3,6,0,24,272
21,438,0,5,19,24,272
21,20,284,19,5,309,272
21,438,0,5,48,7,272
21,1,15,61,48,7,272
21,1,161,5,0,7,272
21,1,15,390,19,24,272
21,1,161,5,19,24,272
21,1,161,5,0,24,272
21,1,161,5,48,7,272
21,118,11,475,1,7,272
21,20,7,0,5,309,272
21,84,73,12,58,24,272
21,1,487,37,200,7,272
21,84,73,134,1,7,272
21,84,73,12,5,309,272
21,1,487,37,259,443,272
21,84,73,12,107,7,272
21,118,11,45,212,24,272
21,84,73,12,245,24,272
21,118,11,45,251,24,272
21,1,0,23,41,341,272
21,1,15,5,19,24,272
21,1,0,2,62,7,272
21,1,0,23,33,7,272
21,1,15,5,48,7,272
21,1,0,50,235,7,272
21,1,0,23,265,7,272
21,1,0,6,37,7,272
21,1,15,5,0,24,272
21,438,0,1,5,309,272
21,1,35,369,256,7,272
21,438,0,1,22,7,272
21,140,33,35,1,7,272
21,140,33,23,0,7,272
21,140,33,473,5,309,272
21,140,33,23,265,7,272
21,140,33,23,0,24,272
21,140,33,60,5,309,272
21,1,0,5,19,24,272
21,52,349,15,5,309,272
21,1,0,5,48,7,272
21,1,9,493,48,7,272
21,52,85,45,212,24,272
21,52,349,15,1,7,272
21,1,8,3,0,7,272
21,1,9,32,285,24,272
21,52,481,28,41,341,272
21,52,85,399,285,24,272
21,52,85,45,19,24,272
21,1,475,11,259,443,272
21,1,8,484,200,7,272
21,1,8,3,0,24,272
21,1,9,270,5,309,272
21,52,85,45,251,24,272
21,1,111,385,33,7,272
21,1,475,11,5,309,272
21,1,8,148,0,7,272
21,1,9,3,0,7,272
21,1,382,32,285,24,272
21,1,475,11,19,24,272
21,1,8,83,5,309,272
21,1,8,148,0,24,272
21,1,9,176,33,7,272
21,1,9,3,0,24,272
21,1,169,109,238,7,272
21,1,9,316,0,7,272
21,438,0,50,235,7,272
21,20,497,37,259,443,272
21,1,78,20,19,24,272
21,1,44,56,0,7,272
21,1,164,45,212,24,272
21,1,9,316,0,24,272
21,438,0,6,37,7,272
21,1,188,5,19,24,272
21,1,44,50,235,7,272
21,1,44,50,0,24,272
21,1,44,204,20,7,272
21,1,44,56,0,24,272
21,1,441,131,33,7,272
21,1,164,45,19,24,272
21,20,19,11,259,443,272
21,52,46,28,41,341,272
21,1,188,5,0,24,272
21,84,358,28,41,341,272
21,438,0,23,33,7,272
21,118,11,5,1,7,272
21,1,188,5,48,7,272
21,118,11,5,0,24,272
21,26,70,138,22,7,272
21,1,152,34,0,7,272
21,1,22,112,37,7,272
21,20,19,5,0,7,272
21,26,344,157,1,7,272
21,1,164,45,251,24,272
21,20,19,45,212,24,272
21,20,19,11,5,309,272
21,20,19,69,1,7,272
21,20,19,45,251,24,272
21,20,19,69,114,7,272
21,408,243,8,1,7,272
21,1,44,23,41,341,272
21,52,46,86,5,309,272
21,1,44,23,265,7,272
21,52,46,130,478,7,272
21,26,8,3,1,7,272
21,52,46,170,33,7,272
21,26,8,83,5,309,272
21,26,8,3,0,7,272
21,52,46,381,48,7,272
21,26,8,93,1,7,272
21,26,8,3,0,24,272
21,52,46,433,5,309,272
21,26,8,100,1,7,272
21,89,10,8,1,7,272
21,26,8,148,0,7,272
21,89,10,91,22,7,272
21,26,8,191,1,7,272
21,26,8,148,0,24,272
21,26,8,317,1,7,272
21,84,419,23,0,7,272
21,26,8,484,200,7,272
21,84,419,23,33,7,272
21,84,419,23,0,24,272
21,84,419,23,41,341,272
21,438,0,23,41,341,272
21,84,419,23,265,7,272
21,438,0,23,265,7,272
21,89,10,2,62,7,272
21,118,11,5,19,24,272
21,20,7,37,259,443,272
21,118,11,5,48,7,272
21,20,7,1,0,24,272
21,26,8,1,0,7,272
21,20,7,48,5,309,272
21,20,7,1,5,309,272
21,26,8,1,5,309,272
21,26,8,1,0,24,272
21,26,8,1,22,7,272
21,89,10,2,0,24,272
21,1,127,5,19,24,272
21,1,127,5,0,24,272
21,1,127,5,48,7,272
21,26,70,249,20,7,272
21,1,5,51,48,7,272
21,1,296,95,20,7,272
21,1,5,60,33,7,272
21,1,471,399,285,24,272
21,1,152,34,0,24,272
21,1,220,83,5,309,272
21,20,204,44,298,24,272
21,1,226,86,5,309,272
21,20,74,94,0,7,272
21,20,204,44,1,7,272
21,1,227,161,5,309,272
21,20,115,12,5,309,272
21,20,74,363,5,309,272
21,20,74,94,0,24,272
21,1,236,60,5,309,272
21,20,30,286,5,309,272
21,20,115,12,58,24,272
21,1,431,190,33,7,272
21,1,236,60,33,7,272
21,20,269,51,48,7,272
21,20,30,54,19,24,272
21,20,115,12,73,24,272
21,1,326,252,200,7,272
21,20,470,45,212,24,272
21,20,269,51,5,309,272
21,20,115,12,107,7,272
21,1,100,260,0,7,272
21,20,95,296,1,7,272
21,20,470,45,19,24,272
21,20,115,12,245,24,272
21,1,287,3,0,7,272
21,1,100,260,0,24,272
21,20,310,491,5,309,272
21,20,95,70,37,7,272
21,20,470,45,251,24,272
21,1,392,3,0,7,272
21,1,287,3,0,24,272
21,20,464,79,37,7,272
21,20,310,157,1,7,272
21,20,95,222,256,7,272
21,1,392,3,0,24,272
21,20,202,173,114,7,272
21,20,310,157,5,309,272
21,20,249,70,37,7,272
21,20,19,5,1,7,272
21,26,70,37,259,443,272
21,20,19,5,48,7,272
21,20,19,5,0,24,272
21,26,29,2,0,7,272
21,26,344,157,5,309,272
21,26,225,6,0,24,272
21,26,29,2,62,7,272
21,26,29,2,0,24,272
21,26,55,79,37,7,272
21,26,225,6,37,7,272
21,26,225,6,0,7,272
21,26,320,13,5,309,272
21,26,8,100,1,0,7,272
21,89,10,8,3,1,7,272
21,408,243,8,1,0,7,272
21,89,10,8,1,0,7,272
21,408,243,8,3,1,7,272
21,52,46,86,5,0,7,272
21,408,243,128,30,20,7,272
21,1,7,0,5,19,24,272
21,89,10,91,155,41,341,272
21,89,10,16,30,20,7,272
21,89,10,91,22,1,7,272
21,1,44,298,24,0,7,272
21,26,8,148,0,1,7,272
21,26,8,191,1,0,7,272
21,52,46,130,51,5,309,272
21,1,44,23,13,5,309,272
21,219,109,238,7,0,24,272
21,26,8,317,1,0,7,272
21,1,3,250,406,486,309,272
21,140,33,7,0,5,309,272
21,26,8,10,91,22,7,272
21,20,19,11,5,0,7,272
21,20,78,1,7,0,24,272
21,26,8,484,200,37,7,272
21,1,7,37,6,0,24,272
21,1,3,11,19,5,309,272
21,84,419,23,0,1,7,272
21,26,8,3,4,0,7,272
21,1,7,20,284,19,24,272
21,1,188,368,299,37,7,272
21,219,109,361,11,5,309,272
21,84,419,23,13,5,309,272
21,438,0,23,424,459,7,272
21,140,33,7,37,259,443,272
21,89,10,2,12,58,24,272
21,1,3,11,32,285,24,272
21,118,11,5,19,20,7,272
21,1,3,11,5,0,7,272
21,219,109,169,1,0,7,272
21,1,3,11,259,37,7,272
21,20,7,37,6,0,24,272
21,1,3,498,28,41,341,272
21,118,11,5,12,107,7,272
21,20,19,45,11,5,309,272
21,219,109,45,11,259,443,272
21,1,3,25,254,58,24,272
21,1,164,45,11,259,443,272
21,1,3,25,19,5,309,272
21,20,7,1,0,5,309,272
21,26,8,83,5,0,7,272
21,1,0,7,20,19,24,272
21,1,157,310,20,19,24,272
21,122,48,7,0,5,309,272
21,1,134,73,24,0,7,272
21,1,7,48,51,5,309,272
21,20,7,107,12,58,24,272
21,20,7,48,51,5,309,272
21,20,19,11,28,41,341,272
21,20,7,48,5,0,24,272
21,20,7,1,44,298,24,272
21,1,3,6,18,5,309,272
21,20,7,1,5,0,24,272
21,1,3,6,37,200,7,272
21,26,8,3,1,0,7,272
21,1,7,200,207,41,341,272
21,26,8,1,5,0,7,272
21,26,8,1,0,5,309,272
21,20,78,1,5,0,7,272
21,26,8,1,188,5,309,272
21,1,69,114,7,0,24,272
21,1,7,48,5,0,24,272
21,89,10,2,0,1,7,272
21,20,78,1,0,5,309,272
21,20,78,1,44,298,24,272
21,1,127,5,19,20,7,272
21,20,19,390,424,459,7,272
21,1,157,310,491,5,309,272
21,1,3,6,0,5,309,272
21,1,127,5,11,259,443,272
21,26,70,415,35,1,7,272
21,26,70,249,20,19,24,272
21,20,78,92,45,19,24,272
21,1,5,19,284,20,7,272
21,1,5,51,130,478,7,272
21,1,487,37,7,0,24,272
21,438,0,5,19,20,7,272
21,52,46,86,226,1,7,272
21,20,284,19,45,212,24,272
21,1,296,95,70,37,7,272
21,1,296,95,20,19,24,272
21,20,284,19,5,0,7,272
21,1,5,13,23,265,7,272
21,118,11,19,5,0,7,272
21,438,0,5,11,259,443,272
21,26,8,3,0,1,7,272
21,26,8,93,1,0,7,272
21,122,48,5,19,20,7,272
