21,1,431
21,20,7,1,431
21,26,8,1,431
21,20,78,1,431
21,140,33,190,431
21,438,0,1,431
21,20,7,0,1,431
21,20,19,69,1,431
21,1,15,158,190,431
21,140,267,8,1,431
21,20,204,44,1,431
21,20,19,5,1,431
21,1,35,33,190,431
21,26,344,157,1,431
21,140,33,7,1,431
21,20,95,296,1,431
21,140,33,35,1,431
21,20,310,157,1,431
21,118,11,475,1,431
21,26,8,3,1,431
21,52,349,15,1,431
21,118,11,3,1,431
21,26,8,93,1,431
21,408,243,8,1,431
21,438,0,3,1,431
21,52,46,33,190,431
21,118,11,5,1,431
21,26,8,100,1,431
21,122,48,5,1,431
21,1,7,33,190,431
21,219,109,169,1,431
21,122,48,7,1,431
21,84,73,134,1,431
21,438,0,5,1,431
21,89,10,8,1,431
21,438,0,7,1,431
21,20,7,22,1,431
21,26,8,191,1,431
21,20,7,33,190,431
21,26,8,317,1,431
21,122,135,38,9,1,431
21,26,29,2,0,1,431
21,219,454,310,157,1,431
21,219,109,45,164,1,431
21,122,48,51,5,1,431
21,140,33,7,0,1,431
21,140,33,23,104,490,431
21,122,48,7,0,1,431
21,84,419,23,104,490,431
21,84,73,12,5,1,431
21,1,441,131,104,490,431
21,26,344,157,5,1,431
21,20,310,157,5,1,431
21,438,0,5,15,1,431
21,89,10,2,0,1,431
21,20,497,37,487,1,431
21,438,0,4,3,1,431
21,89,10,16,104,490,431
21,20,470,45,164,1,431
21,20,497,37,7,1,431
21,438,0,34,152,1,431
21,89,10,91,22,1,431
21,89,10,16,15,1,431
21,20,30,286,5,1,431
21,438,0,6,3,1,431
21,89,10,120,35,1,431
21,20,74,363,5,1,431
21,20,30,16,104,490,431
21,438,0,56,44,1,431
21,20,284,19,69,1,431
21,89,10,8,3,1,431
21,438,0,7,22,1,431
21,20,74,31,57,1,431
21,20,30,124,100,1,431
21,20,30,16,15,1,431
21,438,0,23,33,190,431
21,20,72,31,57,1,431
21,20,284,19,5,1,431
21,89,10,8,93,1,431
21,438,0,7,33,190,431
21,20,74,94,0,1,431
21,122,48,5,0,1,431
21,20,310,365,69,1,431
21,20,7,0,3,1,431
21,20,30,156,35,1,431
21,20,7,37,487,1,431
21,438,0,148,8,1,431
21,20,7,33,35,1,431
21,438,0,23,44,1,431
21,1,15,16,104,490,431
21,26,8,83,220,1,431
21,20,115,12,5,1,431
21,26,8,3,0,1,431
21,89,10,8,100,1,431
21,52,349,15,5,1,431
21,140,267,8,3,1,431
21,118,11,3,0,1,431
21,26,70,415,35,1,431
21,122,48,5,15,1,431
21,20,310,491,5,1,431
21,20,7,0,5,1,431
21,20,7,48,5,1,431
21,438,0,260,100,1,431
21,20,19,11,475,1,431
21,219,109,238,7,1,431
21,438,0,23,104,490,431
21,122,48,61,15,1,431
21,26,8,148,0,1,431
21,408,243,8,3,1,431
21,140,33,7,22,1,431
21,408,243,8,93,1,431
21,26,8,83,5,1,431
21,408,243,8,100,1,431
21,20,375,156,35,1,431
21,408,243,8,191,1,431
21,20,269,51,5,1,431
21,408,243,8,317,1,431
21,140,33,473,5,1,431
21,26,8,3,9,1,431
21,140,33,60,5,1,431
21,26,8,3,287,1,431
21,140,33,176,9,1,431
21,140,33,60,236,1,431
21,26,8,3,392,1,431
21,140,33,307,157,1,431
21,89,10,8,191,1,431
21,140,33,385,111,1,431
21,89,10,8,317,1,431
21,140,33,131,104,490,431
21,20,19,5,0,1,431
21,140,33,131,441,1,431
21,20,19,5,15,1,431
21,438,0,3,8,1,431
21,20,19,5,127,1,431
