22,7,256
22,1,7,256
22,112,37,7,256
22,1,0,7,256
22,1,35,369,256
22,138,70,37,7,256
22,1,0,6,222,256
22,1,487,37,7,256
22,1,35,33,7,256
22,428,51,48,7,256
22,1,296,95,222,256
22,327,3,0,7,256
22,1,69,114,7,256
22,7,0,6,222,256
22,138,70,95,222,256
22,7,1,35,369,256
22,137,333,48,7,256
22,7,20,95,222,256
22,327,3,1,7,256
22,7,37,6,222,256
22,327,3,6,222,256
22,7,33,35,369,256
22,112,37,6,222,256
22,1,3,0,7,256
22,112,37,200,7,256
22,1,78,20,7,256
22,1,3,6,222,256
22,1,5,0,7,256
22,1,21,20,7,256
22,1,5,48,7,256
22,138,70,95,20,7,256
22,7,1,296,95,222,256
22,1,3,4,0,7,256
22,1,3,6,0,7,256
22,1,5,0,6,222,256
22,1,8,484,200,7,256
22,1,21,122,48,7,256
22,1,21,20,95,222,256
22,91,10,2,0,7,256
22,1,5,12,107,7,256
22,7,1,0,6,222,256
22,1,3,250,347,7,256
22,7,0,1,35,369,256
22,138,194,30,20,7,256
22,137,467,360,37,7,256
22,1,3,6,37,7,256
22,428,51,5,48,7,256
22,1,9,493,48,7,256
22,1,8,3,0,7,256
22,138,70,249,20,7,256
22,112,119,277,37,7,256
22,1,21,140,33,7,256
22,1,487,37,6,222,256
22,112,446,46,33,7,256
22,1,21,438,0,7,256
22,1,487,37,200,7,256
22,112,446,46,417,421,256
22,217,133,3,6,222,256
22,327,3,1,0,7,256
22,91,10,8,1,7,256
22,217,133,8,1,7,256
22,217,133,3,0,7,256
22,327,3,1,35,369,256
22,91,10,120,35,369,256
22,217,133,3,1,7,256
22,327,3,4,0,7,256
22,327,3,6,0,7,256
22,327,3,8,1,7,256
22,327,3,6,37,7,256
22,327,3,9,1,7,256
22,91,10,2,62,7,256
22,327,3,250,347,7,256
22,1,5,51,48,7,256
22,327,3,287,1,7,256
22,1,5,60,33,7,256
22,327,3,392,1,7,256
22,1,5,473,33,7,256
22,7,1,3,6,222,256
22,1,5,126,427,7,256
22,1,7,0,6,222,256
22,7,114,422,283,222,256
22,7,33,46,417,421,256
22,1,5,18,6,222,256
22,1,7,20,95,222,256
22,7,200,37,6,222,256
22,7,114,173,6,222,256
22,1,5,19,20,7,256
22,7,0,3,6,222,256
22,1,7,37,6,222,256
22,327,479,225,6,222,256
22,138,70,37,6,222,256
22,112,37,6,0,7,256
22,1,5,309,272,7,256
22,137,71,302,48,7,256
22,7,0,17,6,222,256
22,7,37,70,95,222,256
22,327,3,0,1,7,256
22,1,0,3,6,222,256
22,1,7,33,35,369,256
22,138,70,37,200,7,256
22,1,3,0,6,222,256
22,428,51,130,478,7,256
22,428,51,5,0,7,256
22,428,51,160,0,7,256
22,428,51,5,1,7,256
22,428,51,269,20,7,256
22,112,37,70,95,222,256
22,137,71,50,0,7,256
22,112,37,497,20,7,256
22,137,71,116,1,7,256
22,137,71,50,235,7,256
22,112,37,487,1,7,256
22,1,108,199,6,222,256
22,112,37,328,235,7,256
22,1,111,203,417,421,256
22,112,37,102,48,7,256
22,1,326,252,200,7,256
22,1,111,385,33,7,256
22,1,441,131,33,7,256
22,1,296,95,20,7,256
22,1,15,5,48,7,256
22,1,0,6,37,7,256
22,1,44,23,265,7,256
22,1,15,61,48,7,256
22,1,15,5,0,7,256
22,1,127,5,48,7,256
22,1,44,50,0,7,256
22,1,44,23,0,7,256
22,1,157,5,48,7,256
22,1,127,5,0,7,256
22,1,44,56,0,7,256
22,1,44,50,235,7,256
22,1,44,23,33,7,256
22,1,169,109,238,7,256
22,1,157,174,48,7,256
22,1,157,5,0,7,256
22,1,44,204,20,7,256
22,1,236,60,33,7,256
22,1,157,307,33,7,256
22,1,287,3,6,222,256
22,1,157,310,20,7,256
22,1,152,34,0,7,256
22,1,287,3,0,7,256
22,1,161,5,0,7,256
22,1,9,176,33,7,256
22,1,188,5,0,7,256
22,1,161,5,48,7,256
22,1,9,3,0,7,256
22,1,392,3,6,222,256
22,1,188,5,48,7,256
22,1,9,77,35,369,256
22,1,9,3,6,222,256
22,1,100,260,0,7,256
22,1,392,3,0,7,256
22,1,69,19,20,7,256
22,1,9,316,0,7,256
22,1,431,190,33,7,256
22,1,8,148,0,7,256
22,327,3,0,6,222,256
22,1,78,20,95,222,256
22,1,8,3,6,222,256
22,1,0,2,62,7,256
22,138,70,415,35,369,256
22,1,0,50,235,7,256
22,1,0,5,48,7,256
22,1,0,17,6,222,256
22,1,0,23,33,7,256
22,1,0,24,272,7,256
22,1,0,23,265,7,256
22,1,3,0,6,37,7,256
