235,50,0,5,363
235,7,48,5,363
235,7,20,74,363
235,7,1,5,363
235,7,0,5,363
235,50,0,5,363
235,7,1,5,363
235,7,20,74,363
235,7,48,5,363
235,7,1,0,5,363
235,7,20,19,5,363
235,7,22,1,5,363
235,50,44,1,5,363
235,7,33,473,5,363
235,50,0,1,5,363
235,7,107,12,5,363
235,7,48,51,5,363
235,7,1,15,5,363
235,7,33,60,5,363
235,50,0,94,74,363
235,7,272,309,5,363
235,7,0,1,5,363
235,7,427,126,5,363
235,7,0,94,74,363
235,7,1,127,5,363
235,7,1,157,5,363
235,7,1,161,5,363
235,7,1,188,5,363
235,7,22,1,0,5,363
235,7,272,24,0,5,363
235,50,0,2,12,5,363
235,328,37,497,20,74,363
235,50,44,23,0,5,363
235,7,0,1,15,5,363
235,7,37,497,20,74,363
235,50,44,56,0,5,363
235,50,44,23,13,5,363
235,7,0,1,127,5,363
235,7,62,353,442,5,363
235,7,37,6,0,5,363
235,50,44,204,20,74,363
235,7,0,1,157,5,363
235,7,114,69,19,5,363
235,7,62,2,0,5,363
235,7,20,19,11,5,363
235,7,37,102,48,5,363
235,7,37,6,18,5,363
235,50,44,366,51,5,363
235,7,0,1,161,5,363
235,7,0,2,12,5,363
235,7,478,130,51,5,363
235,7,114,224,13,5,363
235,7,114,69,1,5,363
235,50,71,116,1,5,363
235,50,44,1,0,5,363
235,7,62,2,12,5,363
235,7,22,428,51,5,363
235,7,33,35,1,5,363
235,50,0,1,15,5,363
235,7,37,259,11,5,363
235,50,0,1,127,5,363
235,7,37,299,362,5,363
235,50,0,1,157,5,363
235,7,37,487,1,5,363
235,50,0,1,161,5,363
235,7,1,3,0,5,363
235,50,0,1,188,5,363
235,7,1,78,20,74,363
235,7,1,3,11,5,363
235,7,1,227,161,5,363
235,7,1,3,13,5,363
235,7,1,475,11,5,363
235,7,0,1,188,5,363
235,7,1,8,83,5,363
235,7,0,3,11,5,363
235,7,1,9,270,5,363
235,7,0,6,18,5,363
235,7,0,3,1,5,363
235,7,1,69,19,5,363
235,7,0,23,13,5,363
235,7,0,3,13,5,363
235,7,1,21,20,74,363
235,7,0,160,51,5,363
235,7,1,226,86,5,363
235,7,0,24,19,5,363
235,7,1,236,60,5,363
235,7,22,1,15,5,363
235,7,265,23,0,5,363
235,7,1,220,83,5,363
235,7,22,1,127,5,363
235,7,265,23,13,5,363
235,7,1,57,31,74,363
235,7,22,1,157,5,363
235,7,1,0,94,74,363
235,7,48,61,15,5,363
235,7,22,1,161,5,363
235,7,272,24,19,5,363
235,7,48,429,286,5,363
235,7,22,1,188,5,363
235,50,0,7,20,74,363
235,50,184,65,60,5,363
235,50,71,302,48,5,363
235,7,48,174,157,5,363
235,50,0,3,11,5,363
235,50,0,7,1,5,363
235,50,184,65,66,5,363
235,7,20,115,12,5,363
235,50,0,6,18,5,363
235,50,44,1,15,5,363
235,50,0,3,1,5,363
235,50,0,7,48,5,363
235,7,20,30,286,5,363
235,328,37,6,0,5,363
235,7,20,72,31,74,363
235,328,37,7,0,5,363
235,328,37,6,18,5,363
235,7,20,269,51,5,363
235,328,37,102,48,5,363
235,328,37,7,1,5,363
235,7,20,284,19,5,363
235,328,37,259,11,5,363
235,328,37,7,20,74,363
235,7,20,310,157,5,363
235,328,37,299,362,5,363
235,328,37,7,48,5,363
235,7,20,21,1,5,363
235,7,20,310,491,5,363
235,328,37,487,1,5,363
235,7,20,78,1,5,363
235,50,0,160,51,5,363
