23,27
23,0,17,27
23,64,17,27
23,0,6,17,27
23,175,0,17,27
23,0,34,17,27
23,175,0,6,17,27
23,0,160,51,262,27
23,175,0,34,17,27
23,13,177,51,262,27
23,0,3,6,17,27
23,144,28,101,17,27
23,13,3,287,323,27
23,0,5,51,262,27
23,0,3,287,323,27
23,41,28,101,17,27
23,13,5,0,17,27
23,41,106,63,17,27
23,13,278,103,17,27
23,13,5,51,262,27
23,13,3,0,17,27
23,0,1,287,323,27
23,13,3,6,17,27
23,337,48,51,262,27
23,383,380,0,17,27
23,44,1,0,17,27
23,33,439,186,17,27
23,44,50,0,17,27
23,44,1,287,323,27
23,44,366,51,262,27
23,104,131,186,17,27
23,44,56,0,17,27
23,265,7,0,17,27
23,44,162,76,17,27
23,401,38,34,17,27
23,33,131,186,17,27
23,33,46,63,17,27
23,33,7,0,17,27
23,41,400,203,63,17,27
23,44,50,0,6,17,27
23,44,56,0,6,17,27
23,265,7,48,51,262,27
23,265,7,0,6,17,27
23,44,274,143,0,17,27
23,44,1,293,167,17,27
23,44,366,51,364,17,27
23,0,6,3,287,323,27
23,206,202,173,6,17,27
23,401,38,34,0,17,27
23,13,177,51,364,17,27
23,13,305,203,63,17,27
23,13,5,19,76,17,27
23,33,46,28,101,17,27
23,144,299,37,6,17,27
23,13,3,0,6,17,27
23,33,170,46,63,17,27
23,144,489,163,63,17,27
23,13,3,0,34,17,27
23,33,35,1,287,323,27
23,0,7,1,287,323,27
23,33,7,48,51,262,27
23,33,60,5,51,262,27
23,33,35,340,103,17,27
23,33,35,1,0,17,27
23,0,4,3,287,323,27
23,0,7,62,103,17,27
23,33,7,1,287,323,27
23,33,473,5,51,262,27
23,33,60,5,0,17,27
23,0,24,19,76,17,27
23,0,4,42,6,17,27
23,33,7,0,6,17,27
23,0,4,3,6,17,27
23,0,7,37,6,17,27
23,33,7,62,103,17,27
23,33,7,1,0,17,27
23,33,385,434,103,17,27
23,33,473,5,0,17,27
23,0,239,211,6,17,27
23,0,24,19,313,17,27
23,0,1,3,6,17,27
23,33,7,0,34,17,27
23,0,7,48,51,262,27
23,13,3,1,287,323,27
23,33,7,37,6,17,27
23,44,50,0,34,17,27
23,33,121,211,6,17,27
23,41,28,136,51,262,27
23,144,28,136,51,262,27
23,13,3,6,0,17,27
23,44,56,0,34,17,27
23,0,380,205,6,17,27
23,265,7,1,287,323,27
23,0,1,293,167,17,27
23,337,48,5,51,262,27
23,265,7,0,34,17,27
23,0,1,3,287,323,27
23,44,298,24,0,17,27
23,13,3,250,406,17,27
23,13,3,1,0,17,27
23,64,17,364,51,262,27
23,337,48,51,364,17,27
23,383,436,5,0,17,27
23,44,1,3,0,17,27
23,33,121,38,34,17,27
23,383,380,205,6,17,27
23,41,28,46,63,17,27
23,144,28,46,63,17,27
23,41,28,387,186,17,27
23,144,28,387,186,17,27
23,383,380,0,6,17,27
23,0,160,51,364,17,27
23,383,380,0,34,17,27
23,13,5,51,364,17,27
23,175,0,3,6,17,27
23,357,236,1,287,323,27
23,175,0,1,287,323,27
23,175,0,3,287,323,27
23,36,30,229,6,17,27
23,357,236,1,0,17,27
23,175,0,5,51,262,27
23,40,11,3,287,323,27
23,175,0,160,51,262,27
23,424,390,19,313,17,27
23,40,171,378,63,17,27
23,40,11,19,76,17,27
23,40,11,3,0,17,27
23,232,69,1,287,323,27
23,424,459,7,0,17,27
23,424,390,19,76,17,27
23,40,11,5,51,262,27
23,40,11,19,313,17,27
23,40,11,3,6,17,27
23,150,104,131,186,17,27
23,232,403,316,0,17,27
23,232,69,275,63,17,27
23,232,69,1,0,17,27
23,40,11,28,101,17,27
23,40,11,5,0,17,27
23,232,69,19,76,17,27
23,40,11,45,179,17,27
23,232,69,19,313,17,27
23,40,11,324,287,323,27
23,40,11,45,319,17,27
23,0,2,62,103,17,27
23,265,7,37,6,17,27
23,265,7,1,0,17,27
23,265,7,62,103,17,27
23,0,1,5,51,262,27
23,0,17,364,51,262,27
23,0,1,152,34,17,27
23,0,5,1,287,323,27
23,337,48,7,0,17,27
23,0,5,19,76,17,27
23,337,48,5,0,17,27
23,0,5,126,101,17,27
23,0,5,19,313,17,27
23,0,5,268,179,17,27
23,44,1,0,6,17,27
23,0,5,48,51,262,27
23,44,1,0,34,17,27
23,13,5,0,6,17,27
23,0,5,18,6,17,27
23,0,3,1,287,323,27
23,13,5,0,34,17,27
23,13,67,28,101,17,27
23,0,3,250,406,17,27
23,13,3,4,0,17,27
23,13,168,45,179,17,27
23,13,5,48,51,262,27
23,0,5,51,364,17,27
23,13,168,45,319,17,27
23,13,5,1,0,17,27
23,13,5,19,313,17,27
23,383,436,5,51,262,27
23,13,5,126,101,17,27
23,13,5,1,287,323,27
23,33,46,130,51,262,27
23,13,5,18,6,17,27
23,44,1,5,0,17,27
23,33,46,163,63,17,27
23,13,5,268,179,17,27
23,44,1,7,0,17,27
23,44,1,5,51,262,27
23,44,1,3,6,17,27
23,44,1,152,34,17,27
23,44,1,3,287,323,27
23,0,6,17,364,51,262,27
23,41,28,46,130,51,262,27
23,383,380,205,6,0,17,27
23,13,3,0,160,51,262,27
23,357,236,60,5,0,17,27
23,44,50,235,7,0,17,27
23,175,0,1,3,6,17,27
23,144,299,37,7,0,17,27
23,175,0,17,364,51,262,27
23,175,0,3,1,287,323,27
23,104,131,33,46,63,17,27
23,104,332,11,3,287,323,27
23,36,30,20,269,51,262,27
23,36,30,229,6,0,17,27
23,357,236,1,0,6,17,27
23,357,236,1,3,6,17,27
23,175,0,5,1,287,323,27
23,144,28,46,130,51,262,27
23,0,1,287,444,406,17,27
23,175,0,5,51,364,17,27
23,41,28,11,19,76,17,27
23,13,177,409,126,101,17,27
23,0,7,1,3,6,17,27
23,175,0,4,3,287,323,27
23,175,0,160,51,364,17,27
23,33,7,48,5,51,262,27
23,424,390,15,1,0,17,27
23,33,121,38,34,0,17,27
23,33,7,48,51,364,17,27
23,40,153,33,131,186,17,27
23,33,60,236,1,0,17,27
23,40,171,70,37,6,17,27
23,33,35,110,46,63,17,27
23,40,279,73,24,0,17,27
23,40,153,33,46,63,17,27
23,33,60,195,131,186,17,27
23,33,60,236,1,287,323,27
23,33,35,166,45,179,17,27
23,40,209,95,222,6,17,27
23,40,153,33,7,0,17,27
23,33,60,230,203,63,17,27
23,33,35,237,211,6,17,27
23,33,35,166,45,319,17,27
23,40,153,33,439,186,17,27
23,33,60,290,3,0,17,27
23,40,11,3,0,6,17,27
23,33,60,5,51,364,17,27
23,33,35,1,0,6,17,27
23,33,60,290,3,6,17,27
23,40,11,3,0,34,17,27
23,424,466,371,5,0,17,27
23,33,35,1,0,34,17,27
23,33,60,290,3,287,323,27
23,424,459,7,48,51,262,27
23,424,466,371,5,51,262,27
23,424,459,7,0,6,17,27
23,424,390,19,5,51,262,27
23,33,35,1,3,0,17,27
23,424,459,7,1,287,323,27
23,44,162,76,19,313,17,27
23,424,459,7,0,34,17,27
23,424,390,19,294,51,262,27
23,424,390,19,5,0,17,27
23,33,35,1,293,167,17,27
23,33,35,1,3,6,17,27
23,424,459,7,37,6,17,27
23,424,459,7,1,0,17,27
23,424,390,19,24,0,17,27
23,33,35,1,5,0,17,27
23,33,35,1,3,287,323,27
23,424,459,7,62,103,17,27
23,424,390,19,45,179,17,27
23,33,35,1,7,0,17,27
23,33,35,1,5,51,262,27
23,424,390,19,45,319,17,27
23,33,35,1,152,34,17,27
23,144,489,163,46,63,17,27
23,40,11,3,4,0,17,27
23,40,11,3,6,0,17,27
23,419,84,21,438,0,17,27
23,40,11,3,250,406,17,27
23,150,351,215,172,51,262,27
23,178,32,9,38,34,17,27
23,419,84,358,28,101,17,27
23,419,84,21,1,0,17,27
23,40,11,5,51,364,17,27
23,265,7,48,51,364,17,27
23,232,403,316,0,6,17,27
23,40,11,3,1,0,17,27
23,150,465,57,1,287,323,27
23,150,351,215,28,101,17,27
23,178,32,11,324,287,323,27
23,178,32,9,1,287,323,27
23,419,84,73,24,0,17,27
23,419,84,21,1,287,323,27
23,401,38,121,211,6,17,27
23,232,403,316,0,34,17,27
23,40,11,3,1,287,323,27
23,232,69,1,3,6,17,27
23,150,465,57,1,0,17,27
23,232,69,1,0,6,17,27
23,178,32,382,1,0,17,27
23,178,32,11,3,0,17,27
23,178,32,9,3,287,323,27
23,178,32,9,1,0,17,27
23,144,28,11,5,51,262,27
23,13,3,287,444,406,17,27
23,33,60,5,0,6,17,27
23,40,11,28,136,51,262,27
23,419,84,261,24,0,17,27
23,40,11,5,19,76,17,27
23,401,38,9,1,287,323,27
23,40,11,5,0,6,17,27
23,33,131,441,1,0,17,27
23,33,473,5,51,364,17,27
23,232,69,114,173,6,17,27
23,33,60,5,18,6,17,27
23,232,69,1,293,167,17,27
23,232,69,1,3,0,17,27
23,0,24,212,45,179,17,27
23,0,34,152,1,287,323,27
23,0,4,159,37,6,17,27
23,232,69,1,0,34,17,27
23,178,32,197,412,0,17,27
23,232,69,19,5,51,262,27
23,178,32,382,1,287,323,27
23,40,11,475,1,287,323,27
23,178,32,11,19,76,17,27
23,178,32,11,3,6,17,27
23,40,11,45,19,76,17,27
23,0,50,44,1,287,323,27
23,178,32,9,316,0,17,27
23,178,32,9,3,0,17,27
23,0,2,379,45,179,17,27
23,144,28,41,106,63,17,27
23,144,28,11,19,76,17,27
23,144,28,11,5,0,17,27
23,44,1,287,444,406,17,27
23,144,299,362,5,51,262,27
23,0,7,48,51,364,17,27
23,265,7,37,6,0,17,27
23,13,3,287,1,0,17,27
23,33,60,5,0,34,17,27
23,40,11,28,46,63,17,27
23,265,7,1,5,51,262,27
23,265,7,1,0,6,17,27
23,40,11,5,48,51,262,27
23,40,11,5,19,313,17,27
23,265,7,22,1,287,323,27
23,401,38,197,412,0,17,27
23,401,38,9,3,287,323,27
23,265,7,62,2,0,17,27
23,401,38,9,1,0,17,27
23,40,11,5,0,34,17,27
23,0,34,17,364,51,262,27
23,0,1,5,19,76,17,27
23,33,131,441,1,287,323,27
23,0,1,5,51,364,17,27
23,0,17,406,444,287,323,27
23,232,69,114,7,0,17,27
23,0,4,3,250,406,17,27
23,33,60,5,19,76,17,27
23,0,1,22,428,51,262,27
23,232,69,1,5,0,17,27
23,0,5,1,3,6,17,27
23,232,69,1,3,287,323,27
23,144,299,37,6,0,17,27
23,33,170,46,28,101,17,27
23,33,7,62,2,0,17,27
23,337,48,7,1,287,323,27
23,0,24,251,45,179,17,27
23,0,24,212,45,319,17,27
23,337,48,381,46,63,17,27
23,337,48,7,0,6,17,27
23,41,207,200,37,6,17,27
23,33,7,1,5,51,262,27
23,337,48,5,126,101,17,27
23,178,32,376,172,51,262,27
23,337,48,5,0,6,17,27
23,178,32,197,38,34,17,27
23,40,11,19,5,51,262,27
23,33,7,1,0,6,17,27
23,232,69,19,294,51,262,27
23,232,69,19,5,0,17,27
23,40,11,49,46,63,17,27
23,0,5,19,294,51,262,27
23,40,11,475,1,0,17,27
23,178,32,11,5,51,262,27
23,178,32,11,19,313,17,27
23,13,5,51,160,0,17,27
23,33,385,111,1,287,323,27
23,178,32,11,3,287,323,27
23,40,11,45,92,167,17,27
23,40,11,45,19,313,17,27
23,383,380,0,160,51,262,27
23,0,316,9,38,34,17,27
23,0,50,44,366,51,262,27
23,41,28,136,51,364,17,27
23,13,5,0,3,6,17,27
23,144,28,136,51,364,17,27
23,0,24,19,5,51,262,27
23,178,32,9,3,6,17,27
23,0,2,14,3,287,323,27
23,0,2,379,45,319,17,27
23,144,28,215,172,51,262,27
23,144,28,11,3,287,323,27
23,144,28,11,19,313,17,27
23,13,67,82,42,6,17,27
23,44,1,287,3,0,17,27
23,144,299,362,5,0,17,27
23,13,67,28,136,51,262,27
23,40,11,28,387,186,17,27
23,175,0,6,3,287,323,27
23,33,7,0,160,51,262,27
23,0,3,8,1,287,323,27
23,265,7,1,3,0,17,27
23,265,7,1,5,0,17,27
23,265,7,1,0,34,17,27
23,0,3,250,211,6,17,27
23,40,11,5,126,101,17,27
23,337,48,5,51,364,17,27
23,13,3,11,324,287,323,27
23,265,7,478,130,51,262,27
23,265,7,22,428,51,262,27
23,13,3,4,42,6,17,27
23,265,7,22,1,0,17,27
23,401,38,141,46,63,17,27
23,13,3,4,0,6,17,27
23,13,31,57,1,287,323,27
23,401,38,9,316,0,17,27
23,401,38,9,3,0,17,27
23,44,1,0,3,6,17,27
23,265,7,48,5,51,262,27
23,0,7,48,5,51,262,27
23,0,7,22,1,287,323,27
23,33,473,5,0,6,17,27
23,13,5,48,7,0,17,27
23,0,1,5,126,101,17,27
23,0,1,5,19,313,17,27
23,337,414,100,1,0,17,27
23,0,17,6,3,287,323,27
23,13,168,45,19,76,17,27
23,0,3,1,293,167,17,27
23,33,7,478,130,51,262,27
23,13,5,1,0,6,17,27
23,33,7,22,1,287,323,27
23,13,5,1,0,34,17,27
23,33,7,20,269,51,262,27
23,33,7,22,428,51,262,27
23,33,7,22,1,0,17,27
23,33,7,347,250,406,17,27
23,33,7,20,19,76,17,27
23,33,7,256,222,6,17,27
23,33,7,20,19,313,17,27
23,33,7,114,173,6,17,27
23,13,5,19,294,51,262,27
23,33,7,235,50,0,17,27
23,13,5,19,24,0,17,27
23,33,7,427,126,101,17,27
23,13,5,19,45,179,17,27
23,33,7,272,24,0,17,27
23,13,5,19,45,319,17,27
23,33,7,200,37,6,17,27
23,0,4,3,1,287,323,27
23,383,436,5,1,0,17,27
23,33,60,5,48,51,262,27
23,383,436,5,19,76,17,27
23,383,436,5,1,287,323,27
23,33,60,5,1,287,323,27
23,383,436,5,126,101,17,27
23,383,436,5,19,313,17,27
23,33,60,5,126,101,17,27
23,33,60,5,1,0,17,27
23,383,436,5,268,179,17,27
23,33,60,5,268,179,17,27
23,383,436,5,48,51,262,27
23,33,60,5,19,313,17,27
23,383,436,5,18,6,17,27
23,44,274,143,0,6,17,27
23,33,7,37,6,0,17,27
23,44,274,143,0,34,17,27
23,383,436,5,51,364,17,27
23,0,1,8,213,103,17,27
23,232,69,1,7,0,17,27
23,0,1,9,3,287,323,27
23,0,1,8,3,287,323,27
23,232,69,1,152,34,17,27
23,0,1,44,366,51,262,27
23,0,1,9,38,34,17,27
23,0,1,9,3,6,17,27
23,0,1,8,87,63,17,27
23,0,1,8,3,6,17,27
23,0,1,78,92,167,17,27
23,0,1,44,162,76,17,27
23,0,1,392,3,6,17,27
23,232,69,1,5,51,262,27
23,0,1,108,199,6,17,27
23,0,1,392,3,287,323,27
23,0,1,7,37,6,17,27
23,44,50,0,160,51,262,27
23,0,1,111,203,63,17,27
23,0,1,7,48,51,262,27
23,44,50,0,1,287,323,27
23,0,1,35,340,103,17,27
23,0,1,7,62,103,17,27
23,44,50,0,3,287,323,27
23,0,1,127,5,51,262,27
23,44,50,0,5,51,262,27
23,44,50,0,3,6,17,27
23,0,1,69,19,313,17,27
23,0,5,1,152,34,17,27
23,0,1,157,5,51,262,27
23,0,1,69,275,63,17,27
23,0,1,69,19,76,17,27
23,0,5,1,293,167,17,27
23,0,1,161,5,51,262,27
23,13,5,1,3,0,17,27
23,0,1,487,37,6,17,27
23,13,5,1,7,0,17,27
23,13,5,1,3,6,17,27
23,0,1,188,5,51,262,27
23,13,5,1,293,167,17,27
23,13,5,1,3,287,323,27
23,0,1,164,45,179,17,27
23,13,5,1,152,34,17,27
23,0,1,15,5,51,262,27
23,0,1,164,45,319,17,27
23,0,1,441,131,186,17,27
23,0,1,15,28,101,17,27
23,0,5,1,3,287,323,27
23,13,5,48,51,364,17,27
23,175,258,215,172,51,262,27
23,33,170,46,130,51,262,27
23,175,420,97,1,0,17,27
23,175,258,215,28,101,17,27
23,33,170,46,163,63,17,27
23,175,420,97,1,287,323,27
23,33,176,9,316,0,17,27
23,33,46,130,51,364,17,27
23,33,190,158,136,51,262,27
23,33,176,9,1,287,323,27
23,33,307,157,1,287,323,27
23,33,190,431,1,0,17,27
23,33,176,9,3,287,323,27
23,33,176,9,1,0,17,27
23,33,140,21,1,287,323,27
23,33,307,157,5,51,262,27
23,33,307,157,1,0,17,27
23,33,190,431,1,287,323,27
23,33,176,9,38,34,17,27
23,33,176,9,3,0,17,27
23,33,140,21,438,0,17,27
23,33,140,21,1,0,17,27
23,33,307,157,5,0,17,27
23,33,176,9,3,6,17,27
23,0,5,13,3,6,17,27
23,33,121,211,250,406,17,27
23,0,5,11,19,76,17,27
23,0,5,13,278,103,17,27
23,0,5,13,3,287,323,27
23,33,121,211,239,0,17,27
23,0,5,15,1,287,323,27
23,0,5,11,28,101,17,27
23,0,5,11,19,313,17,27
23,0,5,13,177,51,262,27
23,0,5,127,1,287,323,27
23,0,5,15,28,101,17,27
23,0,5,11,3,6,17,27
23,0,5,161,1,287,323,27
23,0,5,11,45,179,17,27
23,0,5,11,3,287,323,27
23,0,5,188,1,287,323,27
23,0,5,11,324,287,323,27
23,0,5,11,45,319,17,27
23,0,5,157,1,287,323,27
23,337,48,7,37,6,17,27
23,0,5,291,136,51,262,27
23,337,48,7,62,103,17,27
23,0,5,86,46,63,17,27
23,13,5,18,6,0,17,27
23,0,5,309,486,406,17,27
23,337,48,7,1,0,17,27
23,0,5,81,42,6,17,27
23,33,473,5,1,0,17,27
23,0,5,433,46,63,17,27
23,33,473,5,19,76,17,27
23,33,473,5,1,287,323,27
23,33,473,5,126,101,17,27
23,33,473,5,19,313,17,27
23,33,473,5,268,179,17,27
23,0,24,251,45,319,17,27
23,33,473,5,48,51,262,27
23,44,1,5,0,6,17,27
23,33,473,5,18,6,17,27
23,44,1,5,0,34,17,27
23,337,48,102,37,6,17,27
23,0,239,211,250,406,17,27
23,0,3,287,444,406,17,27
23,33,46,263,394,6,17,27
23,337,48,7,0,34,17,27
23,33,46,433,5,0,17,27
23,33,46,263,94,0,17,27
23,33,46,141,38,34,17,27
23,33,46,433,5,51,262,27
23,33,46,165,38,34,17,27
23,13,5,11,19,76,17,27
23,33,46,417,203,63,17,27
23,13,5,15,1,0,17,27
23,13,5,11,28,101,17,27
23,13,5,11,19,313,17,27
23,33,46,80,99,0,17,27
23,13,5,127,1,287,323,27
23,13,5,15,28,101,17,27
23,13,5,15,1,287,323,27
23,13,5,11,3,0,17,27
23,33,46,381,48,51,262,27
23,13,5,161,1,287,323,27
23,13,5,127,1,0,17,27
23,13,5,11,45,179,17,27
23,13,5,11,3,6,17,27
23,33,46,86,5,51,262,27
23,13,5,188,1,287,323,27
23,13,5,161,1,0,17,27
23,13,5,11,324,287,323,27
23,13,5,11,45,319,17,27
23,13,5,11,3,287,323,27
23,33,46,86,5,0,17,27
23,13,5,157,1,287,323,27
23,13,5,188,1,0,17,27
23,13,5,291,136,51,262,27
23,13,5,157,1,0,17,27
23,13,5,86,46,63,17,27
23,41,341,272,7,0,17,27
23,13,5,309,486,406,17,27
23,41,341,272,24,0,17,27
23,13,5,81,42,6,17,27
23,41,207,200,7,0,17,27
23,13,5,12,2,0,17,27
23,33,121,211,6,0,17,27
23,13,5,433,46,63,17,27
23,44,366,51,5,0,17,27
23,33,7,1,3,0,17,27
23,44,366,51,160,0,17,27
23,33,7,1,293,167,17,27
23,33,7,1,3,6,17,27
23,33,7,1,152,34,17,27
23,33,7,1,3,287,323,27
23,33,7,1,5,0,17,27
23,337,48,5,18,6,17,27
23,44,1,7,48,51,262,27
23,337,48,5,1,287,323,27
23,44,1,7,37,6,17,27
23,337,48,5,268,179,17,27
23,178,32,247,48,51,262,27
23,44,1,7,0,6,17,27
23,337,48,5,1,0,17,27
23,44,1,7,62,103,17,27
23,337,48,5,19,76,17,27
23,178,32,285,24,0,17,27
23,44,1,7,0,34,17,27
23,0,5,48,51,364,17,27
23,337,48,5,19,313,17,27
23,178,32,145,28,101,17,27
23,0,6,211,250,406,17,27
23,44,1,5,19,76,17,27
23,337,48,5,0,34,17,27
23,44,1,5,51,364,17,27
23,0,6,18,5,51,262,27
23,44,1,5,126,101,17,27
23,44,1,5,19,313,17,27
23,44,1,3,6,0,17,27
23,40,11,19,294,51,262,27
23,44,1,5,268,179,17,27
23,44,1,188,5,51,262,27
23,40,11,19,5,0,17,27
23,40,11,19,24,0,17,27
23,44,1,5,48,51,262,27
23,44,1,8,87,63,17,27
23,44,1,188,5,0,17,27
23,40,11,19,45,319,17,27
23,44,1,5,18,6,17,27
23,44,1,15,5,0,17,27
23,44,1,8,3,287,323,27
23,40,11,19,45,179,17,27
23,33,7,1,0,34,17,27
23,44,1,21,438,0,17,27
23,44,1,15,28,101,17,27
23,44,1,15,5,51,262,27
23,44,1,8,148,0,17,27
23,44,1,8,3,0,17,27
23,44,1,392,3,287,323,27
23,0,6,3,1,287,323,27
23,44,1,8,213,103,17,27
23,44,1,8,3,6,17,27
23,44,1,111,203,63,17,27
23,44,1,392,3,0,17,27
23,0,6,3,250,406,17,27
23,13,3,6,0,34,17,27
23,44,1,100,260,0,17,27
23,44,1,392,3,6,17,27
23,44,1,152,34,0,17,27
23,232,69,19,24,0,17,27
23,44,1,108,199,6,17,27
23,44,1,3,250,406,17,27
23,44,56,0,160,51,262,27
23,232,69,19,45,179,17,27
23,44,1,35,340,103,17,27
23,40,11,257,4,0,17,27
23,44,1,3,4,0,17,27
23,44,56,0,1,287,323,27
23,232,69,19,45,319,17,27
23,44,1,69,275,63,17,27
23,40,11,259,37,6,17,27
23,41,28,46,163,63,17,27
23,44,56,0,3,287,323,27
23,0,5,19,45,179,17,27
23,44,1,487,37,6,17,27
23,44,1,69,19,76,17,27
23,40,11,330,260,0,17,27
23,44,56,0,5,51,262,27
23,44,56,0,3,6,17,27
23,0,5,19,45,319,17,27
23,44,1,164,45,179,17,27
