24,212
24,19,45,212
24,251,45,212
24,19,11,45,212
24,58,12,189,45,212
24,19,5,11,45,212
24,0,2,379,45,212
24,19,25,396,45,212
24,73,12,189,45,212
24,0,17,179,45,212
24,245,12,189,45,212
24,0,1,164,45,212
24,0,17,319,45,212
24,285,399,85,45,212
24,19,20,470,45,212
24,0,3,11,45,212
24,285,32,11,45,212
24,0,5,11,45,212
24,0,5,19,45,212
24,58,12,5,11,45,212
24,19,20,78,92,45,212
24,19,284,20,470,45,212
24,0,3,25,396,45,212
24,73,279,40,11,45,212
24,0,3,11,19,45,212
24,285,32,9,493,495,212
24,73,12,5,11,45,212
24,285,32,11,19,45,212
24,0,4,257,11,45,212
24,19,25,3,11,45,212
24,19,5,48,493,495,212
24,0,6,37,360,45,212
24,0,4,3,11,45,212
24,19,5,12,189,45,212
24,0,316,9,493,495,212
24,0,6,17,179,45,212
24,0,4,42,151,45,212
24,0,5,11,19,45,212
24,0,5,48,493,495,212
24,19,5,13,168,45,212
24,0,7,238,109,45,212
24,0,5,19,11,45,212
24,0,6,3,11,45,212
24,0,6,17,319,45,212
24,19,11,311,168,45,212
24,58,12,208,166,45,212
24,58,12,5,19,45,212
24,19,20,30,132,45,212
24,0,5,1,164,45,212
24,19,5,161,355,45,212
24,58,254,25,19,45,212
24,245,12,5,11,45,212
24,19,54,30,146,45,212
24,0,34,17,179,45,212
24,0,7,20,470,45,212
24,0,260,330,11,45,212
24,0,34,38,53,45,212
24,0,34,17,319,45,212
24,0,7,1,164,45,212
24,0,7,20,19,45,212
24,0,23,13,168,45,212
24,0,7,37,360,45,212
24,0,23,40,11,45,212
24,0,7,48,493,495,212
24,0,6,42,151,45,212
24,0,1,161,355,45,212
24,0,3,1,164,45,212
24,0,1,169,109,45,212
24,0,3,9,493,495,212
24,0,1,35,166,45,212
24,0,3,13,168,45,212
24,0,1,472,402,45,212
24,0,3,25,19,45,212
24,0,1,3,11,45,212
24,19,11,361,109,45,212
24,0,1,5,11,45,212
24,0,17,76,19,45,212
24,0,1,475,11,45,212
24,0,1,5,19,45,212
24,0,17,167,92,45,212
24,0,1,9,493,495,212
24,73,134,1,164,45,212
24,58,12,139,11,45,212
24,0,17,313,19,45,212
24,0,1,69,19,45,212
24,58,12,241,11,45,212
24,0,2,12,189,45,212
24,0,1,78,92,45,212
24,58,12,2,379,45,212
24,272,7,37,360,45,212
24,19,20,72,192,45,212
24,19,20,30,146,45,212
24,298,44,1,164,45,212
24,272,309,5,11,45,212
24,272,7,48,493,495,212
24,285,32,376,402,45,212
24,0,5,12,189,45,212
24,19,5,1,164,45,212
24,272,443,259,11,45,212
24,272,309,5,19,45,212
24,272,7,20,470,45,212
24,73,12,139,11,45,212
24,58,254,25,396,45,212
24,0,5,13,168,45,212
24,19,5,268,179,45,212
24,0,5,161,355,45,212
24,245,12,2,379,45,212
24,0,5,268,179,45,212
24,245,12,208,166,45,212
24,73,12,5,19,45,212
24,245,12,139,11,45,212
24,245,12,5,19,45,212
24,245,12,241,11,45,212
24,272,7,1,164,45,212
24,272,7,20,19,45,212
24,272,7,238,109,45,212
24,19,69,1,164,45,212
24,73,12,208,166,45,212
24,19,76,17,179,45,212
24,19,69,117,193,45,212
24,73,12,241,11,45,212
24,19,313,17,179,45,212
24,19,76,17,319,45,212
24,19,69,255,11,45,212
24,73,12,2,379,45,212
24,19,313,17,319,45,212
