25,3,8,26
25,19,20,21,26
25,3,1,8,26
25,388,142,125,26
25,3,6,225,26
25,3,1,21,26
25,3,13,320,26
25,3,47,125,26
25,3,133,8,26
25,3,47,55,26
25,3,8,1,21,26
25,3,47,125,182,26
25,3,0,438,21,26
25,19,20,95,70,26
25,3,6,37,70,26
25,3,9,1,8,26
25,3,0,1,8,26
25,388,142,125,182,26
25,3,0,1,21,26
25,3,1,93,8,26
25,19,20,249,70,26
25,3,1,100,8,26
25,221,186,321,55,26
25,3,1,157,344,26
25,338,120,10,8,26
25,3,1,191,8,26
25,3,11,118,21,26
25,3,1,317,8,26
25,3,14,2,29,26
25,19,5,13,320,26
25,3,9,1,21,26
25,3,327,479,225,26
25,19,11,118,21,26
25,19,5,1,8,26
25,3,0,2,29,26
25,3,416,157,344,26
25,19,69,1,21,26
25,3,287,1,8,26
25,19,284,20,21,26
25,19,69,1,8,26
25,3,392,1,21,26
25,3,287,1,21,26
25,3,392,1,8,26
25,19,11,3,8,26
25,19,5,83,8,26
25,19,5,1,21,26
25,19,5,157,344,26
25,3,0,6,225,26
25,3,0,148,8,26
25,19,20,30,142,125,26
25,3,47,16,10,8,26
25,19,45,179,280,29,26
25,19,284,20,95,70,26
25,19,5,157,1,8,26
25,19,69,1,3,8,26
25,3,4,0,438,21,26
25,3,133,8,1,21,26
25,3,8,191,1,21,26
25,3,287,1,93,8,26
25,3,392,1,93,8,26
25,19,11,5,13,320,26
25,3,0,2,10,8,26
25,3,416,157,1,8,26
25,3,8,1,157,344,26
25,19,11,3,1,8,26
25,19,5,1,3,8,26
25,388,142,125,47,55,26
25,221,186,17,6,225,26
25,19,5,0,438,21,26
25,254,58,12,2,29,26
25,3,0,6,37,70,26
25,19,5,0,1,8,26
25,396,45,11,3,8,26
25,3,0,5,13,320,26
25,19,5,0,2,29,26
25,19,5,0,1,21,26
25,396,45,19,20,21,26
25,396,45,11,118,21,26
25,3,0,7,37,70,26
25,3,0,5,1,8,26
25,19,5,0,3,8,26
25,396,45,85,52,21,26
25,3,0,17,6,225,26
25,3,0,7,1,8,26
25,3,0,5,83,8,26
25,3,0,5,1,21,26
25,19,5,0,6,225,26
25,396,45,109,219,21,26
25,3,0,1,93,8,26
25,3,0,23,13,320,26
25,3,0,7,20,21,26
25,3,0,7,1,21,26
25,3,0,5,157,344,26
25,19,5,0,148,8,26
25,396,45,164,1,8,26
25,3,0,1,100,8,26
25,3,0,239,352,8,26
25,338,120,10,2,29,26
25,19,20,310,157,344,26
25,3,47,123,13,320,26
25,396,45,168,13,320,26
25,396,45,164,1,21,26
25,388,142,30,20,21,26
25,3,0,1,157,344,26
25,3,0,260,100,8,26
25,338,120,35,415,70,26
25,19,24,0,2,29,26
25,338,120,10,89,21,26
25,19,45,11,118,21,26
25,19,20,464,79,55,26
25,3,1,487,37,70,26
25,3,11,28,145,389,26
25,19,284,20,249,70,26
25,396,45,179,280,29,26
25,3,0,1,191,8,26
25,19,5,157,1,21,26
25,19,69,1,93,8,26
25,338,120,35,1,8,26
25,3,59,28,145,389,26
25,19,54,30,20,21,26
25,19,24,73,84,21,26
25,19,24,0,1,8,26
25,3,14,2,10,8,26
25,3,4,301,100,8,26
25,3,4,0,1,8,26
25,19,45,85,52,21,26
25,19,45,11,3,8,26
25,19,20,7,1,8,26
25,3,1,22,138,70,26
25,3,11,19,20,21,26
25,19,20,21,1,8,26
25,3,6,37,79,55,26
25,3,8,243,408,21,26
25,396,45,360,37,70,26
25,3,8,267,140,21,26
25,396,45,379,2,29,26
25,3,8,317,1,21,26
25,396,45,470,20,21,26
25,3,8,93,1,21,26
25,3,6,0,148,8,26
25,3,8,100,1,21,26
25,3,6,205,79,55,26
25,3,6,0,1,8,26
25,3,8,10,2,29,26
25,3,6,222,95,70,26
25,3,6,0,2,29,26
25,3,6,0,1,21,26
25,3,8,10,89,21,26
25,3,6,0,438,21,26
25,3,287,1,100,8,26
25,3,0,1,317,8,26
25,3,287,1,157,344,26
25,3,392,1,100,8,26
25,3,287,1,191,8,26
25,3,392,1,157,344,26
25,3,287,1,317,8,26
25,3,392,1,191,8,26
25,19,69,1,100,8,26
25,3,392,1,317,8,26
25,19,69,1,157,344,26
25,3,9,1,93,8,26
25,19,69,1,191,8,26
25,3,9,1,100,8,26
25,19,69,1,317,8,26
25,3,9,1,157,344,26
25,19,5,13,3,8,26
25,3,9,1,191,8,26
25,19,11,28,145,389,26
25,3,9,1,317,8,26
25,19,11,40,171,70,26
25,19,11,5,1,8,26
25,19,11,259,37,70,26
25,19,11,5,83,8,26
25,19,11,5,1,21,26
25,19,11,32,145,389,26
25,19,11,5,157,344,26
25,19,11,475,1,8,26
25,338,120,35,1,21,26
25,19,11,475,1,21,26
25,3,281,38,216,182,26
25,19,390,15,1,8,26
25,3,498,28,145,389,26
25,19,76,17,6,225,26
25,19,390,15,1,21,26
25,3,75,303,47,55,26
25,19,313,17,6,225,26
25,3,372,253,13,320,26
25,3,75,31,13,320,26
25,3,75,303,47,125,26
25,19,308,301,100,8,26
25,3,98,28,145,389,26
25,3,372,253,157,344,26
25,3,250,211,6,225,26
25,19,54,30,142,125,26
25,19,24,261,84,21,26
25,3,13,5,83,8,26
25,3,327,22,1,8,26
25,3,416,157,1,21,26
25,3,13,253,157,344,26
25,3,13,5,1,8,26
25,3,327,22,138,70,26
25,3,327,22,1,21,26
25,3,13,123,47,55,26
25,3,13,5,157,344,26
25,3,13,5,1,21,26
25,3,13,123,47,125,26
25,19,24,0,3,8,26
25,19,24,0,1,21,26
25,3,9,38,216,182,26
25,19,24,0,6,225,26
25,19,11,3,6,225,26
25,3,9,32,145,389,26
25,19,24,0,148,8,26
25,19,11,3,13,320,26
25,3,9,77,228,8,26
25,19,24,0,438,21,26
25,19,11,3,47,125,26
25,3,4,147,47,55,26
25,19,11,3,1,21,26
25,19,11,3,133,8,26
25,19,11,3,47,55,26
25,3,4,42,6,225,26
25,3,4,147,47,125,26
25,19,5,1,93,8,26
25,3,4,159,37,70,26
25,3,4,0,2,29,26
25,19,5,1,100,8,26
25,3,4,0,1,21,26
25,3,4,0,6,225,26
25,19,5,1,157,344,26
25,19,45,109,219,21,26
25,3,4,0,148,8,26
25,19,5,1,191,8,26
25,19,45,164,1,8,26
25,19,5,11,118,21,26
25,19,5,1,317,8,26
25,19,20,78,1,8,26
25,19,45,379,2,29,26
25,19,45,164,1,21,26
25,19,5,12,2,29,26
25,19,5,11,3,8,26
25,19,20,497,37,70,26
25,19,20,78,1,21,26
25,19,45,168,13,320,26
25,19,5,15,1,8,26
25,19,20,7,37,70,26
25,19,20,7,1,21,26
25,19,45,360,37,70,26
25,19,5,18,6,225,26
25,19,5,15,1,21,26
25,3,1,35,415,70,26
25,19,45,470,20,21,26
25,19,5,48,122,21,26
25,3,11,5,83,8,26
25,3,1,296,95,70,26
25,19,5,127,1,8,26
25,3,11,40,171,70,26
25,3,11,5,1,8,26
25,3,1,0,2,29,26
25,19,5,161,1,8,26
25,19,5,127,1,21,26
25,3,11,259,37,70,26
25,3,11,5,13,320,26
25,3,11,5,1,21,26
25,3,11,5,157,344,26
25,3,1,5,13,320,26
