26,21,122
26,8,1,21,122
26,21,1,5,48,122
26,70,37,7,48,122
26,8,1,5,48,122
26,21,20,7,48,122
26,182,216,38,135,122
26,70,95,20,21,122
26,70,37,102,48,122
26,344,157,1,21,122
26,70,249,20,21,122
26,70,95,209,413,122
26,8,10,89,21,122
26,21,1,7,48,122
26,8,243,408,21,122
26,8,1,7,48,122
26,8,83,5,48,122
26,320,13,5,48,122
26,8,267,140,21,122
26,344,157,5,48,122
26,8,3,1,21,122
26,344,157,174,48,122
26,8,93,1,21,122
26,8,100,1,21,122
26,8,191,1,21,122
26,8,317,1,21,122
26,70,95,20,7,48,122
26,8,83,220,1,21,122
26,8,83,5,1,21,122
26,225,6,18,5,48,122
26,70,37,7,1,21,122
26,8,83,5,51,48,122
26,55,79,37,7,48,122
26,225,6,0,438,21,122
26,70,37,7,20,21,122
26,389,145,32,247,48,122
26,320,13,3,1,21,122
26,55,47,3,1,21,122
26,55,79,464,20,21,122
26,55,79,37,102,48,122
26,225,6,3,1,21,122
26,225,6,0,1,21,122
26,320,13,5,1,21,122
26,29,2,10,89,21,122
26,320,13,23,337,48,122
26,70,37,43,38,135,122
26,55,47,71,485,135,122
26,21,1,0,5,48,122
26,8,1,5,51,48,122
26,344,157,5,1,21,122
26,8,3,0,438,21,122
26,225,6,37,7,48,122
26,8,3,9,493,48,122
26,8,3,0,1,21,122
26,225,6,37,102,48,122
26,8,3,11,5,48,122
26,8,3,9,1,21,122
26,8,3,0,5,48,122
26,8,3,281,38,135,122
26,8,3,11,118,21,122
26,8,3,9,38,135,122
26,8,3,0,7,48,122
26,8,3,287,1,21,122
26,344,157,1,5,48,122
26,8,3,14,96,48,122
26,344,157,1,7,48,122
26,8,3,13,5,48,122
26,344,157,310,20,21,122
26,8,3,392,1,21,122
26,225,6,0,5,48,122
26,320,13,5,51,48,122
26,225,6,0,7,48,122
26,8,3,1,5,48,122
26,125,47,71,302,48,122
26,8,3,1,7,48,122
26,125,182,216,38,135,122
26,125,47,3,1,21,122
26,125,47,71,485,135,122
26,125,142,30,20,21,122
26,8,93,1,5,48,122
26,29,2,0,438,21,122
26,8,1,7,20,21,122
26,8,93,1,7,48,122
26,29,2,12,5,48,122
26,29,2,0,1,21,122
26,8,1,0,438,21,122
26,29,2,14,96,48,122
26,29,2,0,5,48,122
26,8,1,78,20,21,122
26,8,1,0,5,48,122
26,29,2,62,7,48,122
26,29,2,0,7,48,122
26,8,1,9,38,135,122
26,8,1,0,7,48,122
26,21,438,0,7,48,122
26,70,415,35,1,21,122
26,320,13,177,51,48,122
26,8,100,414,337,48,122
26,8,1,15,5,48,122
26,8,1,9,493,48,122
26,21,52,46,381,48,122
26,21,438,0,5,48,122
26,21,1,5,51,48,122
26,8,100,1,5,48,122
26,70,37,68,38,135,122
26,70,138,22,1,21,122
26,70,249,20,7,48,122
26,70,393,129,102,48,122
26,70,138,22,7,48,122
26,70,171,40,209,413,122
26,70,393,129,455,413,122
26,21,20,95,209,413,122
26,70,95,296,1,21,122
26,21,20,269,51,48,122
26,8,191,1,5,48,122
26,21,20,19,5,48,122
26,8,191,1,7,48,122
26,55,47,71,302,48,122
26,8,1,127,5,48,122
26,21,1,188,5,48,122
26,8,1,22,7,48,122
26,21,1,9,38,135,122
26,8,1,157,5,48,122
26,21,1,15,5,48,122
26,21,1,9,493,48,122
26,8,1,161,5,48,122
26,8,1,157,174,48,122
26,21,1,127,5,48,122
26,21,1,15,61,48,122
26,8,1,188,5,48,122
26,21,1,157,5,48,122
26,8,1,15,61,48,122
26,21,1,161,5,48,122
26,21,1,157,174,48,122
26,21,1,22,7,48,122
26,8,484,200,7,48,122
26,21,1,0,7,48,122
26,8,133,3,1,21,122
26,21,219,109,96,48,122
26,8,148,0,438,21,122
26,21,140,33,7,48,122
26,8,148,0,1,21,122
26,21,118,11,5,48,122
26,8,148,0,5,48,122
26,8,317,1,5,48,122
26,8,148,0,7,48,122
26,8,317,1,7,48,122
26,344,157,5,51,48,122
26,8,100,1,7,48,122
26,70,37,487,1,21,122
26,70,37,200,7,48,122
26,70,37,497,20,21,122
26,8,191,1,5,51,48,122
26,21,20,19,294,51,48,122
26,21,20,19,5,51,48,122
26,8,191,1,0,438,21,122
