272,309
272,24,19,5,309
272,7,48,5,309
272,24,0,5,309
272,7,0,5,309
272,7,1,5,309
272,443,259,11,5,309
272,24,0,1,5,309
272,7,0,1,5,309
272,7,107,12,5,309
272,24,19,11,5,309
272,7,22,1,5,309
272,7,48,51,5,309
272,7,1,0,5,309
272,7,33,473,5,309
272,24,58,12,5,309
272,7,20,19,5,309
272,7,33,60,5,309
272,24,73,12,5,309
272,7,427,126,5,309
272,24,245,12,5,309
272,7,1,15,5,309
272,7,1,127,5,309
272,7,1,157,5,309
272,7,1,161,5,309
272,7,1,188,5,309
272,24,0,1,157,5,309
272,443,259,11,19,5,309
272,7,33,35,1,5,309
272,7,0,1,157,5,309
272,24,73,134,1,5,309
272,24,19,390,15,5,309
272,7,0,1,15,5,309
272,7,347,250,406,486,309
272,24,19,294,51,5,309
272,7,0,1,127,5,309
272,7,37,487,1,5,309
272,24,19,45,11,5,309
272,24,298,44,1,5,309
272,7,0,1,161,5,309
272,7,62,353,442,5,309
272,7,37,102,48,5,309
272,24,19,69,1,5,309
272,24,285,32,11,5,309
272,7,0,1,188,5,309
272,7,265,23,0,5,309
272,7,62,2,0,5,309
272,7,20,19,11,5,309
272,7,20,30,286,5,309
272,341,41,23,0,5,309
272,7,37,259,11,5,309
272,7,22,428,51,5,309
272,24,212,45,11,5,309
272,7,0,24,19,5,309
272,24,251,45,11,5,309
272,24,212,45,19,5,309
272,7,0,2,12,5,309
272,24,251,45,19,5,309
272,7,0,3,11,5,309
272,7,22,1,0,5,309
272,7,0,6,18,5,309
272,7,0,3,1,5,309
272,7,22,1,15,5,309
272,7,0,17,406,486,309
272,7,0,3,13,5,309
272,7,22,1,127,5,309
272,7,0,23,13,5,309
272,7,22,1,157,5,309
272,7,0,160,51,5,309
272,7,22,1,161,5,309
272,24,0,17,406,486,309
272,7,22,1,188,5,309
272,24,0,7,1,5,309
272,7,114,224,13,5,309
272,24,0,2,12,5,309
272,24,0,7,48,5,309
272,7,235,50,0,5,309
272,7,114,69,1,5,309
272,24,0,3,11,5,309
272,7,478,130,51,5,309
272,7,265,23,13,5,309
272,7,114,69,19,5,309
272,24,0,6,18,5,309
272,24,0,3,1,5,309
272,7,48,61,15,5,309
272,24,0,23,13,5,309
272,24,0,3,13,5,309
272,7,48,429,286,5,309
272,24,0,160,51,5,309
272,7,1,226,86,5,309
272,7,48,174,157,5,309
272,7,62,2,12,5,309
272,7,1,227,161,5,309
272,24,0,1,161,5,309
272,7,20,115,12,5,309
272,443,445,383,436,5,309
272,7,1,69,19,5,309
272,24,0,1,188,5,309
272,7,20,74,363,5,309
272,341,41,28,11,5,309
272,7,1,3,0,5,309
272,24,0,1,15,5,309
272,341,41,23,13,5,309
272,7,37,6,0,5,309
272,7,20,269,51,5,309
272,341,41,28,15,5,309
272,7,1,475,11,5,309
272,7,1,3,11,5,309
272,7,1,8,83,5,309
272,7,1,3,13,5,309
272,7,1,9,270,5,309
272,7,33,23,0,5,309
272,7,1,236,60,5,309
272,7,33,46,433,5,309
272,7,33,23,13,5,309
272,7,1,220,83,5,309
272,7,33,307,157,5,309
272,7,33,46,86,5,309
272,24,0,1,127,5,309
272,7,37,299,362,5,309
272,7,37,6,18,5,309
272,7,20,284,19,5,309
272,7,20,21,1,5,309
272,7,20,78,1,5,309
272,7,20,310,157,5,309
272,7,20,310,491,5,309
272,7,1,3,11,19,5,309
272,341,41,28,15,1,5,309
272,7,0,24,58,12,5,309
272,7,1,475,11,19,5,309
272,7,33,23,0,1,5,309
272,7,20,269,51,48,5,309
272,24,58,12,139,11,5,309
272,7,33,23,175,0,5,309
272,7,1,21,438,0,5,309
272,7,1,220,425,12,5,309
272,7,33,131,441,1,5,309
272,7,33,307,157,1,5,309
272,7,33,46,28,15,5,309
272,7,1,8,3,13,5,309
272,341,41,28,39,12,5,309
272,24,19,390,15,1,5,309
272,24,0,1,226,86,5,309
272,7,37,43,214,126,5,309
272,7,37,299,476,157,5,309
272,7,0,3,11,19,5,309
272,7,37,6,3,13,5,309
272,7,1,3,4,0,5,309
272,24,73,134,1,0,5,309
272,7,20,284,19,11,5,309
272,7,20,21,118,11,5,309
272,7,20,21,1,0,5,309
272,24,251,45,19,11,5,309
272,24,212,45,11,19,5,309
272,7,0,6,17,406,486,309
272,7,20,78,1,0,5,309
272,7,20,95,296,1,5,309
272,7,1,9,3,0,5,309
272,24,212,495,493,48,5,309
272,7,0,24,19,11,5,309
272,7,20,310,157,1,5,309
272,7,33,35,1,0,5,309
272,7,0,3,1,157,5,309
272,7,0,24,73,12,5,309
272,24,261,84,21,1,5,309
272,24,58,254,25,19,5,309
272,7,347,250,3,13,5,309
272,7,0,17,76,19,5,309
272,7,0,3,6,18,5,309
272,24,19,294,51,48,5,309
272,7,33,60,65,66,5,309
272,7,0,23,33,60,5,309
272,24,58,12,241,11,5,309
272,7,33,23,337,48,5,309
272,7,1,22,428,51,5,309
272,7,1,21,118,11,5,309
272,7,33,153,40,11,5,309
272,7,33,131,195,60,5,309
272,7,33,46,49,11,5,309
272,24,73,84,21,1,5,309
272,7,37,487,1,0,5,309
272,7,0,160,51,48,5,309
272,7,33,46,28,11,5,309
272,7,1,8,148,0,5,309
272,7,1,8,3,0,5,309
272,7,0,260,315,12,5,309
272,341,41,28,101,126,5,309
272,24,212,45,19,11,5,309
272,24,19,45,164,1,5,309
272,24,0,1,227,161,5,309
272,24,0,17,76,19,5,309
272,7,37,240,353,442,5,309
272,7,22,1,226,86,5,309
272,7,37,299,368,188,5,309
272,24,212,45,164,1,5,309
272,24,298,44,23,13,5,309
272,24,73,12,139,11,5,309
272,7,37,6,17,406,486,309
272,7,37,6,3,0,5,309
272,24,0,7,1,157,5,309
272,7,1,3,6,18,5,309
272,24,251,45,164,1,5,309
272,24,298,44,1,0,5,309
272,24,73,134,1,161,5,309
272,24,251,45,11,19,5,309
272,7,20,21,122,48,5,309
272,24,0,2,14,371,5,309
272,7,20,21,1,15,5,309
272,7,0,2,14,371,5,309
272,7,107,12,139,11,5,309
272,24,0,7,107,12,5,309
272,7,0,6,3,1,5,309
272,24,0,7,48,51,5,309
272,24,0,7,22,1,5,309
272,7,0,6,42,81,5,309
272,7,0,6,3,11,5,309
272,24,0,7,33,473,5,309
272,7,20,78,1,15,5,309
272,7,0,6,3,13,5,309
272,24,0,7,20,19,5,309
272,24,0,7,33,60,5,309
272,7,20,78,1,127,5,309
272,24,0,7,427,126,5,309
272,7,235,50,44,1,5,309
272,7,20,78,1,157,5,309
272,7,20,470,45,11,5,309
272,7,1,9,32,11,5,309
272,7,20,78,1,161,5,309
272,7,20,72,31,13,5,309
272,7,20,470,45,19,5,309
272,7,1,9,316,0,5,309
272,7,20,78,1,188,5,309
272,7,20,204,44,1,5,309
272,7,20,72,185,12,5,309
272,7,1,9,493,48,5,309
