27,23,104
27,23,150,104
27,17,64,23,104
27,23,33,131,104
27,17,0,23,104
27,17,186,131,104
27,23,13,31,16,104
27,17,0,175,23,104
27,17,0,23,150,104
27,17,6,0,23,104
27,23,40,11,332,104
27,17,34,0,23,104
27,23,36,30,16,104
27,17,64,23,150,104
27,23,206,246,16,104
27,17,0,175,23,150,104
27,17,0,23,33,131,104
27,17,6,3,11,332,104
27,17,6,0,175,23,104
27,17,186,131,33,23,104
27,17,6,229,30,16,104
27,17,6,3,0,23,104
27,17,186,439,33,23,104
27,17,6,0,23,150,104
27,23,40,153,33,131,104
27,17,6,3,13,23,104
27,17,101,28,11,332,104
27,17,186,439,33,131,104
27,23,33,190,431,490,104
27,17,34,38,401,23,104
27,17,34,0,23,150,104
27,17,34,0,175,23,104
27,17,6,3,47,16,104
27,23,13,3,47,16,104
27,23,13,31,494,16,104
27,23,13,5,15,16,104
27,23,13,3,11,332,104
27,23,13,123,47,16,104
27,23,13,5,11,332,104
27,17,76,162,44,23,104
27,17,101,28,15,16,104
27,17,63,46,33,23,104
27,17,76,19,11,332,104
27,17,101,28,41,23,104
27,17,103,278,13,23,104
27,17,63,106,41,23,104
27,17,63,46,105,300,104
27,17,63,46,33,131,104
27,17,101,28,144,23,104
27,17,179,45,11,332,104
27,262,51,48,337,23,104
27,17,101,28,183,16,104
27,17,313,19,11,332,104
27,323,287,3,11,332,104
27,262,51,5,15,16,104
27,17,319,45,11,332,104
27,17,0,1,431,490,104
27,17,64,23,33,131,104
27,323,287,1,431,490,104
27,323,287,3,0,23,104
27,323,287,1,0,23,104
27,323,287,3,13,23,104
27,323,287,1,15,16,104
27,323,287,3,47,16,104
27,323,287,1,44,23,104
27,23,424,390,15,16,104
27,323,287,1,441,131,104
27,23,178,32,11,332,104
27,23,33,46,105,300,104
27,23,0,1,431,490,104
27,23,33,60,195,131,104
27,23,64,17,186,131,104
27,23,0,3,11,332,104
27,23,0,1,15,16,104
27,23,33,439,186,131,104
27,23,33,60,449,332,104
27,23,41,28,11,332,104
27,23,0,17,186,131,104
27,23,0,3,47,16,104
27,23,0,1,441,131,104
27,23,44,1,431,490,104
27,23,41,28,15,16,104
27,23,0,5,11,332,104
27,23,144,28,11,332,104
27,23,44,1,15,16,104
27,23,41,28,183,16,104
27,23,0,2,10,16,104
27,23,0,5,15,16,104
27,23,265,7,33,131,104
27,23,144,28,15,16,104
27,23,44,1,441,131,104
27,262,51,160,0,23,104
27,23,0,7,33,131,104
27,23,144,28,183,16,104
27,262,51,177,13,23,104
27,262,51,5,0,23,104
27,17,0,2,10,16,104
27,262,51,366,44,23,104
27,262,51,5,11,332,104
27,17,0,3,11,332,104
27,17,0,1,15,16,104
27,262,51,5,13,23,104
27,17,0,5,15,16,104
27,17,0,3,13,23,104
27,323,287,324,11,332,104
27,17,0,1,44,23,104
27,17,0,50,44,23,104
27,17,0,5,11,332,104
27,17,0,3,47,16,104
27,17,0,1,441,131,104
27,17,0,56,44,23,104
27,17,0,5,13,23,104
27,17,0,7,33,23,104
27,17,0,380,383,23,104
27,17,0,7,265,23,104
27,17,0,7,33,131,104
27,323,287,3,0,175,23,104
27,323,287,3,13,31,16,104
27,323,287,3,13,23,150,104
27,17,0,380,383,23,150,104
27,17,0,7,1,431,490,104
27,17,0,7,265,23,150,104
27,323,287,3,1,431,490,104
27,17,0,5,13,23,150,104
27,23,13,31,57,465,150,104
27,17,0,7,48,337,23,104
27,17,0,7,1,15,16,104
27,323,287,3,4,0,23,104
27,323,287,3,1,0,23,104
27,23,13,31,128,30,16,104
27,323,287,1,44,23,150,104
27,17,0,7,20,30,16,104
27,17,0,7,1,44,23,104
27,323,287,3,6,0,23,104
27,23,424,459,7,33,131,104
27,323,287,3,1,15,16,104
27,23,424,390,19,11,332,104
27,17,0,7,459,424,23,104
27,17,6,0,1,431,490,104
27,323,287,1,3,11,332,104
27,17,6,3,13,23,150,104
27,17,0,7,1,441,131,104
27,323,287,3,8,10,16,104
27,17,6,3,11,40,23,104
27,23,13,3,1,15,16,104
27,323,287,3,1,44,23,104
27,17,0,23,40,11,332,104
