293,1,0,457
293,167,17,0,457
293,1,3,0,457
293,1,5,0,457
293,1,7,0,457
293,1,326,252,457
293,167,17,6,0,457
293,1,7,200,252,457
293,432,157,1,0,457
293,1,188,5,0,457
293,474,472,1,0,457
293,432,157,5,0,457
293,1,15,5,0,457
293,167,17,34,0,457
293,1,3,4,0,457
293,1,21,438,0,457
293,1,3,6,0,457
293,1,8,3,0,457
293,1,9,3,0,457
293,1,8,148,0,457
293,1,22,7,0,457
293,1,9,316,0,457
293,1,44,23,0,457
293,1,287,3,0,457
293,1,44,50,0,457
293,1,392,3,0,457
293,1,44,56,0,457
293,1,100,260,0,457
293,1,152,34,0,457
293,1,127,5,0,457
293,1,157,5,0,457
293,1,161,5,0,457
293,1,3,8,148,0,457
293,432,157,1,3,0,457
293,1,152,34,17,0,457
293,1,157,416,3,0,457
293,1,97,420,175,0,457
293,1,3,9,316,0,457
293,432,157,1,5,0,457
293,1,8,3,4,0,457
293,1,0,7,200,252,457
293,1,9,3,4,0,457
293,1,475,11,5,0,457
293,1,97,80,99,0,457
293,1,5,11,3,0,457
293,1,8,484,200,252,457
293,1,3,13,23,0,457
293,432,157,1,7,0,457
293,167,92,78,1,0,457
293,1,8,3,6,0,457
293,1,22,327,3,0,457
293,1,21,20,7,0,457
293,474,472,1,3,0,457
293,1,9,3,6,0,457
293,1,487,37,68,252,457
293,1,475,11,3,0,457
293,1,108,199,6,0,457
293,1,487,37,6,0,457
293,1,191,8,3,0,457
293,1,487,37,7,0,457
293,1,35,33,7,0,457
293,1,191,8,148,0,457
293,1,487,37,200,252,457
293,1,69,19,5,0,457
293,1,35,33,23,0,457
293,1,220,83,5,0,457
293,1,69,114,7,0,457
293,1,69,19,24,0,457
293,1,78,20,7,0,457
293,1,69,232,23,0,457
293,1,93,8,3,0,457
293,432,157,5,1,0,457
293,1,226,86,5,0,457
293,1,93,8,148,0,457
293,1,227,161,5,0,457
293,1,44,23,175,0,457
293,1,236,357,23,0,457
293,1,5,12,2,0,457
293,1,134,73,24,0,457
293,1,236,60,5,0,457
293,1,8,100,260,0,457
293,432,157,416,3,0,457
293,1,5,13,3,0,457
293,1,317,8,3,0,457
293,1,8,10,2,0,457
293,1,3,14,2,0,457
293,1,5,18,6,0,457
293,1,5,13,23,0,457
293,1,3,13,5,0,457
293,1,116,71,50,0,457
293,1,317,8,148,0,457
293,1,8,83,5,0,457
293,1,3,11,5,0,457
293,1,5,19,24,0,457
293,1,22,7,200,252,457
293,1,3,6,17,0,457
293,1,15,113,4,0,457
293,432,157,1,326,252,457
293,1,287,3,4,0,457
293,167,17,6,3,0,457
293,1,8,352,239,0,457
293,1,5,48,7,0,457
293,1,9,38,34,0,457
293,167,17,27,23,0,457
293,1,9,270,5,0,457
293,1,9,38,68,252,457
293,167,17,64,23,0,457
293,1,392,3,4,0,457
293,1,44,274,143,0,457
293,1,392,3,6,0,457
