30,286,5,11,259
30,229,6,37,259
30,146,45,11,259
30,132,45,11,259
30,54,19,11,259
30,20,497,37,259
30,20,19,11,259
30,20,7,37,259
30,54,19,11,259
30,20,7,37,259
30,132,45,11,259
30,20,19,11,259
30,146,45,11,259
30,229,6,37,259
30,286,5,11,259
30,20,21,84,329,259
30,20,19,5,11,259
30,16,104,332,11,259
30,286,5,19,11,259
30,20,95,70,37,259
30,20,21,118,11,259
30,20,19,45,11,259
30,36,23,40,11,259
30,132,45,19,11,259
30,194,138,70,37,259
30,132,45,360,37,259
30,410,47,3,11,259
30,20,7,200,37,259
30,430,38,43,37,259
30,16,15,28,11,259
30,146,45,19,11,259
30,20,7,272,443,259
30,430,38,68,37,259
30,16,47,3,11,259
30,16,15,5,11,259
30,54,19,5,11,259
30,20,249,70,37,259
30,54,19,45,11,259
30,20,284,19,11,259
30,146,45,360,37,259
30,20,464,79,37,259
30,229,6,3,11,259
30,20,470,45,11,259
30,16,183,28,11,259
30,20,21,1,475,11,259
30,16,15,5,19,11,259
30,16,47,3,6,37,259
30,16,47,55,79,37,259
30,16,15,1,475,11,259
30,286,429,48,7,37,259
30,54,19,45,360,37,259
30,54,19,20,497,37,259
30,20,284,19,5,11,259
30,20,19,45,360,37,259
30,146,45,168,311,11,259
30,36,23,0,6,37,259
30,132,45,19,5,11,259
30,20,19,24,272,443,259
30,194,437,109,45,11,259
30,229,6,205,79,37,259
30,20,78,1,487,37,259
30,20,470,45,19,11,259
30,194,138,22,7,37,259
30,16,10,8,3,11,259
30,16,183,28,440,11,259
30,194,138,22,112,37,259
30,16,31,75,3,11,259
30,16,10,356,28,11,259
30,20,21,26,70,37,259
30,16,354,85,45,11,259
30,16,31,13,3,11,259
30,20,21,1,3,11,259
30,132,411,205,6,37,259
30,16,31,13,5,11,259
30,20,21,1,5,11,259
30,132,172,376,32,11,259
30,132,411,205,79,37,259
30,20,21,1,7,37,259
30,132,45,168,311,11,259
30,132,282,9,3,11,259
30,132,172,51,5,11,259
30,20,21,1,487,37,259
30,132,45,109,361,11,259
30,132,282,9,32,11,259
30,132,172,215,28,11,259
30,410,47,55,79,37,259
30,16,15,390,19,11,259
30,16,104,23,40,11,259
30,410,47,3,6,37,259
30,124,100,1,475,11,259
30,16,15,1,3,11,259
30,286,429,48,5,11,259
30,54,19,69,255,11,259
30,54,19,20,7,37,259
30,488,237,211,6,37,259
30,124,143,0,3,11,259
30,124,100,8,3,11,259
30,124,100,1,3,11,259
30,16,15,1,5,11,259
30,20,284,19,45,11,259
30,286,429,48,102,37,259
30,54,19,24,272,443,259
30,156,375,20,497,37,259
30,286,5,0,6,37,259
30,146,45,109,361,11,259
30,124,143,0,5,11,259
30,124,100,260,330,11,259
30,36,23,13,3,11,259
30,124,100,1,5,11,259
30,16,15,1,7,37,259
30,36,23,0,3,11,259
30,16,15,28,440,11,259
30,286,5,19,45,11,259
30,20,19,25,3,11,259
30,54,19,25,3,11,259
30,142,388,25,3,11,259
30,156,35,1,487,37,259
30,128,31,13,3,11,259
30,142,125,26,70,37,259
30,142,388,25,19,11,259
30,156,374,209,40,11,259
30,156,35,33,7,37,259
30,156,35,1,3,11,259
30,128,243,8,3,11,259
30,128,31,75,3,11,259
30,128,31,13,5,11,259
30,142,125,47,3,11,259
30,156,35,166,45,11,259
30,156,35,1,5,11,259
30,156,35,415,70,37,259
30,156,35,1,7,37,259
30,156,375,20,7,37,259
30,156,35,1,475,11,259
30,156,375,20,19,11,259
30,286,5,1,475,11,259
30,146,45,19,5,11,259
30,286,5,12,139,11,259
30,286,5,1,3,11,259
30,286,5,13,3,11,259
30,286,5,12,241,11,259
30,286,5,1,7,37,259
30,286,5,15,28,11,259
30,286,5,1,487,37,259
30,286,5,18,6,37,259
30,286,5,0,3,11,259
30,286,5,48,7,37,259
30,286,5,0,7,37,259
30,286,5,309,272,443,259
30,286,5,48,102,37,259
30,286,5,362,299,37,259
30,20,7,0,6,37,259
30,194,437,109,361,11,259
30,20,7,1,475,11,259
30,20,7,0,3,11,259
30,20,7,235,328,37,259
30,20,7,1,3,11,259
30,20,7,0,5,11,259
30,20,7,48,5,11,259
30,20,7,1,5,11,259
30,20,7,22,112,37,259
30,20,7,48,102,37,259
30,20,7,1,487,37,259
30,124,143,0,6,37,259
30,20,95,209,40,11,259
30,124,143,0,7,37,259
30,20,95,222,6,37,259
30,430,38,9,32,11,259
30,229,6,0,3,11,259
30,430,38,53,45,11,259
30,430,38,9,3,11,259
30,229,6,18,5,11,259
30,229,6,0,5,11,259
30,36,23,33,7,37,259
30,430,38,197,32,11,259
30,229,6,0,7,37,259
30,36,23,41,28,11,259
30,430,38,281,3,11,259
30,36,23,13,5,11,259
30,36,23,104,332,11,259
30,124,100,1,7,37,259
30,20,72,404,28,11,259
30,36,23,144,28,11,259
30,124,100,1,487,37,259
30,20,74,363,5,11,259
30,20,72,192,45,11,259
30,36,23,178,32,11,259
30,36,23,144,299,37,259
30,20,115,12,5,11,259
30,36,23,265,7,37,259
30,16,15,1,487,37,259
30,20,310,491,5,11,259
