30,146,45,379
30,132,45,379
30,146,45,379
30,16,10,2,379
30,20,470,45,379
30,54,19,45,379
30,20,19,45,379
30,194,322,2,379
30,16,354,85,45,379
30,54,19,11,45,379
30,20,7,0,2,379
30,132,423,233,2,379
30,20,284,19,45,379
30,20,7,62,2,379
30,20,19,11,45,379
30,430,38,53,45,379
30,20,72,192,45,379
30,194,437,109,45,379
30,20,78,92,45,379
30,36,23,0,2,379
30,20,115,12,2,379
30,124,143,0,2,379
30,20,234,233,2,379
30,156,35,166,45,379
30,229,6,0,2,379
30,286,5,0,2,379
30,286,5,11,45,379
30,286,5,12,2,379
30,286,5,19,45,379
30,20,78,1,0,2,379
30,36,23,13,168,45,379
30,286,5,11,19,45,379
30,286,5,12,189,45,379
30,286,5,1,0,2,379
30,286,5,19,11,45,379
30,20,78,1,164,45,379
30,36,23,40,11,45,379
30,286,5,13,168,45,379
30,430,38,34,0,2,379
30,286,5,1,164,45,379
30,36,23,175,0,2,379
30,132,172,376,402,45,379
30,286,5,161,355,45,379
30,16,47,3,14,2,379
30,20,115,12,189,45,379
30,132,45,189,12,2,379
30,16,10,334,12,2,379
30,124,100,1,0,2,379
30,20,21,438,0,2,379
30,286,5,268,179,45,379
30,20,284,19,11,45,379
30,20,7,1,0,2,379
30,16,15,1,164,45,379
30,16,47,71,233,2,379
30,16,15,1,0,2,379
30,16,47,154,12,2,379
30,16,47,3,0,2,379
30,156,375,20,19,45,379
30,16,47,3,11,45,379
30,156,375,20,470,45,379
30,156,35,1,0,2,379
30,20,72,185,12,2,379
30,156,35,120,10,2,379
30,156,35,1,164,45,379
30,20,19,5,0,2,379
30,124,100,8,10,2,379
30,20,19,25,396,45,379
30,20,19,5,11,45,379
30,124,100,260,0,2,379
30,20,19,24,212,45,379
30,20,19,5,12,2,379
30,124,100,426,132,45,379
30,20,19,24,0,2,379
30,124,100,1,164,45,379
30,20,19,24,251,45,379
30,229,6,3,0,2,379
30,20,497,37,360,45,379
30,229,6,17,0,2,379
30,229,6,3,11,45,379
30,20,74,94,0,2,379
30,229,6,37,360,45,379
30,229,6,17,179,45,379
30,229,6,3,14,2,379
30,20,21,1,0,2,379
30,229,6,42,151,45,379
30,229,6,17,319,45,379
30,20,21,26,29,2,379
30,20,21,1,164,45,379
30,286,5,371,14,2,379
30,20,21,52,85,45,379
30,54,19,5,0,2,379
30,142,388,25,396,45,379
30,20,21,89,10,2,379
30,54,19,20,470,45,379
30,54,19,5,11,45,379
30,488,237,335,343,45,379
30,142,125,26,29,2,379
30,142,388,25,19,45,379
30,20,21,118,11,45,379
30,54,19,24,0,2,379
30,20,7,37,360,45,379
30,54,19,5,12,2,379
30,410,47,71,233,2,379
30,488,237,35,166,45,379
30,20,21,219,109,45,379
30,54,19,25,396,45,379
30,54,19,24,212,45,379
30,146,45,189,12,2,379
30,54,19,24,251,45,379
30,20,7,107,12,2,379
30,128,243,8,10,2,379
30,20,7,238,109,45,379
30,128,31,13,168,45,379
30,410,47,3,0,2,379
30,128,31,16,10,2,379
30,410,47,16,10,2,379
30,410,47,3,11,45,379
30,128,31,72,192,45,379
30,410,47,154,12,2,379
30,410,47,3,14,2,379
30,20,7,1,164,45,379
30,16,31,72,192,45,379
30,16,15,5,0,2,379
30,16,104,332,11,45,379
30,16,31,13,168,45,379
30,16,15,28,11,45,379
30,16,15,5,11,45,379
30,16,183,28,11,45,379
30,16,104,23,0,2,379
30,16,15,390,19,45,379
30,16,15,5,12,2,379
30,16,15,5,19,45,379
30,128,243,8,1,0,2,379
30,128,31,13,3,0,2,379
30,146,45,11,3,0,2,379
30,156,375,20,7,0,2,379
30,16,47,3,11,19,45,379
30,128,31,16,354,85,45,379
30,410,47,16,354,85,45,379
30,54,19,24,58,12,2,379
30,410,47,3,11,19,45,379
30,128,31,57,1,0,2,379
30,128,31,72,20,470,45,379
30,410,47,55,26,29,2,379
30,410,47,154,12,189,45,379
30,20,7,107,12,189,45,379
30,16,47,71,50,0,2,379
30,20,72,404,28,11,45,379
30,16,31,72,20,470,45,379
30,36,23,13,3,0,2,379
30,20,7,235,50,0,2,379
30,54,19,25,3,0,2,379
30,156,35,33,7,0,2,379
30,16,47,3,1,0,2,379
30,20,72,185,12,189,45,379
30,156,35,120,149,62,2,379
30,16,104,332,11,19,45,379
30,16,31,57,462,402,45,379
30,16,31,13,3,0,2,379
30,20,7,1,3,0,2,379
30,194,138,22,1,164,45,379
30,20,470,45,189,12,2,379
30,286,5,11,3,0,2,379
30,156,35,1,3,0,2,379
30,16,15,28,39,12,2,379
30,16,15,28,11,19,45,379
30,16,15,1,3,0,2,379
30,194,437,109,96,14,2,379
30,16,15,5,11,19,45,379
30,16,494,31,13,168,45,379
30,16,183,28,39,12,2,379
30,410,47,3,1,0,2,379
30,54,19,45,189,12,2,379
30,286,5,12,208,166,45,379
30,16,183,28,11,19,45,379
30,16,104,131,384,192,45,379
30,124,100,8,1,0,2,379
30,16,104,23,13,168,45,379
30,16,47,312,78,92,45,379
30,16,15,113,4,0,2,379
30,16,47,154,12,189,45,379
30,16,15,390,19,11,45,379
30,54,19,11,311,168,45,379
30,124,100,260,315,12,2,379
30,20,19,313,17,179,45,379
30,16,15,5,12,189,45,379
30,16,15,5,1,0,2,379
30,16,15,5,19,11,45,379
30,128,243,8,3,0,2,379
30,128,243,8,1,164,45,379
30,128,31,13,5,0,2,379
30,128,31,13,3,11,45,379
30,146,45,19,5,0,2,379
30,146,45,11,5,0,2,379
30,146,45,11,3,14,2,379
30,156,375,20,284,19,45,379
30,156,375,20,7,62,2,379
30,194,322,2,12,189,45,379
30,20,78,1,3,0,2,379
30,20,19,5,1,164,45,379
30,20,19,5,12,189,45,379
30,54,19,24,73,12,2,379
30,124,100,301,4,0,2,379
