31,72
31,74,20,72
31,16,30,20,72
31,128,30,20,72
31,16,15,28,404,72
31,13,5,12,185,72
31,16,183,28,404,72
31,80,46,28,404,72
31,13,67,28,404,72
31,13,5,19,20,72
31,13,168,45,192,72
31,494,16,30,20,72
31,57,1,7,20,72
31,57,1,21,20,72
31,57,1,78,20,72
31,80,46,52,21,20,72
31,13,5,12,115,20,72
31,13,67,82,201,20,72
31,57,1,164,45,192,72
31,80,46,33,7,20,72
31,74,20,19,45,192,72
31,16,15,5,12,185,72
31,13,5,363,74,20,72
31,13,5,19,45,192,72
31,57,1,296,95,20,72
31,16,30,54,19,20,72
31,13,23,36,30,20,72
31,80,117,193,45,192,72
31,74,94,0,7,20,72
31,80,99,0,7,20,72
31,80,117,69,19,20,72
31,74,363,5,12,185,72
31,80,97,1,7,20,72
31,74,363,5,19,20,72
31,80,97,1,21,20,72
31,13,168,45,19,20,72
31,80,97,1,78,20,72
31,13,168,45,470,20,72
31,74,20,115,12,185,72
31,16,15,1,7,20,72
31,74,20,470,45,192,72
31,16,15,390,19,20,72
31,16,15,1,21,20,72
31,494,16,15,28,404,72
31,16,15,5,19,20,72
31,13,5,0,7,20,72
31,16,15,1,78,20,72
31,494,16,183,28,404,72
31,13,5,19,284,20,72
31,13,5,1,7,20,72
31,128,30,156,375,20,72
31,75,3,498,28,404,72
31,57,1,44,204,20,72
31,57,462,402,45,192,72
31,13,5,11,45,192,72
31,13,5,1,21,20,72
31,16,30,156,375,20,72
31,13,5,1,78,20,72
31,16,30,146,45,192,72
31,128,30,146,45,192,72
31,16,30,132,45,192,72
31,128,30,54,19,20,72
31,75,303,386,201,20,72
31,128,30,132,45,192,72
31,75,3,0,7,20,72
31,16,47,410,30,20,72
31,75,3,1,7,20,72
31,16,104,131,384,192,72
31,16,47,312,78,20,72
31,75,3,11,28,404,72
31,75,3,1,21,20,72
31,16,10,356,28,404,72
31,16,47,154,12,185,72
31,75,3,25,19,20,72
31,75,3,11,19,20,72
31,75,3,1,78,20,72
31,16,246,206,202,20,72
31,16,10,2,12,185,72
31,75,3,59,28,404,72
31,75,3,11,45,192,72
31,16,354,85,45,192,72
31,16,10,89,21,20,72
31,75,3,98,28,404,72
31,16,10,334,12,185,72
31,128,243,408,21,20,72
31,57,1,69,19,20,72
31,13,3,498,28,404,72
31,13,23,0,7,20,72
31,57,1,5,12,185,72
31,13,177,51,269,20,72
31,13,3,0,7,20,72
31,13,23,144,28,404,72
31,57,1,0,7,20,72
31,57,1,5,19,20,72
31,13,224,114,7,20,72
31,13,3,11,45,192,72
31,13,23,206,202,20,72
31,57,1,15,28,404,72
31,13,253,157,310,20,72
31,13,3,25,19,20,72
31,13,3,11,19,20,72
31,13,5,15,28,404,72
31,13,23,41,28,404,72
31,57,1,22,7,20,72
31,13,320,26,21,20,72
31,13,3,59,28,404,72
31,13,3,11,28,404,72
31,13,5,48,7,20,72
31,13,5,11,19,20,72
31,13,23,33,7,20,72
31,57,1,157,310,20,72
31,13,23,265,7,20,72
31,13,3,1,7,20,72
31,13,23,44,204,20,72
31,13,3,98,28,404,72
31,13,3,1,21,20,72
31,13,5,51,269,20,72
31,13,3,1,78,20,72
31,13,5,157,310,20,72
31,13,5,11,28,404,72
31,13,5,286,30,20,72
31,13,5,491,310,20,72
31,13,5,1,296,95,20,72
31,16,30,132,45,19,20,72
31,13,23,33,46,28,404,72
31,128,30,54,19,45,192,72
31,13,3,47,154,12,185,72
31,13,23,44,1,21,20,72
31,13,23,40,11,28,404,72
31,57,1,487,37,497,20,72
31,13,5,51,294,19,20,72
31,13,3,1,296,95,20,72
31,75,303,47,154,12,185,72
31,13,5,157,1,21,20,72
31,13,5,11,139,12,185,72
31,57,1,157,5,12,185,72
31,13,5,127,1,78,20,72
31,13,5,1,69,19,20,72
31,16,30,132,45,470,20,72
31,128,30,286,5,12,185,72
31,128,30,132,45,19,20,72
31,13,23,33,131,384,192,72
31,128,30,54,19,284,20,72
31,13,3,6,37,497,20,72
31,13,3,47,16,30,20,72
31,80,99,0,1,21,20,72
31,80,117,69,1,21,20,72
31,13,23,44,1,7,20,72
31,75,3,0,1,21,20,72
31,13,23,232,69,19,20,72
31,13,23,40,209,95,20,72
31,80,117,187,145,28,404,72
31,13,23,40,11,19,20,72
31,57,1,3,498,28,404,72
31,57,1,487,37,7,20,72
31,13,5,51,48,7,20,72
31,80,46,52,85,45,192,72
31,57,1,78,92,45,192,72
31,13,5,12,39,28,404,72
31,13,3,1,0,7,20,72
31,75,303,47,16,30,20,72
31,16,30,146,45,19,20,72
31,80,117,69,19,45,192,72
31,13,5,157,1,7,20,72
31,16,15,28,11,19,20,72
31,13,5,11,241,12,185,72
31,128,30,146,45,19,20,72
31,74,363,5,12,115,20,72
31,80,271,260,492,12,185,72
31,57,1,157,5,19,20,72
31,13,5,18,453,28,404,72
31,80,97,108,1,7,20,72
31,16,104,23,33,7,20,72
31,13,5,127,1,7,20,72
31,16,104,131,33,7,20,72
31,13,5,1,0,7,20,72
31,16,30,286,5,12,185,72
31,74,363,5,51,269,20,72
31,80,117,193,45,19,20,72
31,128,30,16,15,28,404,72
31,128,30,286,5,19,20,72
31,128,30,132,45,470,20,72
31,13,23,33,140,21,20,72
31,13,3,250,347,7,20,72
31,13,3,6,0,7,20,72
31,13,3,6,37,7,20,72
31,13,3,47,410,30,20,72
31,16,47,55,79,464,20,72
31,16,47,154,12,115,20,72
31,80,99,0,2,12,185,72
31,80,99,0,1,7,20,72
31,75,3,25,396,45,192,72
31,80,117,69,114,7,20,72
31,80,117,69,1,7,20,72
31,75,3,25,19,45,192,72
31,13,23,44,1,78,20,72
31,16,30,20,19,45,192,72
31,57,1,164,45,19,20,72
31,75,3,0,2,12,185,72
31,75,3,11,19,45,192,72
31,75,3,0,1,7,20,72
31,13,168,45,19,284,20,72
31,75,3,1,296,95,20,72
31,13,23,337,48,7,20,72
31,74,363,5,19,45,192,72
31,80,97,1,5,12,185,72
31,16,10,2,12,115,20,72
31,13,23,40,11,45,192,72
31,57,1,441,131,384,192,72
31,57,1,3,0,7,20,72
31,16,15,5,12,115,20,72
31,80,46,263,94,74,20,72
31,16,10,2,0,7,20,72
31,13,5,51,136,28,404,72
31,13,168,45,11,19,20,72
31,80,46,52,481,28,404,72
31,75,3,11,5,19,20,72
31,74,94,263,46,28,404,72
31,13,67,28,11,19,20,72
31,80,46,33,140,21,20,72
31,75,3,11,45,19,20,72
31,13,5,12,189,45,192,72
31,80,46,33,131,384,192,72
31,75,3,11,45,470,20,72
31,13,5,12,90,28,404,72
31,13,168,311,11,45,192,72
31,16,354,85,52,21,20,72
31,13,5,12,107,7,20,72
31,13,168,311,11,19,20,72
31,16,354,85,244,28,404,72
31,13,3,1,5,12,185,72
31,13,168,311,11,28,404,72
31,16,354,85,45,19,20,72
31,13,3,1,15,28,404,72
31,13,3,1,5,19,20,72
31,16,354,85,45,470,20,72
31,13,3,1,22,7,20,72
31,75,303,47,410,30,20,72
31,74,94,0,1,21,20,72
31,13,3,1,69,19,20,72
31,75,303,47,312,78,20,72
31,74,94,0,2,12,185,72
31,74,94,0,1,7,20,72
31,13,3,1,157,310,20,72
31,74,94,0,24,19,20,72
31,74,94,0,1,78,20,72
31,13,3,1,164,45,192,72
31,74,94,0,438,21,20,72
31,74,20,7,107,12,185,72
31,13,3,1,44,204,20,72
31,74,94,0,5,12,185,72
31,74,20,284,19,45,192,72
31,16,30,146,45,470,20,72
31,74,94,0,5,19,20,72
31,74,20,30,132,45,192,72
31,75,3,47,312,78,20,72
31,80,117,69,19,284,20,72
31,74,20,78,92,45,192,72
31,74,20,30,146,45,192,72
31,75,3,6,37,497,20,72
31,75,3,47,154,12,185,72
31,16,10,8,1,7,20,72
31,75,3,8,26,21,20,72
31,75,3,6,0,7,20,72
31,75,3,6,37,7,20,72
31,75,3,47,16,30,20,72
31,16,10,91,22,7,20,72
31,16,10,8,26,21,20,72
31,16,10,8,1,21,20,72
31,75,3,9,1,7,20,72
31,75,3,8,1,21,20,72
31,75,3,6,173,202,20,72
31,75,3,47,410,30,20,72
31,16,10,8,1,78,20,72
31,75,3,4,0,7,20,72
31,75,3,9,1,21,20,72
31,75,3,8,1,7,20,72
31,75,3,6,222,95,20,72
31,13,5,157,1,78,20,72
31,75,3,14,2,12,185,72
31,75,3,9,1,78,20,72
31,75,3,8,1,78,20,72
31,75,3,6,229,30,20,72
31,75,3,327,22,7,20,72
31,16,15,349,52,21,20,72
31,75,3,346,248,28,404,72
31,16,15,61,48,7,20,72
31,75,3,13,5,12,185,72
31,16,15,158,136,28,404,72
31,75,3,392,1,78,20,72
31,75,3,13,67,28,404,72
31,75,3,13,5,19,20,72
31,75,3,250,347,7,20,72
31,75,3,392,1,7,20,72
31,75,3,13,168,45,192,72
31,75,3,287,1,21,20,72
31,75,3,392,1,21,20,72
31,75,3,416,157,310,20,72
31,75,3,287,1,7,20,72
31,57,1,69,19,45,192,72
31,75,3,287,1,78,20,72
31,57,1,69,19,284,20,72
31,16,10,334,12,115,20,72
31,57,1,69,114,7,20,72
31,16,15,28,39,12,185,72
31,57,1,69,365,310,20,72
31,16,15,28,90,12,185,72
31,16,15,28,11,45,192,72
31,13,5,11,440,28,404,72
31,128,30,146,45,470,20,72
31,13,5,11,118,21,20,72
31,80,395,163,46,28,404,72
31,80,271,260,0,7,20,72
31,13,5,126,101,28,404,72
31,80,271,260,315,12,185,72
31,13,5,161,1,7,20,72
31,13,5,126,427,7,20,72
31,13,5,268,179,45,192,72
31,13,5,161,355,45,192,72
31,13,5,161,1,21,20,72
31,13,5,291,136,28,404,72
31,13,5,161,1,78,20,72
31,13,5,433,46,28,404,72
31,13,23,0,1,21,20,72
31,13,5,60,33,7,20,72
31,13,23,0,2,12,185,72
31,13,23,0,1,7,20,72
31,13,5,473,33,7,20,72
31,13,23,0,5,12,185,72
31,57,1,5,12,115,20,72
31,80,97,108,1,21,20,72
31,16,104,332,11,28,404,72
31,13,23,0,1,78,20,72
31,13,5,86,46,28,404,72
31,13,23,0,94,74,20,72
31,13,23,0,5,19,20,72
31,80,97,108,1,78,20,72
31,16,104,332,11,19,20,72
31,13,5,309,272,7,20,72
31,13,5,86,231,28,404,72
31,13,23,0,24,19,20,72
31,16,104,23,41,28,404,72
31,16,104,332,11,45,192,72
31,13,5,188,1,7,20,72
31,128,30,20,19,45,192,72
31,13,5,127,1,21,20,72
31,13,23,0,438,21,20,72
31,16,104,23,0,7,20,72
31,16,15,390,19,45,192,72
31,13,5,188,1,21,20,72
31,128,30,20,115,12,185,72
31,128,243,8,1,21,20,72
31,74,20,19,11,28,404,72
31,13,5,1,44,204,20,72
31,16,104,23,144,28,404,72
31,16,15,390,19,284,20,72
31,494,16,15,5,12,185,72
31,13,5,188,1,78,20,72
31,128,30,20,470,45,192,72
31,128,243,8,26,21,20,72
31,13,177,51,5,12,185,72
31,128,243,8,1,7,20,72
31,74,20,19,5,12,185,72
31,74,20,19,11,45,192,72
31,16,183,28,11,19,20,72
31,16,15,5,363,74,20,72
31,16,30,286,5,19,20,72
31,74,363,5,491,310,20,72
31,13,5,1,15,28,404,72
31,16,104,23,36,30,20,72
31,80,117,193,45,470,20,72
31,494,16,15,1,7,20,72
31,494,16,15,5,19,20,72
31,128,30,16,183,28,404,72
31,13,177,51,48,7,20,72
31,13,177,51,5,19,20,72
31,13,5,0,1,21,20,72
31,128,243,8,1,78,20,72
31,16,183,28,39,12,185,72
31,16,183,28,11,45,192,72
31,57,1,0,2,12,185,72
31,16,15,5,51,269,20,72
31,13,3,346,248,28,404,72
31,74,363,5,1,7,20,72
31,13,5,1,22,7,20,72
31,494,16,30,156,375,20,72
31,57,1,5,11,19,20,72
31,57,1,5,19,45,192,72
31,16,104,23,206,202,20,72
31,13,3,6,173,202,20,72
31,494,16,15,390,19,20,72
31,494,16,15,1,21,20,72
31,16,15,1,5,12,185,72
31,13,177,51,136,28,404,72
31,13,224,114,69,19,20,72
31,13,3,47,312,78,20,72
31,13,5,0,2,12,185,72
31,16,15,5,19,45,192,72
31,494,16,10,89,21,20,72
31,16,47,3,498,28,404,72
31,13,5,0,1,7,20,72
31,16,47,55,26,21,20,72
31,16,183,28,90,12,185,72
31,57,1,0,94,74,20,72
31,13,3,0,1,21,20,72
31,80,99,0,24,19,20,72
31,16,15,5,491,310,20,72
31,13,3,327,22,7,20,72
31,13,3,11,45,19,20,72
31,74,363,5,11,19,20,72
31,80,99,0,1,78,20,72
31,74,363,5,1,21,20,72
31,13,5,19,45,470,20,72
31,13,5,19,11,28,404,72
31,80,46,28,11,19,20,72
31,80,117,69,365,310,20,72
31,13,5,1,157,310,20,72
31,494,16,30,54,19,20,72
31,57,1,5,15,28,404,72
31,57,1,5,11,28,404,72
31,80,117,69,1,78,20,72
31,57,1,5,19,284,20,72
31,16,104,23,265,7,20,72
31,13,3,6,222,95,20,72
31,57,1,15,16,30,20,72
31,75,3,25,19,284,20,72
31,494,16,15,1,78,20,72
31,16,15,1,296,95,20,72
31,16,15,1,5,19,20,72
31,13,177,51,294,19,20,72
31,13,253,157,1,21,20,72
31,16,30,20,115,12,185,72
31,13,224,114,173,202,20,72
31,57,1,164,45,470,20,72
31,13,5,0,24,19,20,72
31,13,3,25,396,45,192,72
31,13,3,25,19,45,192,72
31,75,3,0,5,19,20,72
31,16,15,5,19,284,20,72
31,494,16,354,85,45,192,72
31,494,16,10,2,12,185,72
31,75,3,11,19,284,20,72
31,494,16,10,334,12,185,72
31,16,47,125,26,21,20,72
31,494,16,10,356,28,404,72
31,16,47,303,386,201,20,72
31,16,47,125,142,30,20,72
31,16,47,71,233,234,20,72
31,16,47,3,0,7,20,72
31,13,5,0,1,78,20,72
31,16,47,3,1,7,20,72
31,75,3,0,1,78,20,72
31,16,47,3,11,19,20,72
31,16,47,3,1,21,20,72
31,16,47,3,59,28,404,72
31,16,47,3,11,28,404,72
31,16,47,3,1,78,20,72
31,16,47,3,25,19,20,72
31,16,47,3,11,45,192,72
31,16,47,3,98,28,404,72
31,57,1,0,24,19,20,72
31,13,3,11,19,45,192,72
31,57,1,0,438,21,20,72
31,13,3,11,19,284,20,72
31,57,1,0,5,12,185,72
31,75,3,1,0,7,20,72
31,57,1,0,5,19,20,72
31,75,3,1,5,12,185,72
31,13,3,0,2,12,185,72
31,75,3,1,15,28,404,72
31,75,3,1,5,19,20,72
31,13,3,0,5,12,185,72
31,75,3,1,22,7,20,72
31,13,3,0,94,74,20,72
31,13,3,0,5,19,20,72
31,75,3,1,69,19,20,72
31,13,3,0,24,19,20,72
31,75,3,1,157,310,20,72
31,13,3,0,438,21,20,72
31,75,3,1,164,45,192,72
31,13,3,0,1,7,20,72
31,75,3,1,44,204,20,72
31,13,3,0,1,78,20,72
31,13,23,424,390,19,20,72
31,80,99,0,94,74,20,72
31,13,23,419,84,21,20,72
31,13,23,424,459,7,20,72
31,80,99,0,5,12,185,72
31,13,23,104,131,384,192,72
31,80,99,0,438,21,20,72
31,80,99,0,5,19,20,72
31,13,23,175,0,7,20,72
31,13,23,104,16,30,20,72
31,16,15,5,1,7,20,72
31,13,5,15,16,30,20,72
31,16,15,5,11,28,404,72
31,16,15,5,1,21,20,72
31,13,5,15,1,21,20,72
31,16,15,5,0,7,20,72
31,16,15,5,11,19,20,72
31,16,15,5,1,78,20,72
31,13,5,15,390,19,20,72
31,13,5,15,1,7,20,72
31,16,15,5,48,7,20,72
31,16,15,5,11,45,192,72
31,13,5,15,1,78,20,72
31,16,15,5,157,310,20,72
31,13,3,416,157,310,20,72
31,16,15,5,286,30,20,72
31,13,3,14,2,12,185,72
31,74,363,5,19,284,20,72
31,13,3,8,1,7,20,72
31,13,3,11,45,470,20,72
31,13,3,9,1,7,20,72
31,13,3,8,26,21,20,72
31,13,3,8,1,21,20,72
31,13,3,392,1,78,20,72
31,13,3,9,1,21,20,72
31,13,3,8,1,78,20,72
31,13,3,4,0,7,20,72
31,13,3,392,1,7,20,72
31,13,3,9,1,78,20,72
31,13,3,287,1,7,20,72
31,13,3,392,1,21,20,72
31,13,3,287,1,21,20,72
31,74,363,5,15,28,404,72
31,13,3,287,1,78,20,72
31,74,363,5,0,7,20,72
31,16,30,54,19,45,192,72
31,74,363,5,48,7,20,72
31,16,30,54,19,284,20,72
31,74,363,5,157,310,20,72
31,57,65,60,5,19,20,72
31,74,363,5,286,30,20,72
31,57,65,66,5,12,185,72
31,57,65,60,33,7,20,72
31,57,65,60,5,12,185,72
31,57,65,66,5,19,20,72
31,80,97,1,0,7,20,72
31,80,97,1,5,19,20,72
31,80,97,1,15,28,404,72
31,74,363,5,11,28,404,72
31,80,97,1,22,7,20,72
31,74,363,5,11,45,192,72
31,80,97,1,164,45,192,72
31,74,363,5,1,78,20,72
31,80,97,1,69,19,20,72
31,13,5,19,54,30,20,72
31,80,97,1,296,95,20,72
31,57,1,475,11,19,20,72
31,80,97,1,157,310,20,72
31,57,1,127,5,19,20,72
31,57,1,475,11,28,404,72
31,80,97,1,44,204,20,72
31,57,1,161,5,19,20,72
31,57,1,127,5,12,185,72
31,57,1,475,11,45,192,72
31,57,1,188,5,19,20,72
31,57,1,161,355,45,192,72
31,57,1,161,5,12,185,72
31,57,1,469,241,12,185,72
31,57,1,188,5,12,185,72
31,57,1,134,73,12,185,72
31,13,5,19,11,45,192,72
31,57,1,472,402,45,192,72
31,80,46,28,39,12,185,72
31,57,1,100,124,30,20,72
31,80,46,28,90,12,185,72
31,57,1,111,90,28,404,72
31,80,46,28,11,45,192,72
31,57,1,220,425,12,185,72
31,57,1,111,90,12,185,72
31,57,1,35,33,7,20,72
31,57,1,3,11,28,404,72
31,57,1,169,109,45,192,72
31,57,1,35,156,30,20,72
31,57,1,3,25,19,20,72
31,57,1,3,11,19,20,72
31,57,1,8,26,21,20,72
31,57,1,35,166,45,192,72
31,57,1,35,156,375,20,72
31,57,1,3,59,28,404,72
31,57,1,3,11,45,192,72
31,57,1,3,98,28,404,72
31,13,5,1,164,45,192,72
31,13,119,277,37,497,20,72
31,80,46,86,5,12,185,72
31,13,123,47,154,12,185,72
31,13,119,112,22,7,20,72
31,13,119,277,37,7,20,72
31,80,46,170,33,7,20,72
31,80,46,86,231,28,404,72
31,80,46,86,5,19,20,72
31,13,278,103,62,7,20,72
31,13,123,47,16,30,20,72
31,13,119,112,37,497,20,72
31,80,46,381,48,7,20,72
31,13,306,91,22,7,20,72
31,13,123,47,410,30,20,72
31,13,119,112,37,7,20,72
31,80,46,49,11,19,20,72
31,13,123,47,312,78,20,72
31,80,46,110,248,28,404,72
31,80,46,49,11,28,404,72
31,80,46,130,51,269,20,72
31,80,46,49,11,45,192,72
31,80,46,433,5,12,185,72
31,80,46,130,478,7,20,72
31,80,46,433,5,19,20,72
31,494,16,30,146,45,192,72
31,57,1,5,491,310,20,72
31,494,16,30,132,45,192,72
31,57,1,5,0,7,20,72
31,57,1,5,11,45,192,72
31,57,1,5,48,7,20,72
31,13,320,26,70,95,20,72
31,57,1,5,51,269,20,72
31,13,320,26,70,249,20,72
31,57,1,5,157,310,20,72
31,16,104,23,44,204,20,72
31,57,1,5,286,30,20,72
31,13,3,6,229,30,20,72
31,57,1,5,363,74,20,72
31,16,10,2,62,7,20,72
31,57,1,15,5,12,185,72
31,16,10,2,233,234,20,72
31,57,1,15,390,19,20,72
31,57,1,15,5,19,20,72
31,16,10,2,379,45,192,72
31,57,1,7,107,12,185,72
31,13,3,11,5,19,20,72
31,57,1,7,37,497,20,72
31,13,3,11,241,12,185,72
31,13,3,11,5,12,185,72
31,13,3,11,118,21,20,72
31,16,15,1,69,19,20,72
31,13,3,11,139,12,185,72
31,16,15,1,0,7,20,72
31,13,3,11,440,28,404,72
31,16,15,1,44,204,20,72
31,13,168,45,146,30,20,72
31,16,15,1,22,7,20,72
31,13,168,45,92,78,20,72
31,16,15,1,157,310,20,72
31,13,168,45,189,12,185,72
31,16,15,1,164,45,192,72
31,13,168,45,132,30,20,72
31,13,168,45,11,28,404,72
31,13,253,157,5,12,185,72
31,13,253,157,1,7,20,72
31,13,253,157,5,19,20,72
31,13,253,157,1,78,20,72
31,16,30,20,470,45,192,72
31,57,462,402,45,19,20,72
31,13,5,48,51,269,20,72
31,57,462,402,45,470,20,72
31,13,5,48,122,21,20,72
31,75,3,11,241,12,185,72
31,75,3,11,5,12,185,72
31,13,5,0,94,74,20,72
31,75,3,11,118,21,20,72
31,13,3,25,19,284,20,72
31,13,5,0,438,21,20,72
31,75,3,11,139,12,185,72
31,13,5,11,45,19,20,72
31,13,67,28,39,12,185,72
31,75,3,11,440,28,404,72
31,13,5,11,45,470,20,72
31,13,67,28,90,12,185,72
31,75,3,0,94,74,20,72
