32,247
32,9,493,48,247
32,11,5,48,247
32,9,1,5,48,247
32,11,19,5,48,247
32,11,5,51,48,247
32,9,270,5,48,247
32,178,23,337,48,247
32,9,1,7,48,247
32,376,172,51,48,247
32,382,1,5,48,247
32,382,1,7,48,247
32,11,19,5,51,48,247
32,11,5,0,7,48,247
32,376,172,51,5,48,247
32,197,38,9,493,48,247
32,382,1,5,51,48,247
32,9,1,5,51,48,247
32,9,38,135,122,48,247
32,382,1,22,7,48,247
32,11,5,1,7,48,247
32,382,1,9,493,48,247
32,11,5,15,61,48,247
32,382,1,0,5,48,247
32,11,5,286,429,48,247
32,382,1,21,122,48,247
32,382,1,0,7,48,247
32,11,5,157,174,48,247
32,382,1,188,5,48,247
32,11,19,20,7,48,247
32,178,23,13,5,48,247
32,145,28,11,5,48,247
32,382,1,15,5,48,247
32,11,19,294,51,48,247
32,197,412,0,5,48,247
32,178,23,0,5,48,247
32,197,38,135,122,48,247
32,178,23,33,7,48,247
32,178,23,0,7,48,247
32,178,23,265,7,48,247
32,285,24,19,5,48,247
32,9,270,5,51,48,247
32,285,24,0,5,48,247
32,9,1,0,5,48,247
32,285,24,272,7,48,247
32,285,24,0,7,48,247
32,9,1,188,5,48,247
32,9,1,0,7,48,247
32,9,1,15,5,48,247
32,145,28,15,5,48,247
32,9,1,22,7,48,247
32,9,1,15,61,48,247
32,145,28,46,381,48,247
32,145,28,15,61,48,247
32,9,1,21,122,48,247
32,145,28,136,51,48,247
32,382,1,127,5,48,247
32,9,1,127,5,48,247
32,11,499,129,102,48,247
32,382,1,157,5,48,247
32,9,1,157,5,48,247
32,11,3,13,5,48,247
32,382,1,161,5,48,247
32,382,1,157,174,48,247
32,9,1,161,5,48,247
32,9,1,157,174,48,247
32,11,40,23,337,48,247
32,11,3,9,493,48,247
32,382,1,15,61,48,247
32,9,292,46,381,48,247
32,11,45,109,96,48,247
32,197,412,0,7,48,247
32,11,3,0,5,48,247
32,9,3,11,5,48,247
32,11,3,1,5,48,247
32,11,3,0,7,48,247
32,9,176,33,7,48,247
32,9,3,0,5,48,247
32,11,3,14,96,48,247
32,11,3,1,7,48,247
32,9,316,0,5,48,247
32,9,3,1,5,48,247
32,9,3,0,7,48,247
32,9,316,0,7,48,247
32,9,3,13,5,48,247
32,9,3,1,7,48,247
32,9,3,14,96,48,247
32,11,259,37,102,48,247
32,11,45,19,5,48,247
32,11,118,21,122,48,247
32,11,259,37,7,48,247
32,11,475,1,5,48,247
32,11,139,12,5,48,247
32,11,475,1,7,48,247
32,11,241,12,5,48,247
32,11,361,109,96,48,247
32,11,28,15,5,48,247
32,11,49,46,381,48,247
32,11,28,136,51,48,247
32,11,28,15,61,48,247
32,11,28,46,381,48,247
32,11,475,1,5,51,48,247
32,11,241,12,5,51,48,247
32,11,49,46,33,7,48,247
32,11,28,136,51,5,48,247
32,11,28,46,33,7,48,247
32,178,23,40,11,5,48,247
32,9,38,141,46,381,48,247
32,11,3,1,9,493,48,247
32,9,88,218,46,381,48,247
32,9,3,1,5,51,48,247
32,285,399,85,456,302,48,247
32,285,24,0,5,51,48,247
32,197,38,88,9,493,48,247
32,9,316,0,5,51,48,247
32,367,59,28,15,61,48,247
32,285,24,19,20,7,48,247
32,9,3,0,1,5,48,247
32,9,316,0,1,5,48,247
32,178,23,0,1,5,48,247
32,9,1,7,0,5,48,247
32,382,1,7,0,5,48,247
32,9,270,5,1,7,48,247
32,9,3,13,23,337,48,247
32,285,24,19,5,51,48,247
32,9,3,1,0,5,48,247
32,9,3,8,1,7,48,247
32,9,3,11,5,51,48,247
32,178,23,0,5,51,48,247
32,9,3,14,371,5,48,247
32,382,1,9,270,5,48,247
32,9,3,11,19,5,48,247
32,11,259,443,272,7,48,247
32,11,5,1,9,493,48,247
32,11,3,14,371,5,48,247
32,9,176,33,23,337,48,247
32,285,24,272,309,5,48,247
32,11,45,19,20,7,48,247
32,11,28,15,5,51,48,247
32,11,45,85,456,302,48,247
32,11,45,19,5,51,48,247
32,11,118,21,1,5,48,247
32,11,3,1,5,51,48,247
32,285,24,0,1,5,48,247
32,11,118,21,20,7,48,247
32,11,118,21,1,7,48,247
32,285,24,0,160,51,48,247
32,285,24,0,1,7,48,247
32,11,259,37,200,7,48,247
32,285,24,0,23,337,48,247
32,285,24,58,12,5,48,247
32,145,28,46,86,5,48,247
32,9,1,15,5,51,48,247
32,285,24,212,495,493,48,247
32,145,28,46,105,61,48,247
32,9,3,13,5,51,48,247
32,285,24,73,12,5,48,247
32,145,28,46,130,51,48,247
32,376,402,45,11,5,48,247
32,285,24,245,12,5,48,247
32,145,28,46,33,7,48,247
32,376,402,472,1,5,48,247
32,376,402,45,19,5,48,247
32,145,28,46,433,5,48,247
32,376,402,472,1,7,48,247
32,376,402,45,109,96,48,247
32,11,139,12,107,7,48,247
32,11,475,1,9,493,48,247
32,11,139,12,5,51,48,247
32,11,3,0,1,5,48,247
32,11,475,1,0,5,48,247
32,9,1,0,23,337,48,247
32,11,3,0,23,337,48,247
32,11,3,0,1,7,48,247
32,11,475,1,188,5,48,247
32,11,475,1,0,7,48,247
32,9,1,0,160,51,48,247
32,11,3,0,160,51,48,247
32,11,475,1,15,5,48,247
32,11,241,469,1,5,48,247
32,11,241,12,107,7,48,247
32,11,19,5,0,7,48,247
32,9,1,188,5,51,48,247
32,11,475,1,21,122,48,247
32,11,475,1,15,61,48,247
32,11,241,469,1,7,48,247
32,11,19,5,1,7,48,247
32,11,361,109,238,7,48,247
32,11,475,1,22,7,48,247
32,197,412,0,1,5,48,247
32,11,19,5,15,61,48,247
32,11,3,0,5,51,48,247
32,11,475,1,127,5,48,247
32,197,412,0,160,51,48,247
32,197,412,0,1,7,48,247
32,11,19,5,157,174,48,247
32,11,475,1,157,5,48,247
32,197,412,0,23,337,48,247
32,9,3,0,5,51,48,247
32,11,19,5,286,429,48,247
32,11,475,1,161,5,48,247
32,11,475,1,157,174,48,247
32,382,1,0,5,51,48,247
32,145,28,15,5,51,48,247
32,9,1,0,5,51,48,247
32,382,1,22,137,333,48,247
32,11,440,28,46,381,48,247
32,11,3,250,347,7,48,247
32,11,5,15,1,7,48,247
32,9,270,483,105,61,48,247
32,11,28,136,291,5,48,247
32,382,1,22,428,51,48,247
32,178,23,33,46,381,48,247
32,11,324,287,1,5,48,247
32,11,440,28,136,51,48,247
32,11,3,290,60,5,48,247
32,11,28,15,1,5,48,247
32,11,28,101,126,5,48,247
32,197,412,0,5,51,48,247
32,382,1,21,20,7,48,247
32,9,1,22,137,333,48,247
32,178,23,33,60,5,48,247
32,11,311,168,13,5,48,247
32,11,49,46,105,61,48,247
32,11,324,287,1,7,48,247
32,11,440,28,15,5,48,247
32,11,5,0,1,7,48,247
32,382,1,0,160,51,48,247
32,11,3,4,0,7,48,247
32,11,28,46,433,5,48,247
32,11,28,15,1,7,48,247
32,145,28,15,1,5,48,247
32,11,28,144,23,337,48,247
32,178,23,175,0,7,48,247
32,145,28,136,291,5,48,247
32,9,1,21,20,7,48,247
32,382,1,188,5,51,48,247
32,9,38,165,46,381,48,247
32,11,3,1,0,5,48,247
32,9,1,22,428,51,48,247
32,178,23,33,473,5,48,247
32,11,332,449,60,5,48,247
32,9,282,132,172,51,48,247
32,11,49,46,130,51,48,247
32,9,88,38,135,122,48,247
32,11,440,28,15,61,48,247
32,11,5,0,23,337,48,247
32,382,1,0,23,337,48,247
32,145,28,136,51,5,48,247
32,285,399,471,1,5,48,247
32,11,3,327,22,7,48,247
32,11,3,4,0,5,48,247
32,11,28,46,130,51,48,247
32,197,38,141,46,381,48,247
32,145,28,15,1,7,48,247
32,11,28,41,23,337,48,247
32,11,5,270,9,493,48,247
32,382,1,127,5,51,48,247
32,178,23,44,366,51,48,247
32,367,59,3,9,493,48,247
32,178,23,175,0,5,48,247
32,178,23,13,5,51,48,247
32,9,1,127,5,51,48,247
32,382,1,157,5,51,48,247
32,367,59,28,11,5,48,247
32,9,38,43,37,102,48,247
32,367,59,28,15,5,48,247
32,11,3,1,15,5,48,247
32,11,3,1,0,7,48,247
32,11,499,129,105,61,48,247
32,285,24,19,294,51,48,247
32,11,330,260,0,5,48,247
32,11,332,104,23,337,48,247
32,11,5,157,1,7,48,247
32,11,19,294,51,5,48,247
32,9,3,0,23,337,48,247
32,9,77,35,288,96,48,247
32,9,3,0,1,7,48,247
32,11,19,20,21,122,48,247
32,9,316,0,23,337,48,247
32,11,49,46,433,5,48,247
32,9,316,0,1,7,48,247
32,9,88,450,161,5,48,247
32,382,1,15,5,51,48,247
32,9,1,157,5,51,48,247
32,178,23,0,160,51,48,247
32,178,23,0,1,7,48,247
32,11,5,0,160,51,48,247
32,178,23,13,177,51,48,247
32,9,1,7,37,102,48,247
32,285,399,471,1,7,48,247
32,145,28,11,5,51,48,247
32,11,3,13,5,51,48,247
32,382,1,7,37,102,48,247
32,11,3,416,157,174,48,247
32,145,28,440,11,5,48,247
32,11,3,416,157,5,48,247
32,145,28,41,23,337,48,247
32,9,270,5,0,7,48,247
32,145,28,181,137,333,48,247
32,9,270,5,15,61,48,247
32,145,28,215,172,51,48,247
32,9,270,5,157,174,48,247
32,145,28,39,12,5,48,247
32,9,270,5,286,429,48,247
32,145,28,101,126,5,48,247
32,11,28,46,105,61,48,247
32,145,28,67,13,5,48,247
32,11,28,46,86,5,48,247
