33,23,178
33,7,0,23,178
33,153,40,23,178
33,7,265,23,178
33,176,9,32,178
33,131,104,23,178
33,7,0,175,23,178
33,23,40,11,32,178
33,46,292,9,32,178
33,153,40,11,32,178
33,473,5,0,23,178
33,46,28,41,23,178
33,131,104,150,23,178
33,60,5,0,23,178
33,473,5,11,32,178
33,35,1,0,23,178
33,60,236,357,23,178
33,60,5,11,32,178
33,473,5,13,23,178
33,121,38,197,32,178
33,35,77,9,32,178
33,35,1,9,32,178
33,60,5,13,23,178
33,46,49,11,32,178
33,121,38,9,32,178
33,35,1,44,23,178
33,7,1,44,23,178
33,46,28,11,32,178
33,7,48,247,32,178
33,7,1,0,23,178
33,46,28,144,23,178
33,7,459,424,23,178
33,7,48,337,23,178
33,7,1,9,32,178
33,46,28,145,32,178
33,7,1,382,32,178
33,121,38,401,23,178
33,35,1,382,32,178
33,46,28,11,40,23,178
33,60,5,0,175,23,178
33,176,9,1,382,32,178
33,473,5,11,40,23,178
33,7,1,0,175,23,178
33,7,22,1,382,32,178
33,7,48,5,0,23,178
33,23,401,38,197,32,178
33,35,1,0,175,23,178
33,60,449,332,104,23,178
33,46,28,59,367,32,178
33,60,236,1,382,32,178
33,7,1,3,0,23,178
33,121,38,34,0,23,178
33,35,1,3,0,23,178
33,60,5,11,40,23,178
33,176,9,3,0,23,178
33,473,5,1,382,32,178
33,176,9,1,0,23,178
33,473,5,1,0,23,178
33,176,9,1,44,23,178
33,473,5,1,9,32,178
33,131,441,1,0,23,178
33,473,5,1,44,23,178
33,131,186,17,0,23,178
33,131,441,1,9,32,178
33,131,186,17,27,23,178
33,131,441,1,44,23,178
33,131,186,17,64,23,178
33,131,441,1,382,32,178
33,121,211,6,0,23,178
33,307,157,1,382,32,178
33,121,211,239,0,23,178
33,190,431,490,104,23,178
33,307,157,5,0,23,178
33,307,157,1,0,23,178
33,439,186,17,0,23,178
33,190,431,1,382,32,178
33,307,157,253,13,23,178
33,307,157,5,11,32,178
33,307,157,1,9,32,178
33,170,46,28,11,32,178
33,439,460,241,11,32,178
33,439,186,131,104,23,178
33,439,186,17,27,23,178
33,190,431,1,0,23,178
33,307,157,5,13,23,178
33,307,157,1,44,23,178
33,140,21,438,0,23,178
33,170,46,49,11,32,178
33,170,46,28,41,23,178
33,7,20,202,206,23,178
33,7,22,1,0,23,178
33,7,48,493,9,32,178
33,439,186,17,64,23,178
33,190,431,1,9,32,178
33,7,48,5,11,32,178
33,385,111,1,0,23,178
33,23,0,5,11,32,178
33,140,21,1,382,32,178
33,170,46,292,9,32,178
33,35,156,30,36,23,178
33,23,401,38,9,32,178
33,170,46,28,144,23,178
33,7,37,299,144,23,178
33,7,20,30,36,23,178
33,60,290,3,0,23,178
33,7,22,1,9,32,178
33,473,5,0,175,23,178
33,60,449,332,11,32,178
33,46,28,67,13,23,178
33,190,431,1,44,23,178
33,46,28,440,11,32,178
33,7,48,5,13,23,178
33,7,0,1,382,32,178
33,60,5,1,382,32,178
33,7,0,3,13,23,178
33,7,0,1,9,32,178
33,60,5,19,11,32,178
33,60,5,1,0,23,178
33,7,0,24,285,32,178
33,7,0,3,9,32,178
33,7,0,1,44,23,178
33,60,5,48,247,32,178
33,60,5,1,9,32,178
33,7,0,50,44,23,178
33,7,0,3,11,32,178
33,60,5,270,9,32,178
33,60,5,48,337,23,178
33,60,5,1,44,23,178
33,7,0,56,44,23,178
33,60,5,436,383,23,178
33,7,0,5,11,32,178
33,60,236,1,0,23,178
33,7,0,316,9,32,178
33,7,0,5,13,23,178
33,60,236,1,9,32,178
33,7,0,380,383,23,178
33,60,236,1,44,23,178
33,7,0,412,197,32,178
33,7,1,5,0,23,178
33,7,0,17,27,23,178
33,7,1,69,232,23,178
33,7,1,5,11,32,178
33,7,0,17,64,23,178
33,7,1,236,357,23,178
33,7,1,5,13,23,178
33,7,1,475,11,32,178
33,385,111,1,9,32,178
33,7,1,3,9,32,178
33,385,111,1,44,23,178
33,7,1,3,11,32,178
33,385,111,1,382,32,178
33,7,1,3,13,23,178
33,23,104,332,11,32,178
33,23,0,412,197,32,178
33,23,144,28,11,32,178
33,23,0,1,382,32,178
33,23,337,48,247,32,178
33,23,144,28,145,32,178
33,23,0,3,9,32,178
33,23,0,1,9,32,178
33,23,41,28,11,32,178
33,23,0,24,285,32,178
33,23,0,3,11,32,178
33,23,44,1,382,32,178
33,23,41,28,145,32,178
33,23,0,316,9,32,178
33,23,13,3,9,32,178
33,23,44,1,9,32,178
33,23,13,5,11,32,178
33,23,13,3,11,32,178
33,140,21,84,419,23,178
33,46,433,5,11,32,178
33,121,38,88,9,32,178
33,140,21,118,11,32,178
33,46,141,38,9,32,178
33,46,433,5,0,23,178
33,140,21,1,0,23,178
33,46,163,489,144,23,178
33,46,141,38,197,32,178
33,46,433,5,13,23,178
33,140,21,1,9,32,178
33,46,165,38,9,32,178
33,46,141,38,401,23,178
33,140,21,1,44,23,178
33,46,218,88,9,32,178
33,46,165,38,197,32,178
33,35,1,5,0,23,178
33,46,263,94,0,23,178
33,46,165,38,401,23,178
33,35,1,7,0,23,178
33,35,1,5,11,32,178
33,46,381,48,247,32,178
33,35,1,69,232,23,178
33,35,1,7,265,23,178
33,35,1,5,13,23,178
33,46,80,99,0,23,178
33,46,381,48,337,23,178
33,35,1,236,357,23,178
33,46,63,17,27,23,178
33,46,80,31,13,23,178
33,35,342,171,40,23,178
33,35,1,475,11,32,178
33,46,86,5,13,23,178
33,46,63,106,41,23,178
33,46,63,17,0,23,178
33,35,166,45,11,32,178
33,46,105,300,104,23,178
33,46,86,5,0,23,178
33,46,63,17,64,23,178
33,46,49,11,40,23,178
33,35,1,3,9,32,178
33,46,86,5,11,32,178
33,170,46,28,145,32,178
33,7,114,224,13,23,178
33,7,37,6,0,23,178
33,7,20,19,11,32,178
33,35,1,3,11,32,178
33,131,104,332,11,32,178
33,7,62,2,0,23,178
33,7,114,69,232,23,178
33,7,37,259,11,32,178
33,176,9,38,401,23,178
33,60,195,131,104,23,178
33,176,9,316,0,23,178
33,176,9,38,197,32,178
33,60,290,3,9,32,178
33,7,20,204,44,23,178
33,60,290,3,11,32,178
33,35,1,3,13,23,178
33,60,290,3,13,23,178
33,176,9,3,11,32,178
33,7,22,1,44,23,178
33,176,9,3,13,23,178
33,473,5,19,11,32,178
33,7,200,207,41,23,178
33,473,5,48,247,32,178
33,7,235,50,0,23,178
33,473,5,436,383,23,178
33,473,5,48,337,23,178
33,7,272,24,0,23,178
33,7,235,50,44,23,178
33,473,5,270,9,32,178
33,7,272,341,41,23,178
33,7,272,24,285,32,178
33,60,65,57,1,382,32,178
33,35,1,3,4,0,23,178
33,60,290,3,11,40,23,178
33,60,290,3,1,382,32,178
33,176,9,3,11,40,23,178
33,60,195,131,104,150,23,178
33,176,9,3,1,382,32,178
33,176,9,493,48,247,32,178
33,473,5,19,69,232,23,178
33,7,22,1,3,0,23,178
33,473,5,19,11,40,23,178
33,7,20,21,438,0,23,178
33,176,9,316,0,175,23,178
33,60,5,48,7,265,23,178
33,7,37,259,11,40,23,178
33,7,200,37,259,11,32,178
33,7,235,50,0,175,23,178
33,176,9,316,403,232,23,178
33,473,5,48,7,265,23,178
33,176,180,134,1,0,23,178
33,176,9,38,34,0,23,178
33,7,347,350,373,232,23,178
33,7,272,24,0,175,23,178
33,473,5,15,1,382,32,178
33,7,272,309,5,11,32,178
33,7,272,24,19,11,32,178
33,60,230,203,305,13,23,178
