35,110
35,33,46,110
35,33,170,46,110
35,1,226,86,46,110
35,33,46,28,248,110
35,77,9,292,46,110
35,1,9,292,46,110
35,331,244,28,46,110
35,1,21,52,46,110
35,331,244,28,248,110
35,1,5,86,46,110
35,1,7,33,46,110
35,1,5,433,46,110
35,1,97,80,46,110
35,1,15,28,46,110
35,1,3,346,248,110
35,1,15,28,248,110
35,331,244,85,52,46,110
35,1,21,140,33,46,110
35,1,15,5,433,46,110
35,1,441,131,33,46,110
35,1,3,11,28,46,110
35,77,9,3,346,248,110
35,1,15,61,105,46,110
35,1,15,5,86,46,110
35,1,475,11,28,46,110
35,33,170,46,28,248,110
35,1,9,3,346,248,110
35,1,3,498,28,46,110
35,1,9,38,141,46,110
35,1,3,59,28,46,110
35,1,3,498,28,248,110
35,1,9,88,218,46,110
35,1,9,38,165,46,110
35,1,3,98,28,46,110
35,1,3,59,28,248,110
35,1,9,176,33,46,110
35,1,3,9,292,46,110
35,1,3,98,28,248,110
35,1,3,11,49,46,110
35,1,7,478,130,46,110
35,1,3,11,28,248,110
35,1,7,48,381,46,110
35,77,9,38,141,46,110
35,1,15,349,52,46,110
35,77,9,88,218,46,110
35,77,9,38,165,46,110
35,33,7,478,130,46,110
35,77,9,176,33,46,110
35,1,7,33,170,46,110
35,33,140,447,105,46,110
35,33,7,48,381,46,110
35,1,5,11,28,248,110
35,33,473,5,86,46,110
35,33,140,21,52,46,110
35,342,171,378,63,46,110
35,1,5,15,28,248,110
35,1,5,11,49,46,110
35,1,5,11,28,46,110
35,33,60,5,86,46,110
35,33,473,5,433,46,110
35,33,121,38,141,46,110
35,33,60,5,433,46,110
35,33,176,9,292,46,110
35,33,121,38,165,46,110
35,33,23,41,28,46,110
35,1,111,90,28,46,110
35,33,23,144,28,46,110
35,33,23,41,28,248,110
35,1,157,307,33,46,110
35,1,111,203,417,46,110
35,1,111,90,28,248,110
35,33,23,144,28,248,110
35,1,22,112,446,46,110
35,1,157,5,86,46,110
35,1,111,385,33,46,110
35,1,111,203,63,46,110
35,1,0,3,346,248,110
35,1,22,7,33,46,110
35,1,157,5,433,46,110
35,1,8,3,346,248,110
35,1,0,5,86,46,110
35,1,392,3,346,248,110
35,1,8,87,63,46,110
35,1,0,7,33,46,110
35,1,0,5,433,46,110
35,1,57,31,80,46,110
35,1,0,17,63,46,110
35,1,475,11,49,46,110
35,1,69,275,63,46,110
35,1,0,23,33,46,110
35,340,103,17,63,46,110
35,1,127,5,86,46,110
35,1,69,117,80,46,110
35,1,0,94,263,46,110
35,120,10,356,28,248,110
35,1,161,5,433,46,110
35,1,127,5,433,46,110
35,1,0,99,80,46,110
35,1,475,11,28,248,110
35,288,96,48,381,46,110
35,120,10,356,28,46,110
35,1,287,3,346,248,110
35,1,161,5,86,46,110
35,166,45,85,52,46,110
35,1,5,48,381,46,110
35,1,188,5,86,46,110
35,1,5,15,28,46,110
35,369,256,421,417,46,110
35,166,45,11,28,46,110
35,237,211,121,33,46,110
35,369,256,7,33,46,110
35,166,45,11,49,46,110
35,166,45,11,28,248,110
35,1,5,51,130,46,110
35,1,108,97,80,46,110
35,1,5,60,33,46,110
35,1,44,23,33,46,110
35,1,5,473,33,46,110
35,1,236,60,33,46,110
35,1,188,5,433,46,110
35,1,431,190,33,46,110
35,33,60,5,15,28,46,110
35,237,211,121,38,141,46,110
35,237,211,121,33,170,46,110
35,369,256,7,48,381,46,110
35,369,256,7,33,170,46,110
35,166,45,11,3,346,248,110
35,237,211,250,3,346,248,110
35,166,45,19,5,86,46,110
35,33,131,186,387,28,248,110
35,1,5,51,48,381,46,110
35,33,121,38,9,292,46,110
35,156,30,16,15,28,248,110
35,1,5,60,33,170,46,110
35,1,44,366,51,130,46,110
35,1,44,23,41,28,46,110
35,1,44,23,33,170,46,110
35,1,5,0,3,346,248,110
35,1,5,473,33,170,46,110
35,33,176,9,3,346,248,110
35,1,9,3,11,28,46,110
35,33,23,41,106,63,46,110
35,1,236,357,23,33,46,110
35,1,236,60,5,433,46,110
35,1,236,60,33,170,46,110
35,1,188,5,11,28,46,110
35,1,164,45,11,28,46,110
35,33,473,5,15,28,46,110
35,1,431,190,33,170,46,110
35,33,60,5,48,381,46,110
35,33,60,5,15,28,248,110
35,1,97,80,395,163,46,110
35,237,211,121,38,165,46,110
35,33,23,0,5,86,46,110
35,369,256,7,478,130,46,110
35,33,23,144,489,163,46,110
35,1,9,38,88,218,46,110
35,166,45,11,5,433,46,110
35,237,211,6,394,263,46,110
35,1,15,28,481,52,46,110
35,166,45,53,38,141,46,110
35,166,45,19,11,28,248,110
35,77,9,292,46,28,248,110
35,331,244,418,87,63,46,110
35,166,45,19,5,433,46,110
35,1,157,307,33,170,46,110
35,33,385,111,203,417,46,110
35,33,131,104,300,105,46,110
35,1,3,346,248,28,46,110
35,33,131,186,17,63,46,110
35,33,131,186,387,28,46,110
35,33,60,230,203,63,46,110
35,1,5,51,136,28,46,110
35,1,9,176,33,170,46,110
35,1,21,84,358,28,46,110
35,33,121,38,88,218,46,110
35,415,70,171,378,63,46,110
35,156,375,20,7,33,46,110
35,156,30,286,5,86,46,110
35,156,30,16,183,28,46,110
35,156,30,16,15,28,46,110
35,1,44,23,144,28,46,110
35,1,44,23,41,28,248,110
35,1,3,9,176,33,46,110
35,1,111,385,33,170,46,110
35,1,5,12,39,28,248,110
35,1,5,0,7,33,46,110
35,33,176,9,38,141,46,110
35,1,9,3,59,28,46,110
35,1,5,433,46,28,248,110
35,1,21,140,447,105,46,110
35,1,9,3,11,49,46,110
35,1,9,3,11,28,248,110
35,1,111,203,63,163,46,110
35,1,21,52,481,28,46,110
35,1,3,11,5,86,46,110
35,1,0,3,11,28,46,110
35,1,236,60,5,86,46,110
35,1,157,174,48,381,46,110
35,1,22,137,181,28,46,110
35,1,22,7,478,130,46,110
35,1,188,5,15,28,248,110
35,1,188,5,11,49,46,110
35,1,188,5,11,28,248,110
35,1,22,7,33,170,46,110
35,1,93,8,3,346,248,110
35,1,164,45,85,52,46,110
35,1,157,5,11,28,46,110
35,1,164,45,11,49,46,110
35,1,164,45,11,28,248,110
35,1,3,0,94,263,46,110
35,331,244,28,481,52,46,110
35,33,473,5,48,381,46,110
35,1,7,256,421,417,46,110
35,33,473,5,15,28,248,110
35,1,97,80,46,28,248,110
35,33,60,5,51,130,46,110
35,1,8,3,11,28,46,110
35,1,21,140,33,170,46,110
35,33,60,5,11,28,46,110
35,1,8,3,59,28,46,110
35,1,8,3,11,49,46,110
35,1,8,3,11,28,248,110
35,33,60,5,11,49,46,110
35,33,60,5,11,28,248,110
35,1,8,3,498,28,46,110
35,1,8,3,59,28,248,110
35,1,9,493,48,381,46,110
35,1,8,3,98,28,46,110
35,1,8,3,498,28,248,110
35,1,9,270,483,105,46,110
35,1,8,3,9,292,46,110
35,1,8,3,98,28,248,110
35,1,9,32,145,28,248,110
35,1,9,270,5,433,46,110
35,1,21,52,46,28,248,110
35,1,9,32,11,28,46,110
35,1,9,32,145,28,46,110
35,1,9,270,5,86,46,110
35,1,9,32,11,49,46,110
35,1,9,32,11,28,248,110
35,33,23,40,11,28,46,110
35,33,23,0,3,346,248,110
35,77,228,8,3,346,248,110
35,33,23,337,48,381,46,110
35,33,23,40,11,49,46,110
35,33,23,40,11,28,248,110
35,33,23,0,17,63,46,110
35,77,228,8,87,63,46,110
35,33,23,401,38,141,46,110
35,33,23,0,94,263,46,110
35,1,7,48,5,433,46,110
35,33,23,27,17,63,46,110
35,33,23,401,38,165,46,110
35,33,23,0,99,80,46,110
35,1,7,48,61,105,46,110
35,1,7,48,5,86,46,110
35,33,23,13,3,346,248,110
35,1,7,48,51,130,46,110
35,33,23,0,5,433,46,110
35,33,23,104,300,105,46,110
35,33,23,13,5,433,46,110
35,1,392,3,11,28,46,110
35,33,23,64,17,63,46,110
35,33,23,13,31,80,46,110
35,33,23,13,5,86,46,110
35,1,392,3,498,28,46,110
35,1,392,3,11,49,46,110
35,1,392,3,11,28,248,110
35,33,23,13,67,28,46,110
35,1,392,3,59,28,46,110
35,1,392,3,498,28,248,110
35,33,23,13,67,28,248,110
35,1,392,3,98,28,46,110
35,1,392,3,59,28,248,110
35,1,9,88,38,141,46,110
35,1,392,3,9,292,46,110
35,1,392,3,98,28,248,110
35,1,9,88,38,165,46,110
35,1,8,10,356,28,46,110
35,1,9,38,121,33,46,110
35,1,226,86,46,28,248,110
35,1,8,87,63,163,46,110
35,1,8,267,140,33,46,110
35,1,8,10,356,28,248,110
35,166,45,11,440,28,46,110
35,166,45,11,5,86,46,110
35,1,8,26,21,52,46,110
35,1,15,16,183,28,46,110
35,166,45,11,139,348,248,110
35,166,45,11,440,28,248,110
35,1,8,83,5,86,46,110
35,1,15,158,136,28,248,110
35,1,15,16,31,80,46,110
35,1,15,16,183,28,248,110
35,1,8,133,3,346,248,110
35,1,8,83,5,433,46,110
35,1,15,158,190,33,46,110
35,1,15,158,136,28,46,110
35,237,211,6,3,346,248,110
35,1,0,5,11,28,248,110
35,237,211,6,17,63,46,110
35,1,0,5,15,28,46,110
35,1,0,5,11,49,46,110
35,1,0,5,11,28,46,110
35,1,0,5,48,381,46,110
35,1,0,5,15,28,248,110
35,1,0,5,51,130,46,110
35,1,0,7,478,130,46,110
35,1,0,5,60,33,46,110
35,1,0,7,48,381,46,110
35,1,0,5,473,33,46,110
35,1,57,65,60,33,46,110
35,1,15,28,11,49,46,110
35,166,45,193,117,80,46,110
35,1,15,28,231,86,46,110
35,166,45,179,17,63,46,110
35,166,45,53,38,165,46,110
35,166,45,319,17,63,46,110
35,166,45,19,11,49,46,110
35,166,45,19,11,28,46,110
35,33,153,40,11,28,46,110
35,1,0,7,33,170,46,110
35,33,307,157,5,86,46,110
35,33,153,40,11,49,46,110
35,33,153,40,11,28,248,110
35,33,190,158,15,28,248,110
35,33,307,157,5,433,46,110
35,33,439,186,387,28,46,110
35,33,190,158,136,28,248,110
35,33,190,158,15,28,46,110
35,33,439,186,17,63,46,110
35,33,439,186,387,28,248,110
35,33,190,158,136,28,46,110
35,1,441,131,33,170,46,110
35,1,0,17,101,28,46,110
35,33,385,111,90,28,46,110
35,1,0,17,63,163,46,110
35,33,385,111,203,63,46,110
35,1,5,86,231,28,46,110
35,1,0,17,101,28,248,110
35,33,385,111,90,28,248,110
35,1,475,11,3,346,248,110
35,77,9,38,88,218,46,110
35,1,5,86,231,28,248,110
35,1,226,86,5,433,46,110
35,1,69,275,63,163,46,110
35,1,475,11,5,433,46,110
35,77,9,38,121,33,46,110
35,1,5,86,46,28,248,110
35,1,226,86,231,28,46,110
35,77,9,1,3,346,248,110
35,1,475,11,139,348,248,110
35,1,475,11,5,86,46,110
35,33,60,290,3,346,248,110
35,1,226,86,231,28,248,110
35,77,9,32,11,28,248,110
35,77,9,1,5,433,46,110
35,1,0,23,41,28,46,110
35,1,475,11,440,28,46,110
35,33,60,230,203,417,46,110
35,77,9,270,483,105,46,110
35,77,9,32,145,28,248,110
35,77,9,32,11,49,46,110
35,77,9,32,11,28,46,110
35,77,9,1,226,86,46,110
35,77,9,1,5,86,46,110
35,1,0,23,144,28,46,110
35,1,0,23,41,28,248,110
35,1,475,11,440,28,248,110
35,77,9,493,48,381,46,110
35,77,9,270,5,433,46,110
35,77,9,32,145,28,46,110
35,77,9,1,97,80,46,110
35,1,0,23,33,170,46,110
35,340,391,8,87,63,46,110
35,340,103,434,385,33,46,110
35,1,5,51,136,28,248,110
35,1,0,23,144,28,248,110
35,1,21,118,11,28,46,110
35,77,9,270,5,86,46,110
35,77,9,1,15,28,46,110
35,1,21,84,358,28,248,110
35,340,391,8,3,346,248,110
35,77,9,176,33,170,46,110
35,340,103,17,63,163,46,110
35,415,70,393,129,105,46,110
35,340,103,62,7,33,46,110
35,1,21,20,7,33,46,110
35,340,103,17,101,28,46,110
35,156,375,20,21,52,46,110
35,1,21,118,11,49,46,110
35,1,21,118,11,28,248,110
35,77,9,1,21,52,46,110
35,77,9,1,15,28,248,110
35,1,9,292,46,28,248,110
35,77,9,3,11,49,46,110
35,156,30,36,23,33,46,110
35,156,30,286,5,433,46,110
35,415,70,37,345,292,46,110
35,1,69,19,11,28,248,110
35,156,30,16,31,80,46,110
35,156,30,16,183,28,248,110
35,1,21,122,48,381,46,110
35,77,9,88,38,141,46,110
35,1,7,33,46,28,248,110
35,1,44,23,144,28,248,110
35,340,103,17,101,28,248,110
35,33,7,1,21,52,46,110
35,1,3,9,38,141,46,110
35,33,7,48,5,433,46,110
35,77,9,1,7,33,46,110
35,1,5,157,307,33,46,110
35,77,9,3,498,28,248,110
35,77,9,3,11,28,248,110
35,120,10,8,3,346,248,110
35,1,161,450,88,218,46,110
35,1,127,5,11,28,46,110
35,1,5,12,90,28,46,110
35,1,5,12,39,28,46,110
35,156,30,194,377,163,46,110
35,1,5,0,17,63,46,110
35,415,70,26,21,52,46,110
35,415,70,37,7,33,46,110
35,1,69,232,23,33,46,110
35,33,176,9,88,218,46,110
35,1,69,19,5,433,46,110
35,1,69,19,11,49,46,110
35,1,69,19,11,28,46,110
35,33,176,9,38,165,46,110
35,1,9,3,498,28,46,110
35,1,9,3,59,28,248,110
35,77,9,88,38,165,46,110
35,33,7,0,17,63,46,110
35,33,7,1,9,292,46,110
35,1,3,9,88,218,46,110
35,1,3,9,38,165,46,110
35,33,7,48,61,105,46,110
35,33,7,48,5,86,46,110
35,120,149,62,7,33,46,110
35,1,15,5,11,28,46,110
35,1,21,52,481,28,248,110
35,1,5,126,101,28,46,110
35,1,3,11,139,348,248,110
35,77,9,3,59,28,248,110
35,77,9,3,498,28,46,110
35,1,0,4,3,346,248,110
35,1,3,11,5,433,46,110
35,77,9,3,11,28,46,110
