35,1,287
35,1,3,287
35,33,7,1,287
35,1,0,3,287
35,77,9,1,287
35,1,392,3,287
35,77,9,3,287
35,1,8,3,287
35,1,9,3,287
35,77,9,1,3,287
35,77,228,8,1,287
35,33,140,21,1,287
35,33,7,0,1,287
35,77,228,8,3,287
35,33,473,5,1,287
35,1,3,11,324,287
35,33,7,22,1,287
35,33,7,0,3,287
35,110,248,346,3,287
35,33,7,1,3,287
35,33,176,9,1,287
35,77,9,3,1,287
35,33,190,431,1,287
35,33,176,9,3,287
35,33,307,157,1,287
35,1,0,4,3,287
35,33,23,0,1,287
35,1,0,6,3,287
35,33,60,290,3,287
35,1,8,133,3,287
35,33,23,13,3,287
35,33,23,0,3,287
35,33,131,441,1,287
35,33,60,5,1,287
35,1,191,8,3,287
35,33,23,27,323,287
35,33,385,111,1,287
35,33,23,44,1,287
35,120,338,25,3,287
35,33,60,236,1,287
35,166,45,164,1,287
35,120,10,8,1,287
35,369,256,7,1,287
35,166,45,11,3,287
35,120,10,8,3,287
35,340,391,8,1,287
35,166,45,11,324,287
35,237,211,6,3,287
35,340,391,8,3,287
35,288,96,14,3,287
35,237,211,250,3,287
35,1,317,8,3,287
35,1,93,8,3,287
35,1,5,0,3,287
35,1,7,0,3,287
35,1,5,11,3,287
35,1,157,416,3,287
35,1,5,13,3,287
35,1,5,11,324,287
35,1,475,11,3,287
35,1,100,8,3,287
35,1,475,11,324,287
35,1,22,327,3,287
35,340,391,8,3,1,287
35,33,307,157,1,3,287
35,33,385,111,1,3,287
35,33,23,175,0,1,287
35,110,248,346,3,1,287
35,33,23,0,1,3,287
35,33,7,1,0,3,287
35,33,23,265,7,1,287
35,33,23,175,0,3,287
35,110,46,86,226,1,287
35,33,7,1,8,3,287
35,33,23,40,11,3,287
35,1,8,3,11,324,287
35,110,46,28,15,1,287
35,110,46,86,5,1,287
35,33,7,1,9,3,287
35,33,176,180,134,1,287
35,1,0,3,11,324,287
35,33,23,232,69,1,287
35,33,23,40,11,324,287
35,33,60,65,57,1,287
35,110,46,33,7,1,287
35,110,46,28,11,3,287
35,1,191,8,133,3,287
35,1,9,38,281,3,287
35,77,9,3,0,1,287
35,33,7,1,392,3,287
35,166,208,12,5,1,287
35,77,9,1,0,3,287
35,1,392,3,11,324,287
35,120,149,62,7,1,287
35,33,23,357,236,1,287
35,33,190,158,15,1,287
35,369,256,7,1,3,287
35,166,45,11,3,1,287
35,33,473,5,1,3,287
35,120,10,8,1,3,287
35,110,46,49,11,3,287
35,369,256,222,6,3,287
35,110,46,28,59,3,287
35,1,9,3,11,324,287
35,369,256,7,0,1,287
35,110,46,28,11,324,287
35,166,45,19,5,1,287
35,1,9,32,11,3,287
35,33,140,267,8,1,287
35,33,190,431,1,3,287
35,77,9,3,8,1,287
35,120,10,8,93,1,287
35,120,338,25,3,1,287
35,33,176,9,1,3,287
35,33,140,21,1,3,287
35,33,307,157,5,1,287
35,340,103,17,406,444,287
35,77,9,1,392,3,287
35,110,248,28,15,1,287
35,77,228,8,3,1,287
35,120,10,2,14,3,287
35,77,228,8,1,3,287
35,340,391,8,1,3,287
35,33,46,49,11,3,287
35,33,7,0,1,3,287
35,237,211,6,0,1,287
35,110,46,52,21,1,287
35,288,96,14,3,1,287
35,331,405,148,8,1,287
35,288,96,48,5,1,287
35,110,46,49,11,324,287
35,110,46,28,98,3,287
35,369,256,7,22,1,287
35,33,23,13,3,1,287
35,1,0,5,11,324,287
35,237,211,239,0,3,287
35,369,256,7,0,3,287
35,166,45,92,78,1,287
