37,360,45,319
37,6,17,319
37,6,17,319
37,7,0,17,319
37,6,0,17,319
37,259,11,45,319
37,6,17,179,45,319
37,6,3,0,17,319
37,6,0,34,17,319
37,43,38,34,17,319
37,360,45,179,17,319
37,68,38,34,17,319
37,43,38,53,45,319
37,7,1,0,17,319
37,259,11,19,45,319
37,497,20,470,45,319
37,68,38,53,45,319
37,487,1,164,45,319
37,497,20,19,45,319
37,79,205,6,17,319
37,487,1,0,17,319
37,159,4,0,17,319
37,7,0,6,17,319
37,6,42,151,45,319
37,200,7,0,17,319
37,7,0,34,17,319
37,6,3,11,45,319
37,7,20,470,45,319
37,7,1,164,45,319
37,7,62,103,17,319
37,7,20,19,45,319
37,7,238,109,45,319
37,259,11,3,0,17,319
37,6,0,2,379,45,319
37,259,11,19,76,17,319
37,7,1,3,0,17,319
37,6,3,11,19,45,319
37,7,62,2,0,17,319
37,7,20,30,132,45,319
37,7,1,0,6,17,319
37,259,11,45,179,17,319
37,7,20,19,11,45,319
37,7,272,24,19,45,319
37,259,11,5,0,17,319
37,7,0,17,179,45,319
37,259,11,3,6,17,319
37,6,0,23,64,17,319
37,6,3,0,34,17,319
37,6,0,17,179,45,319
37,497,20,7,0,17,319
37,259,11,19,313,17,319
37,7,1,5,0,17,319
37,7,1,3,6,17,319
37,43,214,126,101,17,319
37,497,20,19,11,45,319
37,43,38,34,0,17,319
37,79,55,321,186,17,319
37,7,62,2,379,45,319
37,79,205,380,0,17,319
37,79,464,20,19,45,319
37,7,20,284,19,45,319
37,79,205,411,132,45,319
37,79,464,20,470,45,319
37,7,20,72,192,45,319
37,7,20,30,146,45,319
37,360,45,19,76,17,319
37,7,20,78,92,45,319
37,79,205,6,0,17,319
37,360,45,92,167,17,319
37,360,45,19,313,17,319
37,7,1,0,34,17,319
37,487,1,3,0,17,319
37,487,1,0,6,17,319
37,487,1,5,0,17,319
37,487,1,3,6,17,319
37,487,1,0,34,17,319
37,487,1,7,0,17,319
37,487,1,5,11,45,319
37,487,1,3,11,45,319
37,487,1,35,166,45,319
37,487,1,5,19,45,319
37,487,1,69,19,45,319
37,159,4,3,0,17,319
37,487,1,78,92,45,319
37,159,4,42,151,45,319
