39,28,41
39,12,90,28,41
39,28,144,23,41
39,12,5,11,28,41
39,28,46,63,106,41
39,12,139,11,28,41
39,28,11,40,23,41
39,28,46,33,23,41
39,12,2,0,23,41
39,12,5,0,23,41
39,12,241,11,28,41
39,12,5,13,23,41
39,28,67,13,23,41
39,12,5,15,28,41
39,28,46,163,63,106,41
39,12,5,11,40,23,41
39,12,5,1,0,23,41
39,28,46,170,33,23,41
39,12,5,11,440,28,41
39,12,5,18,453,28,41
39,12,5,1,15,28,41
39,12,90,28,144,23,41
39,12,2,10,356,28,41
39,28,46,417,203,400,41
39,12,2,0,175,23,41
39,28,46,63,203,400,41
39,12,5,19,11,28,41
39,12,5,0,175,23,41
39,12,5,1,44,23,41
39,12,90,111,203,400,41
39,12,185,72,404,28,41
39,12,2,10,91,155,41
39,12,334,10,356,28,41
39,12,139,348,248,28,41
39,12,107,7,200,207,41
39,12,334,10,91,155,41
39,12,58,24,272,341,41
39,12,107,7,0,23,41
39,12,73,24,272,341,41
39,12,58,24,0,23,41
39,12,107,7,33,23,41
39,12,492,260,0,23,41
39,12,73,84,419,23,41
39,12,73,24,0,23,41
39,12,107,7,265,23,41
39,12,189,45,11,28,41
39,12,73,279,40,23,41
39,12,73,84,358,28,41
39,12,241,11,40,23,41
39,12,139,11,40,23,41
39,12,107,7,272,341,41
39,12,245,24,0,23,41
39,12,241,11,440,28,41
39,12,139,11,440,28,41
39,12,315,260,0,23,41
39,12,245,24,272,341,41
39,28,11,332,104,23,41
39,12,5,13,67,28,41
39,12,5,473,33,23,41
39,28,15,390,424,23,41
39,28,11,32,178,23,41
39,12,5,86,231,28,41
39,28,11,5,0,23,41
39,12,5,48,337,23,41
39,12,5,86,46,28,41
39,28,11,3,0,23,41
39,28,11,5,13,23,41
39,12,5,51,136,28,41
39,28,11,3,13,23,41
39,12,5,291,136,28,41
39,28,215,258,175,23,41
39,12,5,309,272,341,41
39,28,90,111,203,400,41
39,28,215,351,150,23,41
39,12,5,433,46,28,41
39,28,440,11,40,23,41
39,28,215,266,203,400,41
39,12,5,436,383,23,41
39,28,183,16,104,23,41
39,12,5,60,33,23,41
39,28,358,84,419,23,41
39,12,5,126,101,28,41
39,28,145,32,178,23,41
39,28,15,1,0,23,41
39,28,356,10,91,155,41
39,28,15,5,0,23,41
39,28,15,1,44,23,41
