3,75,31,494
3,47,16,494
3,13,31,494
3,47,16,494
3,75,31,494
3,47,16,31,494
3,1,15,16,494
3,75,31,16,494
3,1,57,31,494
3,13,31,16,494
3,8,10,16,494
3,13,23,104,16,494
3,1,15,16,31,494
3,47,303,75,31,494
3,1,5,13,31,494
3,47,410,30,16,494
3,1,8,10,16,494
3,1,5,15,16,494
3,47,123,13,31,494
3,75,303,47,16,494
3,1,57,31,16,494
3,0,23,104,16,494
3,1,97,80,31,494
3,4,113,15,16,494
3,0,1,15,16,494
3,0,23,13,31,494
3,6,229,30,16,494
3,4,147,47,16,494
3,0,2,10,16,494
3,0,1,57,31,494
3,8,1,15,16,494
3,9,1,15,16,494
3,0,5,13,31,494
3,9,1,57,31,494
3,0,94,74,31,494
3,0,5,15,16,494
3,0,99,80,31,494
3,8,10,16,31,494
3,13,5,15,16,494
3,8,243,128,31,494
3,13,123,47,16,494
3,8,391,397,16,494
3,8,1,57,31,494
3,11,28,183,16,494
3,498,28,15,16,494
3,11,5,13,31,494
3,11,28,15,16,494
3,287,1,15,16,494
3,498,28,183,16,494
3,11,332,104,16,494
3,11,5,15,16,494
3,59,28,15,16,494
3,287,1,57,31,494
3,98,28,15,16,494
3,59,28,183,16,494
3,372,253,13,31,494
3,98,28,183,16,494
3,392,1,15,16,494
3,14,2,10,16,494
3,392,1,57,31,494
3,133,8,10,16,494
3,0,5,13,31,16,494
3,9,1,5,13,31,494
3,8,243,128,31,16,494
3,392,1,15,16,31,494
3,14,371,5,13,31,494
3,14,2,10,16,31,494
3,392,1,5,13,31,494
3,392,1,57,31,16,494
3,452,448,206,246,16,494
3,11,28,15,16,31,494
3,133,8,1,15,16,494
3,133,8,10,16,31,494
3,9,1,8,10,16,494
3,9,1,5,15,16,494
3,9,38,430,30,16,494
3,13,31,128,30,16,494
3,1,15,5,13,31,494
3,9,1,57,31,16,494
3,14,371,5,15,16,494
3,392,1,8,10,16,494
3,392,1,5,15,16,494
3,0,94,74,31,16,494
3,25,338,120,10,16,494
3,0,5,1,15,16,494
3,75,303,47,16,31,494
3,1,191,8,10,16,494
3,133,8,243,128,31,494
3,133,8,1,57,31,494
3,0,6,229,30,16,494
3,9,1,97,80,31,494
3,0,23,104,16,31,494
3,0,99,80,31,16,494
3,1,97,80,31,16,494
3,13,5,1,15,16,494
3,6,229,30,16,31,494
3,9,270,5,15,16,494
3,13,5,15,16,31,494
3,11,5,13,31,16,494
3,1,15,28,183,16,494
3,13,23,104,16,31,494
3,47,410,30,16,31,494
3,8,243,128,30,16,494
3,13,67,28,183,16,494
3,392,1,97,80,31,494
3,13,123,47,16,31,494
3,8,83,5,15,16,494
3,416,157,1,15,16,494
3,47,16,30,128,31,494
3,8,391,397,16,31,494
3,8,1,5,13,31,494
3,25,19,390,15,16,494
3,0,5,286,30,16,494
3,4,113,15,16,31,494
3,0,5,1,57,31,494
3,8,1,57,31,16,494
3,1,69,117,80,31,494
3,75,31,128,30,16,494
3,13,23,36,30,16,494
3,133,8,391,397,16,494
3,1,5,13,31,16,494
3,9,1,15,16,31,494
3,11,28,183,16,31,494
3,47,303,75,31,16,494
3,0,7,20,30,16,494
3,0,23,36,30,16,494
3,47,410,30,128,31,494
3,0,23,13,31,16,494
3,13,5,286,30,16,494
3,13,5,1,57,31,494
3,9,282,132,30,16,494
3,11,28,46,80,31,494
3,9,292,46,80,31,494
3,11,28,67,13,31,494
3,9,270,5,13,31,494
3,11,28,356,10,16,494
3,1,5,15,16,31,494
3,11,28,404,72,31,494
3,6,0,94,74,31,494
3,13,306,91,10,16,494
3,6,18,5,13,31,494
3,6,0,1,15,16,494
3,6,18,5,15,16,494
3,6,0,2,10,16,494
3,6,0,1,57,31,494
3,6,0,5,13,31,494
3,6,229,30,128,31,494
3,6,0,23,104,16,494
3,6,0,5,15,16,494
3,6,0,99,80,31,494
3,6,0,23,13,31,494
3,4,0,1,15,16,494
3,498,28,183,16,31,494
3,4,0,2,10,16,494
3,4,0,1,57,31,494
3,4,0,5,13,31,494
3,13,67,28,15,16,494
3,4,0,23,104,16,494
3,4,0,5,15,16,494
3,4,0,94,74,31,494
3,4,0,23,13,31,494
3,4,0,99,80,31,494
3,287,1,15,16,31,494
3,498,28,46,80,31,494
3,8,191,1,15,16,494
3,498,28,67,13,31,494
3,8,93,1,15,16,494
3,8,191,1,57,31,494
3,498,28,356,10,16,494
3,8,317,1,15,16,494
3,8,93,1,57,31,494
3,498,28,404,72,31,494
3,8,26,55,47,16,494
3,8,317,1,57,31,494
3,8,100,1,57,31,494
3,8,26,125,47,16,494
3,8,100,124,30,16,494
3,8,100,1,15,16,494
3,8,26,320,13,31,494
3,11,19,54,30,16,494
3,8,83,5,13,31,494
3,11,45,85,354,16,494
3,11,19,5,15,16,494
3,1,8,243,128,31,494
3,290,60,5,13,31,494
3,11,440,28,183,16,494
3,11,45,132,30,16,494
3,11,19,20,72,31,494
3,11,19,5,13,31,494
3,1,8,391,397,16,494
3,281,38,430,30,16,494
3,290,60,65,57,31,494
3,290,60,5,15,16,494
3,11,475,1,57,31,494
3,11,440,28,15,16,494
3,11,45,146,30,16,494
3,11,19,390,15,16,494
3,11,19,20,30,16,494
3,327,22,1,57,31,494
3,416,157,5,15,16,494
3,11,40,23,104,16,494
3,11,475,1,15,16,494
3,11,45,168,13,31,494
3,11,19,20,74,31,494
