40,11,361,109
40,11,45,109
40,11,361,109
40,11,19,45,109
40,23,337,48,96,109
40,11,3,14,96,109
40,153,33,7,238,109
40,11,5,48,96,109
40,11,3,1,169,109
40,23,0,7,238,109
40,11,311,168,45,109
40,23,13,168,45,109
40,23,0,1,169,109
40,11,118,21,219,109
40,23,33,7,238,109
40,11,5,1,169,109
40,11,475,1,169,109
40,23,44,1,169,109
40,11,5,19,45,109
40,23,265,7,238,109
40,11,5,48,7,238,109
40,11,3,25,396,45,109
40,23,0,1,7,238,109
40,11,475,1,7,238,109
40,23,44,1,7,238,109
40,11,5,0,1,169,109
40,23,265,7,1,169,109
40,11,19,20,21,219,109
40,11,3,1,7,238,109
40,23,36,30,194,437,109
40,23,337,48,7,238,109
40,11,3,0,7,238,109
40,11,3,25,19,45,109
40,23,0,7,1,169,109
40,23,0,1,21,219,109
40,11,475,1,21,219,109
40,23,44,1,21,219,109
40,11,5,371,14,96,109
40,11,45,164,1,169,109
40,11,5,0,7,238,109
40,11,5,12,189,45,109
40,23,265,7,48,96,109
40,23,13,3,11,45,109
40,11,5,13,168,45,109
40,11,19,24,212,45,109
40,23,13,5,11,45,109
40,23,13,3,1,169,109
40,23,13,3,11,361,109
40,11,5,161,355,45,109
40,11,19,25,396,45,109
40,11,19,24,251,45,109
40,11,19,20,7,238,109
40,23,13,5,1,169,109
40,23,13,5,11,361,109
40,23,13,3,14,96,109
40,11,5,15,1,169,109
40,11,5,161,1,169,109
40,11,19,5,1,169,109
40,11,19,20,470,45,109
40,23,13,5,19,45,109
40,11,5,51,48,96,109
40,23,0,2,379,45,109
40,279,73,12,189,45,109
40,11,3,1,21,219,109
40,11,19,69,1,169,109
40,11,19,5,48,96,109
40,23,175,0,7,238,109
40,23,13,5,48,96,109
40,23,36,30,132,45,109
40,11,5,127,1,169,109
40,153,33,35,288,96,109
40,11,3,13,168,45,109
40,23,0,3,11,45,109
40,23,0,2,14,96,109
40,23,0,5,11,45,109
40,23,0,3,1,169,109
40,23,0,3,11,361,109
40,23,0,17,319,45,109
40,23,0,5,1,169,109
40,23,0,5,11,361,109
40,23,0,3,14,96,109
40,23,0,24,212,45,109
40,23,0,17,179,45,109
40,23,0,5,19,45,109
40,23,0,438,21,219,109
40,23,0,24,19,45,109
40,23,0,5,48,96,109
40,23,0,24,251,45,109
40,171,70,37,7,238,109
40,11,118,21,1,169,109
40,209,95,296,1,169,109
40,171,342,35,1,169,109
40,171,70,26,21,219,109
40,171,70,37,360,45,109
40,209,413,122,21,219,109
40,209,95,20,7,238,109
40,171,342,35,166,45,109
40,171,70,138,194,437,109
40,209,413,122,48,96,109
40,209,95,20,19,45,109
40,171,342,35,288,96,109
40,209,95,20,21,219,109
40,11,3,0,1,169,109
40,209,95,20,470,45,109
40,279,73,24,212,45,109
40,11,3,1,164,45,109
40,279,73,84,21,219,109
40,279,73,24,19,45,109
40,23,33,35,288,96,109
40,279,73,134,1,169,109
40,279,73,24,251,45,109
40,23,33,140,21,219,109
40,23,33,35,1,169,109
40,11,5,1,7,238,109
