45,179
45,319,17,179
45,19,76,17,179
45,11,5,268,179
45,19,5,268,179
45,92,167,17,179
45,19,313,17,179
45,11,5,0,17,179
45,19,5,0,17,179
45,151,42,6,17,179
45,19,24,0,17,179
45,164,1,0,17,179
45,19,11,5,268,179
45,360,37,6,17,179
45,164,1,5,268,179
45,11,19,76,17,179
45,168,13,5,268,179
45,11,3,6,17,179
45,11,19,5,268,179
45,189,12,5,268,179
45,11,28,101,17,179
45,11,3,0,17,179
45,11,19,313,17,179
45,212,24,0,17,179
45,251,24,0,17,179
45,379,2,0,17,179
45,355,161,5,268,179
45,379,2,29,280,179
45,53,38,34,17,179
45,168,13,23,27,17,179
45,151,42,81,5,268,179
45,168,13,5,0,17,179
45,53,38,34,0,17,179
45,168,13,3,0,17,179
45,168,13,23,0,17,179
45,151,42,4,0,17,179
45,19,11,5,0,17,179
45,168,13,278,103,17,179
45,168,13,3,6,17,179
45,168,13,23,64,17,179
45,11,3,6,0,17,179
45,19,24,0,5,268,179
45,11,19,5,0,17,179
45,189,12,2,29,280,179
45,92,78,1,0,17,179
45,189,12,5,0,17,179
45,11,40,23,0,17,179
45,11,28,15,5,268,179
45,319,17,0,5,268,179
45,19,24,0,6,17,179
45,11,3,1,5,268,179
45,19,294,51,364,17,179
45,11,19,24,0,17,179
45,11,3,0,5,268,179
45,189,12,2,0,17,179
45,92,78,1,5,268,179
45,355,161,5,0,17,179
45,11,475,1,0,17,179
45,164,1,0,5,268,179
45,19,11,3,6,17,179
45,164,1,0,6,17,179
45,19,11,28,101,17,179
45,19,11,3,0,17,179
45,164,1,0,34,17,179
45,212,24,19,5,268,179
45,11,40,23,27,17,179
45,212,24,19,76,17,179
45,11,40,23,64,17,179
45,212,24,19,313,17,179
45,212,24,0,5,268,179
45,11,28,46,63,17,179
45,212,24,0,6,17,179
45,11,28,387,186,17,179
45,212,24,0,34,17,179
45,11,5,19,76,17,179
45,11,5,0,6,17,179
45,11,5,51,364,17,179
45,11,5,19,313,17,179
45,11,5,0,34,17,179
45,11,5,1,0,17,179
45,251,24,19,5,268,179
45,11,5,126,101,17,179
45,251,24,19,76,17,179
45,11,5,18,6,17,179
45,251,24,19,313,17,179
45,19,24,0,34,17,179
45,164,1,5,0,17,179
45,151,42,6,0,17,179
45,360,37,7,0,17,179
45,11,3,4,0,17,179
45,11,3,1,0,17,179
45,251,24,0,5,268,179
45,11,3,250,406,17,179
45,19,390,15,5,268,179
45,251,24,0,6,17,179
45,11,3,13,5,268,179
45,19,25,3,0,17,179
45,251,24,0,34,17,179
45,19,294,51,5,268,179
45,19,69,275,63,17,179
45,19,25,221,186,17,179
45,19,25,3,6,17,179
45,19,20,7,0,17,179
45,19,69,1,5,268,179
45,19,5,18,6,17,179
45,379,2,0,5,268,179
45,11,3,0,6,17,179
45,19,69,1,0,17,179
45,19,5,51,364,17,179
45,379,2,0,6,17,179
45,11,3,0,34,17,179
45,168,311,11,5,268,179
45,19,5,1,0,17,179
45,379,2,0,34,17,179
45,19,5,0,6,17,179
45,360,37,6,0,17,179
45,355,161,1,0,17,179
45,19,5,126,101,17,179
45,164,1,293,167,17,179
45,379,2,12,5,268,179
45,164,1,3,0,17,179
45,379,2,62,103,17,179
45,164,1,7,0,17,179
45,164,1,3,6,17,179
45,164,1,152,34,17,179
45,11,49,46,63,17,179
45,164,1,15,5,268,179
45,11,139,12,5,268,179
45,164,1,127,5,268,179
45,11,257,4,0,17,179
45,164,1,157,5,268,179
45,11,440,28,101,17,179
45,164,1,161,5,268,179
45,11,259,37,6,17,179
45,164,1,188,5,268,179
45,11,330,260,0,17,179
45,19,5,0,34,17,179
45,11,241,12,5,268,179
45,132,411,205,6,17,179
45,11,475,1,5,268,179
45,192,384,131,186,17,179
45,132,30,229,6,17,179
45,470,20,7,0,17,179
45,132,172,51,5,268,179
45,132,30,286,5,268,179
45,85,52,46,63,17,179
