47,123,13,119,112,446
47,71,137,22,112,446
47,55,79,37,112,446
47,16,183,28,46,446
47,16,31,80,46,446
47,16,15,28,46,446
47,3,498,28,46,446
47,3,327,22,112,446
47,3,98,28,46,446
47,3,59,28,46,446
47,3,13,119,112,446
47,3,11,49,46,446
47,3,11,28,46,446
47,3,9,292,46,446
47,3,6,37,112,446
47,3,1,22,112,446
47,16,15,28,46,446
47,3,1,22,112,446
47,55,79,37,112,446
47,3,6,37,112,446
47,16,31,80,46,446
47,3,9,292,46,446
47,16,183,28,46,446
47,3,11,28,46,446
47,71,137,22,112,446
47,3,13,119,112,446
47,3,11,49,46,446
47,3,59,28,46,446
47,123,13,119,112,446
47,3,98,28,46,446
47,3,498,28,46,446
47,3,6,17,63,46,446
47,71,137,181,28,46,446
47,3,11,5,433,46,446
47,3,13,5,433,46,446
47,125,26,21,52,46,446
47,123,13,5,433,46,446
47,3,1,5,433,46,446
47,16,31,13,119,112,446
47,3,9,1,22,112,446
47,3,1,7,37,112,446
47,3,1,5,86,46,446
47,3,9,38,141,46,446
47,3,1,9,292,46,446
47,3,1,7,22,112,446
47,3,9,88,218,46,446
47,3,9,38,165,46,446
47,3,1,15,28,46,446
47,3,0,5,433,46,446
47,3,1,7,33,46,446
47,3,9,176,33,46,446
47,3,1,21,52,46,446
47,3,4,159,37,112,446
47,3,0,1,22,112,446
47,3,0,5,86,46,446
47,55,26,21,52,46,446
47,16,10,91,22,112,446
47,3,6,394,263,46,446
47,3,1,35,33,46,446
47,3,8,1,22,112,446
47,3,11,259,37,112,446
47,3,0,6,37,112,446
47,3,11,5,86,46,446
47,3,0,7,37,112,446
47,3,13,23,33,46,446
47,3,0,17,63,46,446
47,3,0,7,22,112,446
47,3,13,31,80,46,446
47,3,0,23,33,46,446
47,3,0,7,33,46,446
47,3,13,67,28,46,446
47,3,0,94,263,46,446
47,55,26,70,37,112,446
47,3,0,99,80,46,446
47,16,15,1,22,112,446
47,3,13,5,86,46,446
47,16,15,5,433,46,446
47,147,4,159,37,112,446
47,16,15,61,105,46,446
47,16,15,5,86,46,446
47,154,12,5,433,46,446
47,16,15,349,52,46,446
47,303,75,31,80,46,446
47,154,12,39,28,46,446
47,154,12,5,86,46,446
47,312,78,1,22,112,446
47,154,12,90,28,46,446
47,16,104,131,33,46,446
47,16,10,356,28,46,446
47,125,26,70,37,112,446
47,16,354,85,52,46,446
47,16,104,23,33,46,446
47,71,116,1,22,112,446
47,16,494,31,80,46,446
47,16,104,300,105,46,446
47,71,302,48,381,46,446
47,3,1,97,80,46,446
47,3,1,35,110,46,446
47,3,75,31,80,46,446
47,123,13,23,33,46,446
47,3,1,226,86,46,446
47,3,8,87,63,46,446
47,3,133,217,22,112,446
47,123,13,31,80,46,446
47,123,13,5,86,46,446
47,3,1,487,37,112,446
47,3,11,440,28,46,446
47,3,281,38,141,46,446
47,123,13,67,28,46,446
47,3,287,1,22,112,446
47,3,281,38,165,46,446
47,3,290,60,33,46,446
47,3,346,248,28,46,446
47,3,392,1,22,112,446
47,3,346,248,110,46,446
47,3,0,17,6,37,112,446
47,3,0,17,63,163,46,446
47,123,13,3,327,22,112,446
47,3,287,324,11,28,46,446
47,3,281,38,9,292,46,446
47,3,290,60,5,433,46,446
47,3,287,1,5,433,46,446
47,3,290,60,33,170,46,446
47,3,11,499,129,105,46,446
47,3,14,371,5,86,46,446
47,3,392,1,5,433,46,446
47,3,0,17,101,28,46,446
47,123,13,306,91,22,112,446
47,123,13,3,1,22,112,446
47,3,13,23,41,28,46,446
47,3,11,5,1,22,112,446
47,3,13,119,277,37,112,446
47,3,287,324,11,49,46,446
47,3,281,38,43,37,112,446
47,3,1,5,11,28,46,446
47,3,290,60,5,86,46,446
47,16,31,13,5,433,46,446
47,3,287,1,7,37,112,446
47,3,287,1,5,86,46,446
47,3,11,32,145,28,46,446
47,3,0,23,13,119,112,446
47,3,0,23,33,170,46,446
47,3,250,406,17,63,46,446
47,3,14,96,48,381,46,446
47,3,0,6,17,63,46,446
47,3,0,7,1,22,112,446
47,3,0,7,33,170,46,446
47,3,14,371,5,433,46,446
47,3,392,1,7,37,112,446
47,3,13,305,203,417,46,446
47,3,392,1,5,86,46,446
47,3,6,37,7,22,112,446
47,16,31,72,404,28,46,446
47,123,13,305,203,417,46,446
47,123,13,3,6,37,112,446
47,71,137,22,7,37,112,446
47,3,13,23,144,28,46,446
47,16,15,1,5,433,46,446
47,3,59,28,481,52,46,446
47,3,11,5,13,119,112,446
47,3,281,38,68,37,112,446
47,3,1,5,13,119,112,446
47,3,1,5,11,49,46,446
47,16,31,13,23,33,46,446
47,3,1,9,38,141,46,446
47,3,13,5,1,22,112,446
47,16,31,13,5,86,46,446
47,3,287,1,9,292,46,446
47,3,287,1,7,22,112,446
47,3,327,22,7,37,112,446
47,3,9,88,38,141,46,446
47,3,11,475,1,22,112,446
47,3,11,32,9,292,46,446
47,16,15,28,481,52,46,446
47,16,31,80,395,163,46,446
47,3,9,38,121,33,46,446
47,147,4,0,5,433,46,446
47,3,0,23,41,28,46,446
47,123,13,119,277,37,112,446
47,3,416,157,1,22,112,446
47,3,250,370,203,417,46,446
47,55,26,8,1,22,112,446
47,3,1,22,7,37,112,446
47,16,15,61,48,381,46,446
47,16,15,5,1,22,112,446
47,3,0,6,394,263,46,446
47,55,26,70,138,22,112,446
47,3,98,28,481,52,46,446
47,3,0,7,48,381,46,446
47,3,9,1,5,433,46,446
47,3,1,15,5,433,46,446
47,3,392,1,9,292,46,446
47,3,392,1,7,22,112,446
47,3,0,160,51,130,46,446
47,3,498,28,481,52,46,446
47,16,15,158,136,28,46,446
47,3,13,306,91,22,112,446
47,3,13,305,203,63,46,446
47,3,1,7,48,381,46,446
47,3,6,37,277,119,112,446
47,3,6,37,7,33,46,446
47,3,13,23,33,170,46,446
47,303,75,3,327,22,112,446
