48,122
48,7,20,21,122
48,5,1,21,122
48,7,1,21,122
48,302,71,485,135,122
48,5,0,438,21,122
48,51,5,1,21,122
48,7,0,438,21,122
48,5,11,118,21,122
48,7,33,140,21,122
48,7,0,1,21,122
48,5,19,20,21,122
48,7,22,1,21,122
48,5,0,1,21,122
48,5,15,1,21,122
48,493,9,38,135,122
48,5,127,1,21,122
48,96,109,219,21,122
48,493,9,1,21,122
48,5,157,1,21,122
48,102,129,455,413,122
48,51,269,20,21,122
48,5,161,1,21,122
48,61,15,1,21,122
48,5,188,1,21,122
48,174,157,1,21,122
48,381,46,52,21,122
48,7,1,9,38,135,122
48,5,0,34,38,135,122
48,61,15,5,1,21,122
48,5,66,210,38,135,122
48,174,157,5,1,21,122
48,51,5,0,438,21,122
48,333,137,71,485,135,122
48,381,46,141,38,135,122
48,7,1,0,438,21,122
48,5,15,349,52,21,122
48,5,0,7,1,21,122
48,5,11,19,20,21,122
48,61,15,349,52,21,122
48,5,270,9,38,135,122
48,174,157,310,20,21,122
48,302,456,85,52,21,122
48,302,71,116,1,21,122
48,51,5,11,118,21,122
48,51,5,0,1,21,122
48,7,33,35,1,21,122
48,96,288,35,1,21,122
48,337,23,401,38,135,122
48,333,137,22,1,21,122
48,96,14,3,1,21,122
48,247,32,9,38,135,122
48,337,414,100,1,21,122
48,337,23,40,209,413,122
48,429,286,5,1,21,122
48,247,32,382,1,21,122
48,247,32,9,1,21,122
48,337,23,0,438,21,122
48,429,286,30,20,21,122
48,247,32,197,38,135,122
48,337,23,44,1,21,122
48,337,23,0,1,21,122
48,96,109,169,1,21,122
48,247,32,11,118,21,122
48,337,23,33,140,21,122
48,381,46,33,140,21,122
48,337,23,419,84,21,122
48,381,46,165,38,135,122
48,5,157,310,20,21,122
48,5,1,0,438,21,122
48,5,157,344,26,21,122
48,5,1,8,26,21,122
48,7,1,8,26,21,122
48,5,1,9,38,135,122
48,5,0,3,1,21,122
48,5,0,7,20,21,122
48,7,1,78,20,21,122
48,5,1,7,20,21,122
48,102,37,43,38,135,122
48,5,11,40,209,413,122
48,5,83,220,1,21,122
48,5,1,78,20,21,122
48,5,270,9,1,21,122
48,102,37,68,38,135,122
48,5,11,3,1,21,122
48,5,13,320,26,21,122
48,5,83,8,1,21,122
48,7,0,5,1,21,122
48,7,20,95,209,413,122
48,51,428,22,1,21,122
48,174,157,344,26,21,122
48,102,37,70,26,21,122
48,5,11,475,1,21,122
48,5,12,73,84,21,122
48,5,19,69,1,21,122
48,5,13,3,1,21,122
48,5,19,284,20,21,122
48,5,83,8,26,21,122
48,5,19,11,118,21,122
48,7,0,3,1,21,122
48,7,20,78,1,21,122
48,7,0,34,38,135,122
48,493,9,3,1,21,122
48,5,161,227,1,21,122
48,493,9,88,38,135,122
48,51,5,15,1,21,122
48,51,294,19,20,21,122
48,51,5,127,1,21,122
48,51,160,0,438,21,122
48,51,5,157,1,21,122
48,51,130,46,52,21,122
48,51,160,0,1,21,122
48,51,5,161,1,21,122
48,51,366,44,1,21,122
48,51,5,188,1,21,122
48,102,37,7,1,21,122
48,51,5,19,20,21,122
48,102,37,487,1,21,122
48,102,37,7,20,21,122
48,102,37,497,20,21,122
48,7,37,487,1,21,122
48,7,33,46,52,21,122
48,7,238,109,219,21,122
48,7,37,43,38,135,122
48,7,33,121,38,135,122
48,7,114,69,1,21,122
48,7,37,497,20,21,122
48,61,105,129,455,413,122
48,7,37,70,26,21,122
48,61,105,447,140,21,122
48,7,37,68,38,135,122
48,61,105,46,52,21,122
48,5,51,269,20,21,122
48,5,12,115,20,21,122
48,5,60,236,1,21,122
48,5,473,33,140,21,122
48,5,60,33,140,21,122
48,5,286,30,20,21,122
48,5,491,310,20,21,122
48,5,363,74,20,21,122
48,5,86,226,1,21,122
48,5,433,46,52,21,122
48,5,86,46,52,21,122
48,51,5,1,9,38,135,122
48,5,19,24,261,84,21,122
48,51,5,157,310,20,21,122
48,51,130,478,7,20,21,122
48,51,130,46,141,38,135,122
48,51,160,0,5,1,21,122
48,5,0,1,9,38,135,122
48,5,83,8,3,1,21,122
48,7,1,9,88,38,135,122
48,51,5,161,227,1,21,122
48,7,22,1,9,38,135,122
48,51,364,17,34,38,135,122
48,51,366,44,204,20,21,122
48,247,32,9,88,38,135,122
48,5,13,3,0,438,21,122
48,7,20,30,430,38,135,122
48,337,414,100,8,26,21,122
48,5,0,34,152,1,21,122
48,5,15,1,9,38,135,122
48,51,5,270,9,38,135,122
48,429,286,30,430,38,135,122
48,51,5,19,69,1,21,122
48,337,23,40,11,118,21,122
48,96,288,35,33,140,21,122
48,337,23,0,5,1,21,122
48,102,37,259,329,84,21,122
48,61,15,5,0,438,21,122
48,7,33,46,141,38,135,122
48,102,37,7,0,438,21,122
48,7,238,109,169,1,21,122
48,96,14,3,0,438,21,122
48,493,9,3,0,438,21,122
48,96,109,238,7,20,21,122
48,7,33,23,40,209,413,122
48,247,32,145,389,26,21,122
48,7,200,37,497,20,21,122
48,7,114,173,202,20,21,122
48,7,114,69,19,20,21,122
48,7,0,23,401,38,135,122
48,337,23,44,204,20,21,122
48,247,32,11,5,1,21,122
48,5,66,65,57,1,21,122
48,7,0,34,152,1,21,122
48,337,23,33,121,38,135,122
48,7,37,70,95,20,21,122
48,174,157,1,9,38,135,122
48,51,5,15,349,52,21,122
48,7,37,70,249,20,21,122
48,7,37,70,95,209,413,122
48,174,157,1,0,438,21,122
48,61,15,1,9,38,135,122
48,174,157,5,0,438,21,122
48,174,157,1,8,26,21,122
48,61,15,1,0,438,21,122
48,174,157,5,11,118,21,122
48,174,157,5,0,1,21,122
48,174,157,1,7,20,21,122
48,61,15,1,8,26,21,122
48,174,157,5,19,20,21,122
48,174,157,1,78,20,21,122
48,61,15,1,7,20,21,122
48,174,157,5,15,1,21,122
48,381,46,33,121,38,135,122
48,61,15,1,78,20,21,122
48,174,157,5,127,1,21,122
48,381,46,33,7,1,21,122
48,7,37,79,464,20,21,122
48,174,157,5,161,1,21,122
48,381,46,33,35,1,21,122
48,381,46,33,7,20,21,122
48,7,37,6,225,26,21,122
48,7,37,79,55,26,21,122
48,174,157,5,188,1,21,122
48,7,37,259,329,84,21,122
48,7,37,6,0,438,21,122
48,337,23,13,5,1,21,122
48,7,37,102,129,455,413,122
48,7,37,259,11,118,21,122
48,7,37,6,3,1,21,122
48,7,37,6,0,1,21,122
48,337,23,175,0,438,21,122
48,337,23,13,3,1,21,122
48,7,37,159,276,84,21,122
48,337,23,265,7,1,21,122
48,337,23,175,0,1,21,122
48,337,23,13,320,26,21,122
48,7,37,112,22,1,21,122
48,337,23,357,236,1,21,122
48,337,23,265,7,20,21,122
48,61,105,46,141,38,135,122
48,337,23,232,69,1,21,122
48,5,161,450,88,38,135,122
48,61,105,46,165,38,135,122
48,337,23,36,30,20,21,122
48,5,127,1,9,38,135,122
48,5,51,428,22,1,21,122
48,61,105,46,33,140,21,122
48,337,23,206,202,20,21,122
48,5,127,1,0,438,21,122
48,5,51,130,46,52,21,122
48,5,12,139,11,118,21,122
48,493,9,292,46,52,21,122
48,5,127,1,8,26,21,122
48,5,51,160,0,438,21,122
48,5,12,241,11,118,21,122
48,493,9,176,180,196,135,122
48,5,127,1,7,20,21,122
48,5,51,294,19,20,21,122
48,5,51,160,0,1,21,122
48,5,12,334,10,89,21,122
48,5,12,241,469,1,21,122
48,493,9,32,197,38,135,122
48,493,9,176,33,140,21,122
48,5,127,1,78,20,21,122
48,5,51,366,44,1,21,122
48,5,12,107,7,1,21,122
48,493,9,270,5,1,21,122
48,493,9,32,382,1,21,122
48,381,46,218,88,38,135,122
48,96,14,371,5,1,21,122
48,5,12,425,220,1,21,122
48,5,12,107,7,20,21,122
48,493,9,77,35,1,21,122
48,493,9,32,11,118,21,122
48,381,46,292,9,38,135,122
48,96,14,2,0,1,21,122
48,5,12,2,0,438,21,122
48,493,9,316,0,1,21,122
48,51,294,19,11,118,21,122
48,5,19,11,40,209,413,122
48,333,137,71,116,1,21,122
48,5,473,33,121,38,135,122
48,381,46,105,129,455,413,122
48,381,46,292,9,1,21,122
48,96,14,2,10,89,21,122
48,333,137,22,7,1,21,122
48,5,60,65,57,1,21,122
48,96,14,2,0,438,21,122
48,5,60,33,121,38,135,122
48,5,12,90,111,1,21,122
