48,51,366
48,5,51,366
48,7,1,44,366
48,5,1,44,366
48,337,23,44,366
48,51,5,1,44,366
48,7,0,23,44,366
48,381,46,130,51,366
48,7,1,5,51,366
48,302,71,50,44,366
48,5,0,1,44,366
48,61,15,1,44,366
48,7,20,204,44,366
48,5,13,177,51,366
48,7,22,428,51,366
48,7,20,269,51,366
48,5,19,294,51,366
48,5,13,23,44,366
48,7,235,50,44,366
48,7,22,1,44,366
48,5,15,1,44,366
48,7,33,23,44,366
48,5,0,23,44,366
48,5,127,1,44,366
48,7,265,23,44,366
48,7,0,1,44,366
48,174,157,1,44,366
48,5,0,50,44,366
48,429,286,5,51,366
48,174,157,5,51,366
48,5,0,56,44,366
48,493,9,1,44,366
48,5,0,160,51,366
48,122,21,1,44,366
48,5,291,136,51,366
48,61,15,5,51,366
48,5,157,1,44,366
48,7,478,130,51,366
48,5,161,1,44,366
48,7,0,5,51,366
48,5,188,1,44,366
48,7,0,50,44,366
48,7,0,56,44,366
48,7,0,160,51,366
48,174,157,1,5,51,366
48,493,9,3,1,44,366
48,493,9,1,5,51,366
48,7,0,1,5,51,366
48,7,1,22,428,51,366
48,5,0,24,298,44,366
48,333,137,22,428,51,366
48,122,21,20,204,44,366
48,7,20,19,294,51,366
48,5,19,20,204,44,366
48,122,21,1,5,51,366
48,5,13,3,1,44,366
48,61,15,28,136,51,366
48,61,15,1,5,51,366
48,5,1,22,428,51,366
48,61,15,158,136,51,366
48,337,414,100,1,44,366
48,5,1,0,23,44,366
48,61,15,5,1,44,366
48,337,23,0,1,44,366
48,5,1,0,50,44,366
48,381,46,28,136,51,366
48,337,23,13,177,51,366
48,337,23,0,5,51,366
48,5,1,0,56,44,366
48,381,46,33,23,44,366
48,337,23,27,262,51,366
48,337,23,13,5,51,366
48,7,37,487,1,44,366
48,337,23,0,50,44,366
48,5,1,0,160,51,366
48,381,46,86,5,51,366
48,7,272,24,298,44,366
48,337,23,0,56,44,366
48,5,161,227,1,44,366
48,381,46,433,5,51,366
48,7,459,424,23,44,366
48,7,272,309,5,51,366
48,337,23,0,160,51,366
48,5,161,264,136,51,366
48,7,427,126,5,51,366
48,174,157,5,1,44,366
48,429,286,5,1,44,366
48,5,15,28,136,51,366
48,5,83,220,1,44,366
48,7,107,12,5,51,366
48,7,0,5,1,44,366
48,5,15,158,136,51,366
48,7,22,1,5,51,366
48,302,71,116,1,44,366
48,51,5,0,1,44,366
48,5,11,40,23,44,366
48,5,83,8,1,44,366
48,7,0,3,1,44,366
48,7,114,69,1,44,366
48,51,269,20,204,44,366
48,7,33,46,130,51,366
48,493,9,270,5,51,366
48,61,105,46,130,51,366
48,7,1,0,5,51,366
48,51,5,127,1,44,366
48,51,5,0,23,44,366
48,5,436,383,23,44,366
48,5,11,19,294,51,366
48,5,0,17,364,51,366
48,5,11,28,136,51,366
48,5,0,143,274,44,366
48,5,11,3,1,44,366
48,5,0,3,1,44,366
48,5,11,475,1,44,366
48,5,0,7,1,44,366
48,7,0,17,364,51,366
48,5,0,175,23,44,366
48,7,0,24,298,44,366
48,247,32,382,1,44,366
48,7,0,143,274,44,366
48,96,288,35,1,44,366
48,247,32,9,1,44,366
48,7,0,175,23,44,366
48,102,37,7,1,44,366
48,96,14,371,5,51,366
48,247,32,11,5,51,366
48,102,37,487,1,44,366
48,96,109,169,1,44,366
48,96,14,3,1,44,366
48,247,32,178,23,44,366
48,333,137,71,50,44,366
48,247,32,376,172,51,366
48,333,137,22,1,44,366
48,51,262,27,23,44,366
48,7,33,60,5,51,366
48,51,428,22,1,44,366
48,7,33,35,1,44,366
48,51,177,13,23,44,366
48,7,33,473,5,51,366
48,51,160,0,1,44,366
48,122,21,20,269,51,366
48,51,160,0,23,44,366
48,7,20,21,1,44,366
48,51,160,0,50,44,366
48,7,20,78,1,44,366
48,51,160,0,56,44,366
48,7,20,19,5,51,366
48,7,1,188,5,51,366
48,7,1,0,23,44,366
48,7,1,15,5,51,366
48,7,1,0,50,44,366
48,7,1,127,5,51,366
48,7,1,0,56,44,366
48,7,1,157,5,51,366
48,7,1,0,160,51,366
48,7,1,161,5,51,366
48,5,19,24,298,44,366
48,51,5,157,1,44,366
48,5,19,76,162,44,366
48,51,5,161,1,44,366
48,5,19,69,1,44,366
48,5,19,20,269,51,366
48,51,5,188,1,44,366
48,51,5,0,50,44,366
48,5,126,409,177,51,366
48,51,5,15,1,44,366
48,51,5,0,56,44,366
48,5,86,226,1,44,366
48,51,5,13,23,44,366
48,5,270,9,1,44,366
48,5,86,46,130,51,366
48,5,60,33,23,44,366
48,5,433,46,130,51,366
48,5,60,236,1,44,366
48,5,473,33,23,44,366
48,247,32,9,1,5,51,366
48,7,0,6,17,364,51,366
48,174,157,253,13,5,51,366
48,102,129,499,11,5,51,366
48,61,15,5,0,1,44,366
48,102,37,7,0,23,44,366
48,247,32,382,1,5,51,366
48,61,15,28,11,5,51,366
48,5,13,31,57,1,44,366
48,102,37,7,1,5,51,366
48,337,23,0,1,5,51,366
48,122,21,1,22,428,51,366
48,493,495,212,24,298,44,366
48,96,14,371,5,1,44,366
48,247,32,11,3,1,44,366
48,247,32,11,5,1,44,366
48,5,11,19,20,204,44,366
48,102,37,112,22,428,51,366
48,102,37,487,1,5,51,366
48,96,109,219,21,1,44,366
48,96,109,169,1,5,51,366
48,5,1,317,339,325,44,366
48,96,14,2,0,160,51,366
48,96,14,3,0,1,44,366
48,51,5,1,0,23,44,366
48,96,14,3,1,5,51,366
48,381,46,28,11,5,51,366
48,5,13,3,0,1,44,366
48,5,0,6,17,364,51,366
48,5,0,3,13,177,51,366
48,333,137,71,116,1,44,366
48,247,32,145,28,136,51,366
48,333,137,22,7,1,44,366
48,381,46,33,7,1,44,366
48,333,137,181,28,136,51,366
48,333,137,22,1,5,51,366
48,381,46,33,35,1,44,366
48,337,23,175,0,50,44,366
48,7,33,60,5,1,44,366
48,381,46,33,60,5,51,366
48,337,23,232,69,1,44,366
48,337,23,175,0,1,44,366
48,381,46,33,473,5,51,366
48,337,23,33,473,5,51,366
48,337,23,175,0,5,51,366
48,7,33,60,236,1,44,366
48,337,23,383,436,5,51,366
48,337,23,33,46,130,51,366
48,337,23,175,0,56,44,366
48,337,23,64,17,364,51,366
48,337,23,33,7,1,44,366
48,337,23,175,0,160,51,366
48,337,23,265,7,1,44,366
48,337,23,33,35,1,44,366
48,51,428,22,7,1,44,366
48,337,23,41,28,136,51,366
48,337,23,33,60,5,51,366
48,7,0,17,27,23,44,366
48,337,23,144,28,136,51,366
48,7,0,23,13,5,51,366
48,7,0,17,64,23,44,366
48,7,0,17,27,262,51,366
48,337,23,357,236,1,44,366
48,7,0,23,27,262,51,366
48,7,0,23,13,177,51,366
48,7,0,17,76,162,44,366
48,337,23,40,11,5,51,366
48,337,23,0,5,1,44,366
48,337,23,13,3,1,44,366
48,7,1,5,0,23,44,366
48,7,33,35,1,5,51,366
48,337,23,27,17,364,51,366
48,7,1,5,13,177,51,366
48,7,1,5,0,50,44,366
48,51,177,13,5,1,44,366
48,7,1,5,19,294,51,366
48,7,1,5,13,23,44,366
48,7,1,5,0,56,44,366
48,51,177,13,3,1,44,366
48,7,1,5,291,136,51,366
48,7,1,5,0,160,51,366
48,337,23,13,5,1,44,366
48,7,33,131,441,1,44,366
48,7,33,473,5,1,44,366
48,5,11,3,0,1,44,366
48,7,33,153,40,23,44,366
48,7,33,131,104,23,44,366
48,5,11,3,8,1,44,366
48,61,15,1,22,428,51,366
48,7,37,487,1,5,51,366
48,5,11,3,0,23,44,366
48,7,33,170,46,130,51,366
48,5,11,3,9,1,44,366
48,61,15,1,0,5,51,366
48,51,130,46,33,23,44,366
48,5,11,3,0,50,44,366
48,7,33,140,21,1,44,366
48,5,11,3,13,177,51,366
48,61,15,1,188,5,51,366
48,61,15,1,0,23,44,366
48,51,364,17,0,23,44,366
48,51,130,478,7,1,44,366
48,5,11,3,0,56,44,366
48,7,33,190,158,136,51,366
48,122,135,38,9,1,44,366
48,5,11,3,287,1,44,366
48,5,11,3,13,23,44,366
48,61,15,1,127,5,51,366
48,61,15,1,0,50,44,366
48,51,294,19,5,1,44,366
48,51,364,17,76,162,44,366
48,51,364,17,0,1,44,366
48,5,11,3,0,160,51,366
48,122,21,20,7,1,44,366
48,7,33,176,9,1,44,366
48,7,33,190,431,1,44,366
48,122,413,209,40,23,44,366
48,122,135,485,71,50,44,366
48,122,135,38,401,23,44,366
48,429,286,30,20,269,51,366
48,7,37,497,20,204,44,366
48,5,11,3,392,1,44,366
48,5,0,7,20,204,44,366
48,7,20,21,1,5,51,366
48,61,15,1,157,5,51,366
48,96,288,35,1,5,51,366
48,5,0,17,27,23,44,366
48,5,1,0,24,298,44,366
48,7,20,78,1,5,51,366
48,61,15,1,0,56,44,366
48,51,136,291,5,1,44,366
48,51,160,0,143,274,44,366
48,51,294,19,20,204,44,366
48,7,20,19,11,5,51,366
48,51,364,17,27,23,44,366
48,51,364,17,0,50,44,366
48,7,20,30,286,5,51,366
48,7,20,19,5,1,44,366
48,122,21,20,19,5,51,366
48,7,33,307,157,1,44,366
48,7,0,24,19,5,51,366
48,381,46,86,226,1,44,366
48,5,157,432,293,1,44,366
48,7,1,15,28,136,51,366
48,337,414,100,8,1,44,366
48,5,13,23,0,1,44,366
48,7,272,24,0,1,44,366
48,429,286,30,36,23,44,366
48,5,11,28,15,1,44,366
48,429,286,30,20,204,44,366
48,7,37,112,22,428,51,366
48,5,157,1,22,428,51,366
48,7,37,497,20,269,51,366
48,337,414,100,1,5,51,366
48,61,15,390,19,294,51,366
48,381,46,86,5,1,44,366
48,5,0,7,22,428,51,366
48,5,0,7,20,269,51,366
48,381,46,63,17,364,51,366
48,61,15,1,161,5,51,366
48,381,46,433,5,1,44,366
48,5,0,17,64,23,44,366
48,5,0,17,27,262,51,366
48,7,1,0,24,298,44,366
48,5,1,0,17,364,51,366
48,7,1,236,357,23,44,366
48,96,288,35,33,23,44,366
48,7,235,50,0,1,44,366
48,61,15,1,0,160,51,366
48,51,136,28,41,23,44,366
48,7,1,161,264,136,51,366
48,51,160,0,5,1,44,366
48,5,19,24,0,1,44,366
48,51,294,19,24,298,44,366
48,7,20,19,24,298,44,366
48,337,23,44,1,5,51,366
48,7,272,341,41,23,44,366
48,51,364,17,64,23,44,366
48,5,11,32,376,172,51,366
48,51,364,17,0,56,44,366
48,7,20,74,363,5,51,366
48,5,19,76,17,364,51,366
48,7,20,30,36,23,44,366
48,247,32,9,3,1,44,366
48,337,23,0,17,364,51,366
48,5,126,101,28,136,51,366
48,5,19,20,7,1,44,366
48,122,21,20,78,1,44,366
48,122,21,20,19,294,51,366
48,7,33,385,111,1,44,366
48,7,33,307,157,5,51,366
48,7,0,24,19,294,51,366
48,5,157,253,13,177,51,366
48,7,427,126,409,177,51,366
48,7,1,15,158,136,51,366
48,5,13,23,27,262,51,366
48,5,13,23,0,50,44,366
48,5,19,69,232,23,44,366
48,7,272,24,19,5,51,366
48,7,272,24,0,5,51,366
48,51,5,0,24,298,44,366
48,429,286,30,132,172,51,366
48,5,19,313,17,364,51,366
48,5,11,28,41,23,44,366
48,5,51,160,0,1,44,366
48,7,272,309,5,1,44,366
48,7,427,126,5,1,44,366
48,51,5,11,3,1,44,366
48,7,37,259,11,5,51,366
48,174,157,5,0,1,44,366
48,7,37,112,22,1,44,366
48,5,157,1,0,23,44,366
48,51,5,13,3,1,44,366
48,429,286,5,0,1,44,366
48,5,270,9,3,1,44,366
48,61,15,16,104,23,44,366
48,61,15,390,424,23,44,366
48,5,86,231,28,136,51,366
48,61,15,390,19,5,51,366
48,5,0,7,235,50,44,366
48,5,161,1,22,428,51,366
48,51,5,161,227,1,44,366
48,5,86,46,28,136,51,366
48,5,0,7,22,1,44,366
48,381,46,49,11,5,51,366
48,5,188,1,22,428,51,366
48,302,71,50,0,1,44,366
48,7,22,327,3,1,44,366
48,5,60,33,7,1,44,366
48,5,0,17,76,162,44,366
48,5,15,28,41,23,44,366
48,7,1,0,143,274,44,366
48,5,433,46,28,136,51,366
48,5,1,0,143,274,44,366
48,5,15,1,22,428,51,366
48,174,157,1,22,428,51,366
48,5,60,65,184,50,44,366
48,5,60,236,357,23,44,366
48,7,1,227,161,5,51,366
48,7,1,236,60,5,51,366
48,5,491,310,20,269,51,366
48,5,473,33,7,1,44,366
48,7,235,50,0,5,51,366
48,51,136,158,15,1,44,366
48,7,235,50,0,23,44,366
48,51,136,264,161,1,44,366
48,7,235,50,0,56,44,366
48,51,136,28,15,1,44,366
48,7,235,50,0,160,51,366
48,51,136,28,144,23,44,366
48,7,107,12,5,1,44,366
48,7,0,34,17,364,51,366
48,51,160,0,24,298,44,366
48,7,0,260,100,1,44,366
48,7,0,34,152,1,44,366
48,51,160,0,175,23,44,366
48,7,0,316,9,1,44,366
48,51,160,0,3,1,44,366
48,7,0,380,383,23,44,366
48,51,160,0,7,1,44,366
48,7,0,2,12,5,51,366
48,7,0,6,3,1,44,366
48,7,0,4,3,1,44,366
48,7,0,2,322,325,44,366
48,7,0,6,18,5,51,366
48,7,0,438,21,1,44,366
48,5,19,24,0,23,44,366
48,7,0,148,8,1,44,366
48,5,19,24,0,50,44,366
48,51,294,19,76,162,44,366
48,5,19,24,0,56,44,366
48,51,294,19,69,1,44,366
48,5,19,24,0,160,51,366
48,7,20,19,69,1,44,366
48,7,0,5,13,177,51,366
48,7,20,19,76,162,44,366
48,7,0,5,19,294,51,366
48,7,0,5,13,23,44,366
48,7,0,5,15,1,44,366
48,174,157,307,33,23,44,366
48,7,0,5,127,1,44,366
48,174,157,310,491,5,51,366
48,7,0,5,291,136,51,366
48,174,157,416,3,1,44,366
48,174,157,310,20,204,44,366
48,7,0,5,157,1,44,366
48,174,157,432,293,1,44,366
48,174,157,310,20,269,51,366
48,7,0,5,161,1,44,366
48,174,157,253,13,23,44,366
48,7,0,5,188,1,44,366
48,174,157,253,13,177,51,366
48,5,11,49,46,130,51,366
48,5,15,390,424,23,44,366
48,5,11,440,28,136,51,366
48,5,15,16,104,23,44,366
48,5,15,390,19,294,51,366
48,5,11,45,19,294,51,366
48,493,9,3,0,1,44,366
48,5,11,118,21,1,44,366
48,5,11,45,132,172,51,366
48,493,9,3,8,1,44,366
48,493,9,3,0,5,51,366
48,5,11,241,469,1,44,366
48,5,11,45,164,1,44,366
48,493,9,3,13,23,44,366
48,493,9,3,0,23,44,366
48,5,11,255,69,1,44,366
48,493,9,3,287,1,44,366
48,493,9,3,13,5,51,366
48,493,9,3,0,50,44,366
48,5,11,332,104,23,44,366
48,493,9,3,11,5,51,366
48,493,9,3,13,177,51,366
48,493,9,3,0,56,44,366
48,5,11,324,287,1,44,366
48,493,9,3,392,1,44,366
48,493,9,3,0,160,51,366
48,102,129,105,46,130,51,366
48,5,11,32,9,1,44,366
48,7,20,95,296,1,44,366
48,5,11,32,178,23,44,366
48,7,20,284,19,294,51,366
48,5,11,32,382,1,44,366
48,7,20,310,157,1,44,366
48,7,20,284,19,5,51,366
48,7,20,115,12,5,51,366
48,7,20,310,491,5,51,366
48,7,20,310,157,5,51,366
48,7,20,202,206,23,44,366
48,61,15,5,127,1,44,366
48,7,20,30,132,172,51,366
48,61,15,5,157,1,44,366
48,61,15,5,0,23,44,366
48,61,15,5,13,23,44,366
48,61,15,5,0,50,44,366
48,61,15,5,291,136,51,366
48,61,15,5,13,177,51,366
48,61,15,5,0,56,44,366
48,61,15,5,161,1,44,366
48,61,15,5,0,160,51,366
48,61,15,5,188,1,44,366
48,247,32,9,270,5,51,366
48,61,15,5,19,294,51,366
48,102,37,7,22,428,51,366
48,337,23,0,24,298,44,366
48,102,37,7,20,204,44,366
48,102,37,7,22,1,44,366
48,337,23,0,143,274,44,366
48,102,37,7,235,50,44,366
48,102,37,7,20,269,51,366
