48,381,46,263,394
48,102,37,6,394
48,7,37,6,394
48,7,0,6,394
48,5,18,6,394
48,5,0,6,394
48,5,0,6,394
48,7,0,6,394
48,5,18,6,394
48,102,37,6,394
48,7,37,6,394
48,5,0,3,6,394
48,7,0,3,6,394
48,5,1,0,6,394
48,5,0,17,6,394
48,7,0,17,6,394
48,51,364,17,6,394
48,5,11,3,6,394
48,5,1,3,6,394
48,5,0,94,263,394
48,7,1,0,6,394
48,7,0,94,263,394
48,7,33,46,263,394
48,7,1,3,6,394
48,7,114,173,6,394
48,61,105,46,263,394
48,7,200,37,6,394
48,51,5,0,6,394
48,96,14,3,6,394
48,7,256,222,6,394
48,5,13,3,6,394
48,51,130,46,263,394
48,5,81,42,6,394
48,51,160,0,6,394
48,5,86,46,263,394
48,51,5,18,6,394
48,5,433,46,263,394
48,337,23,0,6,394
48,493,9,3,6,394
48,5,11,3,0,6,394
48,5,13,23,0,6,394
48,7,20,30,229,6,394
48,7,1,0,3,6,394
48,51,177,13,3,6,394
48,5,1,7,0,6,394
48,51,160,0,3,6,394
48,5,13,3,0,6,394
48,5,0,7,37,6,394
48,51,5,1,0,6,394
48,5,12,458,173,6,394
48,5,1,0,3,6,394
48,7,0,5,18,6,394
48,7,33,170,46,263,394
48,337,23,13,3,6,394
48,337,23,0,3,6,394
48,5,1,3,0,6,394
48,337,23,27,17,6,394
48,337,23,0,17,6,394
48,429,286,30,229,6,394
48,337,23,33,46,263,394
48,337,23,0,94,263,394
48,174,157,1,0,6,394
48,429,286,5,0,6,394
48,337,23,64,17,6,394
48,122,21,52,46,263,394
48,174,157,5,0,6,394
48,174,157,1,3,6,394
48,429,286,5,18,6,394
48,337,23,175,0,6,394
48,247,32,9,3,6,394
48,122,21,1,0,6,394
48,493,9,1,0,6,394
48,174,157,416,3,6,394
48,174,157,5,18,6,394
48,302,71,47,3,6,394
48,247,32,11,3,6,394
48,493,9,3,0,6,394
48,122,21,26,225,6,394
48,122,21,1,3,6,394
48,493,9,292,46,263,394
48,493,9,1,3,6,394
48,7,1,5,0,6,394
48,7,1,3,0,6,394
48,302,71,50,0,6,394
48,61,15,28,46,263,394
48,102,129,105,46,263,394
48,7,22,112,37,6,394
48,7,20,95,222,6,394
