48,381,46,28,407
48,61,15,28,407
48,51,136,28,407
48,5,15,28,407
48,5,11,28,407
48,51,136,28,407
48,5,15,28,407
48,61,15,28,407
48,381,46,28,407
48,51,5,11,28,407
48,61,105,46,28,407
48,5,11,440,28,407
48,7,256,222,283,407
48,5,1,15,28,407
48,247,32,11,28,407
48,7,1,15,28,407
48,51,130,46,28,407
48,5,12,90,28,407
48,51,172,215,28,407
48,5,13,67,28,407
48,5,12,39,28,407
48,5,18,453,28,407
48,302,456,85,283,407
48,5,19,11,28,407
48,51,5,15,28,407
48,333,137,181,28,407
48,5,51,136,28,407
48,247,32,145,28,407
48,7,33,46,28,407
48,337,23,144,28,407
48,5,86,46,28,407
48,337,23,41,28,407
48,5,126,101,28,407
48,5,86,231,28,407
48,5,291,136,28,407
48,7,114,422,283,407
48,5,433,46,28,407
48,96,14,3,498,28,407
48,7,33,23,144,28,407
48,51,177,13,67,28,407
48,337,23,13,67,28,407
48,5,11,3,498,28,407
48,61,105,461,231,28,407
48,5,15,16,183,28,407
48,7,0,3,498,28,407
48,61,15,5,11,28,407
48,5,0,3,498,28,407
48,5,13,3,498,28,407
48,102,129,499,11,28,407
48,96,109,45,11,28,407
48,51,5,11,440,28,407
48,96,14,3,11,28,407
48,7,33,170,46,28,407
48,7,33,23,41,28,407
48,5,12,139,11,28,407
48,51,294,19,11,28,407
48,5,18,6,222,283,407
48,5,12,241,11,28,407
48,51,364,17,101,28,407
48,51,136,158,15,28,407
48,302,71,137,181,28,407
48,5,1,3,498,28,407
48,337,23,33,46,28,407
48,5,1,111,90,28,407
48,5,1,3,11,28,407
48,337,23,40,11,28,407
48,5,1,475,11,28,407
48,5,1,3,59,28,407
48,302,456,85,244,28,407
48,5,1,3,98,28,407
48,5,11,32,145,28,407
48,5,11,3,59,28,407
48,5,11,45,85,283,407
48,5,11,3,98,28,407
48,5,11,49,46,28,407
48,381,46,49,11,28,407
48,5,19,45,11,28,407
48,381,46,52,481,28,407
48,5,19,390,15,28,407
48,5,19,45,85,283,407
48,381,46,110,248,28,407
48,381,46,52,85,283,407
48,5,15,158,136,28,407
48,5,19,11,440,28,407
48,381,46,86,231,28,407
48,7,20,72,404,28,407
48,7,0,1,15,28,407
48,51,5,1,15,28,407
48,7,0,3,11,28,407
48,7,22,137,181,28,407
48,7,20,19,11,28,407
48,61,15,16,183,28,407
48,7,0,5,11,28,407
48,51,5,12,90,28,407
48,7,0,3,59,28,407
48,7,37,259,11,28,407
48,7,22,1,15,28,407
48,7,20,95,222,283,407
48,61,15,158,136,28,407
48,5,51,130,46,28,407
48,5,157,1,15,28,407
48,5,0,1,15,28,407
48,7,0,6,222,283,407
48,7,0,5,15,28,407
48,7,0,17,101,28,407
48,5,0,3,11,28,407
48,7,0,23,144,28,407
48,5,0,3,59,28,407
48,7,0,23,41,28,407
48,5,0,3,98,28,407
48,51,5,13,67,28,407
48,51,5,12,39,28,407
48,51,5,18,453,28,407
48,5,13,23,41,28,407
48,51,5,19,11,28,407
48,5,13,23,144,28,407
48,51,5,86,46,28,407
48,7,0,3,98,28,407
48,51,5,126,101,28,407
48,51,5,86,231,28,407
48,51,5,291,136,28,407
48,5,13,3,11,28,407
48,51,5,433,46,28,407
48,5,13,3,59,28,407
48,122,21,84,358,28,407
48,5,13,3,98,28,407
48,493,9,3,11,28,407
48,122,21,1,15,28,407
48,174,157,1,15,28,407
48,493,9,1,15,28,407
48,493,9,3,59,28,407
48,122,21,52,46,28,407
48,429,286,5,11,28,407
48,174,157,5,11,28,407
48,493,9,32,11,28,407
48,493,9,3,98,28,407
48,122,21,118,11,28,407
48,122,21,52,85,283,407
48,429,286,5,15,28,407
48,174,157,5,15,28,407
48,493,9,292,46,28,407
48,493,9,32,145,28,407
48,493,9,3,498,28,407
48,122,21,52,481,28,407
48,7,478,130,46,28,407
48,7,37,6,222,283,407
48,7,265,23,41,28,407
48,7,37,299,144,28,407
48,7,427,126,101,28,407
48,7,265,23,144,28,407
48,7,272,341,41,28,407
48,102,37,259,11,28,407
48,7,107,12,39,28,407
48,102,37,6,222,283,407
48,7,200,207,41,28,407
48,7,107,12,90,28,407
48,102,37,299,144,28,407
48,102,129,105,46,28,407
48,247,32,11,440,28,407
48,247,32,367,59,28,407
48,96,109,361,11,28,407
48,96,109,45,85,283,407
48,5,51,172,215,28,407
48,7,1,3,498,28,407
48,5,161,1,15,28,407
48,96,14,3,59,28,407
48,7,1,5,11,28,407
48,7,1,3,11,28,407
