48,7,20,74
48,5,363,74
48,7,20,74
48,5,0,94,74
48,51,5,363,74
48,5,13,31,74
48,7,0,94,74
48,5,19,20,74
48,122,21,20,74
48,51,269,20,74
48,7,20,72,31,74
48,51,5,0,94,74
48,51,160,0,94,74
48,5,0,7,20,74
48,7,1,0,94,74
48,51,5,13,31,74
48,7,0,5,363,74
48,51,177,13,31,74
48,5,1,0,94,74
48,51,294,19,20,74
48,5,491,310,20,74
48,5,1,7,20,74
48,5,11,19,20,74
48,5,1,21,20,74
48,5,12,115,20,74
48,5,1,57,31,74
48,5,19,284,20,74
48,7,37,497,20,74
48,5,15,16,31,74
48,5,1,78,20,74
48,7,1,5,363,74
48,381,46,80,31,74
48,51,5,19,20,74
48,5,51,269,20,74
48,7,1,21,20,74
48,5,157,310,20,74
48,7,1,57,31,74
48,5,286,30,20,74
48,7,1,78,20,74
48,429,286,30,20,74
48,381,46,263,94,74
48,102,37,7,20,74
48,429,286,5,363,74
48,174,157,310,20,74
48,102,37,497,20,74
48,61,15,5,363,74
48,174,157,5,363,74
48,337,23,0,94,74
48,61,15,16,31,74
48,337,23,13,31,74
48,429,286,5,0,94,74
48,5,13,31,72,20,74
48,5,13,3,75,31,74
48,5,157,253,13,31,74
48,7,20,30,16,31,74
48,5,1,0,7,20,74
48,51,130,46,80,31,74
48,5,473,33,7,20,74
48,5,286,30,16,31,74
48,51,294,19,5,363,74
48,7,1,3,13,31,74
48,429,286,30,16,31,74
48,51,294,19,284,20,74
48,7,1,15,16,31,74
48,7,1,3,0,94,74
48,429,286,30,128,31,74
48,7,1,127,5,363,74
48,7,1,15,5,363,74
48,7,1,3,75,31,74
48,7,1,69,19,20,74
48,381,46,33,7,20,74
48,122,21,1,0,94,74
48,7,1,97,80,31,74
48,381,46,52,21,20,74
48,122,21,438,0,94,74
48,122,21,1,5,363,74
48,7,1,296,95,20,74
48,51,5,0,7,20,74
48,51,177,13,5,363,74
48,381,46,86,5,363,74
48,122,21,1,7,20,74
48,7,1,157,5,363,74
48,5,1,7,0,94,74
48,381,46,433,5,363,74
48,122,21,1,57,31,74
48,7,1,161,5,363,74
48,51,5,1,0,94,74
48,51,5,19,284,20,74
48,51,160,0,5,363,74
48,7,1,157,310,20,74
48,102,37,7,0,94,74
48,51,269,20,72,31,74
48,5,11,3,13,31,74
48,122,21,1,78,20,74
48,7,1,188,5,363,74
48,122,21,20,72,31,74
48,7,0,5,13,31,74
48,51,5,491,310,20,74
48,51,5,1,7,20,74
48,102,37,6,0,94,74
48,5,51,177,13,31,74
48,61,105,46,80,31,74
48,51,160,0,7,20,74
48,5,11,19,284,20,74
48,5,0,23,13,31,74
48,5,12,107,7,20,74
48,61,15,5,0,94,74
48,174,157,5,0,94,74
48,96,109,45,470,20,74
48,5,11,45,470,20,74
48,174,157,1,0,94,74
48,5,11,3,0,94,74
48,337,23,0,5,363,74
48,61,15,1,0,94,74
48,7,1,44,204,20,74
48,61,15,16,30,20,74
48,7,0,5,19,20,74
48,337,23,33,7,20,74
48,51,5,11,19,20,74
48,5,19,24,0,94,74
48,337,23,13,5,363,74
48,5,19,45,470,20,74
48,429,286,5,13,31,74
48,5,19,54,30,20,74
48,429,286,5,19,20,74
48,51,5,1,21,20,74
48,102,37,70,95,20,74
48,51,5,1,57,31,74
48,102,37,79,464,20,74
48,102,37,70,249,20,74
48,51,5,1,78,20,74
48,102,37,200,7,20,74
48,5,51,160,0,94,74
48,7,33,60,5,363,74
48,5,51,294,19,20,74
48,7,235,50,0,94,74
48,7,33,140,21,20,74
48,7,265,23,0,94,74
48,7,33,23,0,94,74
48,7,256,222,95,20,74
48,7,265,23,13,31,74
48,7,33,46,263,94,74
48,7,33,23,13,31,74
48,7,22,1,57,31,74
48,7,33,473,5,363,74
48,7,33,46,80,31,74
48,7,62,2,0,94,74
48,7,22,1,0,94,74
48,7,107,12,115,20,74
48,7,22,1,5,363,74
48,7,114,173,202,20,74
48,7,107,12,5,363,74
48,7,22,1,21,20,74
48,7,200,37,497,20,74
48,7,114,69,19,20,74
48,7,22,1,78,20,74
48,7,272,24,0,94,74
48,7,114,224,13,31,74
48,7,427,126,5,363,74
48,7,272,309,5,363,74
48,7,272,24,19,20,74
48,5,13,23,0,94,74
48,61,105,46,263,94,74
48,7,37,6,0,94,74
48,5,13,3,0,94,74
48,7,37,70,95,20,74
48,5,0,1,57,31,74
48,7,37,79,464,20,74
48,7,37,70,249,20,74
48,5,0,3,13,31,74
48,5,0,1,7,20,74
48,5,0,99,80,31,74
48,5,0,3,75,31,74
48,5,0,1,21,20,74
48,5,0,24,19,20,74
48,7,1,0,5,363,74
48,5,0,1,78,20,74
48,5,0,438,21,20,74
48,5,15,1,0,94,74
48,5,157,1,0,94,74
48,5,12,2,0,94,74
48,5,15,390,19,20,74
48,5,15,1,7,20,74
48,5,157,1,7,20,74
48,5,12,185,72,20,74
48,5,15,1,21,20,74
48,5,157,1,21,20,74
48,5,12,185,72,31,74
48,5,15,1,57,31,74
48,5,157,1,57,31,74
48,61,15,5,13,31,74
48,5,15,1,78,20,74
48,5,157,1,78,20,74
48,61,15,5,19,20,74
48,7,20,19,5,363,74
48,174,157,5,13,31,74
48,333,137,22,7,20,74
48,5,19,20,72,31,74
48,174,157,5,19,20,74
48,493,9,1,0,94,74
48,5,15,16,30,20,74
48,7,20,30,128,31,74
48,302,71,47,16,31,74
48,493,9,3,0,94,74
48,493,9,1,5,363,74
48,96,14,371,5,363,74
48,96,109,219,21,20,74
48,5,15,16,494,31,74
48,247,32,11,5,363,74
48,302,71,50,0,94,74
48,493,9,270,5,363,74
48,493,9,3,13,31,74
48,493,9,1,7,20,74
48,96,14,2,0,94,74
48,96,109,45,19,20,74
48,5,11,118,21,20,74
48,96,109,238,7,20,74
48,247,32,11,19,20,74
48,302,71,233,234,20,74
48,5,1,3,13,31,74
48,5,11,45,19,20,74
48,174,157,253,13,31,74
48,493,9,316,0,94,74
48,174,157,1,5,363,74
48,493,9,3,75,31,74
48,493,9,1,21,20,74
48,7,1,5,0,94,74
48,51,136,291,5,363,74
48,51,130,478,7,20,74
48,5,11,3,75,31,74
48,96,14,3,0,94,74
48,337,23,0,7,20,74
48,96,14,3,13,31,74
48,61,15,390,19,20,74
48,96,14,3,75,31,74
48,51,130,46,263,94,74
48,61,15,1,5,363,74
48,5,1,15,16,31,74
48,61,15,1,7,20,74
48,5,1,22,7,20,74
48,61,15,1,21,20,74
48,5,1,296,95,20,74
48,61,15,1,57,31,74
48,5,1,44,204,20,74
48,61,15,1,78,20,74
48,5,1,69,19,20,74
48,5,1,3,0,94,74
48,5,1,97,80,31,74
48,5,1,3,75,31,74
48,5,1,157,310,20,74
48,7,0,1,5,363,74
48,5,86,46,80,31,74
48,7,0,24,19,20,74
48,7,0,1,21,20,74
48,5,126,427,7,20,74
48,5,86,46,263,94,74
48,7,0,3,13,31,74
48,7,0,1,57,31,74
48,5,127,1,0,94,74
48,7,0,99,80,31,74
48,7,0,3,75,31,74
48,7,0,1,78,20,74
48,5,161,1,0,94,74
48,5,127,1,7,20,74
48,7,0,23,13,31,74
48,5,188,1,0,94,74
48,5,161,1,7,20,74
48,5,127,1,21,20,74
48,7,0,438,21,20,74
48,5,309,272,7,20,74
48,5,188,1,7,20,74
48,5,161,1,21,20,74
48,5,127,1,57,31,74
48,5,433,46,263,94,74
48,5,188,1,21,20,74
48,5,161,1,57,31,74
48,5,127,1,78,20,74
48,5,18,6,0,94,74
48,5,433,46,80,31,74
48,5,188,1,57,31,74
48,5,161,1,78,20,74
48,5,60,33,7,20,74
48,5,188,1,78,20,74
48,5,66,65,57,31,74
48,5,60,65,57,31,74
48,61,15,16,494,31,74
48,122,413,209,95,20,74
48,337,23,36,30,20,74
48,174,157,1,7,20,74
48,337,23,44,204,20,74
48,174,157,1,21,20,74
