48,5,86
48,51,5,86
48,381,46,86
48,5,433,46,86
48,7,33,46,86
48,5,1,226,86
48,51,130,46,86
48,61,15,5,86
48,7,0,5,86
48,429,286,5,86
48,61,105,46,86
48,174,157,5,86
48,7,1,5,86
48,7,1,226,86
48,381,46,28,231,86
48,7,0,1,5,86
48,5,473,33,46,86
48,61,105,461,231,86
48,7,33,60,5,86
48,51,136,291,5,86
48,96,14,371,5,86
48,174,157,1,5,86
48,51,160,0,5,86
48,51,136,28,231,86
48,493,9,270,5,86
48,51,5,433,46,86
48,174,157,1,226,86
48,51,177,13,5,86
48,7,478,130,46,86
48,51,136,28,46,86
48,102,129,105,46,86
48,493,9,1,5,86
48,61,15,1,5,86
48,7,1,0,5,86
48,381,46,433,5,86
48,7,1,15,5,86
48,51,5,1,226,86
48,7,1,127,5,86
48,51,294,19,5,86
48,7,1,157,5,86
48,7,0,1,226,86
48,7,1,161,5,86
48,7,22,1,5,86
48,7,1,188,5,86
48,7,272,309,5,86
48,7,22,1,226,86
48,7,20,19,5,86
48,5,0,1,226,86
48,7,107,12,5,86
48,5,11,28,46,86
48,7,427,126,5,86
48,5,51,130,46,86
48,5,11,49,46,86
48,5,11,28,231,86
48,337,23,0,5,86
48,5,60,33,46,86
48,7,33,170,46,86
48,247,32,11,5,86
48,337,23,13,5,86
48,5,15,1,226,86
48,7,33,473,5,86
48,122,21,1,226,86
48,493,9,292,46,86
48,337,23,33,46,86
48,5,127,1,226,86
48,5,15,28,46,86
48,493,9,1,226,86
48,5,15,28,231,86
48,122,21,52,46,86
48,122,21,1,5,86
48,61,15,28,231,86
48,61,15,1,226,86
48,61,15,28,46,86
48,5,157,1,226,86
48,5,161,1,226,86
48,5,188,1,226,86
48,51,294,19,11,5,86
48,96,288,35,1,226,86
48,5,15,61,105,46,86
48,122,21,1,0,5,86
48,61,15,390,19,5,86
48,493,9,1,0,5,86
48,122,21,20,19,5,86
48,61,15,28,11,5,86
48,61,15,1,0,5,86
48,5,157,307,33,46,86
48,5,161,227,1,226,86
48,5,83,220,1,226,86
48,96,14,2,12,5,86
48,96,109,45,11,5,86
48,96,288,35,33,46,86
48,96,288,35,1,5,86
48,5,15,349,52,46,86
48,122,21,1,15,5,86
48,61,15,349,52,46,86
48,381,46,33,473,5,86
48,61,15,5,433,46,86
48,7,0,1,15,5,86
48,493,9,1,15,5,86
48,5,433,46,28,231,86
48,174,157,253,13,5,86
48,122,21,118,11,5,86
48,7,22,112,446,46,86
48,429,286,5,433,46,86
48,51,136,158,15,5,86
48,7,1,3,11,5,86
48,61,15,1,127,5,86
48,5,13,3,1,226,86
48,5,83,8,1,226,86
48,51,160,0,1,5,86
48,96,14,3,11,5,86
48,96,14,2,0,5,86
48,7,272,24,0,5,86
48,7,22,1,0,5,86
48,96,109,169,1,5,86
48,96,109,45,19,5,86
48,7,20,30,286,5,86
48,96,288,35,110,46,86
48,7,1,15,28,46,86
48,7,20,19,11,5,86
48,174,157,5,433,46,86
48,122,21,1,127,5,86
48,5,0,3,1,226,86
48,51,364,17,0,5,86
48,174,157,1,0,5,86
48,381,46,49,11,5,86
48,381,46,33,60,5,86
48,61,15,5,1,226,86
48,7,0,1,127,5,86
48,7,1,5,433,46,86
48,493,9,1,127,5,86
48,51,5,473,33,46,86
48,51,130,46,28,231,86
48,51,5,0,1,226,86
48,51,130,46,433,5,86
48,51,5,11,28,46,86
48,7,62,353,442,5,86
48,51,5,60,33,46,86
48,51,5,11,49,46,86
48,51,5,11,28,231,86
48,7,37,345,292,46,86
48,7,62,2,12,5,86
48,51,5,15,1,226,86
48,7,114,69,1,5,86
48,7,37,6,18,5,86
48,7,62,2,0,5,86
48,51,5,127,1,226,86
48,51,5,15,28,46,86
48,7,256,421,417,46,86
48,7,114,224,13,5,86
48,7,114,69,19,5,86
48,7,114,69,1,226,86
48,7,37,299,362,5,86
48,7,37,6,0,5,86
48,51,5,157,1,226,86
48,51,5,15,28,231,86
48,7,235,50,0,5,86
48,7,37,112,446,46,86
48,51,5,161,1,226,86
48,7,265,23,0,5,86
48,7,37,487,1,5,86
48,51,5,188,1,226,86
48,7,265,23,13,5,86
48,7,37,240,105,46,86
48,7,37,487,1,226,86
48,7,265,23,33,46,86
48,7,37,259,11,5,86
48,5,51,136,28,46,86
48,174,157,307,33,46,86
48,5,51,136,28,231,86
48,174,157,310,491,5,86
48,122,21,140,33,46,86
48,7,22,428,51,5,86
48,122,21,438,0,5,86
48,381,46,28,11,5,86
48,5,11,3,1,226,86
48,381,46,28,15,5,86
48,5,11,440,28,231,86
48,429,286,5,1,226,86
48,5,11,475,1,226,86
48,5,11,440,28,46,86
48,51,136,264,161,5,86
48,51,177,409,126,5,86
48,7,1,21,52,46,86
48,7,1,3,0,5,86
48,7,1,97,80,46,86
48,7,1,3,13,5,86
48,7,1,35,33,46,86
48,61,15,1,157,5,86
48,7,1,9,292,46,86
48,7,1,35,110,46,86
48,61,15,1,161,5,86
48,7,1,475,11,5,86
48,7,1,9,270,5,86
48,337,23,0,1,5,86
48,5,270,9,292,46,86
48,61,15,1,188,5,86
48,7,1,8,83,5,86
48,337,23,0,1,226,86
48,5,19,11,28,46,86
48,5,270,483,105,46,86
48,5,270,9,1,226,86
48,7,1,69,19,5,86
48,5,18,453,28,46,86
48,5,19,69,1,226,86
48,5,19,11,49,46,86
48,5,19,11,28,231,86
48,7,1,220,83,5,86
48,5,291,136,28,46,86
48,5,18,453,28,231,86
48,5,13,31,80,46,86
48,51,160,0,1,226,86
48,96,14,3,0,5,86
48,7,1,227,161,5,86
48,5,126,101,28,46,86
48,5,291,136,28,231,86
48,5,13,67,28,46,86
48,96,14,3,1,5,86
48,7,1,236,60,5,86
48,5,12,39,28,46,86
48,337,414,100,1,5,86
48,7,478,130,51,5,86
48,5,60,236,1,226,86
48,5,126,101,28,231,86
48,5,60,33,170,46,86
48,5,13,23,33,46,86
48,5,13,67,28,231,86
48,96,14,3,13,5,86
48,7,0,2,12,5,86
48,51,136,28,11,5,86
48,7,272,24,19,5,86
48,96,14,3,1,226,86
