4,3,8
4,0,1,8
4,3,1,8
4,301,100,8
4,3,133,8
4,0,3,8
4,0,148,8
4,0,1,3,8
4,3,1,93,8
4,0,3,1,8
4,0,2,10,8
4,113,15,1,8
4,0,1,93,8
4,3,1,100,8
4,0,3,133,8
4,0,1,100,8
4,3,1,191,8
4,0,1,191,8
4,3,1,317,8
4,0,1,317,8
4,301,100,1,8
4,0,5,83,8
4,3,0,1,8
4,0,7,1,8
4,257,11,3,8
4,0,5,1,8
4,3,9,1,8
4,3,0,148,8
4,3,287,1,8
4,0,239,352,8
4,3,392,1,8
4,0,6,3,8
4,42,6,3,8
4,0,260,100,8
4,147,47,3,8
4,3,0,2,10,8
4,3,9,1,93,8
4,0,6,3,1,8
4,0,260,100,1,8
4,3,9,77,228,8
4,3,287,1,93,8
4,0,5,1,3,8
4,3,47,16,10,8
4,113,15,1,3,8
4,0,3,9,1,8
4,0,1,3,133,8
4,0,6,225,26,8
4,3,287,1,100,8
4,3,1,21,26,8
4,0,1,287,3,8
4,42,81,5,83,8
4,3,1,0,148,8
4,0,1,392,3,8
4,42,463,116,1,8
4,42,81,5,1,8
4,3,1,5,83,8
4,0,1,9,3,8
4,42,6,0,1,8
4,3,1,220,83,8
4,0,1,5,83,8
4,113,15,5,1,8
4,42,6,225,26,8
4,42,6,0,3,8
4,0,1,220,83,8
4,113,15,16,10,8
4,113,15,5,83,8
4,42,6,3,1,8
4,0,17,103,213,8
4,42,6,0,148,8
4,0,1,21,26,8
4,301,100,1,3,8
4,159,37,70,26,8
4,147,47,16,10,8
4,0,3,1,93,8
4,3,0,1,93,8
4,3,392,1,93,8
4,147,47,3,1,8
4,3,0,5,83,8
4,42,6,3,133,8
4,0,34,152,1,8
4,0,17,6,3,8
4,3,0,1,100,8
4,3,392,1,100,8
4,3,9,1,100,8
4,0,6,3,133,8
4,301,100,1,93,8
4,0,2,14,3,8
4,257,11,3,1,8
4,159,37,6,3,8
4,0,5,1,93,8
4,147,47,55,26,8
4,3,6,225,26,8
4,0,3,1,100,8
4,3,11,475,1,8
4,3,6,0,1,8
4,0,3,1,191,8
4,3,13,320,26,8
4,3,11,5,1,8
4,3,6,0,148,8
4,0,3,1,317,8
4,3,327,22,1,8
4,3,13,5,1,8
4,3,11,5,83,8
4,3,416,157,1,8
4,3,13,5,83,8
4,3,14,2,10,8
4,147,47,3,133,8
4,3,47,55,26,8
4,3,0,7,1,8
4,3,47,125,26,8
4,3,0,239,352,8
4,3,0,5,1,8
4,3,0,260,100,8
4,0,5,1,100,8
4,0,7,22,1,8
4,0,5,1,191,8
4,0,7,200,484,8
4,0,5,1,317,8
4,0,7,1,3,8
4,113,15,1,93,8
4,0,7,1,93,8
4,113,15,1,100,8
4,0,7,1,100,8
4,113,15,1,191,8
4,0,7,1,191,8
4,113,15,1,317,8
4,0,7,1,317,8
4,0,143,124,100,8
4,0,17,63,87,8
4,0,316,9,1,8
4,0,3,287,1,8
4,0,23,13,3,8
4,0,316,9,3,8
4,0,3,392,1,8
4,0,438,21,1,8
4,0,23,44,1,8
4,0,50,44,1,8
4,0,438,21,26,8
4,3,0,1,191,8
4,0,56,44,1,8
4,3,392,1,191,8
4,3,0,1,317,8
4,3,9,1,191,8
4,3,392,1,317,8
4,257,11,5,1,8
4,3,9,1,317,8
4,301,100,1,191,8
4,257,11,475,1,8
4,257,11,5,83,8
4,301,100,1,317,8
4,0,2,29,26,8
4,257,11,3,133,8
4,0,5,11,3,8
4,159,37,7,1,8
4,3,287,1,191,8
4,0,5,13,3,8
4,159,37,200,484,8
4,3,287,1,317,8
4,0,5,15,1,8
4,159,37,487,1,8
4,147,47,125,26,8
4,0,5,127,1,8
4,0,5,157,1,8
4,0,5,161,1,8
4,0,5,188,1,8
4,3,1,0,2,10,8
4,301,100,1,3,133,8
4,0,3,392,1,93,8
4,3,327,479,225,26,8
4,3,6,18,5,1,8
4,42,463,116,1,3,8
4,0,260,100,1,3,8
4,3,327,22,7,1,8
4,3,13,306,91,10,8
4,0,1,392,3,133,8
4,42,82,67,13,3,8
4,3,11,5,0,1,8
4,3,1,21,89,10,8
4,42,463,116,435,213,8
4,3,416,157,5,1,8
4,42,81,5,0,1,8
4,3,13,5,0,1,8
4,3,75,31,128,243,8
4,3,13,5,1,93,8
4,42,81,5,11,3,8
4,42,81,5,0,3,8
4,3,13,5,15,1,8
4,3,13,5,0,148,8
4,3,498,28,356,10,8
4,3,75,31,16,10,8
4,3,13,5,1,100,8
4,42,81,5,13,3,8
4,42,81,5,0,148,8
4,3,13,5,127,1,8
4,3,290,60,5,1,8
4,3,498,28,15,1,8
4,3,75,31,57,1,8
4,3,13,5,1,191,8
4,42,81,5,15,1,8
4,3,13,5,157,1,8
4,3,25,19,5,1,8
4,3,290,60,236,1,8
4,3,290,60,5,83,8
4,3,13,5,1,317,8
4,42,81,5,127,1,8
4,3,9,77,35,1,8
4,3,13,5,161,1,8
4,3,250,211,242,133,8
4,3,25,338,120,10,8
4,3,25,19,69,1,8
4,3,25,19,5,83,8
4,42,81,5,157,1,8
4,3,13,5,188,1,8
4,0,6,3,1,93,8
4,3,14,371,5,1,8
4,3,14,2,0,1,8
4,3,372,253,157,1,8
4,3,250,347,7,1,8
4,3,250,211,239,352,8
4,0,239,211,6,3,8
4,147,47,3,0,1,8
4,3,1,5,0,148,8
4,0,6,3,1,100,8
4,3,327,22,1,93,8
4,301,308,19,5,83,8
4,42,81,5,161,1,8
4,0,1,9,77,228,8
4,3,0,7,22,1,8
4,3,47,312,78,1,8
4,3,14,371,5,83,8
4,3,14,2,29,26,8
4,3,327,22,1,100,8
4,3,0,5,15,1,8
4,3,0,6,225,26,8
4,0,316,9,1,3,8
4,0,316,9,3,1,8
4,3,14,2,0,148,8
4,3,281,38,9,1,8
4,42,6,0,1,3,8
4,3,0,260,100,1,8
4,0,239,211,242,133,8
4,147,47,3,9,1,8
4,147,47,3,0,148,8
4,3,1,157,344,26,8
4,0,7,22,91,10,8
4,0,6,3,1,191,8
4,301,308,19,11,3,8
4,3,6,0,5,1,8
4,3,133,217,22,1,8
4,113,15,5,1,3,8
4,0,7,33,140,267,8
4,301,308,19,5,1,8
4,42,81,5,188,1,8
4,0,5,1,220,83,8
4,3,416,157,1,93,8
4,3,0,7,200,484,8
4,0,5,83,220,1,8
4,3,47,71,116,1,8
4,3,11,5,1,93,8
4,3,0,7,1,93,8
4,113,15,1,0,3,8
4,3,327,22,1,191,8
4,3,416,157,1,100,8
4,0,1,287,3,133,8
4,0,7,1,5,83,8
4,3,0,5,127,1,8
4,0,5,1,3,133,8
4,3,0,17,103,213,8
4,3,6,0,1,93,8
4,0,143,274,44,1,8
4,0,143,124,100,1,8
4,0,316,9,1,93,8
4,0,316,9,3,133,8
4,0,17,34,152,1,8
4,0,23,13,3,1,8
4,3,59,28,15,1,8
4,42,6,0,1,93,8
4,0,7,1,3,133,8
4,42,6,0,3,1,8
4,0,239,211,250,3,8
4,0,316,9,1,100,8
4,147,47,3,287,1,8
4,42,81,5,1,3,8
4,0,260,330,11,3,8
4,3,1,22,217,133,8
4,42,6,0,1,100,8
4,42,6,17,63,87,8
4,3,1,157,5,83,8
4,0,7,22,217,133,8
4,3,47,125,182,26,8
4,0,7,22,1,3,8
4,0,3,287,1,93,8
4,0,6,3,1,317,8
4,301,308,19,25,3,8
4,3,6,0,7,1,8
