51,136
51,5,291,136
51,130,46,28,136
51,5,11,28,136
51,172,215,28,136
51,5,15,28,136
51,48,5,291,136
51,5,161,264,136
51,5,15,158,136
51,5,11,440,28,136
51,294,19,11,28,136
51,48,61,15,28,136
51,160,0,5,291,136
51,294,19,5,291,136
51,48,381,46,28,136
51,48,61,15,158,136
51,48,5,11,28,136
51,177,13,5,291,136
51,5,1,15,158,136
51,364,17,101,28,136
51,177,13,67,28,136
51,5,433,46,28,136
51,5,1,161,264,136
51,5,1,15,28,136
51,5,13,67,28,136
51,48,5,15,28,136
51,5,18,453,28,136
51,48,5,161,264,136
51,48,5,15,158,136
51,5,12,39,28,136
51,5,86,231,28,136
51,5,12,90,28,136
51,5,19,11,28,136
51,5,86,46,28,136
51,5,126,101,28,136
51,177,409,126,5,291,136
51,177,13,5,11,28,136
51,5,11,3,498,28,136
51,5,19,390,15,28,136
51,5,19,11,440,28,136
51,294,19,5,11,28,136
51,5,15,1,161,264,136
51,5,0,1,161,264,136
51,5,11,28,15,158,136
51,177,409,126,101,28,136
51,177,13,5,15,28,136
51,172,132,45,11,28,136
51,366,44,23,144,28,136
51,5,11,32,145,28,136
51,5,11,3,59,28,136
51,364,17,0,5,291,136
51,5,19,45,11,28,136
51,130,46,86,231,28,136
51,177,13,3,59,28,136
51,5,19,390,15,158,136
51,294,19,5,15,28,136
51,294,19,11,5,291,136
51,5,15,16,183,28,136
51,5,48,381,46,28,136
51,48,61,105,46,28,136
51,5,1,227,161,264,136
51,5,48,61,15,28,136
51,5,0,17,101,28,136
51,5,1,431,190,158,136
51,5,48,61,15,158,136
51,5,0,23,41,28,136
51,5,1,111,90,28,136
51,5,0,1,15,28,136
51,5,0,3,11,28,136
51,5,0,23,144,28,136
51,5,1,3,11,28,136
51,5,0,1,15,158,136
51,5,0,3,59,28,136
51,5,1,475,11,28,136
51,5,1,3,59,28,136
51,130,46,28,15,158,136
51,5,0,3,98,28,136
51,177,13,5,161,264,136
51,5,1,3,98,28,136
51,5,0,3,498,28,136
51,5,1,3,498,28,136
51,160,0,17,101,28,136
51,294,19,390,15,28,136
51,160,0,1,5,291,136
51,294,19,45,11,28,136
51,294,19,390,15,158,136
51,160,0,3,11,28,136
51,160,0,1,15,28,136
51,160,0,23,41,28,136
51,160,0,3,59,28,136
51,160,0,1,161,264,136
51,160,0,1,15,158,136
51,177,13,5,15,158,136
51,172,376,32,11,28,136
51,428,22,137,181,28,136
51,160,0,23,144,28,136
51,160,0,3,98,28,136
51,366,44,1,5,291,136
51,366,44,23,41,28,136
51,172,376,32,145,28,136
51,262,27,17,101,28,136
51,428,22,1,5,291,136
51,48,333,137,181,28,136
51,5,11,49,46,28,136
51,160,0,3,498,28,136
51,366,44,1,15,28,136
51,48,5,433,46,28,136
51,5,11,3,98,28,136
51,269,20,19,11,28,136
51,262,27,23,41,28,136
51,364,17,186,387,28,136
51,428,22,1,15,28,136
51,48,7,1,15,158,136
51,5,13,3,59,28,136
51,48,61,15,5,291,136
51,130,46,49,11,28,136
51,366,44,1,161,264,136
51,366,44,1,15,158,136
51,48,5,19,11,28,136
51,130,46,86,5,291,136
51,269,20,72,404,28,136
51,269,20,19,5,291,136
51,177,13,23,41,28,136
51,262,27,23,144,28,136
51,177,13,23,144,28,136
51,177,13,3,11,28,136
51,364,17,63,46,28,136
51,177,13,3,98,28,136
51,160,0,5,11,28,136
51,177,13,3,498,28,136
51,160,0,5,15,28,136
51,172,215,28,15,158,136
51,160,0,5,161,264,136
51,160,0,5,15,158,136
51,428,22,1,161,264,136
51,428,22,1,15,158,136
51,48,247,32,11,28,136
51,48,7,33,46,28,136
51,48,337,23,41,28,136
51,48,247,32,145,28,136
51,48,7,0,5,291,136
51,48,7,33,190,158,136
51,48,174,157,5,291,136
51,48,337,23,144,28,136
51,48,429,286,5,291,136
51,5,161,1,15,28,136
51,294,19,5,161,264,136
51,5,161,1,15,158,136
51,48,7,1,5,291,136
51,48,7,1,15,28,136
51,48,7,1,161,264,136
51,294,19,5,15,158,136
51,5,13,23,41,28,136
51,5,13,3,11,28,136
51,5,13,23,144,28,136
51,5,13,3,98,28,136
51,48,5,11,440,28,136
51,5,13,3,498,28,136
51,294,19,11,440,28,136
51,130,46,52,481,28,136
51,5,12,139,11,28,136
51,130,46,33,190,158,136
51,5,12,241,11,28,136
51,130,46,110,248,28,136
51,5,157,1,15,28,136
51,130,46,433,5,291,136
51,5,188,1,15,28,136
51,5,157,1,161,264,136
51,5,157,1,15,158,136
51,5,127,1,15,158,136
51,5,188,1,161,264,136
51,5,188,1,15,158,136
51,5,362,299,144,28,136
51,5,127,1,161,264,136
51,5,127,1,15,28,136
51,5,60,33,46,28,136
51,48,5,12,39,28,136
51,5,473,33,46,28,136
51,5,60,33,190,158,136
51,48,5,86,46,28,136
51,48,5,12,90,28,136
51,5,473,33,190,158,136
51,48,5,13,67,28,136
51,48,5,86,231,28,136
51,48,5,18,453,28,136
51,48,5,1,15,28,136
51,48,5,126,101,28,136
51,48,5,1,161,264,136
51,48,5,1,15,158,136
51,5,86,46,33,190,158,136
51,160,0,5,11,440,28,136
51,48,61,105,461,231,28,136
51,172,215,28,11,5,291,136
51,172,215,28,15,5,291,136
51,160,0,5,433,46,28,136
51,428,22,1,3,498,28,136
51,428,22,1,161,5,291,136
51,428,22,1,15,5,291,136
51,177,13,23,0,5,291,136
51,177,409,126,5,11,28,136
51,48,247,32,11,5,291,136
51,5,11,440,28,15,158,136
51,48,5,19,11,440,28,136
51,269,20,19,45,11,28,136
51,5,0,1,227,161,264,136
51,48,247,32,367,59,28,136
51,177,13,5,11,440,28,136
51,48,7,22,1,161,264,136
51,48,7,0,17,101,28,136
51,48,7,0,5,11,28,136
51,48,7,33,23,144,28,136
51,48,5,19,390,15,28,136
51,5,86,46,28,15,158,136
51,5,0,4,113,15,158,136
51,48,174,157,1,15,28,136
51,48,174,157,5,11,28,136
51,48,337,23,13,67,28,136
51,5,0,3,11,440,28,136
51,48,493,9,3,11,28,136
51,5,0,23,13,67,28,136
51,5,161,227,1,15,28,136
51,5,161,1,431,190,158,136
51,269,20,19,5,11,28,136
51,364,17,101,28,15,158,136
51,294,19,5,433,46,28,136
51,5,19,11,28,15,158,136
51,294,19,11,28,15,158,136
51,48,7,1,15,5,291,136
51,5,1,3,11,440,28,136
51,48,7,1,3,498,28,136
51,48,7,1,161,5,291,136
51,262,27,23,13,67,28,136
51,48,5,11,3,498,28,136
51,5,13,3,1,15,28,136
51,294,19,11,3,498,28,136
51,177,13,31,16,183,28,136
51,130,46,52,85,244,28,136
51,294,19,5,11,440,28,136
51,5,12,139,348,248,28,136
51,130,46,28,11,5,291,136
51,364,17,179,45,11,28,136
51,5,15,1,227,161,264,136
51,130,46,28,15,5,291,136
51,364,17,313,19,11,28,136
51,364,17,179,268,5,291,136
51,5,15,1,431,190,158,136
51,364,17,27,23,41,28,136
51,364,17,313,19,5,291,136
51,5,15,1,111,90,28,136
51,364,17,6,0,5,291,136
51,364,17,27,23,144,28,136
51,5,15,1,3,11,28,136
51,364,17,34,0,5,291,136
51,364,17,6,3,498,28,136
51,5,15,1,475,11,28,136
51,5,15,1,3,59,28,136
51,364,17,76,19,5,291,136
51,364,17,6,18,5,291,136
51,364,17,6,3,11,28,136
51,5,15,1,3,98,28,136
51,364,17,64,23,41,28,136
51,364,17,76,19,11,28,136
51,364,17,6,18,453,28,136
51,364,17,6,3,59,28,136
51,5,15,1,3,498,28,136
51,364,17,319,45,11,28,136
51,364,17,64,23,144,28,136
51,364,17,6,3,98,28,136
51,5,12,139,11,440,28,136
51,130,46,33,473,5,291,136
51,364,17,101,126,5,291,136
51,5,12,185,72,404,28,136
51,130,46,33,23,41,28,136
51,177,13,5,433,46,28,136
51,5,12,73,84,358,28,136
51,130,46,33,60,5,291,136
51,130,46,33,23,144,28,136
51,177,13,5,12,39,28,136
51,5,12,2,10,356,28,136
51,5,12,241,11,440,28,136
51,177,13,5,18,453,28,136
51,177,13,5,12,90,28,136
51,5,12,334,10,356,28,136
51,177,13,5,86,231,28,136
51,5,0,17,186,387,28,136
51,5,12,189,45,11,28,136
51,177,13,5,1,15,28,136
51,177,13,5,86,46,28,136
51,5,0,17,63,46,28,136
51,177,13,5,19,11,28,136
51,177,13,5,1,161,264,136
51,177,13,5,1,15,158,136
51,177,13,5,126,101,28,136
51,5,19,11,3,498,28,136
51,177,13,67,28,15,158,136
51,5,0,3,1,15,28,136
51,5,19,11,49,46,28,136
51,5,19,11,3,59,28,136
51,5,0,3,13,67,28,136
51,5,0,3,1,161,264,136
51,5,0,3,1,15,158,136
51,5,19,11,32,145,28,136
51,5,157,416,3,11,28,136
51,269,20,7,48,5,291,136
51,5,19,11,3,98,28,136
51,5,0,3,346,248,28,136
51,48,7,1,5,11,28,136
51,5,157,307,33,46,28,136
51,5,157,416,3,59,28,136
51,269,20,115,12,5,291,136
51,269,20,7,0,5,291,136
51,48,7,1,5,15,28,136
51,5,157,476,299,144,28,136
51,5,157,307,33,190,158,136
51,5,157,416,3,98,28,136
51,269,20,21,1,161,264,136
51,269,20,115,12,39,28,136
51,269,20,7,1,15,28,136
51,5,1,164,45,11,28,136
51,48,7,1,5,161,264,136
51,48,7,1,5,15,158,136
51,5,157,253,13,67,28,136
51,5,157,416,3,498,28,136
51,269,20,78,1,15,28,136
51,269,20,21,52,481,28,136
51,269,20,21,1,5,291,136
51,269,20,115,12,90,28,136
51,269,20,7,33,46,28,136
51,269,20,7,1,5,291,136
51,269,20,7,1,15,158,136
51,5,86,226,1,15,28,136
51,5,1,226,86,231,28,136
51,130,46,105,61,15,28,136
51,269,20,74,363,5,291,136
51,5,1,3,13,67,28,136
51,269,20,78,1,5,291,136
51,269,20,78,1,15,158,136
51,269,20,21,84,358,28,136
51,130,46,433,5,11,28,136
51,5,188,368,299,144,28,136
51,269,20,21,52,46,28,136
51,269,20,21,1,15,28,136
51,269,20,7,33,190,158,136
51,269,20,7,1,161,264,136
51,5,86,226,1,161,264,136
51,5,86,226,1,15,158,136
51,5,1,21,118,11,28,136
51,5,1,226,86,46,28,136
51,130,46,170,33,190,158,136
51,130,46,105,461,231,28,136
51,160,0,1,5,11,28,136
51,5,433,46,86,231,28,136
51,5,126,101,28,15,158,136
51,130,46,105,61,15,158,136
51,294,19,11,5,15,28,136
51,269,20,30,286,5,291,136
51,5,188,1,227,161,264,136
51,5,1,3,346,248,28,136
51,269,20,78,1,161,264,136
51,177,13,3,11,5,291,136
51,5,48,61,105,46,28,136
51,269,20,21,118,11,28,136
51,130,46,433,5,15,28,136
51,294,19,24,0,5,291,136
51,5,157,1,227,161,264,136
51,5,13,168,311,11,28,136
51,294,19,45,11,5,291,136
51,5,127,1,227,161,264,136
51,269,20,21,1,15,158,136
51,5,1,475,11,440,28,136
51,294,19,45,85,244,28,136
51,5,60,449,332,11,28,136
51,5,1,22,137,181,28,136
51,5,1,21,52,46,28,136
51,5,1,15,16,183,28,136
51,294,19,390,15,5,291,136
51,130,46,381,48,5,291,136
51,160,0,17,186,387,28,136
51,364,17,63,106,41,28,136
51,5,12,90,28,15,158,136
51,160,0,3,11,5,291,136
51,160,0,1,5,15,28,136
51,5,13,3,11,440,28,136
51,5,433,46,33,190,158,136
51,5,83,220,1,15,28,136
51,5,13,23,33,46,28,136
51,5,60,33,23,41,28,136
51,294,19,11,5,161,264,136
51,5,433,46,28,15,158,136
51,294,19,11,5,15,158,136
51,269,20,201,82,67,28,136
51,5,48,247,32,11,28,136
51,269,20,30,16,15,28,136
51,177,13,3,0,5,291,136
51,130,46,86,5,11,28,136
51,48,5,12,139,11,28,136
51,5,473,33,23,41,28,136
51,48,5,13,3,59,28,136
51,5,188,1,431,190,158,136
51,177,13,3,11,440,28,136
51,130,46,433,5,161,264,136
51,130,46,433,5,15,158,136
51,294,19,25,221,314,264,136
51,5,13,67,28,15,158,136
51,172,132,30,286,5,291,136
51,5,157,1,431,190,158,136
51,5,13,31,72,404,28,136
51,5,13,168,45,11,28,136
51,160,0,1,188,5,291,136
51,294,19,45,11,440,28,136
51,5,127,1,431,190,158,136
51,160,0,7,48,5,291,136
51,172,132,45,19,5,291,136
51,160,0,1,161,5,291,136
51,294,19,45,355,161,264,136
51,130,478,7,1,15,28,136
51,160,0,1,15,5,291,136
51,5,60,290,3,498,28,136
51,5,18,453,28,15,158,136
51,172,376,402,45,11,28,136
51,48,381,46,28,15,158,136
51,48,5,0,23,41,28,136
51,5,1,287,324,11,28,136
51,5,1,21,84,358,28,136
51,48,5,1,227,161,264,136
51,5,1,21,52,481,28,136
51,172,132,45,11,5,291,136
51,130,46,163,489,144,28,136
51,160,0,17,63,46,28,136
51,172,376,32,11,5,291,136
51,5,86,46,49,11,28,136
51,364,17,63,163,46,28,136
51,160,0,23,13,67,28,136
51,160,0,3,11,440,28,136
51,160,0,1,5,161,264,136
51,160,0,1,5,15,158,136
51,5,433,46,49,11,28,136
51,160,0,5,13,67,28,136
51,5,270,483,105,46,28,136
51,5,83,8,1,15,158,136
51,5,83,220,1,161,264,136
51,5,83,220,1,15,158,136
51,5,13,23,40,11,28,136
51,5,13,23,33,190,158,136
51,5,12,39,28,15,158,136
51,366,44,50,0,5,291,136
51,428,22,1,227,161,264,136
51,428,22,1,3,11,28,136
51,5,60,33,170,46,28,136
51,5,60,33,23,144,28,136
51,177,13,23,33,46,28,136
51,269,20,284,19,5,291,136
51,177,409,126,5,15,28,136
51,5,48,7,1,161,264,136
51,5,48,247,32,145,28,136
51,5,11,32,367,59,28,136
51,366,44,1,5,11,28,136
51,366,44,23,33,190,158,136
51,269,20,30,16,183,28,136
51,269,20,30,16,15,158,136
51,48,247,32,11,440,28,136
51,177,13,3,1,15,28,136
51,130,46,86,5,15,28,136
51,48,5,12,241,11,28,136
51,172,376,32,367,59,28,136
51,269,20,19,390,15,28,136
51,5,473,33,170,46,28,136
51,5,473,33,23,144,28,136
51,48,5,13,23,41,28,136
51,48,5,13,3,11,28,136
51,5,188,1,111,90,28,136
51,5,18,6,3,11,28,136
51,428,22,1,5,11,28,136
51,5,18,6,17,101,28,136
51,5,18,6,3,59,28,136
51,428,22,1,5,15,28,136
51,5,18,6,3,98,28,136
51,428,22,1,5,161,264,136
51,428,22,1,5,15,158,136
51,5,18,6,3,498,28,136
51,5,0,1,431,190,158,136
51,294,19,20,72,404,28,136
51,5,0,1,3,11,28,136
51,294,19,69,1,15,28,136
51,5,0,1,475,11,28,136
51,5,0,1,3,59,28,136
51,294,19,313,17,101,28,136
51,294,19,69,255,11,28,136
51,294,19,69,1,5,291,136
51,294,19,69,1,15,158,136
51,5,0,1,111,90,28,136
51,5,0,1,3,98,28,136
51,294,19,76,17,101,28,136
51,294,19,69,1,161,264,136
51,5,0,1,3,498,28,136
51,294,19,25,3,498,28,136
51,262,27,17,0,5,291,136
51,294,19,25,3,11,28,136
51,262,27,17,186,387,28,136
51,294,19,25,3,59,28,136
51,262,27,17,63,46,28,136
51,294,19,25,3,98,28,136
51,48,7,478,130,46,28,136
51,48,7,22,137,181,28,136
51,48,7,200,207,41,28,136
51,172,132,30,16,15,28,136
51,48,7,265,23,41,28,136
51,172,132,30,16,183,28,136
51,172,132,30,16,15,158,136
51,48,7,427,126,5,291,136
51,48,7,265,23,144,28,136
51,48,7,20,19,5,291,136
51,48,7,427,126,101,28,136
51,48,7,37,299,144,28,136
51,48,7,20,72,404,28,136
51,48,7,20,19,11,28,136
51,48,7,272,341,41,28,136
51,48,7,37,259,11,28,136
51,48,7,107,12,5,291,136
51,48,7,272,309,5,291,136
51,48,7,107,12,39,28,136
51,48,7,22,1,5,291,136
51,48,7,107,12,90,28,136
51,48,7,22,1,15,28,136
