5,13,278
5,0,3,13,278
5,1,3,13,278
5,0,17,103,278
5,11,3,13,278
5,0,23,13,278
5,157,253,13,278
5,51,177,13,278
5,157,1,3,13,278
5,436,383,23,13,278
5,51,364,17,103,278
5,157,416,3,13,278
5,11,28,67,13,278
5,0,2,62,103,278
5,11,40,23,13,278
5,0,34,17,103,278
5,11,45,168,13,278
5,0,6,17,103,278
5,11,311,168,13,278
5,0,1,3,13,278
5,0,6,3,13,278
5,12,2,62,103,278
5,0,7,62,103,278
5,1,35,340,103,278
5,15,16,31,13,278
5,0,4,3,13,278
5,19,45,168,13,278
5,15,1,3,13,278
5,0,175,23,13,278
5,473,33,23,13,278
5,19,76,17,103,278
5,15,28,67,13,278
5,48,337,23,13,278
5,19,11,3,13,278
5,126,409,177,13,278
5,48,7,62,103,278
5,1,57,31,13,278
5,19,25,3,13,278
5,268,179,17,103,278
5,126,101,17,103,278
5,48,51,177,13,278
5,1,0,3,13,278
5,19,313,17,103,278
5,442,353,62,103,278
5,1,7,62,103,278
5,1,0,17,103,278
5,1,8,213,103,278
5,1,0,23,13,278
5,1,9,3,13,278
5,1,8,3,13,278
5,1,287,3,13,278
5,83,8,213,103,278
5,1,392,3,13,278
5,18,6,17,103,278
5,83,8,3,13,278
5,1,44,23,13,278
5,371,14,3,13,278
5,18,6,3,13,278
5,1,157,253,13,278
5,270,9,3,13,278
5,363,74,31,13,278
5,60,33,23,13,278
5,188,1,3,13,278
5,60,290,3,13,278
5,127,1,3,13,278
5,161,1,3,13,278
5,1,7,0,3,13,278
5,15,1,35,340,103,278
5,1,0,2,62,103,278
5,83,8,1,3,13,278
5,18,453,28,67,13,278
5,83,220,1,3,13,278
5,371,466,424,23,13,278
5,371,14,2,62,103,278
5,18,6,0,3,13,278
5,1,111,385,434,103,278
5,0,148,8,213,103,278
5,1,157,416,3,13,278
5,473,33,7,62,103,278
5,270,9,1,3,13,278
5,15,16,494,31,13,278
5,0,2,14,3,13,278
5,1,35,33,23,13,278
5,157,1,35,340,103,278
5,0,3,6,17,103,278
5,15,390,424,23,13,278
5,60,33,7,62,103,278
5,19,45,11,3,13,278
5,11,45,179,17,103,278
5,15,28,11,3,13,278
5,19,45,179,17,103,278
5,11,45,319,17,103,278
5,15,28,41,23,13,278
5,19,45,319,17,103,278
5,188,1,35,340,103,278
5,15,28,59,3,13,278
5,1,8,26,320,13,278
5,188,1,57,31,13,278
5,15,28,98,3,13,278
5,1,8,133,3,13,278
5,188,1,0,3,13,278
5,15,28,101,17,103,278
5,1,8,391,340,103,278
5,188,1,7,62,103,278
5,188,1,0,17,103,278
5,15,28,144,23,13,278
5,188,1,8,213,103,278
5,188,1,0,23,13,278
5,15,28,498,3,13,278
5,188,1,9,3,13,278
5,188,1,8,3,13,278
5,13,3,0,17,103,278
5,188,1,287,3,13,278
5,60,230,203,305,13,278
5,157,253,372,3,13,278
5,13,23,0,17,103,278
5,13,3,6,17,103,278
5,188,1,392,3,13,278
5,60,236,357,23,13,278
5,13,23,27,17,103,278
5,13,3,8,213,103,278
5,188,1,44,23,13,278
5,60,65,57,31,13,278
5,60,236,1,3,13,278
5,13,23,64,17,103,278
5,188,1,157,253,13,278
5,11,28,98,3,13,278
5,0,17,27,23,13,278
5,127,1,35,340,103,278
5,309,486,406,17,103,278
5,11,28,101,17,103,278
5,0,17,6,3,13,278
5,127,1,57,31,13,278
5,81,42,4,3,13,278
5,309,272,7,62,103,278
5,11,28,144,23,13,278
5,0,17,64,23,13,278
5,127,1,0,3,13,278
5,86,46,63,17,103,278
5,81,42,6,3,13,278
5,11,3,0,17,103,278
5,19,11,28,67,13,278
5,11,19,76,17,103,278
5,161,227,1,3,13,278
5,161,1,35,340,103,278
5,11,28,498,3,13,278
5,1,7,114,224,13,278
5,127,1,7,62,103,278
5,127,1,0,17,103,278
5,1,7,0,17,103,278
5,66,65,57,31,13,278
5,86,226,1,3,13,278
5,86,46,28,67,13,278
5,15,1,57,31,13,278
5,81,42,82,67,13,278
5,81,42,6,17,103,278
5,48,7,0,3,13,278
5,1,0,6,17,103,278
5,11,3,75,31,13,278
5,11,3,0,23,13,278
5,19,11,45,168,13,278
5,11,257,4,3,13,278
