60,33,35,415
60,5,1,35,415
60,236,1,35,415
60,5,0,1,35,415
60,33,7,1,35,415
60,5,15,1,35,415
60,65,57,1,35,415
60,33,46,110,35,415
60,195,131,33,35,415
60,33,7,37,70,415
60,5,127,1,35,415
60,290,3,1,35,415
60,5,157,1,35,415
60,5,161,1,35,415
60,5,188,1,35,415
60,5,473,33,35,415
60,33,35,342,171,70,415
60,290,3,0,1,35,415
60,65,66,5,1,35,415
60,5,157,307,33,35,415
60,230,273,127,1,35,415
60,236,1,487,37,70,415
60,5,1,487,37,70,415
60,5,161,227,1,35,415
60,5,0,3,1,35,415
60,33,176,9,77,35,415
60,5,11,40,171,70,415
60,5,0,6,37,70,415
60,33,190,431,1,35,415
60,33,176,9,1,35,415
60,5,13,320,26,70,415
60,5,11,3,1,35,415
60,5,0,7,1,35,415
60,33,307,157,1,35,415
60,5,19,20,95,70,415
60,5,13,3,1,35,415
60,5,11,45,166,35,415
60,5,0,23,33,35,415
60,5,0,7,33,35,415
60,195,131,441,1,35,415
60,290,3,6,37,70,415
60,33,140,21,26,70,415
60,5,48,102,37,70,415
60,5,19,45,166,35,415
60,5,19,20,249,70,415
60,5,13,23,33,35,415
60,5,157,344,26,70,415
60,5,11,259,37,70,415
60,33,7,20,95,70,415
60,5,11,475,1,35,415
60,33,7,22,138,70,415
60,33,7,20,249,70,415
60,33,7,200,37,70,415
60,33,7,22,1,35,415
60,33,7,0,1,35,415
60,230,203,111,1,35,415
60,33,7,256,369,35,415
60,5,0,7,37,70,415
60,290,3,8,1,35,415
60,33,121,211,237,35,415
60,290,3,9,1,35,415
60,290,3,8,26,70,415
60,33,170,46,110,35,415
60,290,3,287,1,35,415
60,290,3,9,77,35,415
60,33,23,0,1,35,415
60,290,3,392,1,35,415
60,33,131,441,1,35,415
60,33,23,40,171,70,415
60,33,153,40,171,70,415
60,236,357,23,33,35,415
60,33,23,44,1,35,415
60,33,473,5,1,35,415
60,236,1,21,26,70,415
60,33,140,21,1,35,415
60,33,385,111,1,35,415
60,236,1,22,138,70,415
60,5,18,6,37,70,415
60,5,1,21,26,70,415
60,236,1,296,95,70,415
60,5,362,299,37,70,415
60,5,1,22,138,70,415
60,5,48,7,1,35,415
60,236,1,7,33,35,415
60,5,12,208,166,35,415
60,5,1,296,95,70,415
60,5,48,96,288,35,415
60,5,48,7,33,35,415
60,236,1,8,26,70,415
60,236,1,7,37,70,415
60,5,19,69,1,35,415
60,5,270,9,1,35,415
60,5,1,7,33,35,415
60,5,286,30,156,35,415
60,5,270,9,77,35,415
60,5,1,8,26,70,415
60,5,1,7,37,70,415
60,5,433,46,33,35,415
60,5,1,9,77,35,415
60,5,83,8,26,70,415
60,5,433,46,110,35,415
60,5,86,46,33,35,415
60,5,83,220,1,35,415
60,5,83,8,1,35,415
60,5,86,226,1,35,415
60,5,86,46,110,35,415
60,5,48,7,37,70,415
60,236,1,9,77,35,415
60,5,0,3,6,37,70,415
60,5,127,1,487,37,70,415
60,5,1,7,20,95,70,415
60,5,15,1,487,37,70,415
60,5,1,431,190,33,35,415
60,5,1,9,176,33,35,415
60,5,286,30,20,95,70,415
60,5,270,9,3,1,35,415
60,5,19,45,164,1,35,415
60,290,3,1,487,37,70,415
60,33,176,180,134,1,35,415
60,5,11,28,244,331,35,415
60,5,433,46,170,33,35,415
60,5,126,427,7,1,35,415
60,5,1,8,10,120,35,415
60,5,157,476,299,37,70,415
60,5,1,35,342,171,70,415
60,5,157,1,487,37,70,415
60,33,7,20,30,156,35,415
60,5,83,8,3,1,35,415
60,5,19,20,7,1,35,415
60,5,86,46,170,33,35,415
60,5,48,7,0,1,35,415
60,33,7,22,112,37,70,415
60,236,1,157,344,26,70,415
60,236,1,9,176,33,35,415
60,5,13,23,0,1,35,415
60,5,11,40,171,342,35,415
60,5,0,3,8,26,70,415
60,5,127,1,21,26,70,415
60,33,7,0,3,1,35,415
60,5,1,7,22,138,70,415
60,5,1,7,20,249,70,415
60,5,11,40,23,33,35,415
60,230,203,63,378,171,70,415
60,5,15,1,22,138,70,415
60,230,203,111,385,33,35,415
60,5,1,441,131,33,35,415
60,5,0,6,211,237,35,415
60,33,7,62,149,120,35,415
60,5,15,16,10,120,35,415
60,33,7,256,222,95,70,415
60,5,286,30,194,138,70,415
60,5,286,30,20,249,70,415
60,5,270,9,176,33,35,415
60,5,19,45,360,37,70,415
60,290,3,1,21,26,70,415
60,5,11,499,129,393,70,415
60,5,11,28,15,1,35,415
60,65,57,1,487,37,70,415
60,33,121,211,6,37,70,415
60,5,161,1,487,37,70,415
60,5,363,74,20,95,70,415
60,5,126,214,43,37,70,415
60,33,176,9,3,1,35,415
60,5,126,427,7,33,35,415
60,5,13,278,103,340,35,415
60,290,3,8,191,1,35,415
60,5,1,8,228,77,35,415
60,5,157,310,20,95,70,415
60,5,188,368,299,37,70,415
60,5,157,1,21,26,70,415
60,33,121,38,9,1,35,415
60,5,0,7,20,95,70,415
60,5,188,1,487,37,70,415
60,33,7,20,497,37,70,415
60,5,83,8,10,120,35,415
60,5,19,20,21,1,35,415
60,5,0,1,487,37,70,415
60,290,3,9,176,33,35,415
60,5,19,20,7,33,35,415
60,5,11,3,0,1,35,415
60,5,48,7,20,95,70,415
60,5,161,355,45,166,35,415
60,33,46,105,129,393,70,415
60,5,473,33,7,1,35,415
60,33,23,0,3,1,35,415
60,236,1,78,20,95,70,415
60,5,473,33,7,37,70,415
60,33,23,0,5,1,35,415
60,236,1,431,190,33,35,415
60,236,1,78,20,249,70,415
60,33,23,0,6,37,70,415
60,236,1,441,131,33,35,415
60,236,1,157,307,33,35,415
60,33,23,0,7,1,35,415
60,236,1,0,6,37,70,415
