61,48,7,114,173
61,15,1,3,6,173
61,48,5,18,6,173
61,105,240,37,6,173
61,15,5,18,6,173
61,48,102,37,6,173
61,48,5,0,6,173
61,48,7,0,6,173
61,48,5,12,458,173
61,48,7,20,202,173
61,15,1,0,6,173
61,15,5,0,6,173
61,48,7,37,6,173
61,15,1,7,114,173
61,15,5,12,458,173
61,15,1,69,114,173
61,48,102,37,7,114,173
61,15,1,7,0,6,173
61,15,5,1,3,6,173
61,15,1,5,18,6,173
61,48,493,9,3,6,173
61,48,5,0,3,6,173
61,15,1,7,20,202,173
61,15,5,11,3,6,173
61,15,5,1,0,6,173
61,105,46,33,7,114,173
61,15,1,8,3,6,173
61,48,7,0,3,6,173
61,15,1,5,0,6,173
61,15,1,9,38,297,173
61,48,7,0,17,6,173
61,15,1,5,12,458,173
61,15,1,21,20,202,173
61,15,1,9,3,6,173
61,15,1,22,7,114,173
61,48,5,1,3,6,173
61,15,1,78,20,202,173
61,48,5,11,3,6,173
61,48,5,1,0,6,173
61,15,1,108,199,6,173
61,48,5,13,3,6,173
61,48,5,1,7,114,173
61,105,240,37,7,114,173
61,48,337,23,206,202,173
61,48,493,9,38,297,173
61,15,1,287,3,6,173
61,48,5,19,69,114,173
61,48,5,13,224,114,173
61,48,5,1,69,114,173
61,48,5,0,7,114,173
61,48,51,5,12,458,173
61,48,337,23,0,6,173
61,15,1,7,37,6,173
61,15,1,392,3,6,173
61,15,16,246,206,202,173
61,15,1,487,37,6,173
61,15,28,39,12,458,173
61,15,16,30,229,6,173
61,15,113,4,0,6,173
61,15,28,11,3,6,173
61,15,16,47,3,6,173
61,15,16,30,20,202,173
61,15,390,19,20,202,173
61,15,113,4,3,6,173
61,15,28,59,3,6,173
61,15,390,19,69,114,173
61,15,113,4,42,6,173
61,15,28,90,12,458,173
61,15,1,0,3,6,173
61,15,28,98,3,6,173
61,15,1,0,7,114,173
61,15,28,101,17,6,173
61,15,1,0,17,6,173
61,15,28,453,18,6,173
61,15,5,13,3,6,173
61,15,28,498,3,6,173
61,15,5,19,69,114,173
61,15,5,13,224,114,173
61,15,5,48,7,114,173
61,15,5,19,20,202,173
61,15,5,81,42,6,173
61,48,5,81,42,6,173
61,48,5,19,20,202,173
61,15,5,1,7,114,173
61,48,5,0,17,6,173
61,15,1,3,0,6,173
61,15,5,1,69,114,173
61,15,5,0,3,6,173
61,48,96,14,3,6,173
61,105,129,102,37,6,173
61,15,5,0,7,114,173
61,48,122,21,20,202,173
61,48,51,364,17,6,173
61,15,5,0,17,6,173
61,48,122,135,38,297,173
61,48,51,160,0,6,173
61,48,51,5,0,6,173
61,48,7,1,3,6,173
61,105,46,63,17,6,173
61,48,51,269,20,202,173
61,48,51,5,18,6,173
61,48,7,256,222,6,173
61,48,7,1,0,6,173
61,105,46,141,38,297,173
61,48,7,107,12,458,173
61,48,7,1,69,114,173
61,105,46,165,38,297,173
61,48,7,200,37,6,173
61,105,46,263,394,6,173
61,48,7,0,1,69,114,173
61,15,16,47,3,0,6,173
61,15,16,30,430,38,297,173
61,105,46,28,39,12,458,173
61,105,46,263,94,0,6,173
61,48,7,0,34,38,297,173
61,48,7,0,1,3,6,173
61,105,46,49,11,3,6,173
61,105,46,28,11,3,6,173
61,48,7,0,4,3,6,173
61,48,7,0,34,17,6,173
61,105,46,52,21,20,202,173
61,105,46,28,59,3,6,173
61,48,7,0,5,18,6,173
61,48,7,0,4,42,6,173
61,105,46,80,99,0,6,173
61,105,46,28,90,12,458,173
61,15,16,30,20,7,114,173
61,15,158,190,33,7,114,173
61,48,7,0,23,206,202,173
61,48,7,0,5,12,458,173
61,105,46,86,5,18,6,173
61,105,46,80,117,69,114,173
61,105,46,28,98,3,6,173
61,15,349,52,21,20,202,173
61,15,1,392,3,0,6,173
61,15,5,12,107,7,114,173
61,48,102,37,43,38,297,173
61,15,390,424,23,0,6,173
61,48,7,0,239,211,6,173
61,48,7,37,497,20,202,173
61,15,390,19,20,7,114,173
61,15,1,5,13,224,114,173
61,105,46,292,9,38,297,173
61,15,1,487,37,7,114,173
61,48,102,37,7,0,6,173
61,15,113,4,3,0,6,173
61,105,46,86,5,0,6,173
61,15,1,21,26,225,6,173
61,15,1,21,20,7,114,173
61,15,28,59,3,0,6,173
61,105,46,28,101,17,6,173
61,15,16,47,154,12,458,173
61,15,113,4,159,37,6,173
61,15,1,8,3,0,6,173
61,15,5,12,115,20,202,173
61,48,102,37,68,38,297,173
61,15,390,19,5,18,6,173
61,15,390,424,459,7,114,173
61,15,390,424,23,206,202,173
61,48,7,0,380,205,6,173
61,48,7,37,79,205,6,173
61,15,113,4,0,3,6,173
61,15,1,5,0,3,6,173
61,15,28,98,3,0,6,173
61,15,1,5,19,20,202,173
61,15,1,22,7,0,6,173
61,15,1,5,13,3,6,173
61,105,46,130,478,7,114,173
61,15,1,0,7,20,202,173
61,105,46,292,345,37,6,173
61,105,46,292,9,3,6,173
61,15,1,35,33,7,114,173
61,15,1,7,0,3,6,173
61,48,102,37,7,20,202,173
61,48,5,1,3,0,6,173
61,15,28,101,17,0,6,173
61,15,1,0,34,38,297,173
61,105,46,86,5,12,458,173
61,15,1,22,112,37,6,173
61,15,28,11,5,18,6,173
61,15,1,9,3,0,6,173
61,15,1,21,438,0,6,173
61,105,46,33,7,0,6,173
61,105,46,28,453,18,6,173
61,15,1,69,19,20,202,173
61,15,5,1,3,0,6,173
61,15,5,13,3,0,6,173
61,15,1,78,20,7,114,173
61,15,28,46,263,394,6,173
61,15,28,498,3,0,6,173
61,15,16,10,2,12,458,173
61,15,28,11,3,0,6,173
61,15,1,9,88,38,297,173
61,15,5,12,2,0,6,173
61,48,5,11,3,0,6,173
61,48,102,37,497,20,202,173
61,15,5,13,23,0,6,173
61,15,390,19,11,3,6,173
61,15,390,19,5,0,6,173
61,15,1,8,26,225,6,173
61,48,5,11,19,69,114,173
61,15,5,48,102,37,6,173
61,48,7,0,2,12,458,173
61,48,5,1,0,3,6,173
61,15,5,48,7,0,6,173
61,15,5,19,24,0,6,173
61,48,7,37,43,38,297,173
61,48,5,19,20,7,114,173
61,48,493,9,3,0,6,173
61,15,5,1,7,0,6,173
61,15,113,4,0,7,114,173
61,15,1,5,0,7,114,173
61,15,1,5,48,7,114,173
61,15,1,5,19,69,114,173
61,15,1,22,7,20,202,173
61,105,46,446,112,37,6,173
61,48,5,0,1,3,6,173
61,15,1,3,4,0,6,173
61,15,1,0,7,37,6,173
61,15,1,3,9,38,297,173
61,15,1,3,4,42,6,173
61,15,1,3,281,38,297,173
61,15,1,44,23,206,202,173
61,15,1,3,13,224,114,173
61,15,1,127,5,12,458,173
61,15,1,44,50,0,6,173
61,15,1,44,23,0,6,173
61,15,1,3,250,211,6,173
61,15,1,152,34,38,297,173
61,15,1,127,5,0,6,173
61,15,1,44,56,0,6,173
61,15,1,157,5,12,458,173
61,15,1,152,34,0,6,173
61,15,1,127,5,18,6,173
61,15,1,44,204,20,202,173
61,15,1,161,5,12,458,173
61,15,1,157,310,20,202,173
61,15,1,157,5,0,6,173
61,15,1,152,34,17,6,173
61,15,1,188,5,12,458,173
61,15,1,161,5,0,6,173
61,15,1,157,416,3,6,173
61,15,1,157,5,18,6,173
61,15,1,469,241,12,458,173
61,15,1,188,5,0,6,173
61,15,1,161,5,18,6,173
61,15,1,220,425,12,458,173
61,15,1,188,5,18,6,173
61,15,1,296,95,20,202,173
61,15,1,35,237,211,6,173
61,15,1,116,463,42,6,173
61,15,1,296,95,222,6,173
61,15,1,134,73,12,458,173
61,48,5,13,3,0,6,173
61,15,1,475,11,3,6,173
61,15,1,3,0,7,114,173
61,15,1,93,8,3,6,173
61,15,1,3,0,17,6,173
61,15,1,97,108,199,6,173
61,15,5,1,22,7,114,173
61,15,1,100,260,0,6,173
61,15,5,1,9,38,297,173
61,15,1,293,167,17,6,173
61,15,1,100,8,3,6,173
61,15,5,1,21,20,202,173
61,15,5,1,9,3,6,173
61,15,1,317,8,3,6,173
61,15,5,1,8,3,6,173
61,15,1,111,90,12,458,173
61,15,5,1,78,20,202,173
61,15,1,191,8,3,6,173
61,15,5,1,108,199,6,173
61,15,1,7,0,17,6,173
61,15,5,1,287,3,6,173
61,48,5,1,7,0,6,173
61,15,5,1,392,3,6,173
61,48,5,1,7,20,202,173
61,15,5,1,487,37,6,173
61,48,5,1,7,37,6,173
61,105,240,37,43,38,297,173
61,15,5,19,20,7,114,173
61,105,240,37,68,38,297,173
61,48,7,20,497,37,6,173
61,105,240,37,497,20,202,173
61,48,7,20,19,69,114,173
61,105,240,37,79,205,6,173
61,48,7,20,30,229,6,173
61,105,240,37,200,7,114,173
61,48,7,20,115,12,458,173
61,105,240,37,7,0,6,173
61,48,7,20,95,222,6,173
61,105,240,37,7,20,202,173
61,15,1,0,4,3,6,173
61,15,1,0,34,17,6,173
61,15,1,0,5,18,6,173
61,15,1,0,4,42,6,173
61,15,1,0,23,206,202,173
61,15,1,0,5,12,458,173
61,15,1,0,239,211,6,173
61,48,96,109,238,7,114,173
61,15,1,0,380,205,6,173
61,15,1,22,327,3,6,173
61,15,1,0,2,12,458,173
61,48,96,14,2,12,458,173
61,48,96,14,3,0,6,173
61,48,96,14,2,0,6,173
61,105,483,270,5,12,458,173
61,15,28,11,19,69,114,173
61,105,300,104,23,0,6,173
61,105,483,270,9,38,297,173
61,105,483,270,5,0,6,173
61,15,28,11,139,12,458,173
61,15,28,11,19,20,202,173
61,105,447,140,21,20,202,173
61,105,300,104,23,206,202,173
61,105,483,270,9,3,6,173
61,105,483,270,5,18,6,173
61,15,28,11,241,12,458,173
61,105,447,140,33,7,114,173
61,15,28,11,255,69,114,173
61,15,28,11,5,0,6,173
61,15,28,11,259,37,6,173
61,15,28,11,5,12,458,173
61,105,129,480,359,69,114,173
61,105,129,102,48,7,114,173
61,105,129,393,70,37,6,173
61,105,46,33,7,20,202,173
61,48,5,126,101,17,6,173
61,48,493,9,1,3,6,173
61,105,129,499,11,3,6,173
61,105,46,33,7,37,6,173
61,48,5,51,364,17,6,173
61,48,5,126,427,7,114,173
61,48,493,9,88,38,297,173
61,48,493,9,1,0,6,173
61,48,5,491,310,20,202,173
61,48,5,51,160,0,6,173
61,48,493,9,316,0,6,173
61,48,493,9,1,7,114,173
61,48,5,66,210,38,297,173
61,48,5,51,269,20,202,173
61,105,129,102,37,7,114,173
61,48,493,9,1,69,114,173
61,48,5,286,30,20,202,173
61,105,46,28,498,3,6,173
61,15,5,0,7,20,202,173
61,48,174,157,5,12,458,173
61,48,5,60,290,3,6,173
61,48,5,286,30,229,6,173
61,15,5,0,7,37,6,173
61,48,333,137,22,7,114,173
61,48,174,157,1,3,6,173
61,48,174,157,5,0,6,173
61,48,5,363,74,20,202,173
61,48,5,60,33,7,114,173
61,15,5,66,210,38,297,173
61,48,302,71,304,206,202,173
61,48,174,157,310,20,202,173
61,48,174,157,1,0,6,173
61,48,174,157,5,18,6,173
61,48,5,473,33,7,114,173
61,15,5,491,310,20,202,173
61,48,429,286,30,20,202,173
61,48,302,71,47,3,6,173
61,48,174,157,416,3,6,173
61,48,174,157,1,7,114,173
61,48,5,83,8,3,6,173
61,48,122,21,1,3,6,173
61,15,5,51,269,20,202,173
61,48,247,32,9,3,6,173
61,48,429,286,5,18,6,173
61,48,429,286,30,229,6,173
61,48,302,71,50,0,6,173
61,48,174,157,1,69,114,173
61,48,5,268,179,17,6,173
61,15,28,67,13,224,114,173
61,48,122,21,26,225,6,173
61,48,122,21,1,0,6,173
61,15,5,157,310,20,202,173
61,15,5,51,48,7,114,173
61,105,240,353,62,7,114,173
61,15,28,46,33,7,114,173
61,48,381,46,141,38,297,173
61,48,247,32,11,3,6,173
61,48,247,32,9,38,297,173
61,48,122,21,20,7,114,173
61,48,429,286,5,0,6,173
61,48,5,19,24,0,6,173
61,48,5,1,108,199,6,173
61,15,16,31,13,224,114,173
61,15,16,10,8,3,6,173
61,15,16,10,2,0,6,173
61,48,5,270,9,3,6,173
61,15,28,144,299,37,6,173
61,15,1,9,316,0,6,173
61,15,28,67,82,42,6,173
61,15,28,67,13,3,6,173
61,48,122,21,438,0,6,173
61,48,122,21,1,7,114,173
61,15,5,286,30,20,202,173
61,48,102,37,79,205,6,173
61,15,5,157,1,3,6,173
61,15,5,51,160,0,6,173
61,15,5,13,23,206,202,173
61,15,28,46,63,17,6,173
61,48,381,46,33,7,114,173
61,48,247,32,197,38,297,173
61,48,51,5,0,3,6,173
61,48,5,13,23,0,6,173
61,15,390,19,24,0,6,173
61,48,429,286,5,12,458,173
61,48,5,19,284,20,202,173
61,48,7,1,3,0,6,173
61,15,390,19,5,12,458,173
61,48,5,1,9,38,297,173
61,15,16,104,23,0,6,173
61,15,16,31,72,20,202,173
61,15,1,8,133,3,6,173
61,15,16,31,13,3,6,173
61,15,16,10,334,12,458,173
61,15,1,287,3,0,6,173
61,15,5,11,3,0,6,173
61,48,5,11,255,69,114,173
61,48,5,362,299,37,6,173
61,105,46,63,275,69,114,173
61,48,5,15,1,7,114,173
61,48,5,11,19,20,202,173
61,48,5,371,14,3,6,173
61,48,5,15,1,0,6,173
61,48,5,127,1,69,114,173
61,48,5,15,1,3,6,173
61,48,5,157,1,69,114,173
61,48,5,127,1,0,6,173
61,48,5,15,1,69,114,173
61,48,5,161,1,69,114,173
61,48,5,157,310,20,202,173
61,48,5,157,1,0,6,173
61,48,5,127,1,3,6,173
61,48,5,188,1,69,114,173
61,48,5,161,1,0,6,173
61,48,5,157,416,3,6,173
61,48,5,157,1,3,6,173
61,48,5,127,1,7,114,173
61,48,5,309,272,7,114,173
61,48,5,188,1,0,6,173
61,48,5,161,1,3,6,173
61,48,5,157,1,7,114,173
61,48,5,188,1,3,6,173
61,48,5,161,1,7,114,173
61,48,5,188,1,7,114,173
61,48,5,270,9,38,297,173
61,15,28,248,346,3,6,173
61,15,28,144,23,206,202,173
61,15,28,407,283,222,6,173
61,15,28,144,23,0,6,173
61,15,28,440,11,3,6,173
61,15,28,407,283,422,114,173
61,15,28,41,23,206,202,173
61,105,46,63,17,0,6,173
61,15,28,387,186,17,6,173
61,15,28,41,23,0,6,173
61,15,28,404,72,20,202,173
61,48,51,177,13,3,6,173
61,48,51,160,0,3,6,173
61,48,51,262,27,17,6,173
61,48,51,177,13,224,114,173
61,48,51,160,0,7,114,173
61,48,51,130,478,7,114,173
61,48,51,160,0,17,6,173
61,48,51,294,19,20,202,173
61,15,5,0,1,3,6,173
61,48,51,428,22,7,114,173
61,48,51,294,19,69,114,173
61,15,5,0,2,12,458,173
61,15,5,0,1,7,114,173
61,15,5,0,4,3,6,173
61,15,5,0,1,69,114,173
61,15,5,0,23,206,202,173
61,15,5,0,4,42,6,173
61,15,5,0,34,17,6,173
61,15,5,1,0,3,6,173
61,15,5,0,239,211,6,173
61,15,5,0,34,38,297,173
61,15,5,1,0,7,114,173
61,15,5,0,380,205,6,173
61,15,5,1,0,17,6,173
61,48,51,5,1,3,6,173
61,48,5,1,0,7,114,173
61,48,51,5,11,3,6,173
61,48,51,5,1,0,6,173
61,48,5,1,0,17,6,173
61,48,51,5,13,3,6,173
61,48,51,5,1,7,114,173
61,48,51,5,19,69,114,173
61,48,51,5,13,224,114,173
61,48,51,5,1,69,114,173
61,48,51,5,81,42,6,173
61,48,51,5,19,20,202,173
61,15,5,48,7,20,202,173
61,48,122,21,1,69,114,173
61,15,5,48,7,37,6,173
61,15,5,60,290,3,6,173
61,48,51,269,20,7,114,173
61,15,5,188,1,69,114,173
61,15,5,60,33,7,114,173
61,15,5,270,9,38,297,173
61,15,5,188,1,0,6,173
61,15,5,268,179,17,6,173
61,15,5,270,9,3,6,173
61,15,5,188,1,3,6,173
61,15,5,362,299,37,6,173
61,15,5,188,1,7,114,173
61,15,5,363,74,20,202,173
61,15,5,19,284,20,202,173
61,15,5,371,14,3,6,173
61,15,5,19,11,3,6,173
61,15,5,126,101,17,6,173
61,15,5,19,25,3,6,173
61,15,5,473,33,7,114,173
61,15,5,126,427,7,114,173
61,15,5,19,76,17,6,173
61,15,5,309,272,7,114,173
61,15,5,19,313,17,6,173
61,15,5,83,8,3,6,173
61,15,5,286,30,229,6,173
61,15,5,127,1,7,114,173
61,48,102,37,200,7,114,173
61,15,5,161,1,69,114,173
61,15,5,127,1,0,6,173
61,15,5,161,1,0,6,173
61,15,5,127,1,3,6,173
61,15,5,161,1,3,6,173
61,15,5,127,1,69,114,173
