67,13,3,8,228
67,28,15,1,8,228
67,13,5,1,8,228
67,28,11,3,8,228
67,13,320,26,8,228
67,13,5,83,8,228
67,28,59,3,8,228
67,13,3,1,8,228
67,28,98,3,8,228
67,13,3,9,77,228
67,28,356,10,8,228
67,13,3,133,8,228
67,28,498,3,8,228
67,13,5,0,1,8,228
67,13,5,1,3,8,228
67,28,498,3,1,8,228
67,13,5,11,3,8,228
67,13,5,0,3,8,228
67,13,5,1,9,77,228
67,28,498,3,9,77,228
67,28,59,3,1,8,228
67,13,5,15,1,8,228
67,13,5,0,148,8,228
67,82,42,4,3,8,228
67,13,5,1,35,77,228
67,13,3,1,9,77,228
67,28,498,3,133,8,228
67,28,15,5,1,8,228
67,28,98,3,1,8,228
67,28,15,16,10,8,228
67,28,15,5,83,8,228
67,28,98,3,9,77,228
67,28,59,3,9,77,228
67,28,98,3,133,8,228
67,28,59,3,133,8,228
67,13,5,127,1,8,228
67,28,11,5,1,8,228
67,13,5,157,1,8,228
67,28,11,32,9,77,228
67,28,11,5,83,8,228
67,13,5,161,1,8,228
67,28,11,475,1,8,228
67,13,3,9,1,8,228
67,28,11,3,1,8,228
67,13,5,188,1,8,228
67,28,15,1,3,8,228
67,28,11,3,9,77,228
67,13,5,270,9,77,228
67,28,15,1,9,77,228
67,13,23,0,1,8,228
67,477,322,2,10,8,228
67,28,11,3,133,8,228
67,13,3,0,1,8,228
67,82,42,6,3,8,228
67,13,3,287,1,8,228
67,13,3,0,148,8,228
67,13,3,392,1,8,228
67,28,15,1,35,77,228
67,28,46,292,9,77,228
67,28,15,1,93,8,228
67,28,90,111,1,8,228
67,28,46,33,35,77,228
67,28,15,1,100,8,228
67,28,145,389,26,8,228
67,28,46,63,87,8,228
67,28,15,1,191,8,228
67,28,244,418,87,8,228
67,28,145,32,9,77,228
67,28,46,110,35,77,228
67,28,15,1,317,8,228
67,28,248,110,35,77,228
67,28,244,331,35,77,228
67,28,183,16,10,8,228
67,28,248,346,3,8,228
67,28,440,11,3,8,228
67,13,5,1,93,8,228
67,13,31,16,10,8,228
67,13,23,33,35,77,228
67,13,5,1,100,8,228
67,13,119,318,100,8,228
67,13,31,57,1,8,228
67,13,23,44,1,8,228
67,13,5,1,191,8,228
67,13,123,47,3,8,228
67,13,31,75,3,8,228
67,13,5,1,317,8,228
67,13,306,91,10,8,228
67,13,31,128,243,8,228
67,13,23,0,3,8,228
67,13,253,372,3,8,228
67,13,3,1,35,77,228
67,13,23,0,148,8,228
67,13,278,103,213,8,228
67,13,253,157,1,8,228
67,13,3,1,93,8,228
67,13,3,1,100,8,228
67,13,3,1,191,8,228
67,13,3,1,317,8,228
67,28,15,113,4,3,8,228
67,28,15,16,47,3,8,228
67,28,46,292,9,1,8,228
67,13,3,8,1,35,77,228
67,28,98,3,1,9,77,228
67,28,15,5,0,1,8,228
67,28,90,12,2,10,8,228
67,13,3,8,1,9,77,228
67,28,98,3,1,35,77,228
67,28,15,5,11,3,8,228
67,28,15,5,0,3,8,228
67,28,90,12,5,1,8,228
67,28,98,3,1,93,8,228
67,28,15,5,13,3,8,228
67,28,15,5,0,148,8,228
67,28,90,12,334,10,8,228
67,28,90,12,5,83,8,228
67,28,98,3,1,100,8,228
67,28,15,5,127,1,8,228
67,13,3,0,2,10,8,228
67,28,498,3,0,1,8,228
67,28,98,3,1,191,8,228
67,28,59,367,32,9,77,228
67,28,15,5,157,1,8,228
67,13,3,0,5,1,8,228
67,28,498,3,287,1,8,228
67,28,498,3,0,148,8,228
67,28,98,3,1,317,8,228
67,28,15,5,161,1,8,228
67,28,90,111,1,3,8,228
67,28,46,33,7,1,8,228
67,13,3,0,7,1,8,228
67,13,3,0,5,83,8,228
67,28,498,3,392,1,8,228
67,28,46,33,35,1,8,228
67,13,3,0,1,9,77,228
67,13,5,1,3,9,77,228
67,28,98,3,9,1,8,228
67,28,15,5,188,1,8,228
67,82,42,6,3,1,8,228
67,28,498,3,1,9,77,228
67,28,90,111,1,9,77,228
67,82,42,6,0,1,8,228
67,28,46,33,140,267,8,228
67,13,3,392,1,9,77,228
67,13,5,11,3,1,8,228
67,13,3,0,239,352,8,228
67,13,3,0,1,35,77,228
67,13,5,1,3,133,8,228
67,28,145,32,11,3,8,228
67,28,145,32,9,1,8,228
67,28,15,5,270,9,77,228
67,82,42,6,3,9,77,228
67,28,498,3,1,35,77,228
67,13,5,127,1,3,8,228
67,28,46,141,38,9,77,228
67,28,90,111,1,35,77,228
67,82,42,6,225,26,8,228
67,82,42,6,0,3,8,228
67,28,46,110,35,1,8,228
67,28,46,33,176,9,77,228
67,28,15,1,0,3,8,228
67,13,3,392,1,35,77,228
67,28,59,3,0,1,8,228
67,28,98,3,0,1,8,228
67,28,59,3,9,1,8,228
67,13,5,0,3,1,8,228
67,13,5,11,3,9,77,228
67,13,3,0,260,100,8,228
67,28,15,5,1,3,8,228
67,13,3,0,1,93,8,228
67,13,5,83,220,1,8,228
67,28,248,110,35,1,8,228
67,28,145,32,382,1,8,228
67,28,11,5,1,3,8,228
67,28,244,331,405,148,8,228
67,28,145,32,9,3,8,228
67,28,244,331,35,1,8,228
67,13,3,287,1,9,77,228
67,13,5,11,32,9,77,228
67,13,5,157,344,26,8,228
67,82,42,6,3,133,8,228
67,28,183,16,15,1,8,228
67,28,498,3,1,93,8,228
67,13,5,157,1,3,8,228
67,13,5,127,1,9,77,228
67,28,46,163,63,87,8,228
67,13,5,1,9,3,8,228
67,28,248,346,3,1,8,228
67,28,41,207,200,484,8,228
67,28,90,111,1,93,8,228
67,28,11,32,382,1,8,228
67,28,440,11,5,1,8,228
67,28,440,11,3,1,8,228
67,82,42,6,0,148,8,228
67,13,5,0,1,3,8,228
67,13,119,112,22,1,8,228
67,13,31,16,15,1,8,228
67,28,15,1,21,26,8,228
67,28,15,1,0,148,8,228
67,13,3,392,1,93,8,228
67,28,59,3,287,1,8,228
67,28,59,3,0,148,8,228
67,28,98,3,287,1,8,228
67,28,98,3,0,148,8,228
67,28,11,19,5,1,8,228
67,13,5,0,3,9,77,228
67,13,5,11,3,133,8,228
67,13,3,0,316,9,77,228
67,13,119,318,100,1,8,228
67,28,15,5,1,9,77,228
67,28,11,475,1,3,8,228
67,13,3,0,1,100,8,228
67,13,31,57,1,3,8,228
67,28,59,3,1,9,77,228
67,13,23,33,35,1,8,228
67,13,5,15,16,10,8,228
67,13,23,104,16,10,8,228
67,28,11,5,1,9,77,228
67,13,23,178,32,9,77,228
67,28,11,5,1,35,77,228
67,13,23,232,69,1,8,228
67,28,11,5,1,93,8,228
67,13,23,265,7,1,8,228
67,28,11,5,1,100,8,228
67,13,23,337,414,100,8,228
67,28,11,5,1,191,8,228
67,13,23,40,11,3,8,228
67,28,11,5,1,317,8,228
67,13,23,175,0,148,8,228
67,13,3,9,1,35,77,228
67,13,23,357,236,1,8,228
67,13,23,175,0,1,8,228
67,13,3,9,1,93,8,228
67,13,23,401,38,9,77,228
67,13,23,175,0,3,8,228
67,13,3,9,1,100,8,228
67,13,23,44,1,3,8,228
67,13,3,9,1,191,8,228
67,13,23,44,1,9,77,228
67,13,3,9,1,317,8,228
67,13,23,44,1,35,77,228
67,13,23,33,7,1,8,228
67,13,23,44,1,93,8,228
67,13,23,33,140,267,8,228
67,13,23,44,1,100,8,228
67,13,23,33,176,9,77,228
67,13,23,44,1,191,8,228
67,13,5,15,1,3,8,228
67,13,23,44,1,317,8,228
67,13,5,15,1,9,77,228
67,13,123,47,16,10,8,228
67,13,5,15,1,35,77,228
67,13,123,47,55,26,8,228
67,13,5,15,1,93,8,228
67,13,123,47,125,26,8,228
67,13,5,15,1,100,8,228
67,13,3,287,1,35,77,228
67,13,5,15,1,191,8,228
67,13,3,287,1,93,8,228
67,13,5,15,1,317,8,228
67,13,3,287,1,100,8,228
67,28,11,32,9,1,8,228
67,13,3,287,1,191,8,228
67,28,11,32,9,3,8,228
67,13,3,287,1,317,8,228
67,13,123,47,3,1,8,228
67,13,5,11,475,1,8,228
67,13,123,47,3,9,77,228
67,28,11,3,1,9,77,228
67,13,123,47,3,133,8,228
67,28,11,3,1,35,77,228
67,13,5,157,416,3,8,228
67,28,11,3,1,93,8,228
67,13,5,161,227,1,8,228
67,28,11,3,1,100,8,228
67,13,5,0,2,10,8,228
67,28,11,3,1,191,8,228
67,13,5,0,4,3,8,228
67,28,11,3,1,317,8,228
67,13,5,0,7,1,8,228
67,13,31,75,3,1,8,228
67,13,5,0,239,352,8,228
67,13,31,75,3,9,77,228
67,13,5,0,260,100,8,228
67,13,31,75,3,133,8,228
67,13,5,0,6,3,8,228
67,28,183,16,47,3,8,228
67,13,5,0,316,9,77,228
67,28,183,16,397,391,8,228
67,13,5,1,220,83,8,228
67,28,498,3,1,100,8,228
67,13,5,1,0,3,8,228
67,28,498,3,1,191,8,228
67,13,5,1,287,3,8,228
67,13,5,1,0,148,8,228
67,28,498,3,1,317,8,228
67,13,5,1,392,3,8,228
67,13,5,157,1,9,77,228
67,13,5,1,21,26,8,228
67,13,5,157,1,35,77,228
67,28,11,5,0,1,8,228
67,13,5,157,1,93,8,228
67,28,11,5,13,3,8,228
67,28,11,5,0,3,8,228
67,13,5,157,1,100,8,228
67,28,11,5,15,1,8,228
67,28,11,5,0,148,8,228
67,13,5,157,1,191,8,228
67,28,11,5,127,1,8,228
67,13,5,157,1,317,8,228
67,28,11,5,157,1,8,228
67,28,498,3,9,1,8,228
67,28,11,5,161,1,8,228
67,13,5,127,1,35,77,228
67,28,11,5,188,1,8,228
67,13,5,127,1,93,8,228
67,28,11,5,270,9,77,228
67,13,5,127,1,100,8,228
67,13,306,91,22,1,8,228
67,13,5,127,1,191,8,228
67,28,46,165,38,9,77,228
67,13,5,127,1,317,8,228
67,28,46,170,33,35,77,228
67,13,5,188,1,3,8,228
67,28,46,218,88,9,77,228
67,13,5,188,1,9,77,228
67,28,46,80,97,1,8,228
67,13,5,188,1,35,77,228
