75,3,8,93
75,3,1,93
75,3,8,93
75,31,57,1,93
75,3,1,8,93
75,3,8,1,93
75,3,0,1,93
75,3,9,1,93
75,3,133,8,93
75,3,287,1,93
75,3,392,1,93
75,3,0,1,8,93
75,3,9,1,8,93
75,3,0,5,1,93
75,3,392,1,8,93
75,3,287,1,8,93
75,3,0,7,1,93
75,3,8,191,1,93
75,31,13,3,1,93
75,3,0,148,8,93
75,3,8,317,1,93
75,31,16,15,1,93
75,31,13,5,1,93
75,31,13,3,8,93
75,31,57,1,8,93
75,303,47,3,1,93
75,3,8,100,1,93
75,303,47,3,8,93
75,3,133,8,1,93
75,31,80,97,1,93
75,31,16,10,8,93
75,31,128,243,8,93
75,3,1,191,8,93
75,3,4,0,1,93
75,3,1,317,8,93
75,3,6,0,1,93
75,3,1,100,8,93
75,3,11,475,1,93
75,3,327,22,1,93
75,3,11,5,1,93
75,3,416,157,1,93
75,3,13,5,1,93
75,31,128,243,8,1,93
75,3,0,7,1,8,93
75,3,0,5,15,1,93
75,3,8,148,0,1,93
75,3,13,5,0,1,93
75,3,13,5,1,8,93
75,3,11,5,1,8,93
75,3,0,5,83,8,93
75,3,8,83,5,1,93
75,3,416,157,1,8,93
75,3,13,5,15,1,93
75,3,0,5,127,1,93
75,3,0,5,1,8,93
75,3,133,217,22,1,93
75,303,47,3,0,1,93
75,3,8,26,21,1,93
75,3,0,1,191,8,93
75,3,8,83,220,1,93
75,3,13,5,83,8,93
75,3,0,7,22,1,93
75,31,80,99,0,1,93
75,3,0,5,157,1,93
75,31,80,97,108,1,93
75,3,0,1,317,8,93
75,31,16,15,1,8,93
75,31,13,3,1,8,93
75,31,80,97,1,8,93
75,31,16,47,3,1,93
75,303,47,3,9,1,93
75,3,9,32,382,1,93
75,31,494,16,15,1,93
75,3,13,5,127,1,93
75,3,9,1,191,8,93
75,3,287,1,191,8,93
75,31,80,117,69,1,93
75,3,392,1,191,8,93
75,3,0,5,161,1,93
75,3,0,34,152,1,93
75,3,4,113,15,1,93
75,3,9,1,317,8,93
75,3,287,1,317,8,93
75,3,4,0,5,1,93
75,3,0,1,100,8,93
75,3,392,1,317,8,93
75,303,47,3,1,8,93
75,3,4,0,1,8,93
75,3,11,475,1,8,93
75,3,327,22,1,8,93
75,31,16,397,391,8,93
75,31,16,47,3,8,93
75,303,47,3,133,8,93
75,3,6,18,5,1,93
75,3,9,77,35,1,93
75,3,6,37,7,1,93
75,3,9,316,0,1,93
75,3,9,77,228,8,93
75,3,6,17,0,1,93
75,3,6,37,487,1,93
75,3,9,270,5,1,93
75,3,6,199,108,1,93
75,3,6,0,5,1,93
75,3,6,225,26,8,93
75,3,6,0,7,1,93
75,31,72,20,7,1,93
75,3,6,0,148,8,93
75,31,74,20,78,1,93
75,31,72,20,21,1,93
75,31,74,94,0,1,93
75,31,74,20,7,1,93
75,31,72,20,78,1,93
75,31,74,363,5,1,93
75,31,74,20,21,1,93
75,303,47,3,8,1,93
75,31,13,3,8,1,93
75,3,1,21,26,8,93
75,31,494,16,10,8,93
75,3,1,0,148,8,93
75,3,6,0,1,8,93
75,3,1,5,83,8,93
75,3,13,5,157,1,93
75,3,1,220,83,8,93
75,3,13,5,161,1,93
75,3,0,148,8,1,93
75,3,13,5,188,1,93
75,31,57,1,3,8,93
75,31,13,5,1,8,93
75,3,0,5,188,1,93
75,31,57,1,191,8,93
75,303,47,16,15,1,93
75,31,13,23,0,1,93
75,31,57,1,317,8,93
75,303,47,55,26,8,93
75,303,47,16,10,8,93
75,31,13,253,157,1,93
75,31,13,23,44,1,93
75,31,57,1,100,8,93
75,303,47,71,116,1,93
75,31,13,320,26,8,93
75,3,327,22,7,1,93
75,303,47,125,26,8,93
75,3,0,50,44,1,93
75,3,4,301,100,1,93
75,303,47,312,78,1,93
75,31,16,10,8,1,93
75,3,11,19,69,1,93
75,3,0,56,44,1,93
75,3,4,301,100,8,93
75,3,11,5,0,1,93
75,3,9,1,100,8,93
75,3,287,1,100,8,93
75,3,11,118,21,1,93
75,3,11,19,5,1,93
75,3,0,239,352,8,93
75,3,11,5,15,1,93
75,31,16,15,5,1,93
75,31,13,5,0,1,93
75,3,133,8,191,1,93
75,3,4,0,7,1,93
75,3,11,255,69,1,93
75,3,416,157,5,1,93
75,3,11,32,9,1,93
75,3,392,1,100,8,93
75,3,11,241,469,1,93
75,3,11,32,382,1,93
75,3,11,324,287,1,93
75,3,0,260,100,1,93
75,3,11,28,15,1,93
75,3,0,316,9,1,93
75,3,0,260,100,8,93
75,3,11,45,164,1,93
75,3,0,2,10,8,93
75,3,133,8,317,1,93
75,3,0,438,21,1,93
75,3,133,8,100,1,93
75,3,0,23,44,1,93
75,31,13,3,0,1,93
75,3,47,16,10,8,93
75,31,13,3,9,1,93
75,3,290,60,236,1,93
75,3,47,312,78,1,93
75,3,47,16,15,1,93
75,31,13,3,133,8,93
75,3,281,38,9,1,93
75,3,290,60,5,1,93
75,3,47,71,116,1,93
75,31,13,3,287,1,93
75,3,14,2,0,1,93
75,3,47,55,26,8,93
75,31,13,3,392,1,93
75,3,25,19,5,1,93
75,3,14,371,5,1,93
75,3,14,2,10,8,93
75,3,47,125,26,8,93
75,3,372,253,157,1,93
75,3,25,19,69,1,93
75,3,59,28,15,1,93
75,3,11,5,83,8,93
75,3,98,28,15,1,93
75,3,11,5,127,1,93
75,3,498,28,15,1,93
75,3,11,5,157,1,93
75,3,250,347,7,1,93
75,3,11,5,161,1,93
75,3,13,31,57,1,93
75,3,11,5,188,1,93
75,3,13,253,157,1,93
75,31,13,5,15,1,93
75,3,13,23,0,1,93
75,31,13,5,83,8,93
75,3,13,320,26,8,93
75,3,13,23,44,1,93
75,31,13,5,127,1,93
75,303,47,3,287,1,93
75,3,4,0,148,8,93
75,31,13,5,157,1,93
75,303,47,3,392,1,93
75,31,13,5,161,1,93
75,31,13,5,188,1,93
75,3,13,31,57,1,8,93
75,3,13,253,157,1,8,93
75,3,416,157,432,293,1,93
75,3,11,32,9,1,8,93
75,3,392,1,21,26,8,93
75,3,13,320,26,8,1,93
75,303,47,3,392,1,8,93
75,31,13,5,161,1,8,93
